month,day,station,variable,mean,std_dev,median,q25,q75,type
1,1,acekeste,tmmx,28.5013,12.2116,30.2,20.93,37.445,daily
1,2,acekeste,tmmx,31.2771,12.4001,32.27,24.62,41.72,daily
1,3,acekeste,tmmx,28.641,16.1441,30.47,15.71,43.25,daily
1,4,acekeste,tmmx,28.519,16.1433,30.65,16.25,43.61,daily
1,5,acekeste,tmmx,27.2416,16.2631,29.03,14.18,39.92,daily
1,6,acekeste,tmmx,28.6816,15.4628,34.25,17.24,40.82,daily
1,7,acekeste,tmmx,29.3726,13.6211,33.35,20.12,38.57,daily
1,8,acekeste,tmmx,29.6281,13.8037,35.33,20.12,39.74,daily
1,9,acekeste,tmmx,30.0984,13.6412,34.43,19.13,40.46,daily
1,10,acekeste,tmmx,30.0287,16.272,36.77,18.86,42.26,daily
1,11,acekeste,tmmx,29.0126,16.1765,33.71,21.56,40.46,daily
1,12,acekeste,tmmx,28.2577,15.002,32.81,19.31,40.55,daily
1,13,acekeste,tmmx,30.5455,14.9037,34.43,23.54,41.36,daily
1,14,acekeste,tmmx,28.5423,13.85,32.81,21.47,38.66,daily
1,15,acekeste,tmmx,30.0171,13.2518,30.83,23.9,39.74,daily
1,16,acekeste,tmmx,29.9126,11.6475,32.27,26.24,37.58,daily
1,17,acekeste,tmmx,29.9765,12.3717,35.33,24.8,37.22,daily
1,18,acekeste,tmmx,30.9577,12.9889,34.25,23.18,38.93,daily
1,19,acekeste,tmmx,33.2339,12.1372,35.69,27.05,41.99,daily
1,20,acekeste,tmmx,32.9377,9.1803,35.69,27.23,38.93,daily
1,21,acekeste,tmmx,32.6997,9.6363,34.25,29.57,38.3,daily
1,22,acekeste,tmmx,31.9855,9.4981,32.63,29.39,37.31,daily
1,23,acekeste,tmmx,31.9448,9.407,31.37,26.51,39.65,daily
1,24,acekeste,tmmx,31.1261,11.8604,30.83,23.9,40.55,daily
1,25,acekeste,tmmx,31.5152,14.7619,34.79,21.38,41.99,daily
1,26,acekeste,tmmx,32.0668,13.722,34.97,27.77,40.64,daily
1,27,acekeste,tmmx,31.7532,15.2785,37.49,22.91,41.72,daily
1,28,acekeste,tmmx,32.2758,14.145,35.33,25.79,41.09,daily
1,29,acekeste,tmmx,31.8519,15.4301,36.05,26.24,41.9,daily
1,30,acekeste,tmmx,33.17,15.6826,38.39,20.75,43.79,daily
1,31,acekeste,tmmx,33.4952,13.8996,34.61,25.61,44.51,daily
2,1,acekeste,tmmx,33.8668,15.9043,37.31,21.83,45.68,daily
2,2,acekeste,tmmx,33.9306,14.6056,35.15,24.17,42.89,daily
2,3,acekeste,tmmx,30.3132,14.2224,34.25,22.37,39.2,daily
2,4,acekeste,tmmx,31.9565,14.7134,34.61,21.65,40.91,daily
2,5,acekeste,tmmx,33.6694,13.7335,36.77,28.22,42.26,daily
2,6,acekeste,tmmx,31.8635,15.2173,35.87,24.8,41.9,daily
2,7,acekeste,tmmx,30.0461,15.8878,35.51,20.48,38.57,daily
2,8,acekeste,tmmx,29.8313,17.4971,34.97,14,42.8,daily
2,9,acekeste,tmmx,30.3306,16.057,31.73,18.95,42.08,daily
2,10,acekeste,tmmx,29.5061,12.0004,30.65,25.34,37.58,daily
2,11,acekeste,tmmx,29.1403,12.5768,30.65,23.27,37.4,daily
2,12,acekeste,tmmx,31.6081,14.4789,34.25,23.99,41.45,daily
2,13,acekeste,tmmx,34.5694,14.5184,38.93,24.8,44.87,daily
2,14,acekeste,tmmx,32.1713,13.5548,36.59,23.72,42.26,daily
2,15,acekeste,tmmx,34.0526,12.9481,37.31,25.52,43.07,daily
2,16,acekeste,tmmx,35.9977,13.3388,39.47,30.38,42.08,daily
2,17,acekeste,tmmx,35.3184,14.7555,38.39,26.51,46.22,daily
2,18,acekeste,tmmx,34.761,14.0945,36.59,25.7,44.6,daily
2,19,acekeste,tmmx,36.7003,14.6162,38.57,26.33,49.28,daily
2,20,acekeste,tmmx,36.0035,14.802,38.93,25.7,44.87,daily
2,21,acekeste,tmmx,36.9732,14.9214,36.95,27.68,48.11,daily
2,22,acekeste,tmmx,36.3055,15.4292,36.59,24.26,50.9,daily
2,23,acekeste,tmmx,35.6203,13.3935,39.11,28.22,43.97,daily
2,24,acekeste,tmmx,33.5126,14.5737,34.97,26.69,41.18,daily
2,25,acekeste,tmmx,32.4732,14.8956,33.17,23.9,42.08,daily
2,26,acekeste,tmmx,33.7855,14.4466,35.15,24.35,42.71,daily
2,27,acekeste,tmmx,35.7365,13.343,33.71,26.33,45.68,daily
2,28,acekeste,tmmx,36.8281,13.0768,35.33,31.73,43.79,daily
2,29,acekeste,tmmx,43.7675,13.2561,42.98,34.16,51.53,daily
3,1,acekeste,tmmx,36.3577,14.5183,36.77,30.56,47.48,daily
3,2,acekeste,tmmx,36.2358,14.7261,36.23,30.65,44.96,daily
3,3,acekeste,tmmx,39.9694,13.8095,39.47,31.55,51.08,daily
3,4,acekeste,tmmx,39.8823,15.4321,38.57,28.76,53.42,daily
3,5,acekeste,tmmx,40.9042,15.3996,38.93,31.28,50.81,daily
3,6,acekeste,tmmx,38.4829,16.5325,38.75,28.31,48.56,daily
3,7,acekeste,tmmx,38.6223,15.0527,40.55,29.39,49.73,daily
3,8,acekeste,tmmx,38.93,15.0947,42.71,30.11,50.9,daily
3,9,acekeste,tmmx,41.7984,15.4699,43.97,34.16,49.82,daily
3,10,acekeste,tmmx,43.8945,14.402,46.13,36.59,52.97,daily
3,11,acekeste,tmmx,45.6074,12.8289,43.07,39.02,52.52,daily
3,12,acekeste,tmmx,47.7732,13.2711,48.83,37.04,57.02,daily
3,13,acekeste,tmmx,48.1332,12.4559,48.65,39.02,58.1,daily
3,14,acekeste,tmmx,47.6687,11.5881,47.39,39.11,55.4,daily
3,15,acekeste,tmmx,49.1261,12.5096,49.55,40.82,60.71,daily
3,16,acekeste,tmmx,48.9694,11.8803,50.09,42.98,54.86,daily
3,17,acekeste,tmmx,47.3784,10.3641,47.39,39.02,53.15,daily
3,18,acekeste,tmmx,49.0623,12.6923,48.29,42.08,58.82,daily
3,19,acekeste,tmmx,49.1552,12.3418,52.43,39.83,56.75,daily
3,20,acekeste,tmmx,50.8681,12.1432,51.17,46.49,56.21,daily
3,21,acekeste,tmmx,51.3035,12.0637,54.77,45.77,59.27,daily
3,22,acekeste,tmmx,50.6068,12.3857,51.35,42.44,59,daily
3,23,acekeste,tmmx,50.7577,13.7346,49.37,40.64,61.88,daily
3,24,acekeste,tmmx,48.6268,14.3141,50.45,38.21,58.01,daily
3,25,acekeste,tmmx,49.5965,12.5708,50.09,40.91,58.55,daily
3,26,acekeste,tmmx,52.2152,11.761,52.79,43.34,62.6,daily
3,27,acekeste,tmmx,52.1165,11.2976,52.79,45.14,60.08,daily
3,28,acekeste,tmmx,51.3442,12.1612,50.45,43.16,58.46,daily
3,29,acekeste,tmmx,51.6694,9.4889,51.71,45.5,58.1,daily
3,30,acekeste,tmmx,52.8829,11.6883,53.69,45.68,60.26,daily
3,31,acekeste,tmmx,51.321,13.5372,50.09,44.15,56.48,daily
4,1,acekeste,tmmx,52.1339,12.2732,53.69,44.15,61.25,daily
4,2,acekeste,tmmx,50.7926,13.6845,51.53,43.79,58.82,daily
4,3,acekeste,tmmx,52.5752,12.4036,53.51,44.69,61.07,daily
4,4,acekeste,tmmx,56.1635,12.1493,56.93,45.5,67.28,daily
4,5,acekeste,tmmx,53.9223,10.5532,54.95,48.74,60.44,daily
4,6,acekeste,tmmx,54.3926,11.8089,58.19,50.36,62.24,daily
4,7,acekeste,tmmx,55.8674,11.1288,56.57,51.8,61.07,daily
4,8,acekeste,tmmx,56.1868,12.7601,57.11,49.1,64.58,daily
4,9,acekeste,tmmx,53.9571,12.0205,53.33,49.28,61.07,daily
