month,day,station,variable,mean,std_dev,median,q25,q75,type
1,1,acekreml,tmmn,3.7175,15.9552,3.74,-3.46,14.495,daily
1,2,acekreml,tmmn,3.4584,14.7844,2.39,-6.79,14.45,daily
1,3,acekreml,tmmn,4.6719,16.5199,3.11,-8.5,18.32,daily
1,4,acekreml,tmmn,3.3539,16.3727,2.93,-7.51,16.88,daily
1,5,acekreml,tmmn,4.4803,17.0207,6.71,-10.39,18.5,daily
1,6,acekreml,tmmn,4.161,17.7209,6.17,-8.68,19.67,daily
1,7,acekreml,tmmn,5.7403,14.4537,11.21,-5.44,16.43,daily
1,8,acekreml,tmmn,6.4545,13.7547,9.05,-6.52,16.43,daily
1,9,acekreml,tmmn,4.6081,13.3343,4.37,-4.99,14.36,daily
1,10,acekreml,tmmn,4.6603,15.3799,8.51,-4.09,17.78,daily
1,11,acekreml,tmmn,3.4526,17.9724,4.19,-10.84,19.94,daily
1,12,acekreml,tmmn,4.3874,17.1794,10.31,-10.3,15.8,daily
1,13,acekreml,tmmn,6.3848,16.8298,10.31,-5.17,19.67,daily
1,14,acekreml,tmmn,3.9171,16.4678,5.09,-3.19,17.15,daily
1,15,acekreml,tmmn,4.4513,15.6396,7.07,-3.91,14.81,daily
1,16,acekreml,tmmn,4.8519,14.3568,3.65,-3.73,17.24,daily
1,17,acekreml,tmmn,7.9874,13.2502,9.41,-1.03,16.34,daily
1,18,acekreml,tmmn,8.8758,15.0854,10.31,1.49,19.94,daily
1,19,acekreml,tmmn,10.0139,14.5485,14.63,2.03,20.12,daily
1,20,acekreml,tmmn,9.9616,11.906,15.35,0.86,18.59,daily
1,21,acekreml,tmmn,9.4913,9.4065,11.75,7.16,16.61,daily
1,22,acekreml,tmmn,9.8629,10.484,11.21,5,16.7,daily
1,23,acekreml,tmmn,8.9106,12.1913,9.77,-1.75,18.5,daily
1,24,acekreml,tmmn,8.2139,13.4182,7.97,1.85,17.87,daily
1,25,acekreml,tmmn,7.9932,13.6344,11.75,-0.67,19.76,daily
1,26,acekreml,tmmn,7.639,14.3001,8.15,1.31,19.04,daily
1,27,acekreml,tmmn,9.6481,16.3448,13.91,2.48,22.55,daily
1,28,acekreml,tmmn,6.6229,15.7543,7.79,1.94,18.05,daily
1,29,acekreml,tmmn,6.1177,15.8572,6.17,1.31,16.25,daily
1,30,acekreml,tmmn,9.2881,16.5836,14.27,0.23,20.93,daily
1,31,acekreml,tmmn,9.9152,14.566,11.03,-0.94,20.21,daily
2,1,acekreml,tmmn,8.7365,15.8348,11.57,2.21,20.12,daily
2,2,acekreml,tmmn,8.8177,14.6828,12.29,2.39,18.41,daily
2,3,acekreml,tmmn,6.379,14.6902,7.79,-0.94,17.24,daily
2,4,acekreml,tmmn,7.5345,13.5336,9.59,0.5,18.41,daily
2,5,acekreml,tmmn,9.4855,12.9411,11.93,4.19,20.3,daily
2,6,acekreml,tmmn,8.4694,15.6954,14.81,-0.04,20.57,daily
2,7,acekreml,tmmn,5.6881,17.6693,9.41,-2.11,16.61,daily
2,8,acekreml,tmmn,4.9506,17.7204,10.13,-7.69,19.22,daily
2,9,acekreml,tmmn,4.4223,16.8174,12.11,-10.75,16.52,daily
2,10,acekreml,tmmn,4.73,14.8391,5.09,0.59,14.81,daily
