month,day,station,variable,mean,std_dev,median,q25,q75,type
1,1,acelamed,pet,0.038,0.0184,0.0374,0.0226,0.0482,daily
1,2,acelamed,pet,0.0414,0.0207,0.0433,0.0256,0.0512,daily
1,3,acelamed,pet,0.0414,0.0309,0.0354,0.0197,0.0571,daily
1,4,acelamed,pet,0.045,0.0289,0.0354,0.0236,0.0669,daily
1,5,acelamed,pet,0.041,0.0273,0.0433,0.0197,0.0571,daily
1,6,acelamed,pet,0.0418,0.0214,0.0433,0.0236,0.0551,daily
1,7,acelamed,pet,0.0418,0.0252,0.0354,0.0276,0.0492,daily
1,8,acelamed,pet,0.0425,0.0284,0.0394,0.0236,0.0512,daily
1,9,acelamed,pet,0.045,0.0252,0.0433,0.0217,0.063,daily
1,10,acelamed,pet,0.0438,0.0262,0.0394,0.0177,0.061,daily
1,11,acelamed,pet,0.0453,0.0276,0.0433,0.0217,0.063,daily
1,12,acelamed,pet,0.0455,0.0263,0.0394,0.0256,0.061,daily
1,13,acelamed,pet,0.0525,0.0306,0.0512,0.0276,0.0669,daily
1,14,acelamed,pet,0.0415,0.0208,0.0394,0.0276,0.0551,daily
1,15,acelamed,pet,0.0464,0.0248,0.0433,0.0276,0.065,daily
1,16,acelamed,pet,0.0456,0.019,0.0472,0.0335,0.0591,daily
1,17,acelamed,pet,0.0451,0.0186,0.0433,0.0295,0.0551,daily
1,18,acelamed,pet,0.0484,0.0255,0.0394,0.0295,0.065,daily
1,19,acelamed,pet,0.0521,0.0253,0.0472,0.0354,0.063,daily
1,20,acelamed,pet,0.0461,0.0226,0.0394,0.0315,0.0571,daily
1,21,acelamed,pet,0.0452,0.0217,0.0433,0.0315,0.0551,daily
1,22,acelamed,pet,0.0425,0.0188,0.0394,0.0295,0.0531,daily
1,23,acelamed,pet,0.0431,0.0206,0.0354,0.0295,0.0591,daily
1,24,acelamed,pet,0.0471,0.0272,0.0354,0.0276,0.065,daily
1,25,acelamed,pet,0.0497,0.0263,0.0472,0.0256,0.0689,daily
1,26,acelamed,pet,0.0493,0.0293,0.0472,0.0256,0.061,daily
1,27,acelamed,pet,0.0486,0.0262,0.0472,0.0335,0.0591,daily
1,28,acelamed,pet,0.0497,0.0244,0.0433,0.0315,0.063,daily
1,29,acelamed,pet,0.047,0.0235,0.0472,0.0335,0.0591,daily
1,30,acelamed,pet,0.0536,0.0272,0.0512,0.0335,0.0709,daily
1,31,acelamed,pet,0.0519,0.0274,0.0472,0.0276,0.065,daily
2,1,acelamed,pet,0.0532,0.0359,0.0433,0.0276,0.0728,daily
2,2,acelamed,pet,0.0512,0.028,0.0472,0.0315,0.063,daily
2,3,acelamed,pet,0.0415,0.0231,0.0354,0.0236,0.0551,daily
2,4,acelamed,pet,0.045,0.0261,0.0394,0.0276,0.0591,daily
2,5,acelamed,pet,0.0517,0.0273,0.0512,0.0315,0.0709,daily
2,6,acelamed,pet,0.0486,0.0293,0.0433,0.0276,0.0571,daily
2,7,acelamed,pet,0.0419,0.0259,0.0394,0.0236,0.0512,daily
2,8,acelamed,pet,0.0446,0.0299,0.0394,0.0197,0.0571,daily
2,9,acelamed,pet,0.0493,0.0325,0.0354,0.0295,0.0709,daily
2,10,acelamed,pet,0.0464,0.0239,0.0433,0.0276,0.0591,daily
2,11,acelamed,pet,0.047,0.0239,0.0433,0.0295,0.061,daily
2,12,acelamed,pet,0.0513,0.0267,0.0551,0.0315,0.0669,daily
2,13,acelamed,pet,0.0617,0.0316,0.063,0.0374,0.0807,daily
2,14,acelamed,pet,0.0532,0.0275,0.0512,0.0295,0.0768,daily
2,15,acelamed,pet,0.0552,0.0355,0.0472,0.0374,0.063,daily
2,16,acelamed,pet,0.0625,0.035,0.0551,0.0394,0.0748,daily
2,17,acelamed,pet,0.0573,0.0298,0.0591,0.0354,0.0787,daily
2,18,acelamed,pet,0.056,0.0319,0.0551,0.0354,0.0689,daily
2,19,acelamed,pet,0.0682,0.0406,0.063,0.0354,0.0846,daily
2,20,acelamed,pet,0.0641,0.0359,0.0591,0.0374,0.0787,daily
2,21,acelamed,pet,0.065,0.0377,0.0551,0.0354,0.0965,daily
2,22,acelamed,pet,0.0629,0.0356,0.0472,0.0413,0.0827,daily
2,23,acelamed,pet,0.0565,0.0224,0.0591,0.0413,0.0689,daily
2,24,acelamed,pet,0.0578,0.0298,0.0551,0.0394,0.0709,daily
2,25,acelamed,pet,0.0547,0.0306,0.0472,0.0394,0.0728,daily
2,26,acelamed,pet,0.0569,0.0265,0.0551,0.0354,0.0689,daily
2,27,acelamed,pet,0.0558,0.0303,0.0472,0.0354,0.0669,daily
2,28,acelamed,pet,0.0592,0.0305,0.0551,0.0394,0.0709,daily
2,29,acelamed,pet,0.0778,0.0395,0.061,0.0541,0.1004,daily
3,1,acelamed,pet,0.0605,0.0307,0.0551,0.0413,0.0748,daily
3,2,acelamed,pet,0.0653,0.03,0.0591,0.0394,0.0906,daily
3,3,acelamed,pet,0.0704,0.031,0.0669,0.0472,0.0984,daily
3,4,acelamed,pet,0.0725,0.0333,0.0669,0.0453,0.0906,daily
3,5,acelamed,pet,0.0753,0.0375,0.0669,0.0492,0.0984,daily
3,6,acelamed,pet,0.0728,0.0421,0.0669,0.0374,0.0925,daily
3,7,acelamed,pet,0.0719,0.0335,0.0748,0.0512,0.0886,daily
3,8,acelamed,pet,0.0715,0.0325,0.0709,0.0413,0.0925,daily
3,9,acelamed,pet,0.0829,0.0439,0.0787,0.0472,0.1083,daily
3,10,acelamed,pet,0.0833,0.0428,0.0748,0.0492,0.1142,daily
3,11,acelamed,pet,0.0906,0.0404,0.0827,0.063,0.1043,daily
3,12,acelamed,pet,0.0982,0.0405,0.0866,0.0728,0.122,daily
3,13,acelamed,pet,0.0989,0.0351,0.1024,0.0669,0.1201,daily
3,14,acelamed,pet,0.097,0.0342,0.0984,0.0748,0.1161,daily
3,15,acelamed,pet,0.0979,0.0418,0.1024,0.063,0.126,daily
3,16,acelamed,pet,0.0982,0.0397,0.0945,0.0728,0.126,daily
3,17,acelamed,pet,0.0922,0.0335,0.0866,0.0709,0.1004,daily
3,18,acelamed,pet,0.0953,0.0427,0.0866,0.0591,0.122,daily
3,19,acelamed,pet,0.0974,0.042,0.0906,0.061,0.128,daily
3,20,acelamed,pet,0.106,0.0385,0.1024,0.0787,0.1181,daily
3,21,acelamed,pet,0.1062,0.0437,0.1063,0.0768,0.1299,daily
3,22,acelamed,pet,0.0996,0.0361,0.1024,0.0748,0.1161,daily
3,23,acelamed,pet,0.0993,0.0444,0.0787,0.061,0.1417,daily
3,24,acelamed,pet,0.0994,0.0438,0.1024,0.061,0.1299,daily
3,25,acelamed,pet,0.101,0.0403,0.0945,0.0709,0.126,daily
3,26,acelamed,pet,0.1083,0.0465,0.0945,0.0728,0.1378,daily
3,27,acelamed,pet,0.113,0.0397,0.1142,0.0846,0.1417,daily
3,28,acelamed,pet,0.1073,0.0503,0.0984,0.0689,0.1339,daily
3,29,acelamed,pet,0.1093,0.0467,0.1063,0.0669,0.1516,daily
3,30,acelamed,pet,0.1087,0.0474,0.0906,0.0748,0.1437,daily
3,31,acelamed,pet,0.1027,0.0544,0.0945,0.063,0.1181,daily
4,1,acelamed,pet,0.1054,0.0426,0.1024,0.0689,0.1299,daily
4,2,acelamed,pet,0.0999,0.0475,0.1024,0.065,0.1299,daily
4,3,acelamed,pet,0.1101,0.0479,0.1024,0.0748,0.1378,daily
4,4,acelamed,pet,0.1218,0.047,0.122,0.0827,0.1594,daily
4,5,acelamed,pet,0.1186,0.041,0.1142,0.1063,0.1437,daily
4,6,acelamed,pet,0.1106,0.0403,0.1063,0.0807,0.1496,daily
4,7,acelamed,pet,0.1199,0.0415,0.1181,0.1063,0.1299,daily
4,8,acelamed,pet,0.1179,0.0479,0.1102,0.0807,0.1457,daily
4,9,acelamed,pet,0.1115,0.051,0.1024,0.0787,0.1358,daily
4,10,acelamed,pet,0.1123,0.0442,0.1024,0.0807,0.1457,daily
4,11,acelamed,pet,0.1175,0.0488,0.1102,0.0807,0.1457,daily
4,12,acelamed,pet,0.1158,0.0538,0.1063,0.0807,0.1516,daily
4,13,acelamed,pet,0.135,0.0607,0.1457,0.0945,0.1752,daily
4,14,acelamed,pet,0.1341,0.0536,0.126,0.0984,0.1634,daily
4,15,acelamed,pet,0.1205,0.0415,0.122,0.0866,0.1555,daily
4,16,acelamed,pet,0.1165,0.0429,0.1102,0.0866,0.1457,daily
4,17,acelamed,pet,0.141,0.0487,0.1496,0.1122,0.1614,daily
4,18,acelamed,pet,0.1353,0.0427,0.1417,0.1122,0.1594,daily
4,19,acelamed,pet,0.1228,0.052,0.126,0.0768,0.1594,daily
4,20,acelamed,pet,0.1326,0.0397,0.1417,0.1083,0.1654,daily
4,21,acelamed,pet,0.1365,0.0504,0.1378,0.1024,0.1811,daily
4,22,acelamed,pet,0.1521,0.0521,0.1575,0.1102,0.187,daily
4,23,acelamed,pet,0.1356,0.0481,0.1339,0.1083,0.1614,daily
4,24,acelamed,pet,0.1355,0.0551,0.126,0.1024,0.1516,daily
4,25,acelamed,pet,0.133,0.0509,0.1299,0.1024,0.1614,daily
4,26,acelamed,pet,0.1341,0.054,0.1378,0.0906,0.1791,daily
4,27,acelamed,pet,0.1431,0.0605,0.1339,0.0945,0.1909,daily
4,28,acelamed,pet,0.1525,0.0587,0.1575,0.1024,0.1949,daily
4,29,acelamed,pet,0.1382,0.0569,0.1339,0.0846,0.187,daily
4,30,acelamed,pet,0.1339,0.061,0.126,0.0846,0.1654,daily
5,1,acelamed,pet,0.1416,0.0416,0.1378,0.1102,0.1732,daily
5,2,acelamed,pet,0.1483,0.0471,0.1496,0.1043,0.1791,daily
5,3,acelamed,pet,0.1595,0.0423,0.1614,0.1398,0.185,daily
5,4,acelamed,pet,0.1623,0.0436,0.1575,0.1319,0.1949,daily
5,5,acelamed,pet,0.1614,0.0509,0.1732,0.1299,0.189,daily
5,6,acelamed,pet,0.1624,0.0523,0.1732,0.1319,0.1969,daily
5,7,acelamed,pet,0.1524,0.0527,0.1575,0.1142,0.1929,daily
5,8,acelamed,pet,0.1452,0.053,0.1378,0.1004,0.1929,daily
5,9,acelamed,pet,0.1398,0.0544,0.1417,0.0984,0.1772,daily
5,10,acelamed,pet,0.14,0.0577,0.1299,0.1004,0.1752,daily
5,11,acelamed,pet,0.1436,0.048,0.1535,0.1102,0.1752,daily
5,12,acelamed,pet,0.1553,0.0602,0.1535,0.1102,0.1969,daily
5,13,acelamed,pet,0.1728,0.0577,0.1693,0.1319,0.2087,daily
5,14,acelamed,pet,0.1805,0.0453,0.1732,0.1476,0.1988,daily
5,15,acelamed,pet,0.1802,0.044,0.189,0.1516,0.2067,daily
5,16,acelamed,pet,0.1825,0.047,0.185,0.1516,0.2126,daily
5,17,acelamed,pet,0.181,0.0649,0.1929,0.1496,0.2303,daily
5,18,acelamed,pet,0.1838,0.0677,0.1772,0.1457,0.2244,daily
5,19,acelamed,pet,0.1758,0.0592,0.1693,0.1496,0.2185,daily
5,20,acelamed,pet,0.1854,0.0486,0.189,0.1713,0.2106,daily
5,21,acelamed,pet,0.1805,0.0623,0.185,0.1535,0.2224,daily
5,22,acelamed,pet,0.1717,0.0562,0.1732,0.1417,0.2047,daily
5,23,acelamed,pet,0.1665,0.053,0.1772,0.1358,0.2008,daily
5,24,acelamed,pet,0.1582,0.0661,0.1614,0.0945,0.2067,daily
5,25,acelamed,pet,0.1675,0.053900000000000003,0.1732,0.122,0.2165,daily
5,26,acelamed,pet,0.1761,0.0663,0.1811,0.1437,0.2244,daily
5,27,acelamed,pet,0.1735,0.0573,0.1929,0.1299,0.2165,daily
5,28,acelamed,pet,0.1866,0.0487,0.185,0.1535,0.2185,daily
5,29,acelamed,pet,0.1868,0.0511,0.1929,0.1713,0.2126,daily
5,30,acelamed,pet,0.1803,0.0562,0.1969,0.1713,0.2106,daily
5,31,acelamed,pet,0.1906,0.0607,0.2047,0.1732,0.2244,daily
6,1,acelamed,pet,0.1913,0.0444,0.1969,0.1634,0.2244,daily
6,2,acelamed,pet,0.199,0.045,0.2008,0.1772,0.2264,daily
6,3,acelamed,pet,0.1975,0.0513,0.1929,0.1673,0.2343,daily
6,4,acelamed,pet,0.1993,0.0552,0.189,0.1732,0.2402,daily
6,5,acelamed,pet,0.2066,0.063,0.2126,0.1713,0.2421,daily
6,6,acelamed,pet,0.1985,0.0663,0.2087,0.1555,0.2421,daily
6,7,acelamed,pet,0.1816,0.0631,0.189,0.1358,0.2343,daily
6,8,acelamed,pet,0.1905,0.0733,0.2047,0.1575,0.2343,daily
6,9,acelamed,pet,0.204,0.0595,0.2087,0.1673,0.2559,daily
6,10,acelamed,pet,0.2008,0.0476,0.1969,0.1732,0.2205,daily
6,11,acelamed,pet,0.1999,0.0455,0.1969,0.1713,0.2283,daily
6,12,acelamed,pet,0.209,0.0503,0.2087,0.185,0.2283,daily
6,13,acelamed,pet,0.2184,0.0528,0.2165,0.2008,0.2402,daily
6,14,acelamed,pet,0.2054,0.0508,0.2047,0.1732,0.2303,daily
6,15,acelamed,pet,0.2093,0.0585,0.2087,0.1713,0.2264,daily
6,16,acelamed,pet,0.2037,0.0525,0.2008,0.1634,0.2402,daily
6,17,acelamed,pet,0.2002,0.0599,0.2047,0.1614,0.2283,daily
6,18,acelamed,pet,0.2093,0.0485,0.2165,0.189,0.2382,daily
6,19,acelamed,pet,0.2209,0.0424,0.2165,0.1949,0.2402,daily
6,20,acelamed,pet,0.2188,0.0399,0.2244,0.1969,0.252,daily
6,21,acelamed,pet,0.2361,0.0459,0.2283,0.2067,0.2579,daily
6,22,acelamed,pet,0.2242,0.0464,0.2323,0.189,0.248,daily
6,23,acelamed,pet,0.2348,0.0457,0.2323,0.2067,0.2618,daily
6,24,acelamed,pet,0.2328,0.0485,0.2362,0.2146,0.2638,daily
6,25,acelamed,pet,0.2344,0.0473,0.2283,0.2067,0.2618,daily
6,26,acelamed,pet,0.2423,0.0479,0.2283,0.2106,0.2697,daily
6,27,acelamed,pet,0.2396,0.0459,0.248,0.2146,0.2638,daily
6,28,acelamed,pet,0.2314,0.0438,0.2362,0.2146,0.2579,daily
6,29,acelamed,pet,0.2527,0.0622,0.248,0.2244,0.2894,daily
6,30,acelamed,pet,0.2468,0.0512,0.252,0.2106,0.2795,daily
7,1,acelamed,pet,0.2432,0.0549,0.2402,0.2185,0.2657,daily
7,2,acelamed,pet,0.2478,0.0462,0.2441,0.2264,0.2677,daily
7,3,acelamed,pet,0.243,0.0601,0.2559,0.2028,0.2795,daily
7,4,acelamed,pet,0.2456,0.0474,0.248,0.2224,0.2815,daily
7,5,acelamed,pet,0.2466,0.0622,0.248,0.2264,0.2874,daily
7,6,acelamed,pet,0.2376,0.0527,0.2441,0.2185,0.2717,daily
7,7,acelamed,pet,0.2536,0.0417,0.2559,0.2283,0.2776,daily
7,8,acelamed,pet,0.2576,0.0476,0.2441,0.2224,0.2913,daily
7,9,acelamed,pet,0.2612,0.042,0.2638,0.2421,0.2835,daily
7,10,acelamed,pet,0.2539,0.0428,0.2598,0.2323,0.2815,daily
7,11,acelamed,pet,0.2535,0.0515,0.248,0.2283,0.2874,daily
7,12,acelamed,pet,0.2593,0.0459,0.2638,0.2362,0.2854,daily
7,13,acelamed,pet,0.2697,0.0426,0.2756,0.2382,0.2992,daily
7,14,acelamed,pet,0.2687,0.044,0.2638,0.2343,0.311,daily
7,15,acelamed,pet,0.2677,0.0481,0.2677,0.2362,0.2972,daily
7,16,acelamed,pet,0.2677,0.0584,0.2677,0.2205,0.3051,daily
