month,day,station,variable,mean,std_dev,median,q25,q75,type
1,1,acelodge,tmmn,9.8994,13.4379,13.1,-0.94,17.24,daily
1,2,acelodge,tmmn,10.9545,10.4206,11.39,4.01,17.78,daily
1,3,acelodge,tmmn,12.1332,12.7367,15.53,2.84,21.83,daily
1,4,acelodge,tmmn,10.9661,12.8707,14.63,0.68,21.83,daily
1,5,acelodge,tmmn,11.8313,14.8062,14.99,5.27,23,daily
1,6,acelodge,tmmn,9.5842,14.7724,14.63,-2.47,19.67,daily
1,7,acelodge,tmmn,13.161,11.5238,15.17,7.07,18.59,daily
1,8,acelodge,tmmn,14.4035,11.126,16.61,7.79,20.48,daily
1,9,acelodge,tmmn,12.8706,10.8631,15.35,5.63,20.57,daily
1,10,acelodge,tmmn,12.29,12.9669,17.87,0.77,22.19,daily
1,11,acelodge,tmmn,11.5468,14.2141,14.27,2.12,20.93,daily
1,12,acelodge,tmmn,11.7558,14.397,17.69,2.57,22.73,daily
1,13,acelodge,tmmn,13.2655,14.9921,19.31,3.2,23.99,daily
1,14,acelodge,tmmn,12.499,12.9129,15.71,3.56,22.91,daily
1,15,acelodge,tmmn,13.161,11.6096,14.81,7.7,20.93,daily
1,16,acelodge,tmmn,12.1216,11.4114,13.91,6.62,21.83,daily
1,17,acelodge,tmmn,12.9055,10.7999,14.81,7.07,20.75,daily
1,18,acelodge,tmmn,15.4719,10.6584,18.59,10.85,23.09,daily
1,19,acelodge,tmmn,17.2777,8.6693,18.95,11.57,23.45,daily
1,20,acelodge,tmmn,16.5984,8.5257,17.51,13.82,20.57,daily
1,21,acelodge,tmmn,15.5706,8.5535,18.05,13.1,20.3,daily
1,22,acelodge,tmmn,13.9158,8.3968,14.99,12.56,19.04,daily
1,23,acelodge,tmmn,13.8926,8.7598,13.19,9.14,19.49,daily
1,24,acelodge,tmmn,14.9552,11.407,14.81,6.44,24.53,daily
1,25,acelodge,tmmn,15.1235,11.8392,18.41,7.25,23.72,daily
1,26,acelodge,tmmn,15.1816,11.872,19.31,6.08,23.72,daily
1,27,acelodge,tmmn,15.1061,12.4267,17.33,8.96,24.89,daily
1,28,acelodge,tmmn,13.939,11.7844,14.81,9.05,22.64,daily
1,29,acelodge,tmmn,14.7519,12.2185,19.31,9.95,21.92,daily
1,30,acelodge,tmmn,14.8448,11.5274,18.59,7.43,23.63,daily
1,31,acelodge,tmmn,15.6461,10.9648,14.63,9.05,23.72,daily
2,1,acelodge,tmmn,15.3558,13.2941,17.15,11.03,23.72,daily
2,2,acelodge,tmmn,14.6765,13.0591,19.85,10.67,23.81,daily
2,3,acelodge,tmmn,12.5455,11.7539,15.35,9.14,21.38,daily
2,4,acelodge,tmmn,14.3106,11.4284,16.61,8.06,23.54,daily
2,5,acelodge,tmmn,16.5461,11.7849,19.85,12.11,23.27,daily
2,6,acelodge,tmmn,14.9726,13.5861,20.75,8.51,23.27,daily
2,7,acelodge,tmmn,13.0332,14.1764,15.17,5.18,23.09,daily
2,8,acelodge,tmmn,12.4642,14.4301,16.97,-2.74,24.71,daily
2,9,acelodge,tmmn,12.1855,14.7723,13.55,0.41,22.91,daily
2,10,acelodge,tmmn,11.5584,11.1923,12.29,7.88,17.15,daily
2,11,acelodge,tmmn,11.8719,10.7659,12.29,5.9,19.94,daily
2,12,acelodge,tmmn,12.9984,12.499,14.45,9.32,21.83,daily
2,13,acelodge,tmmn,15.2106,13.6552,19.67,9.86,23.99,daily
2,14,acelodge,tmmn,14.7926,13.2473,18.59,7.97,23.09,daily
2,15,acelodge,tmmn,14.3223,11.5693,16.43,8.78,24.17,daily
2,16,acelodge,tmmn,17.8816,11.8845,21.65,14.63,25.7,daily
2,17,acelodge,tmmn,17.4287,13.2549,21.47,13.19,26.06,daily
2,18,acelodge,tmmn,16.7203,13.6466,19.49,10.58,26.69,daily
2,19,acelodge,tmmn,16.07,13.2498,20.93,11.75,24.98,daily
2,20,acelodge,tmmn,16.1339,12.4983,18.77,8.51,25.16,daily
2,21,acelodge,tmmn,15.7565,12.2571,18.77,9.68,22.91,daily
2,22,acelodge,tmmn,16.819,12.7353,20.75,9.05,25.88,daily
2,23,acelodge,tmmn,14.8739,11.0885,19.13,7.25,21.92,daily
2,24,acelodge,tmmn,14.3861,12.6349,18.05,9.14,21.38,daily
2,25,acelodge,tmmn,13.4571,13.5482,14.81,5.54,23.36,daily
2,26,acelodge,tmmn,12.7952,11.6644,16.79,5.18,19.94,daily
2,27,acelodge,tmmn,14.63,10.5312,15.35,5.99,23.18,daily
2,28,acelodge,tmmn,15.5126,11.18,16.07,7.79,24.44,daily
2,29,acelodge,tmmn,20.6375,12.671,23.18,18.86,29.795,daily
3,1,acelodge,tmmn,15.3442,11.4516,16.07,12.65,22.82,daily
3,2,acelodge,tmmn,16.1339,12.4055,19.13,11.21,24.26,daily
3,3,acelodge,tmmn,18.979,11.4913,19.85,13.28,26.78,daily
3,4,acelodge,tmmn,20.1287,11.3525,21.47,15.26,28.31,daily
3,5,acelodge,tmmn,19.9255,10.4197,21.47,16.25,27.14,daily
3,6,acelodge,tmmn,19.281,9.7946,22.73,12.74,26.06,daily
3,7,acelodge,tmmn,18.7003,10.5734,18.77,12.2,27.14,daily
3,8,acelodge,tmmn,18.8397,11.1922,20.57,15.26,26.69,daily
3,9,acelodge,tmmn,19.5597,10.8108,22.55,15.53,26.33,daily
3,10,acelodge,tmmn,21.4061,10.3446,22.01,16.52,30.47,daily
3,11,acelodge,tmmn,23.3861,10.545,25.61,18.68,30.11,daily
3,12,acelodge,tmmn,24.141,8.2634,25.97,18.5,28.76,daily
3,13,acelodge,tmmn,24.5532,7.414,25.25,21.2,29.75,daily
3,14,acelodge,tmmn,25.221,7.9053,25.79,21.29,30.11,daily
3,15,acelodge,tmmn,26.33,9.0108,26.69,21.11,31.19,daily
3,16,acelodge,tmmn,25.6216,7.4483,26.69,19.31,31.82,daily
3,17,acelodge,tmmn,25.9061,6.6713,28.31,20.84,30.65,daily
