month,day,station,variable,mean,std_dev,median,q25,q75,type
1,1,aceloman,pet,0.0313,0.0183,0.0295,0.0197,0.0404,daily
1,2,aceloman,pet,0.0359,0.0249,0.0315,0.0197,0.0433,daily
1,3,aceloman,pet,0.0338,0.0313,0.0197,0.0118,0.0492,daily
1,4,aceloman,pet,0.0358,0.0283,0.0315,0.0118,0.0551,daily
1,5,aceloman,pet,0.0354,0.0296,0.0236,0.0118,0.0492,daily
1,6,aceloman,pet,0.0356,0.0251,0.0315,0.0118,0.0551,daily
1,7,aceloman,pet,0.0302,0.0195,0.0276,0.0157,0.0433,daily
1,8,aceloman,pet,0.0323,0.0275,0.0276,0.0118,0.0394,daily
1,9,aceloman,pet,0.0318,0.0216,0.0276,0.0157,0.0453,daily
1,10,aceloman,pet,0.0354,0.0239,0.0354,0.0157,0.0531,daily
1,11,aceloman,pet,0.0359,0.0255,0.0276,0.0197,0.0512,daily
1,12,aceloman,pet,0.0353,0.0265,0.0315,0.0157,0.0531,daily
1,13,aceloman,pet,0.0391,0.0295,0.0354,0.0197,0.0512,daily
1,14,aceloman,pet,0.0309,0.0187,0.0236,0.0177,0.0472,daily
1,15,aceloman,pet,0.0366,0.0236,0.0276,0.0197,0.0512,daily
1,16,aceloman,pet,0.0324,0.0175,0.0354,0.0197,0.0472,daily
1,17,aceloman,pet,0.0366,0.0221,0.0354,0.0197,0.0472,daily
1,18,aceloman,pet,0.0368,0.0209,0.0354,0.0217,0.0512,daily
1,19,aceloman,pet,0.0411,0.0228,0.0394,0.0236,0.0551,daily
1,20,aceloman,pet,0.0376,0.0212,0.0354,0.0217,0.0531,daily
1,21,aceloman,pet,0.0358,0.0179,0.0315,0.0197,0.0472,daily
1,22,aceloman,pet,0.0363,0.0177,0.0354,0.0217,0.0512,daily
1,23,aceloman,pet,0.0371,0.0184,0.0354,0.0217,0.0472,daily
1,24,aceloman,pet,0.0391,0.0273,0.0276,0.0177,0.061,daily
1,25,aceloman,pet,0.0422,0.0258,0.0354,0.0236,0.061,daily
1,26,aceloman,pet,0.0399,0.025,0.0394,0.0217,0.0492,daily
1,27,aceloman,pet,0.0429,0.0232,0.0433,0.0236,0.0591,daily
1,28,aceloman,pet,0.0432,0.0245,0.0394,0.0236,0.0551,daily
1,29,aceloman,pet,0.041,0.0289,0.0354,0.0197,0.0531,daily
1,30,aceloman,pet,0.0481,0.0284,0.0472,0.0236,0.0669,daily
1,31,aceloman,pet,0.045,0.0291,0.0394,0.0236,0.063,daily
2,1,aceloman,pet,0.0478,0.0357,0.0354,0.0197,0.0669,daily
2,2,aceloman,pet,0.0434,0.0296,0.0354,0.0217,0.061,daily
2,3,aceloman,pet,0.0363,0.0267,0.0315,0.0197,0.0492,daily
2,4,aceloman,pet,0.0399,0.0248,0.0394,0.0217,0.0512,daily
2,5,aceloman,pet,0.039,0.0236,0.0354,0.0217,0.0551,daily
2,6,aceloman,pet,0.0376,0.0245,0.0354,0.0236,0.0531,daily
2,7,aceloman,pet,0.0358,0.024,0.0354,0.0177,0.0512,daily
2,8,aceloman,pet,0.0347,0.0264,0.0315,0.0138,0.0453,daily
2,9,aceloman,pet,0.041,0.0246,0.0394,0.0276,0.0531,daily
