month,day,station,variable,mean,std_dev,median,q25,q75,type
1,1,acelorin,tmmn,1.6925,15.1863,4.01,-4.045,12.56,daily
1,2,acelorin,tmmn,2.3377,13.7389,-0.31,-6.34,12.92,daily
1,3,acelorin,tmmn,2.6223,16.289,1.49,-11.65,16.07,daily
1,4,acelorin,tmmn,1.6758,17.269,1.67,-12.19,18.86,daily
1,5,acelorin,tmmn,3.5745,16.1722,8.15,-9.13,16.79,daily
1,6,acelorin,tmmn,2.2913,17.6212,5.27,-15.07,15.89,daily
1,7,acelorin,tmmn,3.4874,14.3575,8.33,-7.96,12.83,daily
1,8,acelorin,tmmn,4.5616,12.5101,7.25,-6.79,12.74,daily
1,9,acelorin,tmmn,1.8906,13.8422,3.83,-8.5,13.91,daily
1,10,acelorin,tmmn,2.1868,14.9821,1.13,-7.6,14.45,daily
1,11,acelorin,tmmn,2.0997,16.9296,8.87,-11.38,15.17,daily
1,12,acelorin,tmmn,0.9732,16.4296,5.27,-14.89,12.38,daily
1,13,acelorin,tmmn,2.6339,16.515,5.09,-9.4,15.89,daily
1,14,acelorin,tmmn,1.7223,15.8239,1.49,-7.6,14.45,daily
1,15,acelorin,tmmn,2.2158,15.8697,1.49,-6.43,13.64,daily
1,16,acelorin,tmmn,3.1623,14.7345,3.83,-7.33,16.52,daily
1,17,acelorin,tmmn,4.3177,13.1217,7.61,-6.07,14.18,daily
1,18,acelorin,tmmn,5.1945,14.2389,5.81,-2.2,16.25,daily
1,19,acelorin,tmmn,7.401,13.5914,11.21,-2.02,18.86,daily
1,20,acelorin,tmmn,6.6113,12.059,9.41,-2.92,15.8,daily
1,21,acelorin,tmmn,6.5881,10.4321,9.77,1.76,14.72,daily
1,22,acelorin,tmmn,6.9481,11.0533,7.07,1.67,14.81,daily
1,23,acelorin,tmmn,6.0481,12.2436,7.61,-2.2,16.97,daily
1,24,acelorin,tmmn,5.7635,14.291,6.71,-1.48,16.34,daily
1,25,acelorin,tmmn,4.579,14.0432,4.73,-3.46,14.27,daily
1,26,acelorin,tmmn,5.6068,14.6754,6.35,-3.1,17.87,daily
1,27,acelorin,tmmn,7.221,16.5594,13.37,3.92,17.24,daily
1,28,acelorin,tmmn,3.9752,15.1647,5.99,-3.64,14.99,daily
1,29,acelorin,tmmn,3.3829,16.981,5.63,-4.9,13.55,daily
1,30,acelorin,tmmn,7.1513,17.1833,13.55,-1.39,18.86,daily
1,31,acelorin,tmmn,6.6287,15.9223,8.69,-6.16,19.94,daily
2,1,acelorin,tmmn,5.5952,16.9562,7.97,-5.71,20.12,daily
2,2,acelorin,tmmn,6.8842,14.8301,7.97,-1.12,18.68,daily
2,3,acelorin,tmmn,4.4165,14.8688,7.61,-4.36,14.36,daily
2,4,acelorin,tmmn,4.5674,14.3447,8.87,-4.45,14.36,daily
2,5,acelorin,tmmn,7.4184,12.6883,7.97,4.19,16.34,daily
2,6,acelorin,tmmn,5.8332,15.7587,9.41,-0.94,16.97,daily
2,7,acelorin,tmmn,2.6048,17.4346,5.99,-6.97,13.28,daily
2,8,acelorin,tmmn,2.6048,17.4614,8.87,-11.65,16.34,daily
2,9,acelorin,tmmn,2.8545,15.757,6.89,-12.73,14.99,daily
2,10,acelorin,tmmn,3.5977,13.4222,6.35,-3.91,12.29,daily
2,11,acelorin,tmmn,2.4481,14.0321,4.01,-4.72,12.38,daily
2,12,acelorin,tmmn,4.1552,15.2696,7.07,-2.11,13.82,daily
2,13,acelorin,tmmn,7.221,15.2555,8.69,-3.01,20.39,daily
2,14,acelorin,tmmn,6.9306,15.169,10.85,-2.92,17.6,daily
2,15,acelorin,tmmn,7.0352,11.9514,7.43,-2.2,18.5,daily
2,16,acelorin,tmmn,9.4913,13.6469,12.83,0.95,19.04,daily
2,17,acelorin,tmmn,8.4055,14.4484,12.47,-0.13,18.32,daily
2,18,acelorin,tmmn,7.4358,15.3409,9.05,-4.63,21.47,daily
2,19,acelorin,tmmn,8.6958,14.4149,7.43,-0.67,21.2,daily
2,20,acelorin,tmmn,8.6319,14.198,7.79,-1.3,19.67,daily
2,21,acelorin,tmmn,8.2894,14.2235,11.75,-4.81,18.5,daily
2,22,acelorin,tmmn,9.6365,15.1572,11.39,-3.01,21.92,daily
2,23,acelorin,tmmn,7.7435,14.4778,11.21,-1.84,20.03,daily
2,24,acelorin,tmmn,6.2571,15.2646,12.65,-0.31,16.43,daily
2,25,acelorin,tmmn,5.1597,16.4919,9.77,-7.15,18.23,daily
2,26,acelorin,tmmn,4.5732,14.9313,7.97,-6.43,15.26,daily
2,27,acelorin,tmmn,8.1035,12.6369,5.63,-0.94,19.4,daily
2,28,acelorin,tmmn,8.0106,11.6483,6.89,1.67,14.18,daily
2,29,acelorin,tmmn,11.615,14.7596,14.99,7.16,22.595,daily
3,1,acelorin,tmmn,7.3661,13.0373,12.29,-2.65,15.71,daily
3,2,acelorin,tmmn,9.8571,13.9026,11.03,3.74,21.11,daily
3,3,acelorin,tmmn,12.5106,13.0237,13.55,3.56,23.27,daily
3,4,acelorin,tmmn,13.4687,13.0829,15.53,3.65,24.08,daily
3,5,acelorin,tmmn,10.5365,13.3823,11.39,1.85,22.1,daily
3,6,acelorin,tmmn,11.1345,14.3309,12.83,-1.93,22.64,daily
3,7,acelorin,tmmn,11.1752,13.3539,13.19,1.4,21.29,daily
3,8,acelorin,tmmn,11.7035,14.4788,14.63,4.46,21.83,daily
3,9,acelorin,tmmn,13.1958,14.2492,16.43,3.74,24.44,daily
3,10,acelorin,tmmn,15.0539,12.7779,18.41,7.88,24.08,daily
3,11,acelorin,tmmn,16.2848,13.6113,18.23,7.7,26.42,daily
3,12,acelorin,tmmn,18.3287,12.4767,19.67,8.69,28.94,daily
3,13,acelorin,tmmn,18.6074,9.5435,20.57,12.29,26.42,daily
3,14,acelorin,tmmn,19.4261,9.5157,19.13,12.74,26.42,daily
3,15,acelorin,tmmn,20.1229,9.4619,21.11,14.36,28.04,daily
3,16,acelorin,tmmn,20.4016,9.4302,21.29,14.81,27.5,daily
3,17,acelorin,tmmn,20.4655,10.1091,23.27,16.43,27.68,daily
3,18,acelorin,tmmn,21.1797,9.6519,23.63,14.27,27.86,daily
3,19,acelorin,tmmn,21.9345,10.3088,25.07,20.03,28.85,daily
3,20,acelorin,tmmn,21.3713,9.3522,21.47,18.77,28.04,daily
3,21,acelorin,tmmn,21.7894,9.6077,23.63,19.04,28.85,daily
3,22,acelorin,tmmn,22.6023,9.3511,24.89,18.23,28.22,daily
3,23,acelorin,tmmn,21.4352,9.1323,22.91,15.35,27.32,daily
3,24,acelorin,tmmn,21.5281,10.6381,24.71,16.61,27.68,daily
3,25,acelorin,tmmn,19.6932,11.7945,20.93,15.53,26.42,daily
3,26,acelorin,tmmn,22.1145,9.463,22.55,14.72,27.77,daily
3,27,acelorin,tmmn,23.2294,8.6431,24.53,17.51,28.67,daily
3,28,acelorin,tmmn,24.1352,7.5182,25.25,21.65,29.66,daily
3,29,acelorin,tmmn,23.9145,7.0646,23.09,19.31,29.75,daily
3,30,acelorin,tmmn,23.7403,8.5124,24.89,16.79,30.56,daily
3,31,acelorin,tmmn,22.5616,9.8868,23.63,16.61,28.85,daily
4,1,acelorin,tmmn,23.3165,10.2479,25.25,19.49,28.85,daily
4,2,acelorin,tmmn,23.6881,9.3775,24.89,18.68,30.29,daily
4,3,acelorin,tmmn,23.1539,8.6075,24.71,19.13,27.41,daily
4,4,acelorin,tmmn,23.601,8.3534,22.37,19.67,29.12,daily
4,5,acelorin,tmmn,25.3255,9.2876,23.27,21.29,32.81,daily
4,6,acelorin,tmmn,25.6797,8.8572,26.69,22.55,31.91,daily
4,7,acelorin,tmmn,25.3719,8.0519,27.05,22.1,30.11,daily
4,8,acelorin,tmmn,25.2616,8.1244,27.05,20.48,29.75,daily
4,9,acelorin,tmmn,25.6506,8.772,26.33,20.66,30.83,daily
4,10,acelorin,tmmn,25.6565,7.3667,27.59,20.12,31.01,daily
4,11,acelorin,tmmn,25.0932,7.3876,26.51,21.92,29.75,daily
4,12,acelorin,tmmn,27.0384,8.9423,27.77,24.35,32.09,daily
4,13,acelorin,tmmn,27.799,9.323,28.31,23.81,34.34,daily
4,14,acelorin,tmmn,28.7571,7.3567,29.93,25.25,33.71,daily
4,15,acelorin,tmmn,27.3171,7.0925,27.95,22.64,32.45,daily
4,16,acelorin,tmmn,27.5494,7.6924,28.31,22.82,32.54,daily
4,17,acelorin,tmmn,30.6848,6.9449,31.37,26.06,34.25,daily
4,18,acelorin,tmmn,31.3526,7.0225,31.19,29.21,36.59,daily
4,19,acelorin,tmmn,31.2248,6.8719,31.91,27.23,35.33,daily
4,20,acelorin,tmmn,29.3784,7.5049,29.39,25.25,34.07,daily
4,21,acelorin,tmmn,31.2423,7.5861,32.99,26.15,36.59,daily
4,22,acelorin,tmmn,33.4603,7.3268,34.79,30.47,38.12,daily
4,23,acelorin,tmmn,32.4442,7.8008,32.63,28.76,37.76,daily
4,24,acelorin,tmmn,32.9958,8.0851,33.17,27.68,38.03,daily
4,25,acelorin,tmmn,32.0784,6.75,31.37,28.04,36.77,daily
4,26,acelorin,tmmn,33.1177,6.0188,33.53,29.48,36.95,daily
4,27,acelorin,tmmn,33.5648,6.7101,33.89,30.11,37.85,daily
4,28,acelorin,tmmn,33.6287,7.1798,33.17,28.94,36.86,daily
4,29,acelorin,tmmn,34.5694,7.0256,35.33,30.11,38.84,daily
4,30,acelorin,tmmn,34.1629,7.8701,34.79,28.04,38.48,daily
5,1,acelorin,tmmn,34.0816,5.8617,34.25,31.19,37.85,daily
5,2,acelorin,tmmn,32.9203,5.3592,32.27,29.39,36.32,daily
5,3,acelorin,tmmn,34.1977,5.7478,33.35,29.57,38.84,daily
5,4,acelorin,tmmn,36.0152,5.6927,36.41,33.17,39.02,daily
5,5,acelorin,tmmn,35.7771,6.117,34.79,31.37,39.56,daily
5,6,acelorin,tmmn,36.0558,6.658,34.97,30.83,39.38,daily
5,7,acelorin,tmmn,36.2706,7.1016,37.31,31.64,39.47,daily
5,8,acelorin,tmmn,35.9513,6.3055,36.05,31.73,40.01,daily
5,9,acelorin,tmmn,36.2765,6.3641,37.49,32.36,39.56,daily
5,10,acelorin,tmmn,35.0571,5.7055,35.51,30.29,38.66,daily
5,11,acelorin,tmmn,34.2558,6.0944,32.99,30.47,37.13,daily
5,12,acelorin,tmmn,36.0965,6.5137,35.15,31.19,40.37,daily
5,13,acelorin,tmmn,36.4216,8.5501,35.51,30.92,41.9,daily
5,14,acelorin,tmmn,38.1984,7.5428,38.57,33.8,43.07,daily
5,15,acelorin,tmmn,39.2435,4.8976,39.47,37.22,42.44,daily
5,16,acelorin,tmmn,40.2132,6.0518,41.09,35.15,44.15,daily
5,17,acelorin,tmmn,40.6603,7.9359,42.17,35.42,46.58,daily
5,18,acelorin,tmmn,41.1481,7.1389,42.17,36.95,44.69,daily
5,19,acelorin,tmmn,41.8739,7.2493,41.27,37.31,46.31,daily
5,20,acelorin,tmmn,41.1132,6.3836,40.91,37.22,43.52,daily
5,21,acelorin,tmmn,41.781,5.2923,42.17,38.93,45.14,daily
5,22,acelorin,tmmn,41.4674,6.5844,42.53,37.13,46.67,daily
5,23,acelorin,tmmn,42.5532,6.6103,40.37,38.84,47.3,daily
5,24,acelorin,tmmn,41.2003,6.582,41.09,36.59,43.79,daily
5,25,acelorin,tmmn,41.0377,5.6294,40.37,39.02,44.24,daily
5,26,acelorin,tmmn,42.5765,5.9975,42.71,38.57,46.4,daily
5,27,acelorin,tmmn,42.019,5.5887,43.25,38.21,45.41,daily
5,28,acelorin,tmmn,42.4081,5.958,42.35,37.49,47.57,daily
5,29,acelorin,tmmn,42.2339,5.5529,42.53,39.29,46.4,daily
5,30,acelorin,tmmn,43.4532,5.1399,43.97,40.73,47.12,daily
5,31,acelorin,tmmn,44.2371,4.8689,43.79,40.64,48.47,daily
6,1,acelorin,tmmn,44.9106,4.7808,44.33,41.9,47.93,daily
6,2,acelorin,tmmn,45.1603,4.6382,45.41,42.17,48.83,daily
6,3,acelorin,tmmn,45.8339,6.3869,45.77,41.81,49.28,daily
6,4,acelorin,tmmn,46.6758,6.7227,46.13,41.18,51.8,daily
6,5,acelorin,tmmn,45.1081,5.9954,45.05,41,48.2,daily
6,6,acelorin,tmmn,46.2635,5.0434,48.29,41.54,49.64,daily
6,7,acelorin,tmmn,44.6552,6.0048,44.51,40.73,49.01,daily
6,8,acelorin,tmmn,45.2068,6.9028,43.97,40.55,50.72,daily
6,9,acelorin,tmmn,46.7106,7.0943,45.41,41.45,50.54,daily
6,10,acelorin,tmmn,44.9455,5.717,44.51,39.83,49.28,daily
6,11,acelorin,tmmn,45.5784,6.3072,44.69,40.28,49.73,daily
6,12,acelorin,tmmn,46.8558,5.5418,45.95,44.06,48.92,daily
6,13,acelorin,tmmn,48.7545,5.0376,47.93,45.41,52.25,daily
6,14,acelorin,tmmn,47.8197,5.3404,47.03,44.06,50.72,daily
6,15,acelorin,tmmn,46.6642,5.3545,47.75,42.44,49.28,daily
6,16,acelorin,tmmn,46.7455,5.8618,45.95,44.06,50.36,daily
6,17,acelorin,tmmn,47.8023,6.461,47.75,43.25,50.36,daily
6,18,acelorin,tmmn,47.4016,6.5353,46.67,43.52,53.24,daily
6,19,acelorin,tmmn,46.519,4.4306,47.03,44.78,49.19,daily
6,20,acelorin,tmmn,48.6152,5.5553,48.47,45.5,52.25,daily
6,21,acelorin,tmmn,48.7139,5.4139,47.39,44.24,52.07,daily
6,22,acelorin,tmmn,50.1597,5.9303,50.99,46.58,53.33,daily
6,23,acelorin,tmmn,50.2119,6.4131,50.63,46.76,53.78,daily
6,24,acelorin,tmmn,49.1203,5.9719,48.83,44.87,53.24,daily
6,25,acelorin,tmmn,49.7706,4.9633,49.55,45.95,53.33,daily
6,26,acelorin,tmmn,50.6068,5.3291,50.81,46.49,53.87,daily
6,27,acelorin,tmmn,49.7474,6.0426,50.45,44.24,54.32,daily
6,28,acelorin,tmmn,51.2687,5.521,51.53,46.94,54.14,daily
6,29,acelorin,tmmn,52.099,5.6055,51.89,49.82,56.12,daily
6,30,acelorin,tmmn,51.0248,5.5843,50.63,47.48,54.95,daily
7,1,acelorin,tmmn,50.9842,6.2712,51.53,45.95,54.77,daily
7,2,acelorin,tmmn,51.7216,5.415,51.53,46.67,56.75,daily
7,3,acelorin,tmmn,50.8216,4.5065,50.99,47.3,54.32,daily
7,4,acelorin,tmmn,50.5603,5.336,51.71,45.68,54.05,daily
7,5,acelorin,tmmn,51.3442,5.224,51.17,48.2,54.68,daily
7,6,acelorin,tmmn,51.4081,4.9595,51.71,48.47,55.31,daily
7,7,acelorin,tmmn,52.0294,5.7906,51.35,48.83,56.48,daily
7,8,acelorin,tmmn,52.401,4.8611,52.07,48.56,56.03,daily
7,9,acelorin,tmmn,52.6855,6.2098,52.07,49.01,57.11,daily
7,10,acelorin,tmmn,52.8829,5.8328,54.41,49.1,57.65,daily
7,11,acelorin,tmmn,51.6461,5.2091,51.35,48.47,54.14,daily
7,12,acelorin,tmmn,51.8203,5.0431,51.89,49.1,55.4,daily
7,13,acelorin,tmmn,53.5506,5.6438,53.51,49.91,57.47,daily
7,14,acelorin,tmmn,52.2094,6.3207,51.71,49.01,56.3,daily
7,15,acelorin,tmmn,52.5345,6.4948,52.43,46.67,57.11,daily
