month,day,station,variable,mean,std_dev,median,q25,q75,type
1,1,aceltshp,pet,0.0215,0.011,0.0197,0.0118,0.0276,daily
1,2,aceltshp,pet,0.0243,0.0144,0.0236,0.0157,0.0276,daily
1,3,aceltshp,pet,0.0225,0.0181,0.0157,0.0118,0.0295,daily
1,4,aceltshp,pet,0.025,0.0188,0.0236,0.0098,0.0335,daily
1,5,aceltshp,pet,0.0218,0.0147,0.0197,0.0079,0.0335,daily
1,6,aceltshp,pet,0.0235,0.014,0.0236,0.0118,0.0335,daily
1,7,aceltshp,pet,0.0197,0.0113,0.0197,0.0118,0.0256,daily
1,8,aceltshp,pet,0.0226,0.0184,0.0157,0.0118,0.0276,daily
1,9,aceltshp,pet,0.0237,0.0154,0.0197,0.0118,0.0354,daily
1,10,aceltshp,pet,0.0243,0.0156,0.0236,0.0118,0.0335,daily
1,11,aceltshp,pet,0.0236,0.0172,0.0197,0.0118,0.0315,daily
1,12,aceltshp,pet,0.0231,0.015,0.0197,0.0118,0.0295,daily
1,13,aceltshp,pet,0.0282,0.0226,0.0236,0.0157,0.0335,daily
1,14,aceltshp,pet,0.0224,0.0132,0.0197,0.0157,0.0276,daily
1,15,aceltshp,pet,0.0257,0.0173,0.0197,0.0157,0.0335,daily
1,16,aceltshp,pet,0.025,0.0138,0.0236,0.0157,0.0315,daily
1,17,aceltshp,pet,0.0254,0.0143,0.0236,0.0138,0.0354,daily
1,18,aceltshp,pet,0.0246,0.0142,0.0236,0.0118,0.0276,daily
1,19,aceltshp,pet,0.0291,0.0174,0.0276,0.0157,0.0413,daily
1,20,aceltshp,pet,0.0253,0.0148,0.0236,0.0157,0.0315,daily
1,21,aceltshp,pet,0.0255,0.0151,0.0236,0.0157,0.0295,daily
1,22,aceltshp,pet,0.0274,0.0156,0.0236,0.0197,0.0335,daily
1,23,aceltshp,pet,0.0268,0.0133,0.0236,0.0177,0.0354,daily
1,24,aceltshp,pet,0.0254,0.0159,0.0197,0.0157,0.0315,daily
1,25,aceltshp,pet,0.0264,0.0165,0.0236,0.0157,0.0335,daily
1,26,aceltshp,pet,0.0279,0.0177,0.0236,0.0157,0.0335,daily
1,27,aceltshp,pet,0.0293,0.0185,0.0276,0.0157,0.0335,daily
1,28,aceltshp,pet,0.0286,0.0166,0.0276,0.0177,0.0354,daily
1,29,aceltshp,pet,0.0282,0.0193,0.0236,0.0157,0.0335,daily
1,30,aceltshp,pet,0.0304,0.0173,0.0276,0.0157,0.0394,daily
1,31,aceltshp,pet,0.0293,0.0185,0.0236,0.0157,0.0413,daily
2,1,aceltshp,pet,0.0314,0.0257,0.0236,0.0118,0.0433,daily
2,2,aceltshp,pet,0.0296,0.0203,0.0236,0.0157,0.0354,daily
2,3,aceltshp,pet,0.022,0.0133,0.0197,0.0138,0.0295,daily
2,4,aceltshp,pet,0.023,0.0145,0.0197,0.0118,0.0315,daily
2,5,aceltshp,pet,0.026,0.0158,0.0236,0.0177,0.0315,daily
2,6,aceltshp,pet,0.0258,0.0154,0.0236,0.0157,0.0335,daily
2,7,aceltshp,pet,0.0245,0.0172,0.0236,0.0118,0.0315,daily
2,8,aceltshp,pet,0.0251,0.0171,0.0236,0.0118,0.0374,daily
2,9,aceltshp,pet,0.0304,0.0183,0.0276,0.0197,0.0394,daily
2,10,aceltshp,pet,0.0319,0.0198,0.0236,0.0197,0.0433,daily
2,11,aceltshp,pet,0.031,0.0175,0.0276,0.0197,0.0374,daily
2,12,aceltshp,pet,0.0328,0.0222,0.0236,0.0197,0.0433,daily
2,13,aceltshp,pet,0.0384,0.023,0.0354,0.0197,0.0531,daily
2,14,aceltshp,pet,0.0366,0.0237,0.0354,0.0177,0.0492,daily
2,15,aceltshp,pet,0.0373,0.0298,0.0315,0.0177,0.0472,daily
2,16,aceltshp,pet,0.0376,0.0294,0.0315,0.0217,0.0433,daily
2,17,aceltshp,pet,0.0373,0.0231,0.0315,0.0217,0.0472,daily
2,18,aceltshp,pet,0.0345,0.02,0.0276,0.0197,0.0433,daily
2,19,aceltshp,pet,0.0456,0.0323,0.0394,0.0236,0.0531,daily
2,20,aceltshp,pet,0.0467,0.0287,0.0394,0.0295,0.0551,daily
2,21,aceltshp,pet,0.0453,0.0289,0.0354,0.0256,0.0689,daily
2,22,aceltshp,pet,0.0457,0.0325,0.0354,0.0217,0.0591,daily
2,23,aceltshp,pet,0.0417,0.0237,0.0354,0.0236,0.0571,daily
2,24,aceltshp,pet,0.04,0.0222,0.0354,0.0276,0.0492,daily
2,25,aceltshp,pet,0.0362,0.0228,0.0315,0.0236,0.0433,daily
2,26,aceltshp,pet,0.0396,0.0213,0.0315,0.0256,0.0472,daily
2,27,aceltshp,pet,0.0394,0.0272,0.0315,0.0236,0.0433,daily
2,28,aceltshp,pet,0.0406,0.0251,0.0315,0.0236,0.0512,daily
2,29,aceltshp,pet,0.0586,0.0373,0.0472,0.0305,0.0758,daily
3,1,aceltshp,pet,0.0404,0.0225,0.0315,0.0276,0.0531,daily
3,2,aceltshp,pet,0.0415,0.0238,0.0394,0.0236,0.0512,daily
3,3,aceltshp,pet,0.046,0.0229,0.0394,0.0276,0.063,daily
3,4,aceltshp,pet,0.0481,0.0276,0.0394,0.0315,0.0551,daily
3,5,aceltshp,pet,0.0513,0.03,0.0394,0.0276,0.0709,daily
3,6,aceltshp,pet,0.0511,0.0357,0.0394,0.0236,0.0591,daily
3,7,aceltshp,pet,0.0498,0.0253,0.0472,0.0276,0.0669,daily
3,8,aceltshp,pet,0.0537,0.0261,0.0551,0.0295,0.0748,daily
3,9,aceltshp,pet,0.0588,0.0352,0.0551,0.0335,0.0827,daily
3,10,aceltshp,pet,0.0627,0.0377,0.0551,0.0354,0.0906,daily
3,11,aceltshp,pet,0.0667,0.0329,0.0551,0.0492,0.0807,daily
3,12,aceltshp,pet,0.0759,0.0361,0.0669,0.0551,0.0984,daily
3,13,aceltshp,pet,0.0767,0.0341,0.0709,0.0512,0.1004,daily
3,14,aceltshp,pet,0.0726,0.0314,0.0709,0.0492,0.1024,daily
3,15,aceltshp,pet,0.0762,0.0321,0.0787,0.0531,0.1024,daily
3,16,aceltshp,pet,0.074,0.0345,0.0669,0.0512,0.1063,daily
3,17,aceltshp,pet,0.0742,0.0287,0.0709,0.0531,0.0866,daily
3,18,aceltshp,pet,0.0766,0.0338,0.0669,0.0512,0.1122,daily
3,19,aceltshp,pet,0.0799,0.0347,0.0787,0.0531,0.1043,daily
3,20,aceltshp,pet,0.0862,0.0271,0.0827,0.0669,0.1063,daily
3,21,aceltshp,pet,0.0897,0.0371,0.0906,0.0669,0.1122,daily
3,22,aceltshp,pet,0.0834,0.0321,0.0866,0.0571,0.1083,daily
3,23,aceltshp,pet,0.0864,0.0415,0.0787,0.0492,0.1299,daily
3,24,aceltshp,pet,0.0869,0.0417,0.0906,0.0492,0.1161,daily
3,25,aceltshp,pet,0.0856,0.0381,0.0787,0.0571,0.1083,daily
3,26,aceltshp,pet,0.0953,0.0405,0.0906,0.063,0.126,daily
3,27,aceltshp,pet,0.0964,0.0383,0.1024,0.0689,0.1161,daily
3,28,aceltshp,pet,0.0936,0.0445,0.0906,0.0591,0.1181,daily
3,29,aceltshp,pet,0.0941,0.0371,0.0906,0.063,0.1201,daily
3,30,aceltshp,pet,0.0953,0.0439,0.0906,0.065,0.1181,daily
3,31,aceltshp,pet,0.0874,0.0463,0.0787,0.0512,0.1024,daily
4,1,aceltshp,pet,0.0885,0.0411,0.0906,0.0571,0.1122,daily
4,2,aceltshp,pet,0.0925,0.0433,0.0827,0.063,0.1161,daily
4,3,aceltshp,pet,0.0958,0.0439,0.0984,0.0551,0.1201,daily
4,4,aceltshp,pet,0.1058,0.045,0.1063,0.0689,0.1378,daily
4,5,aceltshp,pet,0.1021,0.0347,0.1024,0.0787,0.124,daily
4,6,aceltshp,pet,0.0973,0.0338,0.0945,0.0669,0.126,daily
4,7,aceltshp,pet,0.109,0.0385,0.0984,0.0906,0.1201,daily
4,8,aceltshp,pet,0.1083,0.0478,0.1181,0.0669,0.1299,daily
4,9,aceltshp,pet,0.1017,0.0466,0.0984,0.0669,0.124,daily
4,10,aceltshp,pet,0.1025,0.0383,0.0906,0.0768,0.126,daily
4,11,aceltshp,pet,0.1068,0.0418,0.1024,0.0807,0.1398,daily
4,12,aceltshp,pet,0.1064,0.0448,0.1024,0.065,0.1457,daily
4,13,aceltshp,pet,0.1227,0.0558,0.122,0.0689,0.1752,daily
4,14,aceltshp,pet,0.1222,0.0547,0.122,0.0906,0.1594,daily
4,15,aceltshp,pet,0.1107,0.0373,0.1181,0.0768,0.1437,daily
4,16,aceltshp,pet,0.1068,0.0385,0.1102,0.0787,0.1398,daily
4,17,aceltshp,pet,0.1299,0.0461,0.1339,0.1063,0.1555,daily
4,18,aceltshp,pet,0.1208,0.0465,0.122,0.0846,0.1575,daily
4,19,aceltshp,pet,0.1167,0.048,0.1181,0.0748,0.1476,daily
4,20,aceltshp,pet,0.1248,0.0312,0.1299,0.1004,0.1457,daily
4,21,aceltshp,pet,0.1335,0.0409,0.1299,0.1083,0.1634,daily
4,22,aceltshp,pet,0.149,0.0518,0.1535,0.124,0.1772,daily
4,23,aceltshp,pet,0.1264,0.0417,0.1299,0.0945,0.1555,daily
4,24,aceltshp,pet,0.1262,0.0466,0.1181,0.0984,0.1476,daily
4,25,aceltshp,pet,0.1247,0.044,0.126,0.1004,0.1516,daily
4,26,aceltshp,pet,0.1243,0.0467,0.122,0.0925,0.1713,daily
4,27,aceltshp,pet,0.1321,0.0581,0.1339,0.0945,0.1713,daily
4,28,aceltshp,pet,0.1422,0.0584,0.1496,0.0866,0.1791,daily
4,29,aceltshp,pet,0.1276,0.0546,0.126,0.0846,0.1811,daily
4,30,aceltshp,pet,0.1302,0.0592,0.126,0.0906,0.1634,daily
5,1,aceltshp,pet,0.1358,0.0476,0.1299,0.1122,0.1634,daily
5,2,aceltshp,pet,0.1425,0.0475,0.1378,0.1142,0.1732,daily
5,3,aceltshp,pet,0.1539,0.0454,0.1575,0.1378,0.1831,daily
5,4,aceltshp,pet,0.152,0.0465,0.1496,0.1102,0.2008,daily
