month,day,station,variable,mean,std_dev,median,q25,q75,type
1,1,aceltshp,rmin,51.1875,9.8428,52.2,44.85,58.15,daily
1,2,aceltshp,rmin,50.9323,12.7616,51.1,41.5,58.1,daily
1,3,aceltshp,rmin,53.5903,15.6449,50.2,43.65,57.6,daily
1,4,aceltshp,rmin,52.071,14.9478,48.7,43.45,57.6,daily
1,5,aceltshp,rmin,54.1548,12.0311,50.4,46.75,60.6,daily
1,6,aceltshp,rmin,52.8,14.2038,51.7,47.45,59,daily
1,7,aceltshp,rmin,57.7032,13.1172,57.7,50.85,62.05,daily
1,8,aceltshp,rmin,56.2742,13.8752,53.4,49.95,61.8,daily
1,9,aceltshp,rmin,54.0032,14.3194,55.5,43.1,61.6,daily
1,10,aceltshp,rmin,51.4161,15.2565,51.1,41.1,55.9,daily
1,11,aceltshp,rmin,52.9387,14.3506,51.5,45.75,59.7,daily
1,12,aceltshp,rmin,50.8387,10.2884,51.2,44.95,55.55,daily
1,13,aceltshp,rmin,49.9387,13.5196,50.3,40.05,56.95,daily
1,14,aceltshp,rmin,54.1419,12.0602,53.6,46.1,60.4,daily
1,15,aceltshp,rmin,52.0161,10.9291,53.1,44.7,60.35,daily
1,16,aceltshp,rmin,52.8742,12.4761,54.2,45.8,60.6,daily
1,17,aceltshp,rmin,52.0742,10.3105,52.3,44.15,58.25,daily
1,18,aceltshp,rmin,53.8581,10.6472,53.2,44.85,59.55,daily
1,19,aceltshp,rmin,52.771,10.1988,54.2,44.55,61.5,daily
1,20,aceltshp,rmin,52.6226,11.2242,55.1,46.6,58.6,daily
1,21,aceltshp,rmin,54.5032,11.8822,53.5,50.05,59.9,daily
1,22,aceltshp,rmin,52.0387,11.4818,51.6,45.5,60.3,daily
1,23,aceltshp,rmin,51.3,12.9133,54.4,43.6,60.6,daily
1,24,aceltshp,rmin,54.0161,11.8126,50.5,44.15,61.7,daily
1,25,aceltshp,rmin,54.9806,12.1606,52.6,44.5,62.4,daily
1,26,aceltshp,rmin,54.571,11.3156,56,47.55,61.65,daily
1,27,aceltshp,rmin,54.4129,12.6205,54.9,46.15,62.55,daily
1,28,aceltshp,rmin,51.8645,11.6994,50.6,43.15,61.95,daily
1,29,aceltshp,rmin,51.7419,14.3497,52.2,42.35,62.75,daily
1,30,aceltshp,rmin,54.8484,13.776,55.6,45.05,61.75,daily
1,31,aceltshp,rmin,52.6871,13.5741,53.1,43,59.9,daily
2,1,aceltshp,rmin,51.5194,16.8731,50.4,39.15,62.25,daily
2,2,aceltshp,rmin,53.7871,16.0216,54.3,42.3,64.1,daily
2,3,aceltshp,rmin,59.0194,19.2978,59.4,45.3,69.8,daily
2,4,aceltshp,rmin,56.9613,14.5797,56.2,49.3,63.85,daily
2,5,aceltshp,rmin,59.3452,16.4929,60.3,49.15,70.15,daily
2,6,aceltshp,rmin,58.5355,16.1523,58.1,48.8,68.8,daily
2,7,aceltshp,rmin,57.1581,15.9922,55.7,45.95,65.65,daily
2,8,aceltshp,rmin,56.0355,14.4201,51.6,46.1,64.6,daily
2,9,aceltshp,rmin,52.1903,11.3913,53.4,44.4,59.55,daily
2,10,aceltshp,rmin,51.5548,14.4022,50.9,42.2,62.25,daily
2,11,aceltshp,rmin,49.8,13.6409,47.3,42.75,55.4,daily
2,12,aceltshp,rmin,51.4774,16.1247,54,39.25,60.8,daily
2,13,aceltshp,rmin,51.3645,17.202,52.2,41.85,57.2,daily
2,14,aceltshp,rmin,49.9226,15.5068,49.7,41.5,58.8,daily
2,15,aceltshp,rmin,50.7452,17.0128,51.5,38.4,58.5,daily
2,16,aceltshp,rmin,52.8452,15.5122,52.3,44.4,61.7,daily
2,17,aceltshp,rmin,51.5226,14.92,52.6,37.55,61.9,daily
2,18,aceltshp,rmin,51.7323,15.858,51.9,38.65,61.65,daily
2,19,aceltshp,rmin,48.1097,12.6401,48,37.75,55.1,daily
2,20,aceltshp,rmin,46.3355,12.9845,49.3,35.2,56.2,daily
2,21,aceltshp,rmin,46.5516,15.1308,47.4,35.6,54.8,daily
2,22,aceltshp,rmin,47.4806,16.3032,46.8,37.85,54.55,daily
2,23,aceltshp,rmin,49.0387,15.8526,46,41.45,63.85,daily
2,24,aceltshp,rmin,50.3323,15.8061,48.5,40.2,62.7,daily
2,25,aceltshp,rmin,50.3355,14.4456,51.3,42.35,57.7,daily
2,26,aceltshp,rmin,47.5677,12.5433,49.8,36.9,57.85,daily
2,27,aceltshp,rmin,53.1839,15.7921,55.6,42.7,65,daily
2,28,aceltshp,rmin,52.2161,16.7184,51.3,39.85,62.75,daily
2,29,aceltshp,rmin,41.0375,13.6521,43.15,31.35,48.4,daily
3,1,aceltshp,rmin,53.0194,14.2588,56.9,41.8,62.95,daily
3,2,aceltshp,rmin,52.3613,16.1249,51.4,40.1,64.85,daily
3,3,aceltshp,rmin,52.4419,14.4565,52.5,42.9,62.35,daily
3,4,aceltshp,rmin,49.1935,16.0166,51.5,36.8,60.3,daily
3,5,aceltshp,rmin,46.3516,18.098,46.8,32.4,56,daily
3,6,aceltshp,rmin,48.6935,15.1738,50.4,38.6,57.4,daily
3,7,aceltshp,rmin,48.9226,11.9072,50.7,39.4,57.5,daily
3,8,aceltshp,rmin,46.3968,12.8425,48.1,35.5,57.15,daily
3,9,aceltshp,rmin,47.9935,17.4761,46.6,35.05,57,daily
3,10,aceltshp,rmin,46.7548,19.5813,41.2,32.7,59.5,daily
3,11,aceltshp,rmin,43.6,16.0491,40.1,32.85,52.9,daily
3,12,aceltshp,rmin,41.3581,16.899,40.5,29.3,49.05,daily
3,13,aceltshp,rmin,38.8419,14.1351,34.7,28.6,49.4,daily
3,14,aceltshp,rmin,41.4355,13.4702,40.1,30.5,51.8,daily
3,15,aceltshp,rmin,43.3452,16.2303,40.4,30.7,49.1,daily
3,16,aceltshp,rmin,42.9484,17.254,37.6,29.3,47.7,daily
3,17,aceltshp,rmin,39.6677,11.0539,41.1,29.55,48.2,daily
3,18,aceltshp,rmin,42.1968,13.8124,41.9,31.45,51,daily
3,19,aceltshp,rmin,42.4258,16.0653,39.8,28.5,52.6,daily
3,20,aceltshp,rmin,36.4161,11.7921,35.6,26.85,47.6,daily
3,21,aceltshp,rmin,37.1226,16.025,32.6,23.95,48.1,daily
3,22,aceltshp,rmin,38.8,15.0787,36.1,26.3,46.25,daily
3,23,aceltshp,rmin,39.1677,16.3257,34.6,26.55,47.85,daily
3,24,aceltshp,rmin,40.1387,17.7229,35.7,24.65,55.4,daily
3,25,aceltshp,rmin,39.1516,15.5994,39,26.45,48.7,daily
3,26,aceltshp,rmin,36.7065,13.9104,34,28.3,40.95,daily
3,27,aceltshp,rmin,35.9323,12.8266,33.2,25.6,45.5,daily
3,28,aceltshp,rmin,35.929,14.6857,32.1,24.3,47,daily
3,29,aceltshp,rmin,35.8645,12.585,31.8,25.6,42.5,daily
3,30,aceltshp,rmin,36.2258,13.6619,33.7,24.25,43.8,daily
3,31,aceltshp,rmin,39.2484,18.7966,35.6,24.15,50.1,daily
4,1,aceltshp,rmin,42.2548,19.3161,39,31.7,49.3,daily
4,2,aceltshp,rmin,38.0226,14.4762,34.7,31.15,41.15,daily
4,3,aceltshp,rmin,37.8968,15.591,34.8,26.4,47.9,daily
4,4,aceltshp,rmin,35.4323,14.198,34,25.65,45.75,daily
4,5,aceltshp,rmin,35.4935,10.2263,34.7,26.65,42.1,daily
4,6,aceltshp,rmin,34.9419,12.1339,30.7,27.25,40.1,daily
4,7,aceltshp,rmin,34.3323,12.1764,31.9,24.5,41.25,daily
4,8,aceltshp,rmin,36.0484,16.3893,30.2,25.5,43.7,daily
4,9,aceltshp,rmin,35.9903,14.3165,30.4,24.85,46.4,daily
4,10,aceltshp,rmin,36.7226,13.0709,34.6,29.6,45.15,daily
4,11,aceltshp,rmin,35.0516,12.3567,30.3,27.95,42.45,daily
4,12,aceltshp,rmin,38.4161,16.2067,31.1,25.35,52.95,daily
4,13,aceltshp,rmin,36.9839,18.8632,33.8,23.1,45.85,daily
4,14,aceltshp,rmin,34.0516,16.912,30.5,24.45,38.05,daily
4,15,aceltshp,rmin,35.8452,16.0554,30.4,25.75,43.55,daily
4,16,aceltshp,rmin,34.8355,13.765,30.4,27.5,39.15,daily
4,17,aceltshp,rmin,33.3871,15.0824,29.8,26.4,33.7,daily
4,18,aceltshp,rmin,34.1419,16.103,29.8,22.7,40.45,daily
4,19,aceltshp,rmin,35.9871,14.8765,32.9,24.8,44.3,daily
4,20,aceltshp,rmin,32.4484,8.6961,31.6,26.8,40.6,daily
4,21,aceltshp,rmin,31.2484,10.103,29,24.3,39.05,daily
4,22,aceltshp,rmin,30.2613,13.697,27.7,20.75,35,daily
4,23,aceltshp,rmin,33.0161,13.9354,27.8,24.05,39.3,daily
4,24,aceltshp,rmin,33.7194,14.8242,31.8,25.55,35.6,daily
4,25,aceltshp,rmin,34.2645,15.7576,30,23.7,39.35,daily
4,26,aceltshp,rmin,34.8903,14.5223,29.6,24.5,40.05,daily
4,27,aceltshp,rmin,36.9742,19.9513,29.8,23.7,43.5,daily
4,28,aceltshp,rmin,32.9645,15.5945,28.6,22.7,35.5,daily
4,29,aceltshp,rmin,34.2613,16.295,29.5,24,41.8,daily
4,30,aceltshp,rmin,36.2194,18.4496,30.6,24.85,44.4,daily
5,1,aceltshp,rmin,34.6387,13.509,36.7,25.2,40.7,daily
5,2,aceltshp,rmin,33.8871,12.9535,34.3,24.7,38.4,daily
5,3,aceltshp,rmin,30.7871,12.7102,26,23.15,35.55,daily
5,4,aceltshp,rmin,30.7935,11.1032,27.6,22.1,37.5,daily
