month,day,station,variable,mean,std_dev,median,q25,q75,type
1,1,acematad,rmax,89.8281,10.4441,93.05,81.375,100,daily
1,2,acematad,rmax,87.7194,12.6842,90.2,82.1,100,daily
1,3,acematad,rmax,86.1065,13.7442,88,81.1,98,daily
1,4,acematad,rmax,85.4097,14.1345,83.6,76.8,99.85,daily
1,5,acematad,rmax,86.3226,12.674,88.6,79.15,99.75,daily
1,6,acematad,rmax,84.4258,13.5191,88.1,74.2,96.7,daily
1,7,acematad,rmax,87.9548,11.2408,89.9,81.55,99.65,daily
1,8,acematad,rmax,89.1419,11.6755,89.7,83.9,100,daily
1,9,acematad,rmax,88.3,12.7853,92.9,79.6,100,daily
1,10,acematad,rmax,88.8194,9.058,88.8,82.55,95.9,daily
1,11,acematad,rmax,86.9903,12.7303,88.4,77.85,100,daily
1,12,acematad,rmax,87.0161,13.248,91,81.15,98.35,daily
1,13,acematad,rmax,85.9677,13.0816,85.5,77.45,98.55,daily
1,14,acematad,rmax,86.2419,12.3469,87.6,76.85,99.9,daily
1,15,acematad,rmax,88.1194,13.8349,91.9,80.2,100,daily
1,16,acematad,rmax,85.5742,11.3949,83.4,80.5,95.85,daily
1,17,acematad,rmax,87.3742,13.3655,90.7,81.85,97.05,daily
1,18,acematad,rmax,88.7194,10.9725,91.4,86.6,98.6,daily
1,19,acematad,rmax,85.9645,12.0276,86.2,76.95,96.85,daily
1,20,acematad,rmax,86.3613,12.6095,87.4,78.5,97.35,daily
1,21,acematad,rmax,86.4806,11.8987,90.3,79.3,96.75,daily
1,22,acematad,rmax,85.7032,12.1769,87,77.4,96.3,daily
1,23,acematad,rmax,84.5484,10.5268,84.2,77.65,93.95,daily
1,24,acematad,rmax,87.5129,11.2401,89.9,82.05,99.05,daily
1,25,acematad,rmax,86.0548,10.1371,86.1,78.6,94.85,daily
1,26,acematad,rmax,85.5226,12.8823,87.6,78.3,95.6,daily
1,27,acematad,rmax,83.9355,13.765,86.4,77.1,96.2,daily
1,28,acematad,rmax,84.2935,13.2537,85.8,77.35,91.65,daily
1,29,acematad,rmax,86.2645,13.2805,86.5,77.05,100,daily
1,30,acematad,rmax,86.1032,9.2679,84.4,80.55,92.45,daily
1,31,acematad,rmax,82.4935,13.8286,79.6,74.6,94.7,daily
2,1,acematad,rmax,84.8419,15.5281,89.2,74,98.9,daily
2,2,acematad,rmax,88.4516,11.1607,90.9,77.75,99.5,daily
2,3,acematad,rmax,89.9968,10.2902,93.1,78.55,100,daily
2,4,acematad,rmax,86.2032,12.3956,86.5,78.75,97.25,daily
2,5,acematad,rmax,86.4065,13.4317,91.4,73.6,99.35,daily
2,6,acematad,rmax,88.3548,11.7286,92.3,80.6,100,daily
2,7,acematad,rmax,90.0871,11.8649,97.1,80.45,100,daily
2,8,acematad,rmax,92.4387,9.1292,97.9,86,100,daily
2,9,acematad,rmax,95.171,7.5193,99.7,92.7,100,daily
2,10,acematad,rmax,90.8613,13.3682,98.3,87.25,100,daily
2,11,acematad,rmax,88.8774,10.3139,89.6,81.3,100,daily
2,12,acematad,rmax,85.5871,13.3518,88.3,75.4,99.3,daily
2,13,acematad,rmax,86.1258,13.0273,88.2,78.95,98.2,daily
2,14,acematad,rmax,88.1968,13.425,90.7,77.95,100,daily
2,15,acematad,rmax,84.8097,15.8959,87.3,77.95,99.4,daily
2,16,acematad,rmax,87.9581,15.039,92.3,81.45,99.7,daily
2,17,acematad,rmax,87.7129,14.4799,91.8,80.35,100,daily
2,18,acematad,rmax,87.2355,14.9205,91.2,82,100,daily
2,19,acematad,rmax,86.4806,13.5201,87,78.5,98.5,daily
2,20,acematad,rmax,85.1903,13.1194,85.3,76.75,96.1,daily
2,21,acematad,rmax,84.9452,16.783,90,76,100,daily
2,22,acematad,rmax,85.1839,14.2062,88.1,73.5,100,daily
2,23,acematad,rmax,85.3774,16.8579,93.3,74.9,99.75,daily
2,24,acematad,rmax,86.0226,15.6486,93.2,72.05,100,daily
2,25,acematad,rmax,84.7484,14.5777,88.7,75.75,96.75,daily
2,26,acematad,rmax,89.4677,9.8212,93.2,84.3,95.3,daily
2,27,acematad,rmax,89.9097,10.6711,92.4,82.85,100,daily
2,28,acematad,rmax,89.3806,12.5645,96.8,81.3,100,daily
2,29,acematad,rmax,85.1375,14.2108,83.35,75.9,100,daily
3,1,acematad,rmax,90.3323,10.7326,93.7,82.8,100,daily
3,2,acematad,rmax,90.6258,10.2806,92.6,88.2,99.25,daily
3,3,acematad,rmax,89.8,10.2885,93,82.8,100,daily
3,4,acematad,rmax,89.4129,11.5147,90.9,84.45,100,daily
3,5,acematad,rmax,89.7516,12.7857,96,81.7,100,daily
3,6,acematad,rmax,91.629,10.5753,95.5,87.9,100,daily
3,7,acematad,rmax,91.9258,8.3959,92.7,86.55,100,daily
3,8,acematad,rmax,89.9742,11.483,96.2,81.2,100,daily
3,9,acematad,rmax,86.329,13.8821,89.6,75.3,100,daily
3,10,acematad,rmax,86.0419,14.2561,89.7,75,100,daily
3,11,acematad,rmax,82.8774,16.9905,86.8,74.65,100,daily
3,12,acematad,rmax,82.5935,14.6704,83.7,70.2,94.45,daily
3,13,acematad,rmax,83.3903,12.8045,84.3,77.7,92.05,daily
3,14,acematad,rmax,82.9,14.2473,84.2,76.9,95.65,daily
3,15,acematad,rmax,85.5323,12.2608,85,76.9,97.05,daily
3,16,acematad,rmax,85.1097,13.6894,88.2,73.9,100,daily
3,17,acematad,rmax,82.2097,13.0617,83.9,72.6,93.05,daily
3,18,acematad,rmax,84.9548,11.3074,84.9,79.5,92.45,daily
3,19,acematad,rmax,83.571,13.4873,85,72.15,93.75,daily
3,20,acematad,rmax,80.5903,14.9519,81.9,70.9,92.8,daily
3,21,acematad,rmax,81.771,14.1736,84.2,71.15,94.05,daily
3,22,acematad,rmax,85.9903,13.5903,90.7,79.9,99,daily
3,23,acematad,rmax,85.9032,14.5074,90.1,76.95,99.45,daily
3,24,acematad,rmax,85.8129,13.6423,91.1,76.85,98.35,daily
3,25,acematad,rmax,84.9065,14.7545,87.1,73.85,100,daily
3,26,acematad,rmax,81.529,15.3354,83.6,72.65,94.15,daily
3,27,acematad,rmax,80.1935,12.3435,81.8,68.35,87.55,daily
3,28,acematad,rmax,81.6452,13.9676,82,72.55,92.15,daily
3,29,acematad,rmax,81.9161,14.5365,87.2,69.25,93.65,daily
3,30,acematad,rmax,80.2484,15.8367,85.2,64.15,95.5,daily
3,31,acematad,rmax,81.8581,17.3759,86.7,71.65,96.05,daily
4,1,acematad,rmax,87.6161,14.3538,95,76.95,100,daily
4,2,acematad,rmax,84.3968,16.3931,86.4,78.95,100,daily
4,3,acematad,rmax,83.8871,15.6534,88.9,71.35,97.15,daily
4,4,acematad,rmax,86.0581,12.9838,88,75.3,100,daily
4,5,acematad,rmax,87.3065,13.0289,89.7,78.45,100,daily
4,6,acematad,rmax,85.1516,12.8022,84,77.95,98.85,daily
4,7,acematad,rmax,84.5419,13.0987,83.7,74.05,99.25,daily
4,8,acematad,rmax,80.8194,15.7294,80.2,66.7,97.5,daily
4,9,acematad,rmax,85.5903,13.68,88.4,79.95,98.35,daily
4,10,acematad,rmax,86.8355,14.1871,90.8,73.3,100,daily
4,11,acematad,rmax,85.6581,14.7689,87.8,74.65,100,daily
4,12,acematad,rmax,82.8129,14.6624,84.1,69.55,98.95,daily
4,13,acematad,rmax,83.8,13.8761,87.2,71.4,95.9,daily
4,14,acematad,rmax,85.6323,14.0714,88.3,76.55,100,daily
4,15,acematad,rmax,86.5677,13.5472,91.4,73.45,100,daily
4,16,acematad,rmax,85.5419,13.5898,90.7,75.85,96.2,daily
4,17,acematad,rmax,80.5161,15.9194,81.9,69.25,95.75,daily
4,18,acematad,rmax,86.0032,14.4176,89.5,75,99.15,daily
4,19,acematad,rmax,84.0323,14.2469,86.8,72.8,99.05,daily
4,20,acematad,rmax,85.1903,11.1741,85,75.7,95.3,daily
4,21,acematad,rmax,82.7452,13.7394,83.5,70.9,96.2,daily
4,22,acematad,rmax,77.7032,14.3171,77.2,68.95,86.55,daily
4,23,acematad,rmax,83.5355,14.2705,82.8,71.95,97.9,daily
4,24,acematad,rmax,83.1903,13.9435,84.5,73.95,96.4,daily
4,25,acematad,rmax,83.0903,15.4007,81.9,73.2,100,daily
4,26,acematad,rmax,82.8968,14.2515,83,73.3,97.2,daily
4,27,acematad,rmax,80.3387,13.9395,78.4,70.85,92.1,daily
4,28,acematad,rmax,82.7419,14.6397,84.3,72.05,98.9,daily
4,29,acematad,rmax,80.3484,14.5042,78.8,68.55,92.65,daily
4,30,acematad,rmax,82.0032,14.0078,82.8,72.6,94.75,daily
5,1,acematad,rmax,80.6613,12.6648,77.3,71.4,91.3,daily
5,2,acematad,rmax,82.4935,12.4559,82.3,73.85,93.05,daily
5,3,acematad,rmax,80.8581,11.3348,76.4,71.9,89.2,daily
5,4,acematad,rmax,82.0452,14.6305,79.6,69.1,100,daily
5,5,acematad,rmax,81.1419,14.8575,84.3,67.55,94.6,daily
5,6,acematad,rmax,82.5,15.6711,88,67.4,100,daily
5,7,acematad,rmax,82.6355,15.5685,81.9,75.25,100,daily
5,8,acematad,rmax,85.9065,15.6042,92.8,75,99.75,daily
5,9,acematad,rmax,85.7032,15.413,90,74.35,100,daily
5,10,acematad,rmax,88.3516,13.2268,95,77.75,100,daily
5,11,acematad,rmax,85.0774,15.3784,88.3,72.5,100,daily
5,12,acematad,rmax,83.3129,13.6091,84.9,74.55,96.95,daily
5,13,acematad,rmax,84.4581,16.8274,89.1,74.85,100,daily
5,14,acematad,rmax,79.4097,16.0026,80,69.75,92.15,daily
5,15,acematad,rmax,78.6129,13.6339,77,69.1,91.3,daily
5,16,acematad,rmax,81.9161,15.8845,82.3,67.25,98.3,daily
5,17,acematad,rmax,81.9484,16.5312,82.2,70.2,99.65,daily
