month,day,station,variable,mean,std_dev,median,q25,q75,type
1,1,acemidwa,rmax,88.7,11.3935,92.85,80.8,100,daily
1,2,acemidwa,rmax,84.5484,13.9912,88.7,75.8,96.45,daily
1,3,acemidwa,rmax,85.6581,14.215,87.4,76.05,100,daily
1,4,acemidwa,rmax,82.2516,14.493,83.3,69.05,95.25,daily
1,5,acemidwa,rmax,84.8226,13.4386,88.4,73.95,97.65,daily
1,6,acemidwa,rmax,83.3581,14.6698,86.8,73.4,95,daily
1,7,acemidwa,rmax,86.7484,13.4948,92.1,80.2,98.35,daily
1,8,acemidwa,rmax,88.5452,12.9772,91.9,80.3,100,daily
1,9,acemidwa,rmax,87.5387,12.4159,88.2,77.5,100,daily
1,10,acemidwa,rmax,85.6484,12.2129,87,78.7,94,daily
1,11,acemidwa,rmax,86.0935,11.988,85.9,77.35,98.45,daily
1,12,acemidwa,rmax,82.7903,15.8925,85.6,74.1,96.25,daily
1,13,acemidwa,rmax,81.4774,12.8708,82,69.5,93.05,daily
1,14,acemidwa,rmax,86.5935,13.0876,90.6,75.9,100,daily
1,15,acemidwa,rmax,86.8516,13.8884,91.2,80.1,99.55,daily
1,16,acemidwa,rmax,85.7581,11.7845,86.3,75.2,96.9,daily
1,17,acemidwa,rmax,83.5839,14.6914,85.6,76.3,97.35,daily
1,18,acemidwa,rmax,84.8742,13.6745,87.5,77.55,96.55,daily
1,19,acemidwa,rmax,82.5774,13.1543,82.8,74.9,91.7,daily
1,20,acemidwa,rmax,83.9355,14.9242,85.7,75.65,98.1,daily
1,21,acemidwa,rmax,82.9452,13.7464,83.8,76.55,91.4,daily
1,22,acemidwa,rmax,81.1774,14.2119,80,70.8,93.45,daily
1,23,acemidwa,rmax,82.2484,12.1577,84.4,71.65,90.45,daily
1,24,acemidwa,rmax,84.1968,14.2874,85.5,74.3,97.65,daily
1,25,acemidwa,rmax,83.9129,12.0357,83.3,77.25,95.7,daily
1,26,acemidwa,rmax,83.6484,13.6774,85.3,77.7,94.45,daily
1,27,acemidwa,rmax,83.1161,14.3171,83.3,76.85,98.5,daily
1,28,acemidwa,rmax,83.8226,13.9517,86.7,77.35,94.55,daily
1,29,acemidwa,rmax,83.571,12.6197,82.9,77.1,93.15,daily
1,30,acemidwa,rmax,83.3484,12.964,82.5,76.05,96.8,daily
