month,day,station,variable,mean,std_dev,median,q25,q75,type
1,1,acemildr,rmin,50.1125,8.9124,52,46.6,55.425,daily
1,2,acemildr,rmin,48.3839,11.9067,48.2,40.55,57.85,daily
1,3,acemildr,rmin,51.571,16.0491,48.2,42.8,56.1,daily
1,4,acemildr,rmin,50.0742,14.6019,47.7,41.3,57.65,daily
1,5,acemildr,rmin,52.1387,13.8632,48.2,44.5,57.35,daily
1,6,acemildr,rmin,50.4968,13.2285,51.1,43.95,55.65,daily
1,7,acemildr,rmin,53.2548,11.6146,52.5,46.05,57.85,daily
1,8,acemildr,rmin,53.729,12.0878,51.9,47.1,60.1,daily
1,9,acemildr,rmin,51.871,13.8954,51.6,42.85,58.45,daily
1,10,acemildr,rmin,50.3806,13.011,50.7,42.05,54.8,daily
1,11,acemildr,rmin,50.4581,11.3449,50.7,44.7,56.25,daily
1,12,acemildr,rmin,48.4226,9.4232,48.2,44.1,53.05,daily
1,13,acemildr,rmin,49.1355,11.8251,47.9,41.75,56.85,daily
1,14,acemildr,rmin,52.9258,12.0684,52.6,45.65,58.9,daily
1,15,acemildr,rmin,50.6097,9.2386,51,44.2,57.45,daily
1,16,acemildr,rmin,50.2065,10.7989,51.4,46.35,55.45,daily
1,17,acemildr,rmin,49.0161,9.0997,48.6,42.4,55.65,daily
1,18,acemildr,rmin,52.7871,10.0025,52.8,45.45,58.25,daily
1,19,acemildr,rmin,51.1645,10.4324,50.9,44.4,57.45,daily
1,20,acemildr,rmin,51.4839,10.8401,52.5,45.75,58.05,daily
1,21,acemildr,rmin,52.4839,10.4916,52.6,48.15,56.5,daily
1,22,acemildr,rmin,50.471,10.618,51.7,45.55,53.85,daily
1,23,acemildr,rmin,49.0839,10.7494,51.3,45.05,54.9,daily
1,24,acemildr,rmin,51.2355,10.084,48.9,43.9,58.35,daily
1,25,acemildr,rmin,51.0484,10.2404,49.1,42.9,58.35,daily
1,26,acemildr,rmin,51.5516,10.3794,52.3,45.3,56.15,daily
1,27,acemildr,rmin,51.4903,11.4845,50.4,45.35,60.35,daily
1,28,acemildr,rmin,49.2129,10.3414,47.8,42.25,57.6,daily
1,29,acemildr,rmin,49.8097,13.8941,49.5,42.15,59.5,daily
1,30,acemildr,rmin,51.8161,12.9119,51.9,44.3,57.7,daily
1,31,acemildr,rmin,49.0258,12.3428,50.2,40.35,55.65,daily
2,1,acemildr,rmin,48.3742,15.7495,49.5,36.15,55.75,daily
2,2,acemildr,rmin,50.0935,14.8932,51.4,39.8,61.3,daily
