month,day,station,variable,mean,std_dev,median,q25,q75,type
1,1,acemissi,pet,0.0277,0.0121,0.0276,0.0197,0.0354,daily
1,2,acemissi,pet,0.0326,0.017,0.0315,0.0197,0.0472,daily
1,3,acemissi,pet,0.029,0.0194,0.0276,0.0118,0.0413,daily
1,4,acemissi,pet,0.0298,0.0177,0.0276,0.0177,0.0433,daily
1,5,acemissi,pet,0.0307,0.0173,0.0315,0.0197,0.0374,daily
1,6,acemissi,pet,0.0309,0.017,0.0315,0.0197,0.0433,daily
1,7,acemissi,pet,0.0286,0.0166,0.0236,0.0157,0.0374,daily
1,8,acemissi,pet,0.0279,0.018,0.0276,0.0157,0.0394,daily
1,9,acemissi,pet,0.0279,0.0161,0.0276,0.0157,0.0354,daily
1,10,acemissi,pet,0.0304,0.0172,0.0315,0.0177,0.0472,daily
1,11,acemissi,pet,0.0286,0.0188,0.0315,0.0118,0.0433,daily
1,12,acemissi,pet,0.0318,0.0192,0.0276,0.0177,0.0433,daily
1,13,acemissi,pet,0.0337,0.0185,0.0354,0.0197,0.0472,daily
1,14,acemissi,pet,0.0307,0.0164,0.0276,0.0157,0.0433,daily
1,15,acemissi,pet,0.0359,0.017,0.0394,0.0236,0.0472,daily
1,16,acemissi,pet,0.0324,0.0172,0.0315,0.0217,0.0433,daily
1,17,acemissi,pet,0.0349,0.0192,0.0354,0.0256,0.0453,daily
1,18,acemissi,pet,0.0358,0.0181,0.0354,0.0236,0.0472,daily
1,19,acemissi,pet,0.038,0.0196,0.0354,0.0276,0.0433,daily
1,20,acemissi,pet,0.0356,0.0183,0.0315,0.0236,0.0413,daily
1,21,acemissi,pet,0.0363,0.0169,0.0315,0.0256,0.0472,daily
1,22,acemissi,pet,0.034,0.0164,0.0315,0.0197,0.0472,daily
1,23,acemissi,pet,0.0339,0.0159,0.0315,0.0236,0.0433,daily
1,24,acemissi,pet,0.0354,0.0209,0.0315,0.0197,0.0472,daily
1,25,acemissi,pet,0.0377,0.0232,0.0354,0.0197,0.0472,daily
1,26,acemissi,pet,0.0351,0.0225,0.0315,0.0157,0.0433,daily
1,27,acemissi,pet,0.0367,0.0192,0.0354,0.0236,0.0472,daily
1,28,acemissi,pet,0.0387,0.0193,0.0394,0.0276,0.0453,daily
1,29,acemissi,pet,0.0378,0.0199,0.0394,0.0217,0.0453,daily
1,30,acemissi,pet,0.0458,0.0214,0.0472,0.0276,0.0591,daily
1,31,acemissi,pet,0.0409,0.0248,0.0394,0.0197,0.0551,daily
2,1,acemissi,pet,0.0391,0.0231,0.0315,0.0217,0.0551,daily
2,2,acemissi,pet,0.0382,0.0229,0.0354,0.0197,0.0492,daily
2,3,acemissi,pet,0.0343,0.0225,0.0276,0.0177,0.0492,daily
2,4,acemissi,pet,0.0387,0.0252,0.0354,0.0217,0.0492,daily
2,5,acemissi,pet,0.037,0.0198,0.0394,0.0236,0.0531,daily
2,6,acemissi,pet,0.0329,0.0205,0.0315,0.0177,0.0472,daily
2,7,acemissi,pet,0.0318,0.0195,0.0315,0.0157,0.0453,daily
2,8,acemissi,pet,0.0305,0.0208,0.0315,0.0157,0.0413,daily
2,9,acemissi,pet,0.0353,0.0194,0.0354,0.0236,0.0453,daily
2,10,acemissi,pet,0.0364,0.0202,0.0354,0.0236,0.0453,daily
2,11,acemissi,pet,0.0387,0.0228,0.0354,0.0197,0.0531,daily
2,12,acemissi,pet,0.0436,0.0236,0.0394,0.0256,0.065,daily
2,13,acemissi,pet,0.0489,0.029,0.0512,0.0295,0.063,daily
2,14,acemissi,pet,0.0408,0.0288,0.0394,0.0256,0.0472,daily
2,15,acemissi,pet,0.0424,0.0312,0.0354,0.0256,0.0472,daily
2,16,acemissi,pet,0.0451,0.0272,0.0394,0.0315,0.0551,daily
2,17,acemissi,pet,0.0398,0.0192,0.0394,0.0256,0.0551,daily
2,18,acemissi,pet,0.0425,0.0227,0.0433,0.0276,0.0531,daily
2,19,acemissi,pet,0.0453,0.0265,0.0433,0.0295,0.0571,daily
2,20,acemissi,pet,0.0469,0.0299,0.0472,0.0256,0.063,daily
2,21,acemissi,pet,0.0452,0.026,0.0394,0.0276,0.0571,daily
2,22,acemissi,pet,0.0462,0.0217,0.0472,0.0276,0.061,daily
2,23,acemissi,pet,0.0455,0.022,0.0512,0.0295,0.063,daily
2,24,acemissi,pet,0.0423,0.0236,0.0354,0.0276,0.0492,daily
2,25,acemissi,pet,0.0433,0.0241,0.0394,0.0276,0.061,daily
2,26,acemissi,pet,0.0422,0.0209,0.0433,0.0256,0.0531,daily
2,27,acemissi,pet,0.0417,0.0208,0.0354,0.0276,0.0551,daily
2,28,acemissi,pet,0.0474,0.0222,0.0433,0.0315,0.063,daily
2,29,acemissi,pet,0.0556,0.0212,0.0472,0.0384,0.0787,daily
3,1,acemissi,pet,0.0476,0.0209,0.0472,0.0374,0.063,daily
3,2,acemissi,pet,0.0508,0.0243,0.0472,0.0354,0.0709,daily
3,3,acemissi,pet,0.0525,0.0235,0.0512,0.0354,0.0669,daily
3,4,acemissi,pet,0.0519,0.0223,0.0512,0.0315,0.0689,daily
3,5,acemissi,pet,0.0514,0.0276,0.0394,0.0295,0.0709,daily
3,6,acemissi,pet,0.0533,0.0303,0.0472,0.0295,0.0748,daily
3,7,acemissi,pet,0.0547,0.0253,0.0551,0.0335,0.0787,daily
3,8,acemissi,pet,0.0566,0.0257,0.0512,0.0354,0.0827,daily
3,9,acemissi,pet,0.0611,0.031,0.0591,0.0453,0.0748,daily
3,10,acemissi,pet,0.069,0.029,0.0709,0.0492,0.0886,daily
3,11,acemissi,pet,0.0707,0.0294,0.0709,0.0453,0.0925,daily
3,12,acemissi,pet,0.0763,0.0299,0.0669,0.0512,0.1024,daily
3,13,acemissi,pet,0.0745,0.0293,0.0787,0.0591,0.0906,daily
3,14,acemissi,pet,0.0757,0.0295,0.0787,0.0551,0.0945,daily
3,15,acemissi,pet,0.0748,0.0275,0.0787,0.0551,0.0945,daily
3,16,acemissi,pet,0.0721,0.0251,0.0709,0.0571,0.0886,daily
