month,day,station,variable,mean,std_dev,median,q25,q75,type
1,1,acemissi,tmmn,9.3763,14.0562,9.95,-1.705,19.94,daily
1,2,acemissi,tmmn,9.9326,13.9318,9.23,-1.75,21.02,daily
1,3,acemissi,tmmn,9.6597,16.1683,10.85,-1.84,24.26,daily
1,4,acemissi,tmmn,9.3926,15.0741,14.45,-5.44,22.91,daily
1,5,acemissi,tmmn,8.9165,15.9442,14.45,-4.09,22.46,daily
1,6,acemissi,tmmn,9.7816,15.5931,13.01,-0.67,21.02,daily
1,7,acemissi,tmmn,11.3784,13.6092,15.53,0.59,21.11,daily
1,8,acemissi,tmmn,9.439,14.4677,13.91,-5.08,19.58,daily
1,9,acemissi,tmmn,9.8919,14.5398,15.71,-3.55,20.66,daily
1,10,acemissi,tmmn,10.159,15.8722,14.09,-0.85,22.55,daily
1,11,acemissi,tmmn,9.8629,18.0433,15.89,-0.94,23.09,daily
1,12,acemissi,tmmn,10.3739,17.3658,16.25,-6.16,22.73,daily
1,13,acemissi,tmmn,13.2539,14.9472,18.05,7.34,23.99,daily
1,14,acemissi,tmmn,12.2552,14.0106,13.91,3.38,21.02,daily
1,15,acemissi,tmmn,12.5745,12.5739,11.39,7.79,21.2,daily
1,16,acemissi,tmmn,10.9603,12.5831,12.65,4.28,21.47,daily
1,17,acemissi,tmmn,14.0784,13.8466,14.99,9.68,24.17,daily
1,18,acemissi,tmmn,14.798400000000001,14.2433,16.43,8.87,24.71,daily
1,19,acemissi,tmmn,17.0977,11.2888,18.41,14.09,23.45,daily
1,20,acemissi,tmmn,15.1352,10.7176,16.79,12.11,20.66,daily
1,21,acemissi,tmmn,14.6068,9.5833,15.71,12.92,19.49,daily
1,22,acemissi,tmmn,15.0829,9.4514,16.61,10.22,19.31,daily
1,23,acemissi,tmmn,13.3874,11.8472,13.37,3.92,23.45,daily
1,24,acemissi,tmmn,14.1655,13.9972,16.43,6.71,25.25,daily
1,25,acemissi,tmmn,14.961,14.4031,18.77,4.64,23.99,daily
1,26,acemissi,tmmn,13.6777,14.62,17.87,3.29,24.44,daily
1,27,acemissi,tmmn,12.4874,15.6526,13.91,4.1,23.72,daily
1,28,acemissi,tmmn,11.5003,15.4463,13.91,7.7,21.29,daily
1,29,acemissi,tmmn,12.9403,14.3488,17.87,5.99,22.46,daily
1,30,acemissi,tmmn,15.739,13.704,21.29,11.48,25.61,daily
1,31,acemissi,tmmn,15.0423,12.2959,18.41,9.05,24.26,daily
2,1,acemissi,tmmn,13.4977,13.548400000000001,15.17,7.43,23.27,daily
2,2,acemissi,tmmn,12.83,11.8149,16.79,8.24,20.48,daily
2,3,acemissi,tmmn,11.39,12.5667,14.63,4.73,20.75,daily
2,4,acemissi,tmmn,13.2829,12.8479,13.73,7.61,23.09,daily
2,5,acemissi,tmmn,14.1481,13.6448,17.51,10.67,22.19,daily
2,6,acemissi,tmmn,12.0868,16.5412,15.89,6.89,22.55,daily
2,7,acemissi,tmmn,11.1868,16.6146,17.69,3.38,21.2,daily
2,8,acemissi,tmmn,9.4623,17.2072,14.63,1.4,21.11,daily
2,9,acemissi,tmmn,9.2126,15.907,13.73,2.21,18.77,daily
2,10,acemissi,tmmn,9.3519,13.7446,11.75,4.28,16.97,daily
2,11,acemissi,tmmn,8.9745,14.5269,11.39,2.03,18.86,daily
2,12,acemissi,tmmn,12.8648,15.6158,13.73,7.16,25.7,daily
2,13,acemissi,tmmn,15.7216,14.4392,20.21,11.84,22.91,daily
2,14,acemissi,tmmn,12.4816,13.4393,15.53,4.91,22.19,daily
2,15,acemissi,tmmn,13.8113,12.1938,16.25,5.18,21.47,daily
2,16,acemissi,tmmn,15.9597,13.3672,20.03,8.96,25.16,daily
2,17,acemissi,tmmn,13.8984,13.5748,17.51,8.24,23,daily
2,18,acemissi,tmmn,13.6545,13.2126,18.05,5.27,23.09,daily
2,19,acemissi,tmmn,14.1713,13.0039,16.61,8.87,23.81,daily
2,20,acemissi,tmmn,14.7171,11.8911,17.87,5.81,23.09,daily
2,21,acemissi,tmmn,12.9868,13.1722,15.71,3.38,23.9,daily
2,22,acemissi,tmmn,14.421,12.4049,18.95,9.59,23.18,daily
2,23,acemissi,tmmn,12.5977,13.7349,16.79,9.77,22.91,daily
2,24,acemissi,tmmn,10.6119,15.3484,14.81,6.44,21.47,daily
2,25,acemissi,tmmn,10.9661,15.4145,16.25,-0.49,23.45,daily
2,26,acemissi,tmmn,11.7152,13.7902,13.73,1.58,22.64,daily
2,27,acemissi,tmmn,13.73,11.2636,15.35,4.19,23.99,daily
2,28,acemissi,tmmn,14.8739,12.772,16.61,7.52,24.89,daily
2,29,acemissi,tmmn,17.2175,14.9936,24.44,15.935,25.88,daily
3,1,acemissi,tmmn,15.141,13.7845,18.05,11.48,25.16,daily
3,2,acemissi,tmmn,15.019,15.3064,20.21,6.8,26.42,daily
3,3,acemissi,tmmn,15.8552,13.4286,18.41,9.68,26.33,daily
3,4,acemissi,tmmn,16.9352,12.5223,20.93,10.31,26.6,daily
3,5,acemissi,tmmn,14.4674,13.0308,12.83,6.8,24.98,daily
3,6,acemissi,tmmn,15.0365,13.8482,18.77,6.08,27.05,daily
3,7,acemissi,tmmn,15.0945,13.5466,17.51,9.23,25.52,daily
3,8,acemissi,tmmn,15.1177,14.1235,18.41,5.36,24.8,daily
3,9,acemissi,tmmn,18.1197,12.597,20.39,15.26,24.44,daily
3,10,acemissi,tmmn,20.7268,11.103,23.27,17.24,27.59,daily
3,11,acemissi,tmmn,21.6906,10.4286,23.27,18.23,27.68,daily
3,12,acemissi,tmmn,22.1145,9.1047,23.81,16.79,27.95,daily
3,13,acemissi,tmmn,22.1203,9.3149,24.17,19.22,28.94,daily
3,14,acemissi,tmmn,23.2758,10.224,24.71,20.3,27.5,daily
3,15,acemissi,tmmn,23.3919,9.1903,25.61,20.48,29.48,daily
3,16,acemissi,tmmn,23.27,7.8901,24.71,20.66,27.32,daily
3,17,acemissi,tmmn,21.7197,8.2108,23.27,19.4,26.24,daily
3,18,acemissi,tmmn,22.4513,7.9448,23.27,20.39,27.14,daily
3,19,acemissi,tmmn,21.6965,9.1555,22.91,17.78,27.05,daily
3,20,acemissi,tmmn,22.6313,9.2418,22.91,20.57,27.32,daily
3,21,acemissi,tmmn,23.0668,9.4932,24.35,21.65,27.05,daily
3,22,acemissi,tmmn,23.1016,7.6188,24.17,19.22,28.76,daily
3,23,acemissi,tmmn,22.7126,8.4585,23.99,18.86,27.59,daily
3,24,acemissi,tmmn,21.8997,9.6139,23.99,17.6,27.86,daily
3,25,acemissi,tmmn,20.721,9.8963,22.55,16.52,26.87,daily
3,26,acemissi,tmmn,23.4848,7.5463,24.53,18.86,28.4,daily
3,27,acemissi,tmmn,24.2803,8.27,25.43,19.85,28.76,daily
3,28,acemissi,tmmn,24.6229,8.0065,26.33,20.21,28.76,daily
3,29,acemissi,tmmn,24.1642,6.819,24.35,19.94,28.31,daily
3,30,acemissi,tmmn,24.5997,7.4762,25.25,22.37,29.03,daily
3,31,acemissi,tmmn,25.5984,7.6668,27.05,22.01,31.46,daily
4,1,acemissi,tmmn,26.0397,8.9845,28.67,23.18,32.81,daily
4,2,acemissi,tmmn,24.1816,10.1408,25.25,21.29,28.94,daily
4,3,acemissi,tmmn,23.8913,9.2412,25.61,20.03,29.12,daily
4,4,acemissi,tmmn,26.0223,6.9799,25.79,20.12,32,daily
4,5,acemissi,tmmn,25.9177,6.8226,26.15,21.92,31.01,daily
4,6,acemissi,tmmn,27.4448,6.955,28.67,23.54,31.37,daily
4,7,acemissi,tmmn,26.4694,8.3003,26.33,22.82,31.73,daily
4,8,acemissi,tmmn,26.6261,7.7482,26.87,22.37,31.82,daily
4,9,acemissi,tmmn,27.7061,8.0287,28.67,24.62,32.72,daily
4,10,acemissi,tmmn,26.9803,6.1161,28.13,23.36,31.1,daily
4,11,acemissi,tmmn,26.2661,8.7608,28.31,25.52,30.11,daily
4,12,acemissi,tmmn,27.0268,8.8691,27.77,24.44,31.64,daily
4,13,acemissi,tmmn,27.9326,8.0577,29.03,25.43,32.81,daily
4,14,acemissi,tmmn,28.2287,6.7463,29.39,24.89,31.91,daily
4,15,acemissi,tmmn,26.8061,5.854,26.69,23.81,31.1,daily
4,16,acemissi,tmmn,27.8571,4.8613,27.59,24.8,30.47,daily
4,17,acemissi,tmmn,31.3816,5.3721,31.37,28.58,34.34,daily
4,18,acemissi,tmmn,29.9823,5.6321,29.21,26.96,33.35,daily
4,19,acemissi,tmmn,29.7558,6.2322,30.83,27.14,33.26,daily
4,20,acemissi,tmmn,30.3016,6.1703,29.93,28.49,34.7,daily
4,21,acemissi,tmmn,31.3874,6.7766,32.45,28.04,36.23,daily
4,22,acemissi,tmmn,32.5661,7.5327,33.53,29.75,37.94,daily
4,23,acemissi,tmmn,32.2003,7.6957,33.35,26.15,36.5,daily
4,24,acemissi,tmmn,31.346800000000002,7.1922,31.37,27.86,35.6,daily
4,25,acemissi,tmmn,30.6152,5.3997,31.37,27.5,34.7,daily
4,26,acemissi,tmmn,31.4745,5.6513,31.01,27.77,34.43,daily
4,27,acemissi,tmmn,31.3294,6.711,32.45,26.6,34.88,daily
4,28,acemissi,tmmn,31.2945,7.4406,32.45,26.96,36.77,daily
4,29,acemissi,tmmn,31.2655,8.5436,31.55,26.6,35.15,daily
4,30,acemissi,tmmn,32.3861,6.1328,32.99,29.57,36.5,daily
5,1,acemissi,tmmn,31.7997,4.9962,31.73,29.48,35.42,daily
5,2,acemissi,tmmn,33.3906,5.0479,32.99,30.2,36.14,daily
5,3,acemissi,tmmn,33.4197,4.4669,32.81,30.02,35.51,daily
5,4,acemissi,tmmn,34.1513,5.2737,34.97,29.66,37.31,daily
5,5,acemissi,tmmn,34.5984,5.3277,34.07,31.46,38.66,daily
5,6,acemissi,tmmn,34.9177,5.9509,34.79,30.47,38.84,daily
5,7,acemissi,tmmn,35.4055,6.0659,34.25,31.73,38.3,daily
5,8,acemissi,tmmn,34.1977,5.8026,34.07,31.01,39.2,daily
5,9,acemissi,tmmn,34.3255,6.2459,34.25,30.38,38.57,daily
5,10,acemissi,tmmn,33.9132,5.7815,34.07,29.75,36.86,daily
5,11,acemissi,tmmn,34.0932,5.9975,34.61,29.48,38.3,daily
5,12,acemissi,tmmn,37.2229,7.3483,36.59,32,39.65,daily
5,13,acemissi,tmmn,37.2752,7.157,36.05,32.45,41.18,daily
5,14,acemissi,tmmn,37.7339,4.0119,37.13,35.51,39.56,daily
5,15,acemissi,tmmn,38.0706,4.6705,39.11,33.8,41.72,daily
5,16,acemissi,tmmn,39.3481,6.2016,38.93,35.87,44.42,daily
5,17,acemissi,tmmn,39.0868,6.6681,40.91,35.15,43.16,daily
5,18,acemissi,tmmn,39.6732,6.5274,39.65,34.79,43.7,daily
5,19,acemissi,tmmn,38.5177,6.6748,38.39,33.71,42.35,daily
5,20,acemissi,tmmn,37.5016,4.8824,38.03,34.25,40.37,daily
5,21,acemissi,tmmn,38.6513,5.1845,38.57,35.6,42.08,daily
5,22,acemissi,tmmn,37.8965,5.0618,37.85,34.16,40.82,daily
5,23,acemissi,tmmn,38.9068,5.6241,38.39,35.15,41.99,daily
5,24,acemissi,tmmn,39.9577,6.131,38.03,35.78,43.7,daily
5,25,acemissi,tmmn,41.0726,6.6212,40.55,35.87,44.15,daily
5,26,acemissi,tmmn,40.701,5.4341,40.73,37.13,44.06,daily
5,27,acemissi,tmmn,39.2377,4.7762,39.29,36.05,42.62,daily
5,28,acemissi,tmmn,40.1958,5.2654,39.47,37.22,43.43,daily
5,29,acemissi,tmmn,40.4106,4.7659,39.47,36.59,43.61,daily
5,30,acemissi,tmmn,40.8113,5.7006,40.73,37.04,45.41,daily
5,31,acemissi,tmmn,42.0713,4.3978,41.27,37.85,45.68,daily
6,1,acemissi,tmmn,43.2442,4.7295,43.25,40.82,46.13,daily
6,2,acemissi,tmmn,44.5913,5.2919,43.79,41.63,47.3,daily
6,3,acemissi,tmmn,44.2545,5.6555,43.79,39.83,47.03,daily
6,4,acemissi,tmmn,44.1732,5.5919,42.53,40.01,47.03,daily
6,5,acemissi,tmmn,43.1048,3.7915,41.81,40.28,45.59,daily
6,6,acemissi,tmmn,42.8261,4.6417,42.53,40.01,46.04,daily
6,7,acemissi,tmmn,41.7171,6.3461,40.37,37.85,47.03,daily
6,8,acemissi,tmmn,43.1048,6.589,41.81,38.48,48.92,daily
6,9,acemissi,tmmn,42.1061,5.4274,42.89,37.31,44.69,daily
6,10,acemissi,tmmn,42.2861,4.581,42.35,38.66,45.77,daily
6,11,acemissi,tmmn,43.2732,5.3412,42.35,39.92,46.22,daily
6,12,acemissi,tmmn,42.8145,3.6742,42.35,40.64,44.24,daily
6,13,acemissi,tmmn,44.8352,4.2928,45.95,41.27,47.66,daily
6,14,acemissi,tmmn,44.0281,5.5332,43.79,39.56,48.65,daily
6,15,acemissi,tmmn,43.5345,4.77,43.97,40.01,47.12,daily
6,16,acemissi,tmmn,43.9061,4.8343,43.79,41.81,45.77,daily
6,17,acemissi,tmmn,44.4345,4.9057,45.05,40.91,48.02,daily
6,18,acemissi,tmmn,44.4984,4.9982,44.33,40.28,47.66,daily
6,19,acemissi,tmmn,43.6565,5.0876,42.17,39.2,47.21,daily
6,20,acemissi,tmmn,44.2719,4.5001,44.15,41.45,47.21,daily
6,21,acemissi,tmmn,46.4203,6.2828,46.13,42.89,50.18,daily
6,22,acemissi,tmmn,47.7384,5.8308,46.49,44.24,51.98,daily
6,23,acemissi,tmmn,46.9081,5.8913,47.03,43.43,51.98,daily
6,24,acemissi,tmmn,46.7571,4.2435,46.85,43.88,50.18,daily
6,25,acemissi,tmmn,46.7455,4.7094,46.49,43.79,49.55,daily
6,26,acemissi,tmmn,47.3377,5.219,47.75,43.97,50.9,daily
6,27,acemissi,tmmn,47.1229,5.9618,45.59,42.89,51.62,daily
6,28,acemissi,tmmn,48.5281,5.312,48.11,45.5,51.53,daily
6,29,acemissi,tmmn,49.2829,6.1051,49.73,44.69,54.41,daily
6,30,acemissi,tmmn,47.1461,4.9136,46.49,43.88,50.63,daily
7,1,acemissi,tmmn,47.6106,5.9044,48.11,43.43,51.26,daily
7,2,acemissi,tmmn,47.5932,5.5811,47.75,43.61,52.34,daily
7,3,acemissi,tmmn,47.959,6.295,48.47,43.79,51.26,daily
7,4,acemissi,tmmn,47.361,6.4755,47.03,43.61,52.34,daily
7,5,acemissi,tmmn,47.779,6.1368,47.93,44.24,51.62,daily
7,6,acemissi,tmmn,47.959,5.2409,47.39,44.15,52.25,daily
7,7,acemissi,tmmn,47.3552,5.3399,45.77,44.42,50.54,daily
7,8,acemissi,tmmn,47.6339,4.653,46.67,45.23,50.99,daily
7,9,acemissi,tmmn,48.9984,6.2423,49.55,44.87,53.24,daily
7,10,acemissi,tmmn,49.6197,6.0268,49.73,45.86,53.78,daily
7,11,acemissi,tmmn,48.4177,5.6942,48.83,44.96,52.7,daily
7,12,acemissi,tmmn,49.1552,5.9832,49.55,44.33,53.24,daily
7,13,acemissi,tmmn,50.961,5.7568,50.99,46.76,55.13,daily
7,14,acemissi,tmmn,49.8519,6.0462,49.01,45.59,53.24,daily
7,15,acemissi,tmmn,49.7068,5.3859,49.19,47.3,52.61,daily
7,16,acemissi,tmmn,49.3003,6.0657,49.19,46.22,52.88,daily
7,17,acemissi,tmmn,50.6823,7.0506,50.99,46.4,54.86,daily
7,18,acemissi,tmmn,51.5532,6.0304,51.71,48.65,54.5,daily
7,19,acemissi,tmmn,50.9784,6.3709,50.99,45.23,55.85,daily
7,20,acemissi,tmmn,50.3861,5.1541,50.99,47.84,53.96,daily
7,21,acemissi,tmmn,49.8694,4.5508,50.09,47.12,53.78,daily
7,22,acemissi,tmmn,50.5313,4.9616,50.81,46.67,53.24,daily
7,23,acemissi,tmmn,51.1003,4.9898,50.45,48.56,53.78,daily
7,24,acemissi,tmmn,51.0365,5.75,49.73,48.11,54.14,daily
7,25,acemissi,tmmn,51.1758,4.8114,50.63,47.21,54.41,daily
7,26,acemissi,tmmn,51.1003,4.6219,50.99,47.75,54.14,daily
7,27,acemissi,tmmn,51.9423,4.8485,50.81,48.65,55.4,daily
7,28,acemissi,tmmn,52.5113,4.8846,52.97,48.65,55.76,daily
7,29,acemissi,tmmn,52.3952,4.7363,53.69,49.28,55.31,daily
7,30,acemissi,tmmn,51.9016,4.8464,51.53,49.46,54.95,daily
7,31,acemissi,tmmn,50.421,6.1654,52.07,46.94,54.14,daily
8,1,acemissi,tmmn,50.3455,6.5554,50.81,46.58,54.59,daily
8,2,acemissi,tmmn,50.5835,5.5982,50.09,46.67,54.68,daily
8,3,acemissi,tmmn,49.6545,6.0961,50.09,44.33,54.86,daily
8,4,acemissi,tmmn,49.3584,5.0263,50.09,47.48,52.43,daily
8,5,acemissi,tmmn,50.3513,5.4586,49.91,47.84,53.78,daily
8,6,acemissi,tmmn,51.5765,5.106,51.35,48.65,54.5,daily
8,7,acemissi,tmmn,51.1119,4.5381,51.71,48.11,54.68,daily
8,8,acemissi,tmmn,49.3235,6.3262,48.83,45.59,53.6,daily
8,9,acemissi,tmmn,48.5106,6.0422,49.01,43.97,52.07,daily
8,10,acemissi,tmmn,50.3339,5.9586,49.91,47.75,52.88,daily
8,11,acemissi,tmmn,49.7765,5.1716,50.81,47.48,52.97,daily
8,12,acemissi,tmmn,48.2261,5.4807,48.29,44.24,52.16,daily
8,13,acemissi,tmmn,49.4687,5.8896,49.37,47.03,52.34,daily
8,14,acemissi,tmmn,49.7184,5.3864,50.09,45.41,54.77,daily
8,15,acemissi,tmmn,49.2074,5.9071,48.65,44.69,54.05,daily
8,16,acemissi,tmmn,47.6977,5.5285,47.39,44.15,51.62,daily
8,17,acemissi,tmmn,48.621,6.378,48.83,43.16,54.05,daily
8,18,acemissi,tmmn,47.901,6.4556,49.91,43.7,52.16,daily
8,19,acemissi,tmmn,47.4945,5.7543,47.21,43.43,52.61,daily
8,20,acemissi,tmmn,47.5235,4.5799,48.11,44.96,50.99,daily
8,21,acemissi,tmmn,48.3945,6.129,49.55,43.61,52.25,daily
8,22,acemissi,tmmn,47.6861,6.7248,49.01,45.32,51.98,daily
8,23,acemissi,tmmn,47.9068,6.8256,48.65,44.78,51.53,daily
8,24,acemissi,tmmn,44.9281,6.6601,45.77,40.55,50.45,daily
8,25,acemissi,tmmn,44.8758,7.06,44.87,40.1,50.36,daily
8,26,acemissi,tmmn,46.2055,5.0543,46.31,42.44,49.73,daily
8,27,acemissi,tmmn,46.6932,5.9668,46.85,42.98,50.99,daily
8,28,acemissi,tmmn,47.1345,6.446,46.49,42.35,52.16,daily
8,29,acemissi,tmmn,46.8094,6.1348,47.39,42.17,51.98,daily
8,30,acemissi,tmmn,46.2926,6.0939,46.85,39.83,50.9,daily
8,31,acemissi,tmmn,46.2461,5.5811,47.75,41.99,50.36,daily
9,1,acemissi,tmmn,45.979,6.8049,47.39,40.91,50,daily
9,2,acemissi,tmmn,42.9887,6.8991,40.91,37.76,46.94,daily
9,3,acemissi,tmmn,44.5681,6.8154,44.87,39.02,49.01,daily
9,4,acemissi,tmmn,44.5971,7.0939,44.51,39.65,49.19,daily
9,5,acemissi,tmmn,44.1906,6.6507,43.25,39.29,48.02,daily
9,6,acemissi,tmmn,43.4068,5.9241,41.63,39.92,47.12,daily
9,7,acemissi,tmmn,43.3081,7.128,42.17,39.47,47.3,daily
9,8,acemissi,tmmn,43.3545,6.8696,44.15,38.93,48.65,daily
9,9,acemissi,tmmn,43.2732,7.0005,44.33,38.03,46.58,daily
9,10,acemissi,tmmn,42.2977,5.4771,41.63,38.93,45.05,daily
9,11,acemissi,tmmn,42.1177,6.2879,42.89,37.85,45.05,daily
9,12,acemissi,tmmn,39.9752,5.9432,41.81,36.23,43.52,daily
9,13,acemissi,tmmn,39.4932,7.0563,39.83,35.33,43.79,daily
9,14,acemissi,tmmn,40.161,5.6988,40.73,36.5,43.88,daily
9,15,acemissi,tmmn,41.6068,5.3346,40.73,38.03,44.06,daily
9,16,acemissi,tmmn,40.9913,7.4315,40.37,35.15,45.23,daily
9,17,acemissi,tmmn,40.1842,7.4643,38.75,35.42,45.59,daily
9,18,acemissi,tmmn,38.7442,7.4256,38.57,34.25,42.71,daily
9,19,acemissi,tmmn,39.3945,6.6152,39.29,35.42,42.53,daily
9,20,acemissi,tmmn,37.8094,5.7293,36.59,33.98,40.46,daily
9,21,acemissi,tmmn,36.2997,7.1438,35.87,32.09,40.91,daily
9,22,acemissi,tmmn,37.9081,6.8404,38.03,35.6,42.08,daily
9,23,acemissi,tmmn,38.7094,8.4816,40.19,31.73,43.61,daily
9,24,acemissi,tmmn,39.1332,7.9198,39.65,32.99,45.5,daily
9,25,acemissi,tmmn,41.27,6.7024,40.55,36.14,45.5,daily
9,26,acemissi,tmmn,39.8881,6.3681,41.27,33.8,44.69,daily
9,27,acemissi,tmmn,37.3739,5.6162,37.31,33.08,40.91,daily
9,28,acemissi,tmmn,37.1184,6.6629,38.03,33.26,42.89,daily
9,29,acemissi,tmmn,38.4074,5.331,38.93,35.96,42.08,daily
9,30,acemissi,tmmn,37.7629,7.5567,38.57,34.61,42.35,daily
10,1,acemissi,tmmn,36.8048,9.5911,35.15,33.08,41.18,daily
10,2,acemissi,tmmn,33.5997,9.1114,34.61,28.49,37.85,daily
10,3,acemissi,tmmn,33.9132,8.578,33.71,27.77,38.3,daily
10,4,acemissi,tmmn,33.8494,8.3334,33.53,28.04,41.27,daily
10,5,acemissi,tmmn,33.4429,7.6077,33.35,28.58,37.58,daily
10,6,acemissi,tmmn,33.8435,7.2905,35.69,30.02,38.57,daily
10,7,acemissi,tmmn,34.4997,7.6401,36.95,30.38,39.38,daily
10,8,acemissi,tmmn,33.0771,6.8493,34.07,29.39,37.67,daily
10,9,acemissi,tmmn,32.0029,9.8595,32.81,27.23,37.31,daily
10,10,acemissi,tmmn,31.3235,9.7969,31.37,26.87,36.32,daily
10,11,acemissi,tmmn,31.1261,9.5586,32.27,25.25,37.94,daily
10,12,acemissi,tmmn,29.6977,8.8522,31.55,25.25,35.69,daily
10,13,acemissi,tmmn,31.2713,7.3395,31.55,25.61,36.77,daily
10,14,acemissi,tmmn,31.0274,6.3462,30.83,27.14,34.34,daily
10,15,acemissi,tmmn,30.9868,7.0867000000000004,31.01,26.06,35.87,daily
10,16,acemissi,tmmn,31.2016,7.0852,30.65,27.32,35.78,daily
10,17,acemissi,tmmn,30.2087,7.3301,30.11,25.79,36.32,daily
10,18,acemissi,tmmn,30.7487,7.2597,30.65,25.52,35.78,daily
10,19,acemissi,tmmn,31.2887,5.8237,30.65,27.68,34.88,daily
10,20,acemissi,tmmn,30.1971,5.8799,30.47,26.69,34.97,daily
10,21,acemissi,tmmn,31.2074,7.3343,31.01,27.14,35.87,daily
10,22,acemissi,tmmn,29.2739,8.8421,31.37,24.53,35.06,daily
10,23,acemissi,tmmn,29.03,8.7514,31.01,25.25,34.79,daily
10,24,acemissi,tmmn,28.9023,10.3914,30.65,25.07,34.97,daily
10,25,acemissi,tmmn,27.5552,9.4915,28.31,24.26,32.63,daily
10,26,acemissi,tmmn,27.021,8.4832,27.95,21.29,34.07,daily
10,27,acemissi,tmmn,26.8642,8.1522,25.61,23.18,33.17,daily
10,28,acemissi,tmmn,25.6797,9.1103,27.59,22.46,32.36,daily
10,29,acemissi,tmmn,23.1829,12.2594,25.61,14.63,33.08,daily
10,30,acemissi,tmmn,22.2132,12.3979,25.61,14.81,30.92,daily
10,31,acemissi,tmmn,24.8958,11.7374,28.13,22.82,32.09,daily
11,1,acemissi,tmmn,24.3094,11.227,26.33,18.86,32.63,daily
11,2,acemissi,tmmn,23.9203,11,24.71,20.03,30.11,daily
11,3,acemissi,tmmn,25.4939,10.1852,27.77,23.09,30.92,daily
11,4,acemissi,tmmn,25.0758,10.4226,26.33,20.84,30.02,daily
11,5,acemissi,tmmn,23.659,10.7642,23.09,18.5,32.81,daily
11,6,acemissi,tmmn,22.6603,11.8385,22.55,18.32,32,daily
11,7,acemissi,tmmn,23.5139,11.3194,23.27,16.97,33.44,daily
11,8,acemissi,tmmn,23.7171,10.1156,22.19,17.6,31.28,daily
11,9,acemissi,tmmn,20.2332,8.7343,21.83,13.37,26.06,daily
11,10,acemissi,tmmn,19.699,11.16,22.37,14.54,28.49,daily
11,11,acemissi,tmmn,18.619,10.6257,21.83,11.3,26.96,daily
11,12,acemissi,tmmn,22.9216,9.8113,23.99,18.05,27.23,daily
11,13,acemissi,tmmn,24.3558,10.1367,24.35,21.47,28.76,daily
11,14,acemissi,tmmn,23.479,9.9351,24.17,18.68,31.55,daily
11,15,acemissi,tmmn,23.09,10.451,23.99,17.87,30.92,daily
11,16,acemissi,tmmn,22.7823,9.5995,24.53,18.14,30.74,daily
