month,day,station,variable,mean,std_dev,median,q25,q75,type
1,1,acemolts,pet,0.0349,0.0195,0.0315,0.0226,0.0482,daily
1,2,acemolts,pet,0.04,0.021,0.0394,0.0276,0.0531,daily
1,3,acemolts,pet,0.04,0.0287,0.0354,0.0177,0.0591,daily
1,4,acemolts,pet,0.0425,0.0267,0.0354,0.0236,0.0591,daily
1,5,acemolts,pet,0.0399,0.0263,0.0394,0.0177,0.0492,daily
1,6,acemolts,pet,0.0417,0.0216,0.0394,0.0256,0.061,daily
1,7,acemolts,pet,0.0408,0.0248,0.0394,0.0256,0.0492,daily
1,8,acemolts,pet,0.0395,0.0254,0.0354,0.0177,0.0512,daily
1,9,acemolts,pet,0.0391,0.022,0.0394,0.0197,0.0531,daily
1,10,acemolts,pet,0.041,0.0237,0.0472,0.0197,0.0551,daily
1,11,acemolts,pet,0.042,0.0245,0.0433,0.0177,0.061,daily
1,12,acemolts,pet,0.0423,0.0261,0.0394,0.0197,0.063,daily
1,13,acemolts,pet,0.0494,0.03,0.0551,0.0276,0.063,daily
1,14,acemolts,pet,0.0405,0.0214,0.0354,0.0236,0.0591,daily
1,15,acemolts,pet,0.0456,0.0236,0.0472,0.0295,0.063,daily
1,16,acemolts,pet,0.041,0.0198,0.0354,0.0256,0.0551,daily
1,17,acemolts,pet,0.0436,0.0186,0.0394,0.0354,0.0531,daily
1,18,acemolts,pet,0.045,0.0208,0.0394,0.0315,0.0591,daily
1,19,acemolts,pet,0.0483,0.0218,0.0472,0.0335,0.0571,daily
1,20,acemolts,pet,0.0451,0.0234,0.0433,0.0315,0.0512,daily
1,21,acemolts,pet,0.0442,0.0231,0.0394,0.0295,0.0551,daily
1,22,acemolts,pet,0.0405,0.0185,0.0394,0.0295,0.0531,daily
1,23,acemolts,pet,0.041,0.0197,0.0394,0.0315,0.0531,daily
1,24,acemolts,pet,0.0471,0.0248,0.0394,0.0295,0.065,daily
1,25,acemolts,pet,0.0484,0.0256,0.0433,0.0315,0.0669,daily
1,26,acemolts,pet,0.0442,0.0229,0.0433,0.0236,0.0551,daily
1,27,acemolts,pet,0.0452,0.0229,0.0433,0.0256,0.0551,daily
1,28,acemolts,pet,0.0475,0.0222,0.0472,0.0295,0.0591,daily
1,29,acemolts,pet,0.047,0.0207,0.0394,0.0335,0.0571,daily
1,30,acemolts,pet,0.0546,0.0264,0.0551,0.0354,0.0709,daily
1,31,acemolts,pet,0.0546,0.0289,0.0551,0.0354,0.0728,daily
2,1,acemolts,pet,0.054,0.0353,0.0472,0.0295,0.0709,daily
2,2,acemolts,pet,0.0517,0.0266,0.0472,0.0354,0.0669,daily
2,3,acemolts,pet,0.0446,0.026,0.0394,0.0276,0.061,daily
2,4,acemolts,pet,0.0489,0.0311,0.0433,0.0256,0.065,daily
2,5,acemolts,pet,0.0544,0.0305,0.0591,0.0276,0.0748,daily
2,6,acemolts,pet,0.0475,0.0303,0.0472,0.0276,0.065,daily
2,7,acemolts,pet,0.0429,0.0299,0.0394,0.0177,0.0591,daily
2,8,acemolts,pet,0.0443,0.0326,0.0354,0.0177,0.063,daily
2,9,acemolts,pet,0.0466,0.0288,0.0394,0.0276,0.061,daily
2,10,acemolts,pet,0.0456,0.0229,0.0472,0.0315,0.0591,daily
2,11,acemolts,pet,0.047,0.0256,0.0433,0.0256,0.0591,daily
2,12,acemolts,pet,0.0556,0.0283,0.0591,0.0374,0.0709,daily
2,13,acemolts,pet,0.0632,0.033,0.063,0.0335,0.0846,daily
2,14,acemolts,pet,0.0537,0.0329,0.0512,0.0315,0.0728,daily
2,15,acemolts,pet,0.0547,0.0364,0.0551,0.0315,0.063,daily
2,16,acemolts,pet,0.0606,0.0333,0.0551,0.0433,0.0768,daily
2,17,acemolts,pet,0.058,0.0298,0.0551,0.0374,0.0748,daily
2,18,acemolts,pet,0.0578,0.032,0.0591,0.0335,0.0768,daily
2,19,acemolts,pet,0.0668,0.0369,0.0709,0.0394,0.0787,daily
2,20,acemolts,pet,0.0631,0.0355,0.063,0.0335,0.0827,daily
2,21,acemolts,pet,0.0646,0.0347,0.0591,0.0374,0.0906,daily
2,22,acemolts,pet,0.0634,0.0343,0.0551,0.0335,0.0886,daily
2,23,acemolts,pet,0.058,0.025,0.063,0.0374,0.0768,daily
2,24,acemolts,pet,0.0585,0.0318,0.0591,0.0394,0.0748,daily
2,25,acemolts,pet,0.0549,0.0303,0.0512,0.0374,0.0728,daily
2,26,acemolts,pet,0.0547,0.027,0.0512,0.0374,0.0709,daily
2,27,acemolts,pet,0.0551,0.031,0.0472,0.0354,0.0591,daily
2,28,acemolts,pet,0.0594,0.0317,0.0551,0.0374,0.0768,daily
2,29,acemolts,pet,0.0787,0.0398,0.0728,0.0531,0.1033,daily
3,1,acemolts,pet,0.0634,0.0327,0.0551,0.0413,0.0906,daily
3,2,acemolts,pet,0.0673,0.0307,0.063,0.0433,0.0925,daily
3,3,acemolts,pet,0.07,0.033,0.0709,0.0413,0.0965,daily
3,4,acemolts,pet,0.0726,0.0343,0.0748,0.0433,0.1004,daily
3,5,acemolts,pet,0.0743,0.0355,0.0669,0.0472,0.0965,daily
3,6,acemolts,pet,0.0715,0.0378,0.0709,0.0453,0.0886,daily
3,7,acemolts,pet,0.072,0.0317,0.0709,0.0453,0.0945,daily
3,8,acemolts,pet,0.0692,0.0325,0.0669,0.0394,0.0965,daily
3,9,acemolts,pet,0.0817,0.0443,0.0827,0.0472,0.1043,daily
3,10,acemolts,pet,0.0818,0.0414,0.0827,0.0472,0.1161,daily
3,11,acemolts,pet,0.0897,0.0397,0.0787,0.0591,0.1122,daily
3,12,acemolts,pet,0.0946,0.0398,0.0906,0.065,0.1201,daily
3,13,acemolts,pet,0.0951,0.0349,0.0866,0.0728,0.1201,daily
3,14,acemolts,pet,0.096,0.0341,0.0945,0.0787,0.1142,daily
3,15,acemolts,pet,0.0998,0.0373,0.1102,0.0709,0.126,daily
3,16,acemolts,pet,0.0983,0.0355,0.0906,0.0709,0.1161,daily
3,17,acemolts,pet,0.0912,0.0356,0.0906,0.0669,0.1043,daily
3,18,acemolts,pet,0.0946,0.038,0.0945,0.063,0.1161,daily
3,19,acemolts,pet,0.0988,0.0406,0.1024,0.0728,0.124,daily
3,20,acemolts,pet,0.1017,0.0401,0.0984,0.0827,0.1161,daily
3,21,acemolts,pet,0.1017,0.0369,0.1024,0.0846,0.1201,daily
3,22,acemolts,pet,0.0974,0.0328,0.0945,0.0748,0.124,daily
3,23,acemolts,pet,0.0977,0.0408,0.0866,0.063,0.126,daily
3,24,acemolts,pet,0.0979,0.0422,0.1024,0.0689,0.124,daily
3,25,acemolts,pet,0.1001,0.0358,0.0945,0.0807,0.1122,daily
3,26,acemolts,pet,0.1069,0.0376,0.1024,0.0787,0.1378,daily
3,27,acemolts,pet,0.108,0.0378,0.1063,0.0827,0.1339,daily
3,28,acemolts,pet,0.1069,0.0456,0.1102,0.0728,0.126,daily
3,29,acemolts,pet,0.1043,0.0405,0.1063,0.0748,0.1319,daily
3,30,acemolts,pet,0.1095,0.0431,0.1024,0.0807,0.1398,daily
3,31,acemolts,pet,0.1057,0.0485,0.1024,0.0689,0.128,daily
4,1,acemolts,pet,0.1057,0.0383,0.1102,0.0748,0.1319,daily
4,2,acemolts,pet,0.0982,0.0446,0.0945,0.0709,0.1299,daily
4,3,acemolts,pet,0.10780000000000001,0.0421,0.1024,0.0787,0.124,daily
4,4,acemolts,pet,0.1177,0.0466,0.122,0.0787,0.1496,daily
4,5,acemolts,pet,0.1134,0.0395,0.1142,0.0886,0.1398,daily
4,6,acemolts,pet,0.1104,0.0432,0.1063,0.0787,0.1358,daily
4,7,acemolts,pet,0.119,0.0386,0.1142,0.0984,0.1417,daily
4,8,acemolts,pet,0.1166,0.0446,0.1142,0.0827,0.1535,daily
4,9,acemolts,pet,0.1144,0.0497,0.1142,0.0866,0.1339,daily
4,10,acemolts,pet,0.1153,0.039,0.1142,0.0886,0.1437,daily
4,11,acemolts,pet,0.1153,0.0413,0.122,0.0846,0.1417,daily
4,12,acemolts,pet,0.1134,0.0493,0.1142,0.0748,0.1516,daily
4,13,acemolts,pet,0.1302,0.0488,0.1339,0.0965,0.1673,daily
4,14,acemolts,pet,0.1294,0.0468,0.122,0.0984,0.1634,daily
4,15,acemolts,pet,0.1147,0.0399,0.1142,0.0945,0.1417,daily
4,16,acemolts,pet,0.1171,0.0407,0.1181,0.0886,0.1339,daily
4,17,acemolts,pet,0.1377,0.0439,0.1417,0.1161,0.1614,daily
4,18,acemolts,pet,0.1287,0.0353,0.1299,0.1122,0.1437,daily
4,19,acemolts,pet,0.1219,0.0468,0.126,0.0748,0.1476,daily
4,20,acemolts,pet,0.1307,0.0373,0.1299,0.1083,0.1594,daily
4,21,acemolts,pet,0.1332,0.0447,0.1339,0.0925,0.1693,daily
4,22,acemolts,pet,0.1447,0.0447,0.1417,0.1181,0.1654,daily
4,23,acemolts,pet,0.1325,0.0439,0.126,0.1102,0.1476,daily
4,24,acemolts,pet,0.1346,0.0458,0.1339,0.1004,0.1496,daily
4,25,acemolts,pet,0.1281,0.046,0.126,0.0984,0.1535,daily
4,26,acemolts,pet,0.1341,0.0464,0.1299,0.1043,0.1732,daily
4,27,acemolts,pet,0.1471,0.0523,0.1457,0.1122,0.1811,daily
4,28,acemolts,pet,0.1467,0.0558,0.1496,0.1024,0.185,daily
4,29,acemolts,pet,0.1405,0.0527,0.1299,0.0984,0.1831,daily
4,30,acemolts,pet,0.1378,0.0555,0.1299,0.1024,0.1634,daily
5,1,acemolts,pet,0.144,0.0374,0.1457,0.1161,0.1713,daily
5,2,acemolts,pet,0.152,0.0453,0.1535,0.126,0.1831,daily
5,3,acemolts,pet,0.1613,0.0392,0.1654,0.1417,0.1909,daily
5,4,acemolts,pet,0.1607,0.0393,0.1575,0.1299,0.1909,daily
5,5,acemolts,pet,0.1618,0.0457,0.1614,0.1358,0.1929,daily
5,6,acemolts,pet,0.1593,0.0456,0.1693,0.1319,0.185,daily
5,7,acemolts,pet,0.1542,0.0471,0.1654,0.1201,0.185,daily
5,8,acemolts,pet,0.1529,0.0491,0.1417,0.122,0.187,daily
5,9,acemolts,pet,0.1383,0.052,0.1299,0.1043,0.1811,daily
5,10,acemolts,pet,0.1407,0.0494,0.1417,0.0945,0.1634,daily
5,11,acemolts,pet,0.1455,0.0455,0.1535,0.1181,0.1791,daily
5,12,acemolts,pet,0.1623,0.0602,0.1614,0.1299,0.1969,daily
5,13,acemolts,pet,0.1744,0.0517,0.1614,0.1417,0.2126,daily
5,14,acemolts,pet,0.1796,0.043,0.1732,0.1516,0.1969,daily
5,15,acemolts,pet,0.1755,0.0408,0.185,0.1457,0.2008,daily
5,16,acemolts,pet,0.1721,0.0483,0.1693,0.1378,0.1988,daily
5,17,acemolts,pet,0.1746,0.0612,0.1732,0.1417,0.2106,daily
5,18,acemolts,pet,0.1732,0.0687,0.1772,0.126,0.2067,daily
5,19,acemolts,pet,0.1712,0.0571,0.1772,0.1457,0.2087,daily
5,20,acemolts,pet,0.1791,0.0464,0.1929,0.1594,0.2106,daily
5,21,acemolts,pet,0.1734,0.0544,0.1811,0.1496,0.2087,daily
5,22,acemolts,pet,0.1707,0.0506,0.1654,0.1417,0.1949,daily
5,23,acemolts,pet,0.1619,0.05,0.1772,0.122,0.1969,daily
5,24,acemolts,pet,0.1629,0.0585,0.1614,0.1122,0.2067,daily
5,25,acemolts,pet,0.169,0.0502,0.185,0.1437,0.2126,daily
5,26,acemolts,pet,0.1709,0.0563,0.1654,0.1476,0.2146,daily
5,27,acemolts,pet,0.1728,0.0553,0.185,0.1437,0.2146,daily
5,28,acemolts,pet,0.1843,0.0448,0.1929,0.1594,0.2067,daily
5,29,acemolts,pet,0.1825,0.0449,0.185,0.1713,0.2047,daily
5,30,acemolts,pet,0.1838,0.0467,0.189,0.1772,0.2087,daily
5,31,acemolts,pet,0.189,0.0424,0.1969,0.1614,0.2185,daily
6,1,acemolts,pet,0.1852,0.0355,0.1929,0.1614,0.2087,daily
6,2,acemolts,pet,0.1908,0.0442,0.189,0.1752,0.2185,daily
6,3,acemolts,pet,0.1934,0.0453,0.2008,0.1673,0.2224,daily
6,4,acemolts,pet,0.1952,0.0465,0.1969,0.1614,0.2303,daily
6,5,acemolts,pet,0.2,0.0447,0.2087,0.1693,0.2303,daily
6,6,acemolts,pet,0.1904,0.0573,0.1929,0.1634,0.2244,daily
6,7,acemolts,pet,0.1802,0.0568,0.185,0.1516,0.2205,daily
