month,day,station,variable,mean,std_dev,median,q25,q75,type
1,1,acemosbs,pet,0.0325,0.0168,0.0315,0.0197,0.0394,daily
1,2,acemosbs,pet,0.0368,0.0204,0.0354,0.0236,0.0453,daily
1,3,acemosbs,pet,0.0358,0.0296,0.0276,0.0118,0.0512,daily
1,4,acemosbs,pet,0.0367,0.0267,0.0315,0.0157,0.0551,daily
1,5,acemosbs,pet,0.0344,0.0254,0.0315,0.0118,0.0492,daily
1,6,acemosbs,pet,0.0363,0.0225,0.0394,0.0157,0.0531,daily
1,7,acemosbs,pet,0.0331,0.023,0.0276,0.0197,0.0413,daily
1,8,acemosbs,pet,0.0348,0.0267,0.0315,0.0157,0.0413,daily
1,9,acemosbs,pet,0.037,0.0217,0.0394,0.0118,0.0531,daily
1,10,acemosbs,pet,0.0385,0.0246,0.0394,0.0157,0.0531,daily
1,11,acemosbs,pet,0.0381,0.0235,0.0394,0.0217,0.0492,daily
1,12,acemosbs,pet,0.0373,0.024,0.0315,0.0177,0.0512,daily
1,13,acemosbs,pet,0.0432,0.0303,0.0354,0.0236,0.0571,daily
1,14,acemosbs,pet,0.0353,0.0202,0.0315,0.0197,0.0512,daily
1,15,acemosbs,pet,0.0367,0.0221,0.0354,0.0236,0.0512,daily
1,16,acemosbs,pet,0.0364,0.0194,0.0354,0.0236,0.0512,daily
1,17,acemosbs,pet,0.0359,0.02,0.0315,0.0217,0.0492,daily
1,18,acemosbs,pet,0.0377,0.0219,0.0315,0.0197,0.0472,daily
1,19,acemosbs,pet,0.042,0.0222,0.0354,0.0256,0.0512,daily
1,20,acemosbs,pet,0.0389,0.021,0.0354,0.0276,0.0472,daily
1,21,acemosbs,pet,0.0375,0.0197,0.0354,0.0236,0.0492,daily
1,22,acemosbs,pet,0.0381,0.0172,0.0354,0.0276,0.0472,daily
1,23,acemosbs,pet,0.0387,0.0181,0.0315,0.0256,0.0512,daily
1,24,acemosbs,pet,0.039,0.0224,0.0315,0.0217,0.0512,daily
1,25,acemosbs,pet,0.0434,0.0244,0.0394,0.0256,0.061,daily
1,26,acemosbs,pet,0.0417,0.0232,0.0394,0.0256,0.0492,daily
1,27,acemosbs,pet,0.0425,0.0221,0.0433,0.0276,0.0512,daily
1,28,acemosbs,pet,0.0432,0.0218,0.0433,0.0276,0.0531,daily
1,29,acemosbs,pet,0.0411,0.022,0.0394,0.0256,0.0531,daily
1,30,acemosbs,pet,0.0458,0.0247,0.0512,0.0236,0.061,daily
1,31,acemosbs,pet,0.0462,0.0283,0.0394,0.0256,0.065,daily
2,1,acemosbs,pet,0.0476,0.0344,0.0394,0.0197,0.063,daily
2,2,acemosbs,pet,0.0448,0.0259,0.0472,0.0256,0.0551,daily
2,3,acemosbs,pet,0.0367,0.0218,0.0315,0.0217,0.0492,daily
2,4,acemosbs,pet,0.041,0.0266,0.0354,0.0197,0.0512,daily
2,5,acemosbs,pet,0.0442,0.0241,0.0472,0.0295,0.0591,daily
2,6,acemosbs,pet,0.0422,0.0277,0.0394,0.0236,0.0531,daily
2,7,acemosbs,pet,0.0371,0.0263,0.0315,0.0177,0.0492,daily
2,8,acemosbs,pet,0.0386,0.0273,0.0315,0.0118,0.0551,daily
2,9,acemosbs,pet,0.0415,0.0263,0.0354,0.0276,0.0531,daily
2,10,acemosbs,pet,0.041,0.0202,0.0394,0.0276,0.0512,daily
2,11,acemosbs,pet,0.0415,0.0237,0.0354,0.0256,0.0591,daily
2,12,acemosbs,pet,0.0498,0.0281,0.0433,0.0295,0.0709,daily
2,13,acemosbs,pet,0.056,0.0317,0.0551,0.0295,0.0787,daily
2,14,acemosbs,pet,0.048,0.0298,0.0433,0.0256,0.0669,daily
2,15,acemosbs,pet,0.0537,0.0362,0.0433,0.0335,0.065,daily
2,16,acemosbs,pet,0.0558,0.0333,0.0551,0.0354,0.0709,daily
2,17,acemosbs,pet,0.0523,0.0314,0.0512,0.0256,0.0728,daily
2,18,acemosbs,pet,0.0499,0.0285,0.0472,0.0315,0.0669,daily
2,19,acemosbs,pet,0.0621,0.037,0.0591,0.0315,0.0748,daily
2,20,acemosbs,pet,0.0608,0.0343,0.0512,0.0394,0.0827,daily
2,21,acemosbs,pet,0.0603,0.0363,0.0512,0.0354,0.0866,daily
2,22,acemosbs,pet,0.057,0.0326,0.0472,0.0335,0.0807,daily
2,23,acemosbs,pet,0.0536,0.0249,0.0551,0.0354,0.0689,daily
2,24,acemosbs,pet,0.0542,0.0301,0.0512,0.0374,0.0669,daily
2,25,acemosbs,pet,0.0514,0.0275,0.0512,0.0354,0.0689,daily
2,26,acemosbs,pet,0.0522,0.0254,0.0512,0.0335,0.063,daily
2,27,acemosbs,pet,0.0507,0.0305,0.0394,0.0315,0.0591,daily
2,28,acemosbs,pet,0.056,0.0299,0.0512,0.0354,0.065,daily
2,29,acemosbs,pet,0.0778,0.0409,0.061,0.0502,0.1053,daily
3,1,acemosbs,pet,0.0588,0.0318,0.0551,0.0354,0.0709,daily
3,2,acemosbs,pet,0.0616,0.0311,0.0591,0.0354,0.0846,daily
3,3,acemosbs,pet,0.0682,0.0306,0.063,0.0433,0.1004,daily
3,4,acemosbs,pet,0.0667,0.0325,0.063,0.0433,0.0827,daily
3,5,acemosbs,pet,0.0695,0.0379,0.0512,0.0433,0.0965,daily
3,6,acemosbs,pet,0.0677,0.0419,0.063,0.0315,0.0827,daily
3,7,acemosbs,pet,0.069,0.0316,0.0748,0.0374,0.0906,daily
3,8,acemosbs,pet,0.0667,0.0322,0.0709,0.0394,0.0827,daily
3,9,acemosbs,pet,0.0795,0.0446,0.0669,0.0472,0.1024,daily
3,10,acemosbs,pet,0.0837,0.0442,0.0787,0.0433,0.1102,daily
3,11,acemosbs,pet,0.0869,0.0414,0.0827,0.0591,0.1004,daily
3,12,acemosbs,pet,0.0961,0.044,0.0906,0.061,0.1201,daily
3,13,acemosbs,pet,0.0968,0.0354,0.0945,0.0669,0.1201,daily
3,14,acemosbs,pet,0.0937,0.0388,0.0945,0.065,0.1181,daily
3,15,acemosbs,pet,0.0955,0.0385,0.0945,0.065,0.128,daily
3,16,acemosbs,pet,0.0953,0.0383,0.0945,0.0669,0.126,daily
3,17,acemosbs,pet,0.0902,0.0325,0.0866,0.0669,0.1043,daily
