month,day,station,variable,mean,std_dev,median,q25,q75,type
1,1,acemusse,pet,0.0358,0.0189,0.0335,0.0197,0.0443,daily
1,2,acemusse,pet,0.0414,0.0235,0.0394,0.0236,0.0531,daily
1,3,acemusse,pet,0.0409,0.0325,0.0315,0.0138,0.0571,daily
1,4,acemusse,pet,0.0411,0.0302,0.0315,0.0177,0.063,daily
1,5,acemusse,pet,0.0381,0.0284,0.0354,0.0138,0.0531,daily
1,6,acemusse,pet,0.0413,0.0251,0.0394,0.0177,0.0669,daily
1,7,acemusse,pet,0.0375,0.0256,0.0354,0.0217,0.0453,daily
1,8,acemusse,pet,0.0395,0.0291,0.0354,0.0177,0.0472,daily
1,9,acemusse,pet,0.0405,0.0246,0.0433,0.0138,0.0571,daily
1,10,acemusse,pet,0.0425,0.0273,0.0433,0.0177,0.0571,daily
1,11,acemusse,pet,0.0422,0.0257,0.0433,0.0236,0.0551,daily
1,12,acemusse,pet,0.0424,0.0277,0.0354,0.0217,0.0591,daily
1,13,acemusse,pet,0.0474,0.0322,0.0433,0.0276,0.063,daily
1,14,acemusse,pet,0.039,0.022,0.0354,0.0236,0.0551,daily
1,15,acemusse,pet,0.0413,0.0242,0.0394,0.0256,0.0551,daily
1,16,acemusse,pet,0.0403,0.0209,0.0394,0.0236,0.0551,daily
1,17,acemusse,pet,0.0403,0.0206,0.0354,0.0256,0.0551,daily
1,18,acemusse,pet,0.042,0.0228,0.0394,0.0236,0.0551,daily
1,19,acemusse,pet,0.0467,0.0232,0.0433,0.0295,0.065,daily
1,20,acemusse,pet,0.0431,0.023,0.0354,0.0276,0.0551,daily
1,21,acemusse,pet,0.0424,0.0222,0.0354,0.0295,0.0571,daily
1,22,acemusse,pet,0.0408,0.0198,0.0394,0.0295,0.0512,daily
1,23,acemusse,pet,0.0415,0.0192,0.0394,0.0256,0.0551,daily
1,24,acemusse,pet,0.0438,0.0239,0.0354,0.0276,0.0571,daily
1,25,acemusse,pet,0.0472,0.0261,0.0433,0.0315,0.0669,daily
1,26,acemusse,pet,0.0451,0.0249,0.0433,0.0276,0.0571,daily
1,27,acemusse,pet,0.0462,0.0239,0.0433,0.0276,0.0571,daily
