month,day,station,variable,mean,std_dev,median,q25,q75,type
1,1,acenashu,pet,0.0182,0.0113,0.0177,0.0079,0.0246,daily
1,2,acenashu,pet,0.0227,0.0181,0.0157,0.0118,0.0276,daily
1,3,acenashu,pet,0.0215,0.02,0.0157,0.0079,0.0295,daily
1,4,acenashu,pet,0.0217,0.0193,0.0157,0.0079,0.0315,daily
1,5,acenashu,pet,0.0197,0.0162,0.0157,0.0079,0.0315,daily
1,6,acenashu,pet,0.0216,0.0151,0.0157,0.0098,0.0354,daily
1,7,acenashu,pet,0.0174,0.0111,0.0157,0.0098,0.0236,daily
1,8,acenashu,pet,0.0211,0.0192,0.0157,0.0079,0.0236,daily
1,9,acenashu,pet,0.0217,0.0149,0.0157,0.0079,0.0315,daily
1,10,acenashu,pet,0.0224,0.0156,0.0157,0.0118,0.0354,daily
1,11,acenashu,pet,0.0234,0.0183,0.0197,0.0098,0.0295,daily
1,12,acenashu,pet,0.0189,0.0137,0.0197,0.0079,0.0256,daily
1,13,acenashu,pet,0.0246,0.0239,0.0157,0.0118,0.0295,daily
1,14,acenashu,pet,0.0202,0.0133,0.0157,0.0098,0.0276,daily
1,15,acenashu,pet,0.0235,0.018,0.0197,0.0118,0.0276,daily
1,16,acenashu,pet,0.0227,0.0146,0.0197,0.0157,0.0276,daily
1,17,acenashu,pet,0.023,0.0147,0.0197,0.0118,0.0315,daily
1,18,acenashu,pet,0.0227,0.0154,0.0197,0.0118,0.0276,daily
1,19,acenashu,pet,0.0245,0.0175,0.0157,0.0118,0.0295,daily
1,20,acenashu,pet,0.0206,0.0144,0.0197,0.0118,0.0256,daily
1,21,acenashu,pet,0.0224,0.0103,0.0197,0.0138,0.0295,daily
1,22,acenashu,pet,0.026,0.0162,0.0197,0.0157,0.0354,daily
1,23,acenashu,pet,0.0241,0.0136,0.0197,0.0157,0.0315,daily
1,24,acenashu,pet,0.0235,0.0197,0.0157,0.0157,0.0276,daily
1,25,acenashu,pet,0.0257,0.0192,0.0197,0.0157,0.0295,daily
1,26,acenashu,pet,0.0243,0.017,0.0236,0.0098,0.0315,daily
1,27,acenashu,pet,0.0263,0.0159,0.0236,0.0138,0.0354,daily
1,28,acenashu,pet,0.0273,0.0169,0.0236,0.0118,0.0354,daily
