month,day,station,variable,mean,std_dev,median,q25,q75,type
1,1,aceotter,pr,0.0188,0.0468,0,0,0.003,daily
1,2,aceotter,pr,0.0201,0.0456,0,0,0.0177,daily
1,3,aceotter,pr,0.0182,0.0563,0,0,0,daily
1,4,aceotter,pr,0.0161,0.0337,0,0,0.0157,daily
1,5,aceotter,pr,0.0184,0.0479,0,0,0.0059,daily
1,6,aceotter,pr,0.0086,0.0226,0,0,0.0059,daily
1,7,aceotter,pr,0.0354,0.1182,0,0,0.0157,daily
1,8,aceotter,pr,0.0191,0.0577,0,0,0,daily
1,9,aceotter,pr,0.0113,0.023,0,0,0.0079,daily
1,10,aceotter,pr,0.0112,0.0365,0,0,0,daily
1,11,aceotter,pr,0.0243,0.0696,0,0,0,daily
1,12,aceotter,pr,0.0065,0.0156,0,0,0,daily
1,13,aceotter,pr,0.0159,0.0389,0,0,0,daily
1,14,aceotter,pr,0.0349,0.0888,0,0,0.0138,daily
1,15,aceotter,pr,0.024,0.0491,0,0,0.0118,daily
1,16,aceotter,pr,0.0107,0.0359,0,0,0,daily
1,17,aceotter,pr,0.0274,0.0668,0,0,0,daily
1,18,aceotter,pr,0.0108,0.0238,0,0,0.0059,daily
1,19,aceotter,pr,0.0061,0.0135,0,0,0,daily
1,20,aceotter,pr,0.0236,0.043,0,0,0.0354,daily
1,21,aceotter,pr,0.0311,0.0907,0,0,0,daily
1,22,aceotter,pr,0.014,0.0305,0,0,0.0197,daily
1,23,aceotter,pr,0.0122,0.0253,0,0,0.0098,daily
1,24,aceotter,pr,0.0138,0.0283,0,0,0.0217,daily
1,25,aceotter,pr,0.0036,0.0101,0,0,0,daily
1,26,aceotter,pr,0.011,0.0254,0,0,0.0079,daily
1,27,aceotter,pr,0.0334,0.0751,0,0,0.0118,daily
1,28,aceotter,pr,0.0222,0.0614,0,0,0.0157,daily
1,29,aceotter,pr,0.0144,0.0431,0,0,0,daily
1,30,aceotter,pr,0.0185,0.0432,0,0,0.0079,daily
1,31,aceotter,pr,0.0224,0.0428,0,0,0.0256,daily
2,1,aceotter,pr,0.0146,0.0339,0,0,0,daily
2,2,aceotter,pr,0.0259,0.0565,0,0,0.0177,daily
2,3,aceotter,pr,0.029,0.0751,0,0,0.0138,daily
2,4,aceotter,pr,0.0191,0.0678,0,0,0,daily
2,5,aceotter,pr,0.0278,0.0868,0,0,0,daily
2,6,aceotter,pr,0.0089,0.021,0,0,0.0059,daily
2,7,aceotter,pr,0.0342,0.0783,0,0,0.0157,daily
2,8,aceotter,pr,0.0194,0.0498,0,0,0.0079,daily
2,9,aceotter,pr,0.0201,0.049,0,0,0.0177,daily
2,10,aceotter,pr,0.0174,0.0445,0,0,0,daily
2,11,aceotter,pr,0.0208,0.0528,0,0,0.0098,daily
2,12,aceotter,pr,0.0137,0.0401,0,0,0,daily
2,13,aceotter,pr,0.0151,0.037,0,0,0.0177,daily
2,14,aceotter,pr,0.0193,0.0478,0,0,0,daily
2,15,aceotter,pr,0.0343,0.1099,0,0,0.0059,daily
2,16,aceotter,pr,0.0443,0.1002,0,0,0.0413,daily
2,17,aceotter,pr,0.0192,0.0373,0,0,0.0177,daily
2,18,aceotter,pr,0.0168,0.0433,0,0,0.0079,daily
