month,day,station,variable,mean,std_dev,median,q25,q75,type
1,1,acepines,tmmx,25.8913,12.6298,28.58,17.33,34.7,daily
1,2,acepines,tmmx,29.1577,12.1454,30.11,22.82,39.56,daily
1,3,acepines,tmmx,26.4403,15.7683,26.33,14.09,39.74,daily
1,4,acepines,tmmx,25.79,16.0644,24.89,13.73,41.99,daily
1,5,acepines,tmmx,24.8726,16.0825,24.71,10.85,38.12,daily
1,6,acepines,tmmx,26.121,15.5309,29.21,16.43,39.92,daily
1,7,acepines,tmmx,26.8119,13.2548,30.47,17.78,36.86,daily
1,8,acepines,tmmx,27.4216,13.6723,31.91,16.97,37.58,daily
1,9,acepines,tmmx,27.5784,12.9827,31.73,18.23,37.49,daily
1,10,acepines,tmmx,27.5726,15.825,31.91,16.25,40.82,daily
1,11,acepines,tmmx,26.8003,15.6818,30.83,19.67,37.67,daily
1,12,acepines,tmmx,25.5577,15.0384,27.95,16.52,38.57,daily
1,13,acepines,tmmx,27.9732,14.9129,31.37,19.49,39.11,daily
1,14,acepines,tmmx,26.1906,13.6331,31.01,16.52,36.68,daily
1,15,acepines,tmmx,27.6248,13.4547,30.47,21.02,38.3,daily
1,16,acepines,tmmx,27.1487,11.9427,28.85,23.9,34.16,daily
1,17,acepines,tmmx,27.6481,12.417,30.83,23.27,35.42,daily
1,18,acepines,tmmx,28.3797,13.0112,31.37,21.74,36.59,daily
1,19,acepines,tmmx,30.1913,12.3237,32.81,25.07,39.56,daily
1,20,acepines,tmmx,30.0577,9.0648,31.19,24.35,36.59,daily
1,21,acepines,tmmx,30.2668,8.6273,30.47,27.5,35.69,daily
1,22,acepines,tmmx,30.1332,9.763,31.91,26.06,34.07,daily
1,23,acepines,tmmx,29.8313,9.2218,30.29,24.53,37.4,daily
1,24,acepines,tmmx,28.6235,11.4914,29.39,21.56,38.03,daily
1,25,acepines,tmmx,28.9429,14.3462,30.47,19.04,38.66,daily
1,26,acepines,tmmx,29.3029,13.47,32.63,26.96,38.57,daily
1,27,acepines,tmmx,29.541,15.0133,35.51,20.21,40.19,daily
1,28,acepines,tmmx,30.1681,13.5158,32.81,24.8,39.02,daily
1,29,acepines,tmmx,28.9255,14.8186,32.63,23.63,36.86,daily
1,30,acepines,tmmx,30.7371,15.8009,34.25,19.4,41.99,daily
1,31,acepines,tmmx,30.9926,13.3052,32.99,23.18,41.54,daily
2,1,acepines,tmmx,30.981,15.3451,33.89,18.14,42.53,daily
2,2,acepines,tmmx,31.2248,14.5236,33.17,20.66,41.99,daily
2,3,acepines,tmmx,27.7932,14.3065,32.99,19.85,35.69,daily
2,4,acepines,tmmx,29.1868,14.0805,32.27,18.77,38.3,daily
2,5,acepines,tmmx,30.8416,12.9332,32.63,25.79,40.28,daily
2,6,acepines,tmmx,29.7152,14.4499,34.07,23.09,38.84,daily
2,7,acepines,tmmx,27.7932,15.6782,33.35,19.4,37.31,daily
2,8,acepines,tmmx,27.6597,17.2864,33.53,13.1,41.45,daily
2,9,acepines,tmmx,28.3332,15.9492,30.11,17.15,41.45,daily
2,10,acepines,tmmx,28.0255,11.8447,29.39,21.83,36.59,daily
2,11,acepines,tmmx,27.2706,11.8751,27.05,23.54,35.6,daily
2,12,acepines,tmmx,29.239,13.7015,31.37,24.08,39.29,daily
2,13,acepines,tmmx,32.7287,13.848,38.03,24.71,42.35,daily
2,14,acepines,tmmx,30.4584,13.2175,34.79,21.11,40.73,daily
2,15,acepines,tmmx,31.7358,12.1774,32.81,25.52,41,daily
2,16,acepines,tmmx,33.7681,12.2711,36.77,28.94,40.91,daily
2,17,acepines,tmmx,33.2513,14.1268,35.69,23.81,43.88,daily
2,18,acepines,tmmx,32.8042,13.4383,33.71,25.43,43.79,daily
2,19,acepines,tmmx,34.5171,14.2994,37.49,24.53,46.67,daily
2,20,acepines,tmmx,34.4532,14.6713,36.05,23.18,43.34,daily
2,21,acepines,tmmx,35.4113,14.7538,35.87,24.98,47.03,daily
2,22,acepines,tmmx,34.5868,15.6003,34.43,22.73,47.03,daily
2,23,acepines,tmmx,34.1513,13.614,36.59,25.43,43.88,daily
2,24,acepines,tmmx,32.0552,14.3085,32.81,26.33,40.1,daily
2,25,acepines,tmmx,31.2539,14.915,32.45,21.29,41.72,daily
2,26,acepines,tmmx,32.4152,14.3566,33.89,23.63,41.81,daily
2,27,acepines,tmmx,34.25,12.9283,31.55,25.16,43.61,daily
2,28,acepines,tmmx,34.9235,12.5586,33.17,29.21,43.07,daily
2,29,acepines,tmmx,41.45,13.4318,40.37,32.45,48.83,daily
3,1,acepines,tmmx,34.1339,13.7258,35.51,29.66,41.81,daily
3,2,acepines,tmmx,34.4184,14.2895,34.79,29.57,40.91,daily
3,3,acepines,tmmx,37.6758,13.1903,37.49,30.11,45.95,daily
3,4,acepines,tmmx,37.7629,14.9079,37.31,27.41,49.01,daily
3,5,acepines,tmmx,38.7674,14.9907,37.13,29.48,47.84,daily
3,6,acepines,tmmx,36.4158,16.1643,35.69,27.86,45.5,daily
3,7,acepines,tmmx,36.6365,14.4505,38.21,28.4,48.11,daily
3,8,acepines,tmmx,36.8745,14.7855,40.19,28.76,48.02,daily
3,9,acepines,tmmx,39.5629,15.1535,40.37,29.75,47.84,daily
3,10,acepines,tmmx,41.6242,14.3577,42.89,33.98,49.82,daily
3,11,acepines,tmmx,43.7087,13.2259,41.45,35.6,51.89,daily
3,12,acepines,tmmx,45.7874,13.2343,45.95,33.17,54.32,daily
3,13,acepines,tmmx,46.0661,12.5767,46.49,36.68,55.49,daily
3,14,acepines,tmmx,45.8048,11.2122,45.95,38.57,53.78,daily
3,15,acepines,tmmx,47.3494,11.9126,46.67,38.3,58.19,daily
3,16,acepines,tmmx,47.8197,11.8111,49.01,41,52.97,daily
3,17,acepines,tmmx,46.461,10.482,45.41,37.76,52.61,daily
3,18,acepines,tmmx,47.9184,12.5875,47.57,38.84,57.56,daily
3,19,acepines,tmmx,48.1448,12.3547,51.71,38.12,55.13,daily
3,20,acepines,tmmx,49.7648,12.0926,51.17,44.24,56.03,daily
3,21,acepines,tmmx,50.2352,12.1994,54.05,43.34,59.18,daily
3,22,acepines,tmmx,49.8694,12.5086,52.43,42.17,58.64,daily
3,23,acepines,tmmx,49.8752,13.6458,48.65,39.92,60.98,daily
3,24,acepines,tmmx,47.7906,14.3109,50.09,37.49,55.76,daily
3,25,acepines,tmmx,48.7835,12.7877,48.65,39.92,57.92,daily
3,26,acepines,tmmx,51.6287,11.7973,52.43,42.35,62.24,daily
3,27,acepines,tmmx,51.5126,11.594,51.17,44.6,59.27,daily
3,28,acepines,tmmx,50.9842,12.2823,49.73,42.8,58.82,daily
3,29,acepines,tmmx,51.3326,9.4602,53.33,45.05,57.02,daily
3,30,acepines,tmmx,52.1571,12.2,52.25,44.06,60.98,daily
3,31,acepines,tmmx,50.3571,13.5146,50.09,43.07,56.21,daily
4,1,acepines,tmmx,51.3384,12.4526,52.79,41.99,60.71,daily
4,2,acepines,tmmx,49.9448,13.63,50.99,43.43,58.37,daily
4,3,acepines,tmmx,51.7506,12.5911,50.81,43.25,60.26,daily
4,4,acepines,tmmx,55.0545,12.4277,53.69,43.61,66.74,daily
4,5,acepines,tmmx,52.6332,11.1126,55.13,47.03,59.36,daily
4,6,acepines,tmmx,53.3068,12.0156,57.29,48.38,60.98,daily
4,7,acepines,tmmx,55.0545,11.3105,56.21,51.35,60.35,daily
4,8,acepines,tmmx,55.4319,13.1298,56.93,47.84,64.58,daily
4,9,acepines,tmmx,53.1732,12.0409,54.77,47.03,60.08,daily
4,10,acepines,tmmx,53.9165,9.5481,53.51,49.37,60.62,daily
4,11,acepines,tmmx,53.9223,11.781,53.15,48.02,63.32,daily
4,12,acepines,tmmx,54.7468,12.979,52.61,45.5,66.11,daily
4,13,acepines,tmmx,57.5048,12.9594,58.37,50,67.82,daily
4,14,acepines,tmmx,56.6397,12.9126,56.03,47.03,66.11,daily
4,15,acepines,tmmx,55.0952,9.3225,57.29,49.01,61.16,daily
4,16,acepines,tmmx,56.1345,10.4347,54.59,49.01,63.14,daily
4,17,acepines,tmmx,61.2616,10.7815,61.97,55.13,68,daily
4,18,acepines,tmmx,58.9506,8.8154,59.27,54.32,66.02,daily
4,19,acepines,tmmx,58.8171,9.5549,61.07,53.87,64.31,daily
4,20,acepines,tmmx,61.2326,8.0508,60.71,56.75,68.63,daily
4,21,acepines,tmmx,63.0268,9.2063,62.69,57.29,71.51,daily
4,22,acepines,tmmx,65.2913,11.0467,65.03,58.73,74.66,daily
4,23,acepines,tmmx,61.7319,9.4414,61.97,55.85,66.29,daily
4,24,acepines,tmmx,60.6345,10.4464,60.71,52.61,67.28,daily
4,25,acepines,tmmx,59.3861,9.8305,60.53,54.14,66.11,daily
4,26,acepines,tmmx,59.4326,9.9322,60.35,51.71,66.56,daily
4,27,acepines,tmmx,61.7087,11.6134,61.43,52.61,68.9,daily
4,28,acepines,tmmx,62.2835,12.2363,64.49,54.23,70.43,daily
4,29,acepines,tmmx,61.2732,12.9274,61.61,50.99,71.51,daily
4,30,acepines,tmmx,60.3326,11.4325,61.97,50.72,66.38,daily
5,1,acepines,tmmx,60.0597,9.5518,60.53,53.69,64.76,daily
5,2,acepines,tmmx,63.1371,10.0697,61.43,57.11,70.88,daily
5,3,acepines,tmmx,64.9661,10.0066,65.57,61.07,68.99,daily
5,4,acepines,tmmx,64.8268,10.9479,65.57,60.44,72.05,daily
5,5,acepines,tmmx,66.4468,11.574,67.01,59.36,74.57,daily
5,6,acepines,tmmx,65.5526,10.7521,65.03,59.36,71.6,daily
5,7,acepines,tmmx,65.6339,10.1008,64.85,60.89,73.31,daily
5,8,acepines,tmmx,63.8745,10.3473,63.05,57.56,68.09,daily
5,9,acepines,tmmx,63.1719,10.0618,63.05,56.03,70.25,daily
5,10,acepines,tmmx,60.4197,9.7439,62.33,52.34,66.11,daily
5,11,acepines,tmmx,63.7061,9.6905,62.87,57.92,70.88,daily
5,12,acepines,tmmx,66.5571,12.9829,67.19,59.81,75.29,daily
5,13,acepines,tmmx,67.7416,10.303,66.47,62.33,73.31,daily
5,14,acepines,tmmx,69.4487,7.3982,68.99,64.31,74.75,daily
5,15,acepines,tmmx,70.6739,8.0201,70.25,64.76,76.73,daily
5,16,acepines,tmmx,70.3023,9.8993,71.15,63.77,76.82,daily
5,17,acepines,tmmx,71.6494,10.6481,72.77,65.39,80.33,daily
5,18,acepines,tmmx,71.3126,11.6878,72.41,65.57,76.64,daily
5,19,acepines,tmmx,70.4706,9.4433,68.63,63.95,76.55,daily
5,20,acepines,tmmx,71.2023,8.3639,71.33,66.65,77.72,daily
5,21,acepines,tmmx,70.9526,9.8811,70.43,66.02,78.35,daily
5,22,acepines,tmmx,69.5532,8.9213,70.25,64.04,76.28,daily
5,23,acepines,tmmx,67.8171,9.511,68.45,63.59,74.3,daily
5,24,acepines,tmmx,67.7997,9.8342,66.29,60.89,76.37,daily
5,25,acepines,tmmx,69.4371,10.2537,69.35,59.54,79.16,daily
5,26,acepines,tmmx,69.35,10.8238,68.09,61.34,77.36,daily
5,27,acepines,tmmx,70.9758,8.7842,71.69,64.49,78.62,daily
5,28,acepines,tmmx,72.4797,8.1364,72.59,69.62,76.91,daily
5,29,acepines,tmmx,71.539,7.895,72.41,65.84,75.56,daily
5,30,acepines,tmmx,71.87,8.931,73.67,66.56,77.99,daily
5,31,acepines,tmmx,71.7887,9.1607,71.15,64.22,77.27,daily
6,1,acepines,tmmx,73.3216,8.1178,72.59,68.54,78.71,daily
6,2,acepines,tmmx,75.4003,8.1658,75.11,69.89,80.51,daily
6,3,acepines,tmmx,74.4597,9.9124,75.47,67.91,80.87,daily
6,4,acepines,tmmx,75.4584,10.1021,75.83,68.72,83.12,daily
6,5,acepines,tmmx,75.3481,9.0313,76.55,69.98,80.78,daily
6,6,acepines,tmmx,74.6281,8.9922,76.19,69.89,80.51,daily
6,7,acepines,tmmx,73.159,9.8207,72.23,65.66,81.41,daily
6,8,acepines,tmmx,73.7223,11.7434,74.75,62.6,82.94,daily
6,9,acepines,tmmx,74.0242,10.1581,72.41,66.38,82.31,daily
6,10,acepines,tmmx,73.6468,8.5504,74.57,67.19,79.61,daily
6,11,acepines,tmmx,74.5119,7.7922,74.75,70.61,79.7,daily
6,12,acepines,tmmx,76.1087,8.089,76.73,73.13,82.22,daily
6,13,acepines,tmmx,77.5545,8.7317,77.45,72.41,83.93,daily
6,14,acepines,tmmx,75.6674,8.0859,73.13,70.34,82.31,daily
6,15,acepines,tmmx,75.4816,8.9414,74.21,69.8,79.52,daily
6,16,acepines,tmmx,75.441,8.7551,75.11,70.16,81.59,daily
6,17,acepines,tmmx,75.8881,9.1862,76.91,69.26,82.4,daily
6,18,acepines,tmmx,76.0158,7.0081,77.45,72.95,80.42,daily
6,19,acepines,tmmx,78.0365,6.9434,76.73,72.77,83.21,daily
6,20,acepines,tmmx,79.0177,7.6547,78.71,74.48,84.2,daily
6,21,acepines,tmmx,80.1326,8.6893,79.97,75.56,85.01,daily
6,22,acepines,tmmx,80.3242,7.7525,80.15,76.01,85.55,daily
6,23,acepines,tmmx,80.5797,6.9789,80.51,76.28,84.83,daily
6,24,acepines,tmmx,80.1906,7.9028,80.51,75.47,86.72,daily
6,25,acepines,tmmx,81.0152,6.5798,80.51,77.72,84.56,daily
6,26,acepines,tmmx,82.2287,7.6108,81.59,78.26,85.28,daily
6,27,acepines,tmmx,81.2416,7.6315,81.77,76.28,86.18,daily
6,28,acepines,tmmx,83.419,6.8042,82.49,78.44,87.53,daily
6,29,acepines,tmmx,83.6397,10.1783,84.83,75.92,92.03,daily
6,30,acepines,tmmx,81.1835,8.8977,82.13,74.84,87.08,daily
7,1,acepines,tmmx,82.8152,9.603,85.19,77.81,87.98,daily
7,2,acepines,tmmx,83.599,8.474,83.39,80.78,89.15,daily
7,3,acepines,tmmx,83.8371,10.2815,85.19,77.36,89.15,daily
7,4,acepines,tmmx,84.2552,9.2867,85.91,78.8,91.04,daily
7,5,acepines,tmmx,83.1287,8.7818,84.47,77.63,88.61,daily
7,6,acepines,tmmx,83.5061,7.9858,82.31,79.07,86.99,daily
7,7,acepines,tmmx,84.0984,6.2802,84.83,79.61,88.7,daily
7,8,acepines,tmmx,84.1623,7.2485,83.93,79.07,88.79,daily
7,9,acepines,tmmx,85.9913,8.3169,86.63,79.7,93.02,daily
7,10,acepines,tmmx,85.6894,9.6578,88.25,80.15,91.49,daily
