month,day,station,variable,mean,std_dev,median,q25,q75,type
1,1,acepowde,pr,0.0239,0.0553,0,0,0.0128,daily
1,2,acepowde,pr,0.0166,0.0398,0,0,0.0059,daily
1,3,acepowde,pr,0.0237,0.0665,0,0,0.0059,daily
1,4,acepowde,pr,0.0161,0.0402,0,0,0.0098,daily
1,5,acepowde,pr,0.0109,0.0304,0,0,0,daily
1,6,acepowde,pr,0.0091,0.0287,0,0,0,daily
1,7,acepowde,pr,0.0215,0.0546,0,0,0.0217,daily
1,8,acepowde,pr,0.0142,0.0309,0,0,0.0197,daily
1,9,acepowde,pr,0.0191,0.0569,0,0,0,daily
1,10,acepowde,pr,0.0117,0.0361,0,0,0,daily
1,11,acepowde,pr,0.0086,0.0213,0,0,0,daily
1,12,acepowde,pr,0.0144,0.0283,0,0,0,daily
1,13,acepowde,pr,0.0127,0.0323,0,0,0,daily
1,14,acepowde,pr,0.0165,0.0311,0,0,0.0197,daily
1,15,acepowde,pr,0.0264,0.0538,0,0,0.0197,daily
1,16,acepowde,pr,0.0086,0.0275,0,0,0,daily
1,17,acepowde,pr,0.0245,0.0543,0,0,0.0079,daily
1,18,acepowde,pr,0.0142,0.0638,0,0,0,daily
1,19,acepowde,pr,0.0138,0.0406,0,0,0,daily
1,20,acepowde,pr,0.0183,0.0471,0,0,0.0059,daily
1,21,acepowde,pr,0.0119,0.0471,0,0,0,daily
1,22,acepowde,pr,0.01,0.0262,0,0,0,daily
1,23,acepowde,pr,0.0155,0.0407,0,0,0.0059,daily
1,24,acepowde,pr,0.0146,0.029,0,0,0.0079,daily
1,25,acepowde,pr,0.0095,0.027,0,0,0,daily
1,26,acepowde,pr,0.0064,0.0149,0,0,0,daily
1,27,acepowde,pr,0.0142,0.027,0,0,0.0157,daily
1,28,acepowde,pr,0.018,0.0458,0,0,0.0079,daily
1,29,acepowde,pr,0.0141,0.0392,0,0,0,daily
1,30,acepowde,pr,0.0099,0.0172,0,0,0.0138,daily
1,31,acepowde,pr,0.0123,0.0246,0,0,0.0157,daily
2,1,acepowde,pr,0.0112,0.0305,0,0,0,daily
2,2,acepowde,pr,0.0126,0.0368,0,0,0,daily
2,3,acepowde,pr,0.0204,0.0573,0,0,0,daily
2,4,acepowde,pr,0.0154,0.051,0,0,0,daily
2,5,acepowde,pr,0.0098,0.0234,0,0,0.0059,daily
2,6,acepowde,pr,0.0069,0.015,0,0,0.0059,daily
2,7,acepowde,pr,0.0311,0.0826,0,0,0.0197,daily
2,8,acepowde,pr,0.0215,0.0503,0,0,0.0079,daily
2,9,acepowde,pr,0.0163,0.0418,0,0,0.0157,daily
2,10,acepowde,pr,0.0192,0.0409,0,0,0.0256,daily
2,11,acepowde,pr,0.0113,0.0317,0,0,0.0138,daily
2,12,acepowde,pr,0.0169,0.0607,0,0,0,daily
2,13,acepowde,pr,0.0083,0.0181,0,0,0.0059,daily
2,14,acepowde,pr,0.0157,0.0332,0,0,0.0157,daily
2,15,acepowde,pr,0.0175,0.0543,0,0,0,daily
2,16,acepowde,pr,0.0277,0.0559,0,0,0.0236,daily
2,17,acepowde,pr,0.0159,0.0302,0,0,0.0118,daily
2,18,acepowde,pr,0.0123,0.0318,0,0,0,daily
2,19,acepowde,pr,0.0047,0.0163,0,0,0,daily
2,20,acepowde,pr,0.0315,0.1476,0,0,0,daily
2,21,acepowde,pr,0.0046,0.0115,0,0,0,daily
2,22,acepowde,pr,0.017,0.0626,0,0,0,daily
2,23,acepowde,pr,0.0113,0.0302,0,0,0,daily
2,24,acepowde,pr,0.031,0.0566,0,0,0.0413,daily
2,25,acepowde,pr,0.0363,0.0857,0,0,0.0177,daily
2,26,acepowde,pr,0.026,0.0561,0,0,0.0217,daily
2,27,acepowde,pr,0.0291,0.0422,0,0,0.0551,daily
2,28,acepowde,pr,0.0253,0.0473,0,0,0.0256,daily
2,29,acepowde,pr,0.0846,0.1809,0,0,0.0699,daily
3,1,acepowde,pr,0.0273,0.0667,0,0,0.0059,daily
3,2,acepowde,pr,0.0065,0.0154,0,0,0,daily
3,3,acepowde,pr,0.0075,0.0185,0,0,0,daily
3,4,acepowde,pr,0.0293,0.0739,0,0,0.0217,daily
3,5,acepowde,pr,0.018,0.0419,0,0,0,daily
3,6,acepowde,pr,0.0102,0.0241,0,0,0,daily
3,7,acepowde,pr,0.006,0.0174,0,0,0,daily
3,8,acepowde,pr,0.0391,0.0936,0,0,0,daily
3,9,acepowde,pr,0.0166,0.0345,0,0,0.0177,daily
3,10,acepowde,pr,0.0302,0.0636,0,0,0.0295,daily
3,11,acepowde,pr,0.017,0.0575,0,0,0,daily
3,12,acepowde,pr,0.0114,0.0316,0,0,0,daily
3,13,acepowde,pr,0.0052,0.0131,0,0,0,daily
3,14,acepowde,pr,0.0161,0.0533,0,0,0,daily
3,15,acepowde,pr,0.0208,0.0568,0,0,0.0118,daily
3,16,acepowde,pr,0.0235,0.0648,0,0,0.0059,daily
3,17,acepowde,pr,0.0221,0.0548,0,0,0.0118,daily
3,18,acepowde,pr,0.053,0.2345,0,0,0,daily
3,19,acepowde,pr,0.0113,0.0314,0,0,0,daily
3,20,acepowde,pr,0.0251,0.0526,0,0,0.0256,daily
3,21,acepowde,pr,0.0166,0.0402,0,0,0,daily
3,22,acepowde,pr,0.0236,0.0621,0,0,0.0098,daily
3,23,acepowde,pr,0.0559,0.1228,0,0,0.0177,daily
3,24,acepowde,pr,0.0193,0.0461,0,0,0.0138,daily
3,25,acepowde,pr,0.0207,0.0511,0,0,0,daily
3,26,acepowde,pr,0.0178,0.0443,0,0,0.0157,daily
3,27,acepowde,pr,0.0386,0.0688,0,0,0.0551,daily
3,28,acepowde,pr,0.0453,0.1554,0,0,0.0217,daily
3,29,acepowde,pr,0.0193,0.049,0,0,0,daily
3,30,acepowde,pr,0.0749,0.1703,0,0,0.0571,daily
3,31,acepowde,pr,0.0291,0.0709,0,0,0.0236,daily
4,1,acepowde,pr,0.05,0.1643,0,0,0.0197,daily
4,2,acepowde,pr,0.0718,0.1908,0,0,0.0197,daily
