month,day,station,variable,mean,std_dev,median,q25,q75,type
1,1,acepowde,tmmx,30.9706,10.9749,33.17,23.225,38.255,daily
1,2,acepowde,tmmx,33.9132,10.8607,37.13,27.23,41.72,daily
1,3,acepowde,tmmx,31.9506,14.0401,34.07,23.45,43.79,daily
1,4,acepowde,tmmx,32.5371,15.205,35.51,22.01,44.6,daily
1,5,acepowde,tmmx,31.759,15.8866,35.69,23.27,40.91,daily
1,6,acepowde,tmmx,31.7474,14.2402,36.59,19.67,42.71,daily
1,7,acepowde,tmmx,34.2268,11.3649,36.05,28.94,39.2,daily
1,8,acepowde,tmmx,34.279,11.0642,36.23,28.94,40.73,daily
1,9,acepowde,tmmx,34.2848,11.1201,37.31,29.39,41.09,daily
1,10,acepowde,tmmx,33.6171,14.1057,36.23,29.03,43.7,daily
1,11,acepowde,tmmx,31.7648,15.5795,34.97,26.33,42.44,daily
1,12,acepowde,tmmx,31.7184,13.8419,36.05,19.67,41.27,daily
1,13,acepowde,tmmx,34.5752,12.3116,38.03,27.68,45.05,daily
1,14,acepowde,tmmx,32.6823,11.7249,35.51,29.12,38.84,daily
1,15,acepowde,tmmx,34.4474,11.0179,38.39,29.21,41.99,daily
1,16,acepowde,tmmx,33.6229,8.8377,35.33,30.56,39.65,daily
1,17,acepowde,tmmx,34.2152,9.309,35.33,32,40.28,daily
1,18,acepowde,tmmx,35.0745,10.0547,36.77,30.83,41.99,daily
1,19,acepowde,tmmx,36.77,8.8248,38.39,33.8,41.45,daily
1,20,acepowde,tmmx,36.4158,8.4543,38.03,31.46,40.37,daily
1,21,acepowde,tmmx,36.1661,8.6521,36.59,33.08,41.27,daily
1,22,acepowde,tmmx,34.6739,7.6916,35.33,32.45,39.92,daily
1,23,acepowde,tmmx,35.5913,7.9306,36.05,29.03,40.19,daily
1,24,acepowde,tmmx,34.9119,10.8524,35.69,26.78,41.54,daily
1,25,acepowde,tmmx,34.3777,13.6554,38.57,25.88,43.34,daily
1,26,acepowde,tmmx,35.5216,12.4283,40.01,26.96,42.08,daily
1,27,acepowde,tmmx,35.5274,12.7474,36.95,29.21,43.97,daily
1,28,acepowde,tmmx,35.6435,11.7776,36.59,29.57,41.54,daily
1,29,acepowde,tmmx,34.2906,12.9436,37.31,31.55,43.7,daily
1,30,acepowde,tmmx,35.7655,11.3923,38.39,28.76,44.42,daily
1,31,acepowde,tmmx,36.2184,10.9681,37.31,29.75,44.51,daily
2,1,acepowde,tmmx,35.5855,14.9578,38.39,23.81,47.3,daily
2,2,acepowde,tmmx,37.1184,12.5614,38.39,31.91,43.34,daily
2,3,acepowde,tmmx,34.3777,9.9973,36.59,29.57,40.01,daily
2,4,acepowde,tmmx,34.4474,12.6047,35.51,28.13,41.99,daily
2,5,acepowde,tmmx,35.8061,12.824,38.75,31.1,43.07,daily
2,6,acepowde,tmmx,34.6158,14.4432,37.49,28.04,43.43,daily
2,7,acepowde,tmmx,32.6474,14.1668,34.07,26.33,40.37,daily
2,8,acepowde,tmmx,33.3616,15.7643,35.51,23.99,45.5,daily
