month,day,station,variable,mean,std_dev,median,q25,q75,type
1,1,acerapl2,tmmx,34.8125,9.9895,36.77,29.39,42.08,daily
1,2,acerapl2,tmmx,37.4784,10.976,40.91,29.3,43.88,daily
1,3,acerapl2,tmmx,36.0616,12.4868,40.73,27.86,45.23,daily
1,4,acerapl2,tmmx,36.4216,13.2625,39.65,28.49,44.06,daily
1,5,acerapl2,tmmx,34.7552,14.0586,38.21,32.36,43.79,daily
1,6,acerapl2,tmmx,36.3752,10.5927,40.01,30.11,42.44,daily
1,7,acerapl2,tmmx,38.6571,9.8499,38.75,35.6,41.72,daily
1,8,acerapl2,tmmx,37.6526,9.289,39.29,34.07,43.7,daily
1,9,acerapl2,tmmx,38.181,11.0776,40.37,33.71,44.96,daily
1,10,acerapl2,tmmx,37.0894,12.7738,42.17,30.38,46.31,daily
1,11,acerapl2,tmmx,35.0455,14.3756,39.83,30.2,43.88,daily
1,12,acerapl2,tmmx,36.1719,12.9734,39.65,33.26,45.95,daily
1,13,acerapl2,tmmx,37.8035,13.1517,41.81,32.27,47.66,daily
1,14,acerapl2,tmmx,37.5539,12.044,40.37,33.17,45.86,daily
1,15,acerapl2,tmmx,39.4294,9.4519,41.45,34.34,46.49,daily
1,16,acerapl2,tmmx,37.6119,8.3088,39.11,32.63,43.79,daily
1,17,acerapl2,tmmx,38.1868,8.3171,39.47,34.25,43.25,daily
1,18,acerapl2,tmmx,39.6035,8.6168,40.37,35.87,45.32,daily
1,19,acerapl2,tmmx,40.73,7.258,41.09,38.21,44.15,daily
1,20,acerapl2,tmmx,39.8648,7.4556,39.29,34.7,44.78,daily
1,21,acerapl2,tmmx,38.9474,8.3049,39.11,35.96,42.17,daily
1,22,acerapl2,tmmx,36.8919,7.6804,37.49,33.62,41.99,daily
1,23,acerapl2,tmmx,37.5132,7.7873,37.13,31.73,43.16,daily
1,24,acerapl2,tmmx,38.4423,10.1197,39.29,32.54,45.59,daily
1,25,acerapl2,tmmx,38.8952,13.1912,41.99,34.34,47.39,daily
1,26,acerapl2,tmmx,39.3074,11.0169,41.81,33.35,46.85,daily
1,27,acerapl2,tmmx,38.5468,10.0995,37.85,30.47,46.04,daily
1,28,acerapl2,tmmx,39.5397,9.648,39.65,36.23,43.79,daily
1,29,acerapl2,tmmx,38.7616,11.1887,41.45,34.52,45.86,daily
1,30,acerapl2,tmmx,40.3642,10.0746,42.35,34.79,47.3,daily
1,31,acerapl2,tmmx,38.8487,10.9917,38.93,32.81,47.48,daily
2,1,acerapl2,tmmx,39.0229,13.2478,38.57,34.52,48.92,daily
2,2,acerapl2,tmmx,39.0403,11.2092,40.73,33.98,44.06,daily
2,3,acerapl2,tmmx,37.3797,10.1067,38.57,33.89,43.79,daily
2,4,acerapl2,tmmx,38.4713,13.9928,39.65,33.17,45.77,daily
2,5,acerapl2,tmmx,39.1216,14.2107,41.63,32.99,48.11,daily
2,6,acerapl2,tmmx,36.5435,14.4103,37.13,32.63,46.31,daily
2,7,acerapl2,tmmx,35.4519,14.3895,39.47,27.5,44.51,daily
2,8,acerapl2,tmmx,36.8455,15.0031,38.03,31.28,47.21,daily
2,9,acerapl2,tmmx,36.4681,15.7277,38.93,30.29,47.39,daily
2,10,acerapl2,tmmx,35.8758,11.8626,35.69,32.27,42.26,daily
2,11,acerapl2,tmmx,35.9513,12.5486,37.13,32.18,41.45,daily
2,12,acerapl2,tmmx,38.1926,13.2109,41.81,34.97,44.87,daily
2,13,acerapl2,tmmx,39.5106,13.1676,42.53,37.67,47.39,daily
2,14,acerapl2,tmmx,37.879,12.3381,40.19,32.36,43.97,daily
