month,day,station,variable,mean,std_dev,median,q25,q75,type
1,1,acericse,pr,0.0215,0.0492,0,0,0.0246,daily
1,2,acericse,pr,0.0222,0.0402,0,0,0.0256,daily
1,3,acericse,pr,0.0056,0.0121,0,0,0,daily
1,4,acericse,pr,0.009,0.0173,0,0,0.0118,daily
1,5,acericse,pr,0.0085,0.0233,0,0,0,daily
1,6,acericse,pr,0.0022,0.0074,0,0,0,daily
1,7,acericse,pr,0.005,0.0115,0,0,0,daily
1,8,acericse,pr,0.0155,0.0321,0,0,0.0118,daily
1,9,acericse,pr,0.0042,0.0096,0,0,0,daily
1,10,acericse,pr,0.0074,0.0246,0,0,0,daily
1,11,acericse,pr,0.0097,0.0297,0,0,0,daily
1,12,acericse,pr,0.0112,0.0328,0,0,0,daily
1,13,acericse,pr,0.0178,0.0362,0,0,0.0157,daily
1,14,acericse,pr,0.0077,0.0243,0,0,0,daily
1,15,acericse,pr,0.0053,0.0184,0,0,0,daily
1,16,acericse,pr,0.0131,0.0452,0,0,0,daily
1,17,acericse,pr,0.0164,0.043,0,0,0,daily
1,18,acericse,pr,0.008,0.0266,0,0,0,daily
1,19,acericse,pr,0.0052,0.0149,0,0,0,daily
1,20,acericse,pr,0.0105,0.0225,0,0,0.0079,daily
1,21,acericse,pr,0.0032,0.015,0,0,0,daily
1,22,acericse,pr,0.0157,0.0585,0,0,0,daily
1,23,acericse,pr,0.0066,0.0223,0,0,0,daily
1,24,acericse,pr,0.0183,0.0484,0,0,0,daily
1,25,acericse,pr,0.0079,0.0341,0,0,0,daily
1,26,acericse,pr,0.0029,0.0102,0,0,0,daily
1,27,acericse,pr,0.0098,0.0255,0,0,0,daily
1,28,acericse,pr,0.0044,0.0133,0,0,0,daily
1,29,acericse,pr,0.0117,0.0268,0,0,0,daily
1,30,acericse,pr,0.0116,0.0371,0,0,0,daily
1,31,acericse,pr,0.0036,0.016,0,0,0,daily
2,1,acericse,pr,0.0041,0.0152,0,0,0,daily
2,2,acericse,pr,0.0113,0.0292,0,0,0,daily
2,3,acericse,pr,0.0108,0.0382,0,0,0,daily
2,4,acericse,pr,0.008,0.0221,0,0,0,daily
2,5,acericse,pr,0.0069,0.0169,0,0,0,daily
2,6,acericse,pr,0.0072,0.0245,0,0,0,daily
2,7,acericse,pr,0.0062,0.02,0,0,0,daily
2,8,acericse,pr,0.0058,0.0251,0,0,0,daily
2,9,acericse,pr,0.0069,0.0183,0,0,0,daily
2,10,acericse,pr,0.0077,0.016,0,0,0,daily
2,11,acericse,pr,0.0113,0.0264,0,0,0,daily
2,12,acericse,pr,0.0041,0.0182,0,0,0,daily
2,13,acericse,pr,0.0086,0.0223,0,0,0,daily
2,14,acericse,pr,0.0041,0.0126,0,0,0,daily
2,15,acericse,pr,0.0241,0.087,0,0,0,daily
2,16,acericse,pr,0.0201,0.0475,0,0,0.0177,daily
2,17,acericse,pr,0.0107,0.0235,0,0,0,daily
2,18,acericse,pr,0.0097,0.032,0,0,0,daily
2,19,acericse,pr,0.0094,0.0259,0,0,0,daily
2,20,acericse,pr,0.0161,0.0585,0,0,0,daily
2,21,acericse,pr,0.0047,0.0165,0,0,0,daily
2,22,acericse,pr,0.0175,0.0505,0,0,0,daily
2,23,acericse,pr,0.0102,0.0259,0,0,0,daily
2,24,acericse,pr,0.0165,0.0426,0,0,0.0157,daily
2,25,acericse,pr,0.024,0.0847,0,0,0,daily
2,26,acericse,pr,0.0114,0.0266,0,0,0,daily
2,27,acericse,pr,0.0084,0.02,0,0,0,daily
2,28,acericse,pr,0.0127,0.0486,0,0,0,daily
2,29,acericse,pr,0.0089,0.0128,0,0,0.0197,daily
3,1,acericse,pr,0.0057,0.0156,0,0,0,daily
3,2,acericse,pr,0.0055,0.016,0,0,0,daily
3,3,acericse,pr,0.0145,0.0421,0,0,0,daily
3,4,acericse,pr,0.0191,0.0346,0,0,0.0354,daily
3,5,acericse,pr,0.0225,0.0467,0,0,0.0236,daily
3,6,acericse,pr,0.0169,0.0462,0,0,0,daily
3,7,acericse,pr,0.0086,0.0227,0,0,0,daily
3,8,acericse,pr,0.0094,0.0268,0,0,0,daily
3,9,acericse,pr,0.0056,0.0167,0,0,0,daily
3,10,acericse,pr,0.0118,0.0276,0,0,0,daily
3,11,acericse,pr,0.0146,0.0403,0,0,0,daily
3,12,acericse,pr,0.0141,0.0507,0,0,0,daily
3,13,acericse,pr,0.0032,0.0177,0,0,0,daily
3,14,acericse,pr,0.01,0.0265,0,0,0,daily
3,15,acericse,pr,0.014,0.0322,0,0,0,daily
3,16,acericse,pr,0.0145,0.02,0,0,0.0315,daily
3,17,acericse,pr,0.0445,0.1597,0,0,0.0295,daily
3,18,acericse,pr,0.0323,0.0723,0,0,0.0217,daily
3,19,acericse,pr,0.0091,0.0188,0,0,0,daily
3,20,acericse,pr,0.005,0.0234,0,0,0,daily
3,21,acericse,pr,0.0057,0.0207,0,0,0,daily
3,22,acericse,pr,0.022,0.0589,0,0,0.0059,daily
3,23,acericse,pr,0.0279,0.0613,0,0,0.0157,daily
3,24,acericse,pr,0.0107,0.0244,0,0,0,daily
3,25,acericse,pr,0.0036,0.0115,0,0,0,daily
3,26,acericse,pr,0.0098,0.0271,0,0,0,daily
3,27,acericse,pr,0.0159,0.0449,0,0,0.0059,daily
3,28,acericse,pr,0.0248,0.0626,0,0,0.0079,daily
3,29,acericse,pr,0.0168,0.0363,0,0,0.0177,daily
3,30,acericse,pr,0.0401,0.0971,0,0,0.0256,daily
3,31,acericse,pr,0.011,0.0273,0,0,0,daily
4,1,acericse,pr,0.0064,0.0202,0,0,0,daily
4,2,acericse,pr,0.0343,0.0915,0,0,0,daily
4,3,acericse,pr,0.0213,0.0543,0,0,0,daily
4,4,acericse,pr,0.0189,0.0445,0,0,0.0177,daily
4,5,acericse,pr,0.0429,0.1072,0,0,0.0335,daily
4,6,acericse,pr,0.0378,0.1116,0,0,0.0197,daily
4,7,acericse,pr,0.0097,0.0339,0,0,0,daily
4,8,acericse,pr,0.038,0.1073,0,0,0.0079,daily
4,9,acericse,pr,0.0284,0.0627,0,0,0,daily
4,10,acericse,pr,0.0366,0.0731,0,0,0.0453,daily
4,11,acericse,pr,0.0227,0.0553,0,0,0.0197,daily
4,12,acericse,pr,0.0253,0.0766,0,0,0,daily
4,13,acericse,pr,0.0177,0.0381,0,0,0.0138,daily
4,14,acericse,pr,0.0601,0.1394,0.0118,0,0.0394,daily
4,15,acericse,pr,0.0164,0.0424,0,0,0.0059,daily
4,16,acericse,pr,0.026,0.0662,0,0,0.0098,daily
4,17,acericse,pr,0.0813,0.2141,0,0,0.063,daily
4,18,acericse,pr,0.1168,0.3211,0,0,0.0709,daily
4,19,acericse,pr,0.0737,0.1639,0,0,0.0827,daily
4,20,acericse,pr,0.0378,0.1138,0,0,0.0197,daily
4,21,acericse,pr,0.0424,0.1266,0,0,0.0079,daily
4,22,acericse,pr,0.0302,0.1231,0,0,0,daily
4,23,acericse,pr,0.0382,0.0775,0,0,0.0374,daily
4,24,acericse,pr,0.0768,0.2521,0,0,0.0236,daily
4,25,acericse,pr,0.0457,0.107,0,0,0.0236,daily
4,26,acericse,pr,0.0592,0.1152,0,0,0.0571,daily
4,27,acericse,pr,0.0898,0.2034,0,0,0.0256,daily
4,28,acericse,pr,0.0272,0.0675,0,0,0,daily
4,29,acericse,pr,0.0738,0.1885,0,0,0.0315,daily
4,30,acericse,pr,0.0353,0.0866,0,0,0.0157,daily
5,1,acericse,pr,0.0851,0.2974,0,0,0.0059,daily
5,2,acericse,pr,0.0272,0.0603,0,0,0.0217,daily
5,3,acericse,pr,0.0337,0.0761,0,0,0.0118,daily
5,4,acericse,pr,0.062,0.13,0,0,0.0394,daily
5,5,acericse,pr,0.0607,0.1603,0,0,0.0413,daily
5,6,acericse,pr,0.1287,0.2053,0,0,0.2362,daily
5,7,acericse,pr,0.0441,0.0656,0.0118,0,0.0669,daily
