month,day,station,variable,mean,std_dev,median,q25,q75,type
1,1,acericse,rmin,49.5563,8.2325,50.25,45.075,53.625,daily
1,2,acericse,rmin,48.9097,11.0775,49.7,41.9,56.55,daily
1,3,acericse,rmin,50.5839,14.0506,48.4,44.75,54.35,daily
1,4,acericse,rmin,49.4677,12.5327,47.1,40.8,56.3,daily
1,5,acericse,rmin,51.471,9.5151,49.3,45.6,56.75,daily
1,6,acericse,rmin,49.1484,10.4267,50.2,46.15,53.95,daily
1,7,acericse,rmin,52.1226,11.735900000000001,53.4,45.95,55.9,daily
1,8,acericse,rmin,51.8839,11.4464,50,44.5,56.25,daily
1,9,acericse,rmin,50.0226,9.5566,50.2,41.7,57.25,daily
1,10,acericse,rmin,48.8355,10.541,46.2,41.45,55.3,daily
1,11,acericse,rmin,49.771,10.8156,50.6,43.05,59.4,daily
1,12,acericse,rmin,47.6806,8.8457,48.9,43.65,53,daily
1,13,acericse,rmin,48.7871,10.5745,48.9,42.15,55.85,daily
1,14,acericse,rmin,51.1194,9.3025,50.2,44.25,58.1,daily
1,15,acericse,rmin,49.6452,8.0567,52.7,44.5,54.4,daily
1,16,acericse,rmin,48.4129,8.749,49.7,42.85,54.3,daily
1,17,acericse,rmin,48.529,9.2582,49.3,44.3,53.15,daily
1,18,acericse,rmin,51.1355,8.7019,51,44.9,56.85,daily
1,19,acericse,rmin,51.5806,9.6236,51.9,46.05,58,daily
1,20,acericse,rmin,51.3548,10.6042,53.4,45.6,59.15,daily
1,21,acericse,rmin,50.4194,9.4421,51.6,47.55,56.55,daily
1,22,acericse,rmin,49.7452,10.6365,50.7,44,56.9,daily
1,23,acericse,rmin,49.5742,10.2832,48.3,44.3,55.25,daily
1,24,acericse,rmin,51.6226,9.1287,50.2,47.3,57.7,daily
1,25,acericse,rmin,51.5806,8.5133,50.3,44.1,57.1,daily
1,26,acericse,rmin,52.3032,8.7187,51.9,45.25,57.8,daily
1,27,acericse,rmin,51.7129,9.316,54.4,45.35,58.8,daily
1,28,acericse,rmin,48.9581,9.7374,50.1,41.55,55.05,daily
1,29,acericse,rmin,48.2355,10.6037,49.2,39.75,58.05,daily
1,30,acericse,rmin,49.4258,8.2823,50.6,44.25,54.75,daily
1,31,acericse,rmin,48.0226,10.6338,48.8,38.65,54.65,daily
2,1,acericse,rmin,47.971,13.64,48.3,42,57.25,daily
2,2,acericse,rmin,49.2161,14.3615,49.4,42.7,55.9,daily
2,3,acericse,rmin,52.1871,14.6554,52.4,41.15,60.8,daily
2,4,acericse,rmin,51.6935,12.7466,52,43.05,57.05,daily
2,5,acericse,rmin,52.5355,14.1407,52.7,45.45,59.7,daily
2,6,acericse,rmin,52.4548,14.7175,51.1,43.35,57.75,daily
2,7,acericse,rmin,52.0129,14.1573,49.1,43.35,59.6,daily
2,8,acericse,rmin,51.9935,12.243,50.9,43.2,58.3,daily
2,9,acericse,rmin,50.2323,9.7535,50,43.3,56.15,daily
2,10,acericse,rmin,49.7355,11.9826,50.9,40.15,58.85,daily
2,11,acericse,rmin,48.5452,11.3746,50.3,41.65,56.85,daily
2,12,acericse,rmin,47.2226,13.1458,47.5,38.15,56.9,daily
2,13,acericse,rmin,49.4516,13.4341,46.9,41.5,54.25,daily
