month,day,station,variable,mean,std_dev,median,q25,q75,type
1,1,acerocks,pet,0.0231,0.0114,0.0217,0.0157,0.0285,daily
1,2,acerocks,pet,0.0253,0.0151,0.0236,0.0157,0.0315,daily
1,3,acerocks,pet,0.0234,0.019,0.0157,0.0118,0.0335,daily
1,4,acerocks,pet,0.0263,0.0198,0.0236,0.0118,0.0374,daily
1,5,acerocks,pet,0.0232,0.015,0.0197,0.0118,0.0374,daily
1,6,acerocks,pet,0.0253,0.0149,0.0276,0.0138,0.0354,daily
1,7,acerocks,pet,0.0216,0.0133,0.0197,0.0118,0.0276,daily
1,8,acerocks,pet,0.024,0.018,0.0197,0.0138,0.0295,daily
1,9,acerocks,pet,0.0255,0.0152,0.0197,0.0118,0.0354,daily
1,10,acerocks,pet,0.026,0.0164,0.0236,0.0138,0.0354,daily
1,11,acerocks,pet,0.0263,0.0171,0.0236,0.0118,0.0354,daily
1,12,acerocks,pet,0.0253,0.0154,0.0197,0.0138,0.0354,daily
1,13,acerocks,pet,0.0305,0.0246,0.0236,0.0177,0.0354,daily
1,14,acerocks,pet,0.0244,0.0146,0.0236,0.0157,0.0315,daily
1,15,acerocks,pet,0.0269,0.018,0.0236,0.0157,0.0335,daily
1,16,acerocks,pet,0.0264,0.0141,0.0236,0.0157,0.0354,daily
1,17,acerocks,pet,0.0274,0.0149,0.0276,0.0177,0.0394,daily
1,18,acerocks,pet,0.0268,0.0145,0.0276,0.0157,0.0354,daily
1,19,acerocks,pet,0.0307,0.019,0.0276,0.0157,0.0394,daily
1,20,acerocks,pet,0.0271,0.0175,0.0236,0.0157,0.0315,daily
1,21,acerocks,pet,0.0271,0.0145,0.0236,0.0177,0.0315,daily
1,22,acerocks,pet,0.029,0.0156,0.0276,0.0217,0.0315,daily
1,23,acerocks,pet,0.0288,0.0131,0.0236,0.0197,0.0374,daily
1,24,acerocks,pet,0.0278,0.0165,0.0236,0.0157,0.0354,daily
1,25,acerocks,pet,0.0295,0.0175,0.0276,0.0197,0.0335,daily
1,26,acerocks,pet,0.0302,0.0173,0.0276,0.0197,0.0354,daily
1,27,acerocks,pet,0.0314,0.0183,0.0276,0.0197,0.0374,daily
1,28,acerocks,pet,0.0311,0.0167,0.0315,0.0177,0.0394,daily
1,29,acerocks,pet,0.0302,0.0196,0.0276,0.0157,0.0374,daily
1,30,acerocks,pet,0.0324,0.018,0.0315,0.0157,0.0433,daily
1,31,acerocks,pet,0.033,0.0204,0.0276,0.0177,0.0433,daily
2,1,acerocks,pet,0.0343,0.0266,0.0276,0.0157,0.0453,daily
2,2,acerocks,pet,0.0316,0.0201,0.0276,0.0157,0.0374,daily
2,3,acerocks,pet,0.025,0.0144,0.0236,0.0157,0.0315,daily
