month,day,station,variable,mean,std_dev,median,q25,q75,type
1,1,aceroyeg,tmmx,32.4163,11.1974,32.45,28.13,40.19,daily
1,2,aceroyeg,tmmx,35.2719,12.6935,38.03,28.76,45.41,daily
1,3,aceroyeg,tmmx,32.45,16.4161,35.33,20.21,47.21,daily
1,4,aceroyeg,tmmx,32.5603,16.3464,39.11,18.5,44.78,daily
1,5,aceroyeg,tmmx,30.5977,16.6148,34.07,15.53,42.35,daily
1,6,aceroyeg,tmmx,32.2642,14.9707,36.59,20.21,43.34,daily
1,7,aceroyeg,tmmx,33.6055,12.7332,37.31,24.8,39.74,daily
1,8,aceroyeg,tmmx,33.861,12.4844,37.85,25.43,41.45,daily
1,9,aceroyeg,tmmx,33.6287,14.5715,39.47,21.92,44.42,daily
1,10,aceroyeg,tmmx,33.6171,16.9409,38.75,25.97,45.41,daily
1,11,aceroyeg,tmmx,32.2177,17.2836,37.67,21.65,45.95,daily
1,12,aceroyeg,tmmx,32.7926,15.2702,36.95,23.09,42.98,daily
1,13,aceroyeg,tmmx,34.8016,15.5856,37.31,28.31,45.95,daily
1,14,aceroyeg,tmmx,33.6577,14.0382,36.23,27.5,42.62,daily
1,15,aceroyeg,tmmx,35.3184,12.1946,38.21,30.56,43.16,daily
1,16,aceroyeg,tmmx,33.7448,11.3393,33.53,30.02,41.81,daily
1,17,aceroyeg,tmmx,34.2674,12.9702,36.41,30.29,42.35,daily
1,18,aceroyeg,tmmx,36.3055,12.6604,37.13,31.1,44.78,daily
1,19,aceroyeg,tmmx,37.6526,11.2475,39.83,31.82,45.5,daily
1,20,aceroyeg,tmmx,38.3087,9.2577,39.47,33.62,43.43,daily
1,21,aceroyeg,tmmx,36.5377,9.5867,38.39,33.8,41.72,daily
1,22,aceroyeg,tmmx,35.6958,9.0097,36.95,32.99,42.08,daily
1,23,aceroyeg,tmmx,36.1777,9.0991,35.33,29.93,43.43,daily
1,24,aceroyeg,tmmx,35.9048,12.7792,36.59,29.75,44.15,daily
1,25,aceroyeg,tmmx,36.5435,15.2202,39.47,27.68,46.49,daily
1,26,aceroyeg,tmmx,36.6597,14.2248,41.27,29.75,45.14,daily
1,27,aceroyeg,tmmx,35.7713,14.0603,38.57,27.14,45.95,daily
1,28,aceroyeg,tmmx,36.0326,13.7385,38.93,30.47,44.06,daily
1,29,aceroyeg,tmmx,36.1313,14.4696,38.93,30.83,45.95,daily
1,30,aceroyeg,tmmx,37.3042,14.1749,41.27,27.59,46.67,daily
1,31,aceroyeg,tmmx,37.0835,13.586,39.29,27.05,47.12,daily
2,1,aceroyeg,tmmx,37.7861,15.4218,38.57,25.97,47.84,daily
2,2,aceroyeg,tmmx,37.9139,13.5259,37.49,32.54,44.96,daily
2,3,aceroyeg,tmmx,34.221,13.5946,36.23,28.13,42.62,daily
2,4,aceroyeg,tmmx,35.9803,15.076,38.93,28.31,43.61,daily
2,5,aceroyeg,tmmx,37.2577,14.1628,41.27,30.74,44.87,daily
2,6,aceroyeg,tmmx,35.5042,16.0123,39.65,27.32,48.02,daily
2,7,aceroyeg,tmmx,32.961,16.3447,38.03,23.72,44.06,daily
2,8,aceroyeg,tmmx,33.3152,17.9126,38.93,17.69,45.41,daily
2,9,aceroyeg,tmmx,34.0874,16.6452,37.31,26.06,44.87,daily
2,10,aceroyeg,tmmx,33.0713,12.8212,34.43,28.31,38.75,daily
2,11,aceroyeg,tmmx,32.7055,14.1732,34.07,26.15,40.82,daily
2,12,aceroyeg,tmmx,35.7481,15.422,39.65,29.75,46.49,daily
2,13,aceroyeg,tmmx,38.1287,15.2806,42.89,30.92,48.2,daily
2,14,aceroyeg,tmmx,36.0326,13.7122,38.21,27.77,46.58,daily
2,15,aceroyeg,tmmx,38.1287,12.9165,37.67,30.29,45.86,daily
2,16,aceroyeg,tmmx,39.5803,13.6597,42.71,36.5,47.93,daily
2,17,aceroyeg,tmmx,38.4481,14.2615,42.17,32.09,49.91,daily
2,18,aceroyeg,tmmx,38.4945,13.1209,40.73,32.27,48.74,daily
2,19,aceroyeg,tmmx,39.7777,13.7688,42.17,31.64,50.9,daily
2,20,aceroyeg,tmmx,38.9474,13.6487,40.37,33.35,48.56,daily
2,21,aceroyeg,tmmx,40.0623,13.5698,40.37,34.43,49.01,daily
2,22,aceroyeg,tmmx,39.0577,13.6319,38.75,30.65,50.99,daily
2,23,aceroyeg,tmmx,38.2216,13.124,38.75,34.07,48.56,daily
2,24,aceroyeg,tmmx,36.3635,15.1242,38.39,30.47,45.05,daily
2,25,aceroyeg,tmmx,35.661,15.362,37.85,29.39,45.68,daily
2,26,aceroyeg,tmmx,36.8165,14.4634,38.75,28.31,45.23,daily
2,27,aceroyeg,tmmx,38.2913,13.3466,35.69,29.84,48.11,daily
2,28,aceroyeg,tmmx,39.7952,13.5807,39.47,34.43,45.68,daily
2,29,aceroyeg,tmmx,46.5125,12.1384,46.67,38.885,54.14,daily
3,1,aceroyeg,tmmx,39.2552,14.9732,39.83,33.26,50,daily
3,2,aceroyeg,tmmx,39.5106,14.9705,39.47,31.73,51.26,daily
3,3,aceroyeg,tmmx,43.2442,14.193,43.97,35.15,54.59,daily
3,4,aceroyeg,tmmx,42.6577,14.9998,42.53,34.61,55.13,daily
3,5,aceroyeg,tmmx,43.2094,14.4978,45.41,34.79,52.07,daily
3,6,aceroyeg,tmmx,41.1713,16.3959,43.25,31.01,51.71,daily
3,7,aceroyeg,tmmx,41.1074,14.8057,47.03,32.18,53.33,daily
3,8,aceroyeg,tmmx,41.7229,14.5067,44.69,34.25,53.96,daily
3,9,aceroyeg,tmmx,44.6435,14.5346,46.31,39.83,52.7,daily
3,10,aceroyeg,tmmx,46.9139,13.5904,48.29,40.73,54.23,daily
3,11,aceroyeg,tmmx,48.0345,11.8022,48.83,41.9,56.39,daily
3,12,aceroyeg,tmmx,50.0029,12.2765,48.47,42.17,58.46,daily
3,13,aceroyeg,tmmx,50.1074,11.3133,50.81,40.46,58.64,daily
3,14,aceroyeg,tmmx,50.2816,11.5818,49.91,43.7,58.46,daily
3,15,aceroyeg,tmmx,50.961,12.0658,52.79,44.87,59.27,daily
3,16,aceroyeg,tmmx,50.6532,10.8153,50.09,46.67,55.67,daily
3,17,aceroyeg,tmmx,48.3248,9.603,47.75,42.98,52.34,daily
3,18,aceroyeg,tmmx,50.0552,11.6961,49.01,42.89,59,daily
3,19,aceroyeg,tmmx,50.2816,11.967,51.17,43.16,57.74,daily
3,20,aceroyeg,tmmx,51.6403,12.1748,49.73,47.21,58.28,daily
3,21,aceroyeg,tmmx,51.7971,11.7507,53.87,48.2,57.47,daily
3,22,aceroyeg,tmmx,50.6416,11.849,52.25,41.36,58.73,daily
3,23,aceroyeg,tmmx,50.6765,13.1553,52.97,37.31,59.99,daily
3,24,aceroyeg,tmmx,48.3713,14.0539,49.19,38.66,54.86,daily
3,25,aceroyeg,tmmx,50.3803,11.6528,50.09,43.43,58.82,daily
3,26,aceroyeg,tmmx,52.0642,10.8011,52.97,45.86,61.43,daily
3,27,aceroyeg,tmmx,52.1919,11.361,52.97,45.5,58.64,daily
3,28,aceroyeg,tmmx,51.1294,10.9566,48.65,43.79,58.19,daily
3,29,aceroyeg,tmmx,51.2629,9.8102,51.53,44.6,58.28,daily
3,30,aceroyeg,tmmx,53.8758,11.2871,53.87,47.75,60.8,daily
3,31,aceroyeg,tmmx,52.6332,11.8921,50.99,48.2,57.38,daily
4,1,aceroyeg,tmmx,53.1326,11.8673,55.85,46.67,61.25,daily
4,2,aceroyeg,tmmx,51.1816,13.7171,52.07,44.51,58.28,daily
4,3,aceroyeg,tmmx,52.8365,11.4593,53.51,43.52,59.72,daily
4,4,aceroyeg,tmmx,56.0881,11.746,56.57,45.68,66.2,daily
4,5,aceroyeg,tmmx,53.9455,10.0996,55.49,49.46,59.18,daily
4,6,aceroyeg,tmmx,54.0035,11.7728,55.13,49.91,62.33,daily
4,7,aceroyeg,tmmx,55.5655,11.0627,57.29,51.26,61.34,daily
4,8,aceroyeg,tmmx,55.6294,11.6018,55.31,50.72,64.49,daily
4,9,aceroyeg,tmmx,53.8352,10.7882,52.97,49.82,59.54,daily
4,10,aceroyeg,tmmx,54.9384,9.1745,54.23,50.09,62.51,daily
4,11,aceroyeg,tmmx,54.619,12.2578,56.03,46.49,64.67,daily
4,12,aceroyeg,tmmx,54.3752,12.5571,52.43,45.68,64.76,daily
4,13,aceroyeg,tmmx,57.5165,12.6946,57.47,50.72,67.73,daily
4,14,aceroyeg,tmmx,56.0184,11.8395,56.93,49.55,63.41,daily
4,15,aceroyeg,tmmx,53.5681,8.6605,53.87,47.21,59.99,daily
