month,day,station,variable,mean,std_dev,median,q25,q75,type
1,1,acesavoy,pet,0.0256,0.0144,0.0236,0.0148,0.0285,daily
1,2,acesavoy,pet,0.0295,0.0245,0.0236,0.0138,0.0354,daily
1,3,acesavoy,pet,0.0296,0.0305,0.0157,0.0079,0.0413,daily
1,4,acesavoy,pet,0.0304,0.0276,0.0276,0.0079,0.0413,daily
1,5,acesavoy,pet,0.0297,0.0267,0.0197,0.0079,0.0394,daily
1,6,acesavoy,pet,0.0304,0.0241,0.0236,0.0098,0.0453,daily
1,7,acesavoy,pet,0.0255,0.0186,0.0236,0.0118,0.0335,daily
1,8,acesavoy,pet,0.0284,0.0271,0.0197,0.0098,0.0394,daily
1,9,acesavoy,pet,0.0282,0.0218,0.0236,0.0118,0.0394,daily
1,10,acesavoy,pet,0.0291,0.0212,0.0197,0.0118,0.0413,daily
1,11,acesavoy,pet,0.0297,0.023,0.0197,0.0118,0.0472,daily
1,12,acesavoy,pet,0.0269,0.0196,0.0236,0.0118,0.0354,daily
1,13,acesavoy,pet,0.033,0.0308,0.0236,0.0138,0.0354,daily
1,14,acesavoy,pet,0.0267,0.0177,0.0197,0.0118,0.0413,daily
1,15,acesavoy,pet,0.0325,0.0228,0.0276,0.0157,0.0453,daily
1,16,acesavoy,pet,0.031,0.0183,0.0276,0.0157,0.0413,daily
1,17,acesavoy,pet,0.0319,0.0207,0.0236,0.0157,0.0453,daily
1,18,acesavoy,pet,0.0319,0.0228,0.0236,0.0138,0.0472,daily
1,19,acesavoy,pet,0.0345,0.0258,0.0236,0.0157,0.0472,daily
1,20,acesavoy,pet,0.0298,0.0205,0.0236,0.0157,0.0394,daily
1,21,acesavoy,pet,0.0302,0.0191,0.0276,0.0157,0.0374,daily
1,22,acesavoy,pet,0.0324,0.019,0.0276,0.0197,0.0433,daily
1,23,acesavoy,pet,0.0304,0.016,0.0276,0.0197,0.0394,daily
1,24,acesavoy,pet,0.031,0.0226,0.0197,0.0157,0.0433,daily
1,25,acesavoy,pet,0.0339,0.0257,0.0276,0.0157,0.0453,daily
1,26,acesavoy,pet,0.0348,0.0246,0.0315,0.0138,0.0492,daily
1,27,acesavoy,pet,0.0337,0.0203,0.0276,0.0157,0.0472,daily
1,28,acesavoy,pet,0.0351,0.0221,0.0315,0.0197,0.0413,daily
1,29,acesavoy,pet,0.0359,0.0316,0.0276,0.0157,0.0433,daily
1,30,acesavoy,pet,0.0381,0.0282,0.0354,0.0138,0.0492,daily
1,31,acesavoy,pet,0.0348,0.0257,0.0276,0.0157,0.0472,daily
2,1,acesavoy,pet,0.0382,0.0315,0.0315,0.0157,0.0531,daily
2,2,acesavoy,pet,0.0377,0.0267,0.0315,0.0197,0.0492,daily
2,3,acesavoy,pet,0.0315,0.0248,0.0276,0.0138,0.0413,daily
2,4,acesavoy,pet,0.0321,0.0187,0.0315,0.0157,0.0433,daily
2,5,acesavoy,pet,0.0326,0.0201,0.0276,0.0177,0.0453,daily
2,6,acesavoy,pet,0.0311,0.0192,0.0315,0.0177,0.0472,daily
2,7,acesavoy,pet,0.0293,0.0218,0.0236,0.0098,0.0394,daily
2,8,acesavoy,pet,0.0297,0.0208,0.0276,0.0118,0.0413,daily
2,9,acesavoy,pet,0.0323,0.0215,0.0315,0.0138,0.0433,daily
2,10,acesavoy,pet,0.0357,0.0231,0.0276,0.0197,0.0472,daily
2,11,acesavoy,pet,0.0339,0.0242,0.0276,0.0236,0.0433,daily
2,12,acesavoy,pet,0.0415,0.0282,0.0315,0.0236,0.0571,daily
2,13,acesavoy,pet,0.0483,0.0308,0.0512,0.0217,0.0669,daily
2,14,acesavoy,pet,0.0404,0.0331,0.0354,0.0197,0.0512,daily
2,15,acesavoy,pet,0.0437,0.0411,0.0315,0.0217,0.0472,daily
2,16,acesavoy,pet,0.0428,0.0352,0.0354,0.0217,0.0512,daily
2,17,acesavoy,pet,0.0384,0.0275,0.0315,0.0177,0.0492,daily
2,18,acesavoy,pet,0.0377,0.0219,0.0354,0.0236,0.0472,daily
2,19,acesavoy,pet,0.0486,0.0326,0.0472,0.0276,0.0591,daily
2,20,acesavoy,pet,0.0462,0.0314,0.0433,0.0236,0.0571,daily
2,21,acesavoy,pet,0.0469,0.032,0.0394,0.0236,0.065,daily
2,22,acesavoy,pet,0.049,0.0342,0.0354,0.0236,0.0807,daily
2,23,acesavoy,pet,0.045,0.0287,0.0394,0.0236,0.0689,daily
2,24,acesavoy,pet,0.0404,0.0261,0.0354,0.0217,0.0551,daily
2,25,acesavoy,pet,0.0419,0.0276,0.0394,0.0197,0.061,daily
2,26,acesavoy,pet,0.0427,0.0263,0.0354,0.0236,0.0571,daily
2,27,acesavoy,pet,0.0429,0.0317,0.0354,0.0256,0.0433,daily
2,28,acesavoy,pet,0.0442,0.0288,0.0354,0.0276,0.0512,daily
2,29,acesavoy,pet,0.0625,0.0427,0.0472,0.0354,0.0699,daily
3,1,acesavoy,pet,0.045,0.0241,0.0433,0.0236,0.0591,daily
3,2,acesavoy,pet,0.0445,0.0227,0.0394,0.0315,0.0472,daily
3,3,acesavoy,pet,0.0532,0.0251,0.0433,0.0354,0.0669,daily
3,4,acesavoy,pet,0.0504,0.0256,0.0512,0.0315,0.061,daily
3,5,acesavoy,pet,0.0532,0.0333,0.0394,0.0276,0.0768,daily
3,6,acesavoy,pet,0.0522,0.0376,0.0433,0.0276,0.0709,daily
3,7,acesavoy,pet,0.0512,0.025,0.0472,0.0295,0.0669,daily
3,8,acesavoy,pet,0.0561,0.0299,0.0512,0.0335,0.0827,daily
3,9,acesavoy,pet,0.0657,0.0438,0.0512,0.0354,0.0827,daily
3,10,acesavoy,pet,0.0692,0.0402,0.0551,0.0413,0.0925,daily
3,11,acesavoy,pet,0.0742,0.043,0.063,0.0433,0.0886,daily
3,12,acesavoy,pet,0.0845,0.0469,0.0787,0.0472,0.1142,daily
3,13,acesavoy,pet,0.0766,0.0415,0.0669,0.0433,0.0925,daily
3,14,acesavoy,pet,0.0768,0.0392,0.0669,0.0492,0.1004,daily
3,15,acesavoy,pet,0.0772,0.0376,0.0787,0.0453,0.1004,daily
3,16,acesavoy,pet,0.08,0.0397,0.0709,0.0531,0.1043,daily
3,17,acesavoy,pet,0.0795,0.0355,0.0787,0.0512,0.1043,daily
3,18,acesavoy,pet,0.0777,0.0342,0.0748,0.0512,0.1024,daily
3,19,acesavoy,pet,0.0883,0.0406,0.0866,0.0512,0.1201,daily
3,20,acesavoy,pet,0.0898,0.038,0.0827,0.063,0.1181,daily
3,21,acesavoy,pet,0.0932,0.0405,0.0945,0.065,0.122,daily
3,22,acesavoy,pet,0.0878,0.0414,0.0748,0.0492,0.1181,daily
3,23,acesavoy,pet,0.0911,0.0483,0.0827,0.0492,0.124,daily
3,24,acesavoy,pet,0.0864,0.0425,0.0787,0.0512,0.1181,daily
3,25,acesavoy,pet,0.0916,0.0426,0.0787,0.0551,0.1161,daily
3,26,acesavoy,pet,0.0965,0.0416,0.0906,0.065,0.1201,daily
3,27,acesavoy,pet,0.0979,0.0415,0.0945,0.0689,0.124,daily
3,28,acesavoy,pet,0.0988,0.0438,0.0945,0.0669,0.128,daily
3,29,acesavoy,pet,0.1013,0.0387,0.1024,0.0709,0.1319,daily
3,30,acesavoy,pet,0.11,0.0504,0.1063,0.0728,0.1339,daily
3,31,acesavoy,pet,0.0997,0.0429,0.0984,0.065,0.126,daily
4,1,acesavoy,pet,0.0982,0.0427,0.0906,0.0709,0.128,daily
4,2,acesavoy,pet,0.1063,0.0526,0.1024,0.0689,0.1358,daily
4,3,acesavoy,pet,0.1046,0.0522,0.1102,0.065,0.1358,daily
4,4,acesavoy,pet,0.1104,0.049,0.1063,0.0709,0.1358,daily
4,5,acesavoy,pet,0.1052,0.0383,0.1024,0.0807,0.1339,daily
4,6,acesavoy,pet,0.1099,0.0422,0.1142,0.0728,0.1417,daily
4,7,acesavoy,pet,0.1176,0.0453,0.1142,0.0906,0.1476,daily
4,8,acesavoy,pet,0.1195,0.0527,0.122,0.0807,0.1535,daily
4,9,acesavoy,pet,0.1121,0.0433,0.1142,0.0787,0.1398,daily
4,10,acesavoy,pet,0.1125,0.0342,0.1102,0.0886,0.1378,daily
4,11,acesavoy,pet,0.1139,0.045,0.122,0.0787,0.1457,daily
4,12,acesavoy,pet,0.1166,0.0512,0.1063,0.0748,0.1575,daily
4,13,acesavoy,pet,0.1289,0.0554,0.1299,0.0807,0.1732,daily
4,14,acesavoy,pet,0.1248,0.0568,0.122,0.0945,0.1555,daily
4,15,acesavoy,pet,0.1134,0.0464,0.1181,0.0669,0.1516,daily
4,16,acesavoy,pet,0.1181,0.0434,0.1142,0.0866,0.1476,daily
4,17,acesavoy,pet,0.142,0.0536,0.1457,0.1102,0.1752,daily
4,18,acesavoy,pet,0.1316,0.0395,0.1378,0.1083,0.1614,daily
4,19,acesavoy,pet,0.1325,0.0453,0.1339,0.0965,0.1614,daily
4,20,acesavoy,pet,0.1417,0.0362,0.1378,0.1142,0.1732,daily
4,21,acesavoy,pet,0.1567,0.0454,0.1614,0.1161,0.1969,daily
4,22,acesavoy,pet,0.1631,0.0537,0.1732,0.122,0.1949,daily
4,23,acesavoy,pet,0.1469,0.0477,0.1417,0.122,0.1752,daily
4,24,acesavoy,pet,0.1486,0.0526,0.1417,0.1142,0.1811,daily
4,25,acesavoy,pet,0.1405,0.0518,0.1496,0.1102,0.1713,daily
4,26,acesavoy,pet,0.1513,0.0527,0.1535,0.1161,0.1969,daily
4,27,acesavoy,pet,0.1579,0.0665,0.1614,0.1063,0.2126,daily
4,28,acesavoy,pet,0.157,0.0709,0.1575,0.0925,0.2067,daily
4,29,acesavoy,pet,0.1473,0.064,0.1378,0.1004,0.1969,daily
4,30,acesavoy,pet,0.1494,0.0633,0.1378,0.1043,0.185,daily
5,1,acesavoy,pet,0.1519,0.0459,0.1417,0.124,0.1693,daily
5,2,acesavoy,pet,0.1574,0.0507,0.1614,0.1181,0.189,daily
5,3,acesavoy,pet,0.1603,0.0504,0.1654,0.1417,0.1811,daily
5,4,acesavoy,pet,0.1626,0.0554,0.1772,0.128,0.2087,daily
5,5,acesavoy,pet,0.1687,0.0553,0.1811,0.1358,0.2028,daily
5,6,acesavoy,pet,0.1681,0.058,0.1693,0.1299,0.2028,daily
5,7,acesavoy,pet,0.1632,0.0582,0.1654,0.1181,0.2106,daily
5,8,acesavoy,pet,0.1595,0.0585,0.1535,0.1063,0.1909,daily
5,9,acesavoy,pet,0.1459,0.0622,0.1378,0.1161,0.1693,daily
5,10,acesavoy,pet,0.1364,0.0542,0.1378,0.0984,0.1772,daily
5,11,acesavoy,pet,0.1585,0.0449,0.1614,0.1299,0.1811,daily
5,12,acesavoy,pet,0.167,0.0668,0.1575,0.128,0.2146,daily
5,13,acesavoy,pet,0.1805,0.0588,0.1772,0.1319,0.2224,daily
5,14,acesavoy,pet,0.1872,0.0482,0.185,0.1575,0.2087,daily
5,15,acesavoy,pet,0.189,0.0504,0.185,0.1535,0.2244,daily
5,16,acesavoy,pet,0.1852,0.0616,0.1929,0.1614,0.2165,daily
5,17,acesavoy,pet,0.1867,0.066,0.189,0.1535,0.2303,daily
5,18,acesavoy,pet,0.1892,0.0734,0.1811,0.1496,0.2224,daily
5,19,acesavoy,pet,0.1906,0.0497,0.1969,0.1614,0.2165,daily
5,20,acesavoy,pet,0.1909,0.0559,0.2008,0.1614,0.2244,daily
5,21,acesavoy,pet,0.1773,0.0643,0.1969,0.122,0.2283,daily
5,22,acesavoy,pet,0.1741,0.0605,0.185,0.1339,0.2028,daily
5,23,acesavoy,pet,0.1742,0.0642,0.1772,0.128,0.2224,daily
5,24,acesavoy,pet,0.1661,0.069,0.1575,0.1201,0.2185,daily
5,25,acesavoy,pet,0.1746,0.0616,0.1772,0.124,0.2087,daily
5,26,acesavoy,pet,0.1753,0.0602,0.185,0.1299,0.2323,daily
5,27,acesavoy,pet,0.1859,0.0625,0.1772,0.1516,0.248,daily
5,28,acesavoy,pet,0.1941,0.0601,0.1969,0.1594,0.2441,daily
5,29,acesavoy,pet,0.1881,0.0554,0.1929,0.1496,0.2283,daily
5,30,acesavoy,pet,0.1947,0.0606,0.2008,0.1693,0.2402,daily
5,31,acesavoy,pet,0.1886,0.0703,0.1969,0.1339,0.2382,daily
6,1,acesavoy,pet,0.1864,0.0548,0.2008,0.1535,0.2205,daily
6,2,acesavoy,pet,0.205,0.0571,0.2047,0.1811,0.252,daily
6,3,acesavoy,pet,0.1934,0.0656,0.2008,0.1535,0.2362,daily
6,4,acesavoy,pet,0.1963,0.0647,0.189,0.1535,0.2402,daily
6,5,acesavoy,pet,0.2026,0.0576,0.2087,0.1673,0.2362,daily
6,6,acesavoy,pet,0.1935,0.0523,0.2008,0.1673,0.2283,daily
6,7,acesavoy,pet,0.1852,0.0668,0.189,0.1496,0.2244,daily
6,8,acesavoy,pet,0.1847,0.0677,0.1969,0.1181,0.2323,daily
6,9,acesavoy,pet,0.1938,0.0695,0.2087,0.1417,0.2323,daily
6,10,acesavoy,pet,0.1834,0.0634,0.1929,0.1476,0.2323,daily
6,11,acesavoy,pet,0.1981,0.0562,0.2087,0.1634,0.2402,daily
