month,day,station,variable,mean,std_dev,median,q25,q75,type
1,1,aceturne,tmmx,24.1588,13.2471,27.14,16.43,33.395,daily
1,2,aceturne,tmmx,26.7016,13.0451,26.33,17.96,36.77,daily
1,3,aceturne,tmmx,24.0248,17.2499,24.53,9.23,40.28,daily
1,4,aceturne,tmmx,23.7345,17.0708,27.05,8.69,38.93,daily
1,5,aceturne,tmmx,23.2061,17.1757,24.89,10.4,38.21,daily
1,6,aceturne,tmmx,24.2513,16.5503,26.51,15.26,38.12,daily
1,7,aceturne,tmmx,25.9177,13.4754,26.33,18.41,35.24,daily
1,8,aceturne,tmmx,25.2906,14.6406,30.11,11.93,35.6,daily
1,9,aceturne,tmmx,25.5403,14.3011,27.95,14.72,36.68,daily
1,10,aceturne,tmmx,25.4184,17.0039,31.01,12.92,37.76,daily
1,11,aceturne,tmmx,23.8565,16.7191,28.67,13.64,37.22,daily
1,12,aceturne,tmmx,23.1248,16.1934,29.03,13.55,36.68,daily
1,13,aceturne,tmmx,25.5055,16.5887,30.11,15.26,37.4,daily
1,14,aceturne,tmmx,24.2455,14.5201,29.75,14.63,34.16,daily
1,15,aceturne,tmmx,26.2952,13.712,29.03,21.65,34.97,daily
1,16,aceturne,tmmx,25.7087,12.4806,27.41,23.63,34.52,daily
1,17,aceturne,tmmx,25.6797,13.5456,30.29,19.58,34.16,daily
1,18,aceturne,tmmx,26.4984,15.2224,29.75,18.5,37.49,daily
1,19,aceturne,tmmx,28.6235,13.3199,32.45,21.11,38.03,daily
1,20,aceturne,tmmx,28.6584,10.5043,31.19,22.01,34.97,daily
1,21,aceturne,tmmx,28.6119,9.6739,30.47,24.71,34.34,daily
1,22,aceturne,tmmx,27.9558,10.7351,29.21,23.99,34.88,daily
1,23,aceturne,tmmx,27.6771,10.4247,28.49,21.02,35.33,daily
1,24,aceturne,tmmx,26.7887,13.3446,27.23,18.59,38.21,daily
1,25,aceturne,tmmx,27.1835,15.9264,31.55,15.35,39.56,daily
1,26,aceturne,tmmx,28.2752,15.0792,32.63,24.08,38.48,daily
1,27,aceturne,tmmx,27.561,16.2904,33.35,19.85,38.03,daily
1,28,aceturne,tmmx,27.6945,14.6077,31.37,24.53,35.69,daily
1,29,aceturne,tmmx,27.079,15.9928,30.65,21.38,34.79,daily
1,30,aceturne,tmmx,29.3435,16.5272,36.59,18.05,41.72,daily
1,31,aceturne,tmmx,29.6339,13.9779,32.81,20.39,40.82,daily
2,1,aceturne,tmmx,29.2739,15.4844,30.83,19.94,39.38,daily
2,2,aceturne,tmmx,29.7906,15.2011,32.99,20.66,39.65,daily
2,3,aceturne,tmmx,26.5158,15.417,30.83,16.61,35.6,daily
2,4,aceturne,tmmx,28.1823,14.2513,31.73,16.97,37.4,daily
2,5,aceturne,tmmx,29.6048,12.931,32.09,23,37.22,daily
2,6,aceturne,tmmx,28.1068,14.7579,33.71,21.02,37.13,daily
2,7,aceturne,tmmx,25.9468,17.1825,32.45,15.53,36.41,daily
2,8,aceturne,tmmx,25.5171,17.7093,31.55,10.76,36.59,daily
2,9,aceturne,tmmx,25.9758,16.2959,31.19,10.13,37.67,daily
2,10,aceturne,tmmx,25.4765,12.6258,26.15,17.87,32.45,daily
2,11,aceturne,tmmx,25.0526,12.6713,24.17,18.68,34.52,daily
2,12,aceturne,tmmx,27.9094,14.4374,31.91,21.29,38.12,daily
2,13,aceturne,tmmx,31.1668,14.9047,36.95,24.08,41.09,daily
2,14,aceturne,tmmx,28.281,13.9115,31.91,19.49,38.48,daily
2,15,aceturne,tmmx,30.0635,12.1497,32.81,21.83,37.49,daily
2,16,aceturne,tmmx,31.8752,12.5994,33.17,28.94,39.2,daily
