month,day,station,variable,mean,std_dev,median,q25,q75,type
1,1,acevidan,pet,0.0201,0.0111,0.0197,0.0108,0.0276,daily
1,2,acevidan,pet,0.0235,0.0152,0.0197,0.0118,0.0276,daily
1,3,acevidan,pet,0.0226,0.0176,0.0157,0.0118,0.0295,daily
1,4,acevidan,pet,0.0234,0.0182,0.0157,0.0098,0.0354,daily
1,5,acevidan,pet,0.0212,0.0159,0.0157,0.0098,0.0315,daily
1,6,acevidan,pet,0.0224,0.0136,0.0197,0.0118,0.0335,daily
1,7,acevidan,pet,0.0197,0.0109,0.0197,0.0118,0.0276,daily
1,8,acevidan,pet,0.0226,0.0177,0.0197,0.0118,0.0295,daily
1,9,acevidan,pet,0.0229,0.0136,0.0197,0.0118,0.0335,daily
1,10,acevidan,pet,0.0235,0.0156,0.0197,0.0118,0.0374,daily
1,11,acevidan,pet,0.0251,0.019,0.0197,0.0118,0.0354,daily
1,12,acevidan,pet,0.0213,0.0145,0.0157,0.0098,0.0315,daily
1,13,acevidan,pet,0.0263,0.0244,0.0197,0.0118,0.0295,daily
1,14,acevidan,pet,0.0216,0.0153,0.0157,0.0118,0.0276,daily
1,15,acevidan,pet,0.0255,0.0186,0.0236,0.0138,0.0335,daily
1,16,acevidan,pet,0.0249,0.015,0.0197,0.0157,0.0315,daily
1,17,acevidan,pet,0.0239,0.0141,0.0236,0.0118,0.0354,daily
1,18,acevidan,pet,0.024,0.0132,0.0197,0.0157,0.0295,daily
1,19,acevidan,pet,0.0257,0.0157,0.0197,0.0157,0.0315,daily
1,20,acevidan,pet,0.0234,0.0154,0.0197,0.0157,0.0295,daily
1,21,acevidan,pet,0.0251,0.0121,0.0236,0.0157,0.0315,daily
1,22,acevidan,pet,0.0276,0.0163,0.0236,0.0177,0.0374,daily
1,23,acevidan,pet,0.0262,0.0139,0.0197,0.0157,0.0315,daily
1,24,acevidan,pet,0.0253,0.0176,0.0236,0.0157,0.0276,daily
1,25,acevidan,pet,0.0259,0.0181,0.0197,0.0157,0.0315,daily
1,26,acevidan,pet,0.0259,0.0166,0.0236,0.0118,0.0335,daily
1,27,acevidan,pet,0.0274,0.0152,0.0236,0.0157,0.0374,daily
1,28,acevidan,pet,0.029,0.0151,0.0276,0.0157,0.0354,daily
1,29,acevidan,pet,0.0277,0.0193,0.0197,0.0157,0.0335,daily
1,30,acevidan,pet,0.0312,0.0196,0.0276,0.0157,0.0394,daily
1,31,acevidan,pet,0.0291,0.0187,0.0236,0.0157,0.0335,daily
2,1,acevidan,pet,0.03,0.0234,0.0236,0.0138,0.0394,daily
2,2,acevidan,pet,0.0296,0.0195,0.0236,0.0197,0.0354,daily
2,3,acevidan,pet,0.0227,0.0139,0.0197,0.0138,0.0295,daily
2,4,acevidan,pet,0.0254,0.0148,0.0197,0.0157,0.0315,daily
2,5,acevidan,pet,0.026,0.0165,0.0236,0.0157,0.0335,daily
2,6,acevidan,pet,0.026,0.0153,0.0276,0.0157,0.0315,daily
2,7,acevidan,pet,0.0227,0.0158,0.0197,0.0118,0.0295,daily
2,8,acevidan,pet,0.0239,0.0154,0.0236,0.0118,0.0335,daily
2,9,acevidan,pet,0.0283,0.0177,0.0236,0.0157,0.0394,daily
2,10,acevidan,pet,0.031,0.019,0.0276,0.0157,0.0374,daily
2,11,acevidan,pet,0.0295,0.0161,0.0276,0.0197,0.0354,daily
2,12,acevidan,pet,0.0312,0.0187,0.0315,0.0197,0.0433,daily
2,13,acevidan,pet,0.0348,0.0202,0.0354,0.0197,0.0472,daily
2,14,acevidan,pet,0.032,0.0188,0.0276,0.0197,0.0453,daily
2,15,acevidan,pet,0.0334,0.0227,0.0276,0.0197,0.0374,daily
2,16,acevidan,pet,0.0333,0.0207,0.0315,0.0197,0.0354,daily
2,17,acevidan,pet,0.0328,0.0199,0.0276,0.0197,0.0374,daily
2,18,acevidan,pet,0.0309,0.0154,0.0276,0.0197,0.0413,daily
2,19,acevidan,pet,0.0391,0.0232,0.0315,0.0236,0.0512,daily
2,20,acevidan,pet,0.0391,0.0216,0.0315,0.0217,0.0571,daily
2,21,acevidan,pet,0.0415,0.0271,0.0315,0.0197,0.0591,daily
2,22,acevidan,pet,0.0429,0.0307,0.0315,0.0236,0.0531,daily
2,23,acevidan,pet,0.0404,0.0248,0.0354,0.0217,0.0531,daily
2,24,acevidan,pet,0.0367,0.0185,0.0354,0.0236,0.0512,daily
2,25,acevidan,pet,0.038,0.0227,0.0354,0.0197,0.0472,daily
2,26,acevidan,pet,0.0391,0.0222,0.0315,0.0236,0.0472,daily
2,27,acevidan,pet,0.0375,0.0249,0.0315,0.0236,0.0394,daily
2,28,acevidan,pet,0.0386,0.0226,0.0315,0.0276,0.0413,daily
2,29,acevidan,pet,0.0571,0.0339,0.0413,0.0335,0.0768,daily
3,1,acevidan,pet,0.0377,0.0217,0.0315,0.0236,0.0413,daily
3,2,acevidan,pet,0.0413,0.0236,0.0354,0.0276,0.0453,daily
3,3,acevidan,pet,0.0432,0.0195,0.0354,0.0315,0.0472,daily
3,4,acevidan,pet,0.0451,0.0257,0.0354,0.0276,0.0551,daily
3,5,acevidan,pet,0.0505,0.0302,0.0394,0.0295,0.065,daily
3,6,acevidan,pet,0.0475,0.0362,0.0354,0.0236,0.0591,daily
3,7,acevidan,pet,0.0447,0.0213,0.0433,0.0276,0.0551,daily
3,8,acevidan,pet,0.0494,0.0245,0.0472,0.0276,0.065,daily
3,9,acevidan,pet,0.0533,0.0304,0.0472,0.0335,0.0591,daily
3,10,acevidan,pet,0.0583,0.0305,0.0551,0.0335,0.0728,daily
3,11,acevidan,pet,0.0611,0.0298,0.0512,0.0394,0.0827,daily
3,12,acevidan,pet,0.0688,0.0339,0.0591,0.0453,0.0945,daily
