month,day,station,variable,mean,std_dev,median,q25,q75,type
1,1,acevidan,pr,0.0187,0.0361,0,0,0.0246,daily
1,2,acevidan,pr,0.0273,0.0526,0,0,0.0374,daily
1,3,acevidan,pr,0.011,0.0249,0,0,0,daily
1,4,acevidan,pr,0.0034,0.0088,0,0,0,daily
1,5,acevidan,pr,0.0119,0.0397,0,0,0,daily
1,6,acevidan,pr,0.002,0.0068,0,0,0,daily
1,7,acevidan,pr,0.006,0.0158,0,0,0,daily
1,8,acevidan,pr,0.0154,0.0306,0,0,0.0177,daily
1,9,acevidan,pr,0.0108,0.0349,0,0,0,daily
1,10,acevidan,pr,0.0097,0.0245,0,0,0,daily
1,11,acevidan,pr,0.0211,0.0574,0,0,0,daily
1,12,acevidan,pr,0.0227,0.069,0,0,0,daily
1,13,acevidan,pr,0.0138,0.0321,0,0,0,daily
1,14,acevidan,pr,0.0093,0.0265,0,0,0,daily
1,15,acevidan,pr,0.0071,0.0239,0,0,0,daily
1,16,acevidan,pr,0.013,0.038,0,0,0,daily
1,17,acevidan,pr,0.0145,0.0376,0,0,0,daily
1,18,acevidan,pr,0.0161,0.0537,0,0,0,daily
1,19,acevidan,pr,0.0066,0.0174,0,0,0,daily
1,20,acevidan,pr,0.0174,0.0367,0,0,0.0079,daily
1,21,acevidan,pr,0.0081,0.0192,0,0,0,daily
1,22,acevidan,pr,0.0116,0.0327,0,0,0,daily
1,23,acevidan,pr,0.0133,0.0373,0,0,0,daily
1,24,acevidan,pr,0.0145,0.0501,0,0,0,daily
1,25,acevidan,pr,0.006,0.0201,0,0,0,daily
1,26,acevidan,pr,0.0081,0.0243,0,0,0,daily
1,27,acevidan,pr,0.0104,0.0192,0,0,0.0157,daily
1,28,acevidan,pr,0.0067,0.0304,0,0,0,daily
1,29,acevidan,pr,0.0147,0.0329,0,0,0.0079,daily
1,30,acevidan,pr,0.008,0.0268,0,0,0,daily
1,31,acevidan,pr,0.0056,0.0165,0,0,0,daily
2,1,acevidan,pr,0.0029,0.0142,0,0,0,daily
2,2,acevidan,pr,0.0118,0.039,0,0,0,daily
2,3,acevidan,pr,0.0123,0.0657,0,0,0,daily
2,4,acevidan,pr,0.0113,0.0273,0,0,0,daily
2,5,acevidan,pr,0.0131,0.0375,0,0,0,daily
2,6,acevidan,pr,0.0095,0.0328,0,0,0,daily
2,7,acevidan,pr,0.007,0.0348,0,0,0,daily
2,8,acevidan,pr,0.0081,0.0418,0,0,0,daily
2,9,acevidan,pr,0.0055,0.0156,0,0,0,daily
2,10,acevidan,pr,0.0081,0.0215,0,0,0,daily
2,11,acevidan,pr,0.013,0.0439,0,0,0,daily
2,12,acevidan,pr,0.0052,0.025,0,0,0,daily
2,13,acevidan,pr,0.0237,0.0761,0,0,0.0079,daily
2,14,acevidan,pr,0.0117,0.0381,0,0,0,daily
2,15,acevidan,pr,0.0138,0.0332,0,0,0,daily
2,16,acevidan,pr,0.0298,0.0763,0,0,0.0079,daily
2,17,acevidan,pr,0.0177,0.0379,0,0,0.0138,daily
2,18,acevidan,pr,0.0086,0.0308,0,0,0,daily
2,19,acevidan,pr,0.0079,0.0192,0,0,0,daily
2,20,acevidan,pr,0.0163,0.0299,0,0,0.0197,daily
2,21,acevidan,pr,0.0056,0.0231,0,0,0,daily
2,22,acevidan,pr,0.0211,0.077,0,0,0,daily
2,23,acevidan,pr,0.014,0.0337,0,0,0.0098,daily
2,24,acevidan,pr,0.0237,0.0757,0,0,0,daily
2,25,acevidan,pr,0.0264,0.0741,0,0,0.0059,daily
2,26,acevidan,pr,0.0133,0.0296,0,0,0.0118,daily
2,27,acevidan,pr,0.0127,0.0416,0,0,0,daily
2,28,acevidan,pr,0.014,0.0371,0,0,0,daily
2,29,acevidan,pr,0.0069,0.0129,0,0,0.0059,daily
3,1,acevidan,pr,0.0178,0.0504,0,0,0,daily
3,2,acevidan,pr,0.0132,0.0323,0,0,0.0079,daily
3,3,acevidan,pr,0.0159,0.0464,0,0,0,daily
3,4,acevidan,pr,0.0282,0.0605,0,0,0.0394,daily
3,5,acevidan,pr,0.0146,0.0335,0,0,0.0059,daily
3,6,acevidan,pr,0.0171,0.048,0,0,0,daily
3,7,acevidan,pr,0.014,0.0407,0,0,0,daily
3,8,acevidan,pr,0.007,0.0295,0,0,0,daily
3,9,acevidan,pr,0.0067,0.0233,0,0,0,daily
3,10,acevidan,pr,0.0046,0.0186,0,0,0,daily
3,11,acevidan,pr,0.0226,0.0896,0,0,0,daily
3,12,acevidan,pr,0.0284,0.0948,0,0,0,daily
3,13,acevidan,pr,0.0102,0.0367,0,0,0,daily
3,14,acevidan,pr,0.0146,0.0405,0,0,0,daily
3,15,acevidan,pr,0.018,0.0429,0,0,0,daily
3,16,acevidan,pr,0.0136,0.0223,0,0,0.0217,daily
3,17,acevidan,pr,0.0226,0.0628,0,0,0.0138,daily
3,18,acevidan,pr,0.0453,0.1479,0,0,0.0197,daily
3,19,acevidan,pr,0.0137,0.0318,0,0,0,daily
3,20,acevidan,pr,0.0124,0.0335,0,0,0,daily
3,21,acevidan,pr,0.014,0.0343,0,0,0,daily
3,22,acevidan,pr,0.0262,0.0785,0,0,0,daily
3,23,acevidan,pr,0.0307,0.0623,0,0,0.0157,daily
3,24,acevidan,pr,0.0173,0.0464,0,0,0,daily
3,25,acevidan,pr,0.0102,0.0232,0,0,0,daily
3,26,acevidan,pr,0.023,0.0555,0,0,0.0138,daily
3,27,acevidan,pr,0.0193,0.0483,0,0,0.0079,daily
3,28,acevidan,pr,0.0433,0.1568,0,0,0,daily
3,29,acevidan,pr,0.0097,0.0247,0,0,0,daily
3,30,acevidan,pr,0.0253,0.0595,0,0,0.0059,daily
3,31,acevidan,pr,0.0077,0.0185,0,0,0,daily
4,1,acevidan,pr,0.0098,0.0327,0,0,0,daily
4,2,acevidan,pr,0.014,0.0397,0,0,0,daily
4,3,acevidan,pr,0.0184,0.0455,0,0,0,daily
4,4,acevidan,pr,0.0185,0.0429,0,0,0.0079,daily
4,5,acevidan,pr,0.0263,0.0611,0,0,0.0295,daily
4,6,acevidan,pr,0.0281,0.0805,0,0,0.0079,daily
4,7,acevidan,pr,0.0178,0.0391,0,0,0.0118,daily
4,8,acevidan,pr,0.0419,0.1204,0,0,0.0079,daily
4,9,acevidan,pr,0.0409,0.105,0,0,0,daily
4,10,acevidan,pr,0.0344,0.0772,0,0,0.0256,daily
4,11,acevidan,pr,0.0144,0.0357,0,0,0,daily
