month,day,station,variable,mean,std_dev,median,q25,q75,type
1,1,acevidan,rmax,90.6406,9.5693,91.8,86.125,99.05,daily
1,2,acevidan,rmax,90.2032,10.3695,90.5,85.25,100,daily
1,3,acevidan,rmax,88.3903,10.7189,89.3,84.4,97.65,daily
1,4,acevidan,rmax,88.8161,11.0594,90.3,83.5,99.3,daily
1,5,acevidan,rmax,87.0774,10.7124,88.1,80.6,96.4,daily
1,6,acevidan,rmax,88.9484,11.4033,89.2,83.1,98.9,daily
1,7,acevidan,rmax,90.5806,8.7788,91.5,85.6,98.45,daily
1,8,acevidan,rmax,91.5,7.1269,92.2,86.9,98.55,daily
1,9,acevidan,rmax,88.4387,11.5278,94.5,81.8,99.2,daily
1,10,acevidan,rmax,88.6226,11.2874,89.8,83.85,97.8,daily
1,11,acevidan,rmax,88.7839,12.1788,93.1,80.75,100,daily
1,12,acevidan,rmax,90.3806,10.3768,94.6,87.65,97.85,daily
1,13,acevidan,rmax,90.171,10.6622,92.1,86.4,99.6,daily
1,14,acevidan,rmax,88.8419,11.6029,92.8,82.2,100,daily
1,15,acevidan,rmax,88.2387,11.0117,90.2,82.95,96.35,daily
1,16,acevidan,rmax,87.2903,11.5166,89.6,83.9,95.55,daily
1,17,acevidan,rmax,88.9,9.7165,92,84.4,95.95,daily
1,18,acevidan,rmax,89.1097,9.576,89.5,85.6,96.05,daily
1,19,acevidan,rmax,89.2871,8.6048,88.9,84.75,96.5,daily
1,20,acevidan,rmax,89.3516,11.3706,90.9,82.25,100,daily
1,21,acevidan,rmax,88.9323,11.3217,90.1,82.75,99.75,daily
1,22,acevidan,rmax,85.5613,15.1771,89.5,77.2,96.3,daily
1,23,acevidan,rmax,87.0032,14.6111,93.6,76.15,99.65,daily
1,24,acevidan,rmax,88.0774,13.0527,91.9,82.55,97.85,daily
1,25,acevidan,rmax,90.9323,8.8096,92.5,89.6,98.25,daily
1,26,acevidan,rmax,89.8484,10.701,92.8,84.35,100,daily
1,27,acevidan,rmax,87.5355,13.5535,90.4,83.45,99.6,daily
1,28,acevidan,rmax,87.9903,11.4844,90.8,79.9,100,daily
1,29,acevidan,rmax,86.6935,11.3953,88.4,76.2,96.55,daily
1,30,acevidan,rmax,90.8645,8.9939,92.3,86.6,99.6,daily
1,31,acevidan,rmax,88.9774,11.0694,93.8,81.7,96.85,daily
2,1,acevidan,rmax,90.471,12.5255,96.6,85.3,100,daily
2,2,acevidan,rmax,89.1452,13.1239,93.2,83.1,100,daily
2,3,acevidan,rmax,93.0645,9.373,97,89.05,100,daily
2,4,acevidan,rmax,91.7968,9.7296,95.8,85,100,daily
2,5,acevidan,rmax,91.529,10.4602,94.8,87.2,100,daily
2,6,acevidan,rmax,92.9871,8.5182,96.5,88,100,daily
2,7,acevidan,rmax,94.2,7.8313,96.9,92.3,100,daily
2,8,acevidan,rmax,94.6452,7.1125,99.5,92,100,daily
2,9,acevidan,rmax,95.4774,6.4228,98.1,93.8,100,daily
