month,day,station,variable,mean,std_dev,median,q25,q75,type
1,1,acevidaw,pet,0.0164,0.0092,0.0157,0.0079,0.0246,daily
1,2,acevidaw,pet,0.0199,0.0134,0.0157,0.0118,0.0236,daily
1,3,acevidaw,pet,0.0183,0.0168,0.0118,0.0079,0.0236,daily
1,4,acevidaw,pet,0.0189,0.016,0.0157,0.0079,0.0295,daily
1,5,acevidaw,pet,0.0168,0.0127,0.0118,0.0079,0.0256,daily
1,6,acevidaw,pet,0.0189,0.0119,0.0157,0.0079,0.0276,daily
1,7,acevidaw,pet,0.016,0.0098,0.0157,0.0098,0.0217,daily
1,8,acevidaw,pet,0.0192,0.0162,0.0157,0.0079,0.0197,daily
1,9,acevidaw,pet,0.0193,0.0125,0.0157,0.0079,0.0295,daily
1,10,acevidaw,pet,0.0189,0.0123,0.0157,0.0098,0.0276,daily
1,11,acevidaw,pet,0.0199,0.0149,0.0157,0.0079,0.0295,daily
1,12,acevidaw,pet,0.0171,0.0121,0.0118,0.0079,0.0217,daily
1,13,acevidaw,pet,0.0211,0.0233,0.0157,0.0079,0.0217,daily
1,14,acevidaw,pet,0.0185,0.0136,0.0157,0.0079,0.0236,daily
1,15,acevidaw,pet,0.0212,0.0168,0.0197,0.0098,0.0276,daily
1,16,acevidaw,pet,0.0203,0.0124,0.0157,0.0138,0.0256,daily
1,17,acevidaw,pet,0.0196,0.0101,0.0157,0.0118,0.0276,daily
1,18,acevidaw,pet,0.0198,0.0115,0.0157,0.0118,0.0276,daily
1,19,acevidaw,pet,0.0215,0.0139,0.0157,0.0118,0.0276,daily
1,20,acevidaw,pet,0.0197,0.0132,0.0157,0.0118,0.0236,daily
1,21,acevidaw,pet,0.0206,0.0085,0.0197,0.0157,0.0236,daily
1,22,acevidaw,pet,0.022,0.0127,0.0197,0.0138,0.0295,daily
1,23,acevidaw,pet,0.0213,0.0112,0.0197,0.0118,0.0276,daily
1,24,acevidaw,pet,0.021,0.0138,0.0157,0.0157,0.0236,daily
1,25,acevidaw,pet,0.0224,0.0156,0.0157,0.0138,0.0276,daily
1,26,acevidaw,pet,0.0218,0.013,0.0197,0.0138,0.0276,daily
1,27,acevidaw,pet,0.024,0.0129,0.0236,0.0138,0.0335,daily
1,28,acevidaw,pet,0.0246,0.0131,0.0236,0.0118,0.0295,daily
