month,day,station,variable,mean,std_dev,median,q25,q75,type
1,1,acewarho,rmin,39.6969,11.4192,39.4,30.425,47.375,daily
1,2,acewarho,rmin,38.3355,10.3791,39,32.5,43.05,daily
1,3,acewarho,rmin,40.671,15.5761,38.9,30.25,46.5,daily
1,4,acewarho,rmin,39.0032,15.1684,38.7,29.7,46.1,daily
1,5,acewarho,rmin,40.1871,13.0672,38.9,33.05,48.8,daily
1,6,acewarho,rmin,39.4452,14.4421,39.5,31.3,46.8,daily
1,7,acewarho,rmin,41.3258,13.4624,39.3,32.85,50.3,daily
1,8,acewarho,rmin,41.671,12.2975,43.6,35.1,48.6,daily
1,9,acewarho,rmin,41.3903,17.0978,41,28.1,47.55,daily
1,10,acewarho,rmin,40.2548,17.6381,36.4,30.35,43.4,daily
1,11,acewarho,rmin,38.3032,12.0892,37,29.7,43.35,daily
1,12,acewarho,rmin,35.9323,9.4433,35.5,29.15,42.25,daily
1,13,acewarho,rmin,37.8581,14.6286,34.5,30.25,44.15,daily
1,14,acewarho,rmin,39.4581,13.1665,36.2,31.4,46,daily
1,15,acewarho,rmin,39.8032,11.8254,39.6,31.2,45.75,daily
1,16,acewarho,rmin,39.4419,13.0569,36.1,30.55,46.55,daily
1,17,acewarho,rmin,39.6968,12.5795,36.9,31.55,46.6,daily
1,18,acewarho,rmin,42.3935,10.9237,42.8,34.7,49.85,daily
1,19,acewarho,rmin,39.4387,7.9366,40.1,37.65,42.55,daily
1,20,acewarho,rmin,37.6419,10.581,38.3,30.9,43.9,daily
1,21,acewarho,rmin,39.7645,12.549,39.4,35.4,43.25,daily
1,22,acewarho,rmin,39.5774,11.9607,38.2,34.9,45.75,daily
1,23,acewarho,rmin,39.4194,10.9063,37.5,32.2,44.35,daily
1,24,acewarho,rmin,38.671,8.3933,38.9,33.1,43.75,daily
1,25,acewarho,rmin,37.8419,10.8969,37,30.75,44.1,daily
1,26,acewarho,rmin,38.5871,11.5012,37.5,31.95,43.95,daily
1,27,acewarho,rmin,38.3935,9.4926,36.2,34.05,40.5,daily
1,28,acewarho,rmin,36.4806,10.1774,36,30.25,41.3,daily
1,29,acewarho,rmin,39.0677,10.4137,35.7,33.75,46.8,daily
1,30,acewarho,rmin,39.6452,14.2284,37,31.65,42.05,daily
1,31,acewarho,rmin,38.7355,13.9211,36.4,30.55,42.55,daily
2,1,acewarho,rmin,38.3774,13.5117,37.3,30,44.45,daily
2,2,acewarho,rmin,40.1903,14.4527,38.8,29.75,47.95,daily
2,3,acewarho,rmin,44.6548,20.8045,36.9,31,49.75,daily
2,4,acewarho,rmin,42.4581,13.49,39.6,32.45,52.75,daily
2,5,acewarho,rmin,41.9516,13.8165,39.5,32.25,50.05,daily
2,6,acewarho,rmin,44.3065,15.8494,44.5,33.7,52.3,daily
2,7,acewarho,rmin,45.2839,15.0907,45.5,34.95,55.3,daily
2,8,acewarho,rmin,45.3097,15.6946,43.4,33.9,51.4,daily
2,9,acewarho,rmin,41.0065,12.5944,36.9,32.75,49.35,daily
2,10,acewarho,rmin,42.5839,13.9762,37.5,32.8,53.6,daily
2,11,acewarho,rmin,40.5968,13.1606,41.8,30.1,47.25,daily
2,12,acewarho,rmin,38.3548,13.7916,39.8,25.15,47.25,daily
2,13,acewarho,rmin,37.1935,17.228,32.8,27.65,42.1,daily
2,14,acewarho,rmin,37.8387,11.8596,38.9,29.35,44.75,daily
2,15,acewarho,rmin,38.1484,12.6636,37.3,30.85,47.6,daily
2,16,acewarho,rmin,39.3194,13.6661,37.9,31.2,43.35,daily
2,17,acewarho,rmin,39.5226,14.5648,38.3,28.05,46.65,daily
2,18,acewarho,rmin,37.1452,14.2562,35.7,30.3,38.55,daily
2,19,acewarho,rmin,36.3548,10.0367,36.5,30.25,40.75,daily
2,20,acewarho,rmin,34.7355,8.9109,34.9,29,41.75,daily
2,21,acewarho,rmin,36.0419,11.831,34.3,29.75,41.4,daily
2,22,acewarho,rmin,37,11.6161,39.3,29.45,41.65,daily
2,23,acewarho,rmin,38.6968,13.7921,39.1,31.45,44.5,daily
2,24,acewarho,rmin,38.4516,12.737,37.3,29.3,45.35,daily
2,25,acewarho,rmin,36.0677,11.3674,35,30.7,40.75,daily
2,26,acewarho,rmin,37.3355,10.8073,35.5,31.05,41.6,daily
2,27,acewarho,rmin,41.9645,15.0249,39.2,31.45,48.7,daily
2,28,acewarho,rmin,39.5032,15.1571,37.2,30,47.2,daily
2,29,acewarho,rmin,34.1875,12.3926,30.9,27.525,39.6,daily
3,1,acewarho,rmin,39.7,12.1047,39.8,31.55,48.85,daily
3,2,acewarho,rmin,39.9032,12.4356,36.8,28.6,50.85,daily
3,3,acewarho,rmin,37.9935,10.9475,38.2,28.9,43.2,daily
3,4,acewarho,rmin,37.6,12.8897,38.3,26.1,43.55,daily
3,5,acewarho,rmin,37.5355,13.6845,35.2,27.95,50.45,daily
3,6,acewarho,rmin,40.1935,15.3986,39.2,26.65,49.25,daily
3,7,acewarho,rmin,39.3548,9.1732,39.8,31.3,46.35,daily
3,8,acewarho,rmin,40.0161,12.7968,39.5,28,46.55,daily
3,9,acewarho,rmin,37.8742,15.3394,38,26.95,45.5,daily
3,10,acewarho,rmin,36.2129,15.2644,34.5,27.15,45.7,daily
3,11,acewarho,rmin,34.6871,11.9844,35,26.75,40.3,daily
3,12,acewarho,rmin,32.7032,13.2975,28.8,24.6,37.8,daily
3,13,acewarho,rmin,31.5581,9.8102,31.1,25.1,36,daily
3,14,acewarho,rmin,33.5516,10.7403,32.1,26.85,38,daily
3,15,acewarho,rmin,35.5903,14.5893,30.8,26.75,40.95,daily
3,16,acewarho,rmin,33.6677,15.2117,29.2,23.85,36.45,daily
3,17,acewarho,rmin,32.2903,9.4685,31,25.5,38.35,daily
3,18,acewarho,rmin,35.9161,12.1792,34.1,27.45,43.2,daily
3,19,acewarho,rmin,34.9258,12.972,31.7,25.7,42.3,daily
3,20,acewarho,rmin,30.6161,11.7437,29.5,22.5,34.9,daily
3,21,acewarho,rmin,32.8452,14.9112,30.2,23,36.25,daily
3,22,acewarho,rmin,35.2129,14.2732,32.4,22.7,45.7,daily
3,23,acewarho,rmin,35.3097,14.1404,29.8,22.55,49.15,daily
3,24,acewarho,rmin,35.9032,16.4646,29.6,22.4,44.15,daily
3,25,acewarho,rmin,34.4935,13.1294,31.9,23.7,43.05,daily
3,26,acewarho,rmin,30.971,9.7009,29.3,23,37.55,daily
3,27,acewarho,rmin,31.8613,12.1867,27.9,22.35,40.25,daily
3,28,acewarho,rmin,32.4839,14.5705,26.9,21.15,43.7,daily
3,29,acewarho,rmin,32.3065,10.6733,29.9,24.55,37.2,daily
3,30,acewarho,rmin,31.7806,11.4324,31,22.5,35.75,daily
3,31,acewarho,rmin,33.6032,14.5114,30.4,22.85,41.8,daily
4,1,acewarho,rmin,34.4742,15.7811,32,24.8,42.1,daily
4,2,acewarho,rmin,33.4903,15.5165,31.8,24.2,40.2,daily
4,3,acewarho,rmin,32.1323,11.9794,31.2,24.25,38.9,daily
4,4,acewarho,rmin,29.7065,11.777,30,21.95,35.7,daily
4,5,acewarho,rmin,32.3452,11.6163,29.6,23.9,37.1,daily
