month,day,station,variable,mean,std_dev,median,q25,q75,type
1,1,aceweldo,pet,0.0196,0.0108,0.0197,0.0118,0.0276,daily
1,2,aceweldo,pet,0.0239,0.0152,0.0197,0.0157,0.0295,daily
1,3,aceweldo,pet,0.0213,0.0194,0.0157,0.0079,0.0256,daily
1,4,aceweldo,pet,0.0224,0.0188,0.0157,0.0079,0.0295,daily
1,5,aceweldo,pet,0.0199,0.0144,0.0157,0.0079,0.0295,daily
1,6,aceweldo,pet,0.0222,0.0139,0.0197,0.0079,0.0315,daily
1,7,aceweldo,pet,0.0188,0.0123,0.0197,0.0118,0.0236,daily
1,8,aceweldo,pet,0.0225,0.018,0.0197,0.0098,0.0256,daily
1,9,aceweldo,pet,0.0232,0.0144,0.0157,0.0118,0.0374,daily
1,10,aceweldo,pet,0.0222,0.0146,0.0197,0.0118,0.0315,daily
1,11,aceweldo,pet,0.0229,0.0159,0.0197,0.0118,0.0315,daily
1,12,aceweldo,pet,0.0202,0.0142,0.0157,0.0079,0.0256,daily
1,13,aceweldo,pet,0.0243,0.0235,0.0157,0.0118,0.0276,daily
1,14,aceweldo,pet,0.0215,0.0146,0.0197,0.0098,0.0276,daily
1,15,aceweldo,pet,0.0236,0.0171,0.0197,0.0118,0.0315,daily
1,16,aceweldo,pet,0.0234,0.0126,0.0236,0.0157,0.0276,daily
1,17,aceweldo,pet,0.0234,0.0114,0.0236,0.0138,0.0315,daily
1,18,aceweldo,pet,0.0232,0.0123,0.0197,0.0157,0.0315,daily
1,19,aceweldo,pet,0.0251,0.0157,0.0197,0.0157,0.0315,daily
1,20,aceweldo,pet,0.0231,0.0141,0.0197,0.0138,0.0295,daily
1,21,aceweldo,pet,0.0231,0.0108,0.0197,0.0157,0.0276,daily
1,22,aceweldo,pet,0.0243,0.0134,0.0197,0.0157,0.0276,daily
1,23,aceweldo,pet,0.0237,0.0114,0.0197,0.0157,0.0315,daily
1,24,aceweldo,pet,0.0237,0.0147,0.0197,0.0157,0.0276,daily
1,25,aceweldo,pet,0.0267,0.0169,0.0197,0.0157,0.0315,daily
1,26,aceweldo,pet,0.0258,0.0143,0.0236,0.0177,0.0295,daily
1,27,aceweldo,pet,0.0279,0.0153,0.0276,0.0157,0.0374,daily
1,28,aceweldo,pet,0.0281,0.0158,0.0276,0.0138,0.0354,daily
1,29,aceweldo,pet,0.0284,0.018,0.0236,0.0157,0.0374,daily
1,30,aceweldo,pet,0.0298,0.0182,0.0276,0.0157,0.0394,daily
1,31,aceweldo,pet,0.0292,0.0179,0.0197,0.0157,0.0354,daily
2,1,aceweldo,pet,0.0315,0.0232,0.0236,0.0138,0.0394,daily
2,2,aceweldo,pet,0.0283,0.0178,0.0236,0.0157,0.0354,daily
2,3,aceweldo,pet,0.022,0.0127,0.0197,0.0138,0.0276,daily
2,4,aceweldo,pet,0.0267,0.0158,0.0236,0.0157,0.0315,daily
2,5,aceweldo,pet,0.0271,0.0159,0.0236,0.0157,0.0394,daily
2,6,aceweldo,pet,0.0258,0.0144,0.0236,0.0157,0.0354,daily
2,7,aceweldo,pet,0.0246,0.0169,0.0197,0.0157,0.0276,daily
2,8,aceweldo,pet,0.0251,0.0159,0.0236,0.0118,0.0394,daily
2,9,aceweldo,pet,0.0291,0.0174,0.0236,0.0157,0.0354,daily
2,10,aceweldo,pet,0.0297,0.0173,0.0276,0.0177,0.0374,daily
2,11,aceweldo,pet,0.0277,0.0124,0.0276,0.0197,0.0315,daily
2,12,aceweldo,pet,0.0321,0.0192,0.0276,0.0197,0.0413,daily
2,13,aceweldo,pet,0.0352,0.0187,0.0354,0.0197,0.0472,daily
2,14,aceweldo,pet,0.0318,0.0184,0.0276,0.0197,0.0433,daily
2,15,aceweldo,pet,0.0358,0.0243,0.0315,0.0197,0.0413,daily
2,16,aceweldo,pet,0.0353,0.0243,0.0354,0.0197,0.0394,daily
2,17,aceweldo,pet,0.0349,0.0219,0.0315,0.0177,0.0413,daily
2,18,aceweldo,pet,0.0326,0.0169,0.0276,0.0197,0.0453,daily
2,19,aceweldo,pet,0.0417,0.0254,0.0354,0.0236,0.0512,daily
2,20,aceweldo,pet,0.0432,0.025,0.0354,0.0256,0.0591,daily
2,21,aceweldo,pet,0.0429,0.0281,0.0354,0.0217,0.0571,daily
2,22,aceweldo,pet,0.0441,0.0299,0.0315,0.0236,0.0591,daily
2,23,aceweldo,pet,0.042,0.0238,0.0354,0.0256,0.0551,daily
2,24,aceweldo,pet,0.038,0.0182,0.0315,0.0276,0.0472,daily
2,25,aceweldo,pet,0.037,0.0212,0.0315,0.0217,0.0472,daily
2,26,aceweldo,pet,0.0376,0.0179,0.0315,0.0276,0.0433,daily
2,27,aceweldo,pet,0.0373,0.0208,0.0354,0.0276,0.0413,daily
2,28,aceweldo,pet,0.0404,0.0216,0.0354,0.0256,0.0433,daily
2,29,aceweldo,pet,0.0566,0.0316,0.0472,0.0364,0.0659,daily
3,1,aceweldo,pet,0.0409,0.0203,0.0354,0.0295,0.0512,daily
3,2,aceweldo,pet,0.0415,0.022,0.0394,0.0276,0.0472,daily
3,3,aceweldo,pet,0.045,0.019,0.0394,0.0315,0.0512,daily
3,4,aceweldo,pet,0.0469,0.0241,0.0394,0.0315,0.061,daily
3,5,aceweldo,pet,0.0514,0.0289,0.0433,0.0315,0.063,daily
3,6,aceweldo,pet,0.0491,0.0339,0.0433,0.0236,0.0551,daily
3,7,aceweldo,pet,0.0471,0.0206,0.0433,0.0315,0.061,daily
3,8,aceweldo,pet,0.0498,0.0237,0.0433,0.0295,0.065,daily
3,9,aceweldo,pet,0.0574,0.0329,0.0512,0.0315,0.0728,daily
3,10,aceweldo,pet,0.0625,0.033,0.0591,0.0394,0.0827,daily
3,11,aceweldo,pet,0.0648,0.031,0.0551,0.0453,0.0827,daily
3,12,aceweldo,pet,0.0719,0.0334,0.063,0.0492,0.0945,daily
3,13,aceweldo,pet,0.0753,0.0313,0.0748,0.0512,0.0945,daily
3,14,aceweldo,pet,0.0734,0.032,0.0669,0.0551,0.0906,daily
3,15,aceweldo,pet,0.0744,0.031,0.0669,0.0512,0.1004,daily
3,16,aceweldo,pet,0.0775,0.0357,0.0748,0.0512,0.1043,daily
3,17,aceweldo,pet,0.0756,0.0281,0.0748,0.0512,0.0965,daily
3,18,aceweldo,pet,0.0806,0.0337,0.0748,0.0591,0.1122,daily
3,19,aceweldo,pet,0.0841,0.0368,0.0709,0.0571,0.1083,daily
3,20,aceweldo,pet,0.0898,0.0326,0.0866,0.0669,0.1063,daily
3,21,aceweldo,pet,0.0926,0.0399,0.0827,0.061,0.1201,daily
