month,day,station,variable,mean,std_dev,median,q25,q75,type
1,1,aceweldo,tmmn,5.2419,15.3449,7.16,-5.215,17.915,daily
1,2,aceweldo,tmmn,6.321,12.761,7.25,-1.66,14.9,daily
1,3,aceweldo,tmmn,6.2687,15.7716,6.17,-8.41,19.22,daily
1,4,aceweldo,tmmn,5.2468,15.6951,5.63,-9.31,21.38,daily
1,5,aceweldo,tmmn,6.4139,14.923400000000001,8.33,-7.6,19.22,daily
1,6,aceweldo,tmmn,4.7765,16.5609,10.67,-12.01,18.68,daily
1,7,aceweldo,tmmn,6.2629,14.2864,9.59,-5.89,16.88,daily
1,8,aceweldo,tmmn,7.3603,12.942,11.21,-3.91,17.42,daily
1,9,aceweldo,tmmn,6.1584,12.7554,8.15,-3.1,16.07,daily
1,10,aceweldo,tmmn,6.3094,15.048,7.61,-5.62,20.75,daily
1,11,aceweldo,tmmn,5.601,15.4739,9.95,-5.08,17.24,daily
1,12,aceweldo,tmmn,4.759,15.5988,8.33,-8.59,17.6,daily
1,13,aceweldo,tmmn,5.8042,15.5058,9.05,-8.41,17.42,daily
1,14,aceweldo,tmmn,4.6313,15.407,9.77,-6.61,16.97,daily
1,15,aceweldo,tmmn,5.061,14.2397,5.81,-5.8,15.8,daily
1,16,aceweldo,tmmn,5.7577,13.6057,5.27,-1.3,16.25,daily
1,17,aceweldo,tmmn,6.9597,12.6393,12.47,0.59,15.35,daily
1,18,aceweldo,tmmn,8.1965,14.1049,8.33,1.85,19.49,daily
1,19,aceweldo,tmmn,9.9906,12.7845,12.65,4.73,19.04,daily
1,20,aceweldo,tmmn,9.921,10.878,11.93,1.04,18.05,daily
1,21,aceweldo,tmmn,9.561,9.6912,10.13,5.99,16.7,daily
1,22,aceweldo,tmmn,9.2939,10.8995,10.67,4.73,17.33,daily
1,23,aceweldo,tmmn,8.6377,11.555,9.95,0.59,19.67,daily
1,24,aceweldo,tmmn,8.4635,13.1408,7.97,0.95,16.97,daily
1,25,aceweldo,tmmn,8.3126,13.4032,8.69,-2.02,18.59,daily
1,26,aceweldo,tmmn,8.5448,13.9613,10.85,-1.57,17.69,daily
1,27,aceweldo,tmmn,9.95,15.5442,15.17,1.49,20.75,daily
1,28,aceweldo,tmmn,7.0177,14.7031,8.87,-2.2,18.23,daily
1,29,aceweldo,tmmn,7.0003,15.2157,10.49,-3.73,16.97,daily
1,30,aceweldo,tmmn,9.4681,16.01,17.33,-0.67,20.75,daily
1,31,aceweldo,tmmn,9.8571,14.6205,11.93,1.49,22.73,daily
2,1,aceweldo,tmmn,9.799,15.9673,15.17,-2.2,22.01,daily
2,2,aceweldo,tmmn,9.9384,14.2423,11.03,0.95,20.12,daily
2,3,aceweldo,tmmn,7.2384,13.8087,12.11,-1.66,17.42,daily
2,4,aceweldo,tmmn,7.9235,13.2064,11.21,-3.01,17.87,daily
2,5,aceweldo,tmmn,10.7861,12.4493,14.27,2.75,19.85,daily
2,6,aceweldo,tmmn,9.7003,14.9034,14.27,2.3,20.57,daily
2,7,aceweldo,tmmn,6.6345,16.1535,9.23,-2.47,18.32,daily
2,8,aceweldo,tmmn,6.6519,16.2501,11.39,-4.45,21.11,daily
2,9,aceweldo,tmmn,6.5939,15.8859,8.15,-6.79,19.22,daily
2,10,aceweldo,tmmn,6.1874,13.0704,9.41,-0.13,15.62,daily
2,11,aceweldo,tmmn,5.81,12.4233,7.07,-0.13,13.1,daily
2,12,aceweldo,tmmn,6.9132,13.4193,8.33,0.14,15.17,daily
2,13,aceweldo,tmmn,9.5145,14.5115,12.11,-3.19,21.56,daily
2,14,aceweldo,tmmn,9.5958,14.9272,13.55,-0.85,20.66,daily
2,15,aceweldo,tmmn,9.59,12.8036,9.77,0.41,20.03,daily
2,16,aceweldo,tmmn,12.8126,13.2883,18.23,4.1,21.56,daily
2,17,aceweldo,tmmn,12.5223,13.6981,15.17,3.56,22.37,daily
2,18,aceweldo,tmmn,11.2274,14.7959,13.55,-0.31,24.71,daily
2,19,aceweldo,tmmn,12.3306,13.8773,15.89,0.86,25.34,daily
2,20,aceweldo,tmmn,12.9171,13.6083,14.27,2.03,23.99,daily
2,21,aceweldo,tmmn,11.9184,14.2229,14.09,-0.94,22.19,daily
2,22,aceweldo,tmmn,13.039,14.7062,15.89,2.39,23.63,daily
2,23,aceweldo,tmmn,11.6687,13.357,13.73,4.19,22.01,daily
2,24,aceweldo,tmmn,10.8906,13.6515,16.97,5.27,18.95,daily
2,25,aceweldo,tmmn,9.6771,14.0849,13.37,0.23,20.21,daily
2,26,aceweldo,tmmn,9.1429,12.7911,10.49,-3.46,19.13,daily
2,27,aceweldo,tmmn,11.1752,11.7229,11.03,2.39,20.3,daily
2,28,aceweldo,tmmn,12.1158,10.9452,11.39,6.35,17.6,daily
2,29,aceweldo,tmmn,15.9125,14.5367,18.59,11.57,26.645,daily
3,1,aceweldo,tmmn,10.9894,12.4095,14.45,1.85,19.58,daily
3,2,aceweldo,tmmn,12.6442,13.5329,14.27,5.63,22.82,daily
3,3,aceweldo,tmmn,14.8681,13.2202,12.65,6.89,26.96,daily
3,4,aceweldo,tmmn,15.9945,12.3598,17.15,7.61,27.59,daily
3,5,aceweldo,tmmn,15.0887,12.1207,16.79,9.14,25.07,daily
3,6,aceweldo,tmmn,15.019,13.1914,18.77,6.26,24.35,daily
3,7,aceweldo,tmmn,14.6881,13.0059,15.89,7.34,24.98,daily
3,8,aceweldo,tmmn,15.17,13.3521,17.69,10.4,24.98,daily
3,9,aceweldo,tmmn,15.8552,13.1399,19.31,8.51,25.7,daily
3,10,aceweldo,tmmn,18.1719,11.9979,22.73,12.83,27.23,daily
3,11,aceweldo,tmmn,19.8442,12.1803,21.83,16.97,28.31,daily
3,12,aceweldo,tmmn,21.1042,10.7173,21.65,12.38,30.02,daily
