month,day,station,variable,mean,std_dev,median,q25,q75,type
1,1,acewinne,pet,0.0332,0.0175,0.0315,0.0226,0.0433,daily
1,2,acewinne,pet,0.0386,0.0209,0.0354,0.0217,0.0551,daily
1,3,acewinne,pet,0.0375,0.03,0.0236,0.0118,0.0551,daily
1,4,acewinne,pet,0.0389,0.0289,0.0315,0.0138,0.061,daily
1,5,acewinne,pet,0.0349,0.0256,0.0315,0.0118,0.0492,daily
1,6,acewinne,pet,0.0375,0.0225,0.0394,0.0157,0.0551,daily
1,7,acewinne,pet,0.0338,0.0238,0.0276,0.0197,0.0413,daily
1,8,acewinne,pet,0.0353,0.0262,0.0315,0.0197,0.0433,daily
1,9,acewinne,pet,0.0376,0.0231,0.0433,0.0138,0.0531,daily
1,10,acewinne,pet,0.039,0.0246,0.0433,0.0177,0.0571,daily
1,11,acewinne,pet,0.0378,0.0226,0.0394,0.0217,0.0512,daily
1,12,acewinne,pet,0.038,0.0248,0.0315,0.0197,0.0531,daily
1,13,acewinne,pet,0.0428,0.0291,0.0315,0.0236,0.0551,daily
1,14,acewinne,pet,0.0361,0.0219,0.0315,0.0197,0.0551,daily
1,15,acewinne,pet,0.0384,0.0235,0.0354,0.0197,0.0531,daily
1,16,acewinne,pet,0.038,0.0211,0.0354,0.0217,0.0512,daily
1,17,acewinne,pet,0.0373,0.0213,0.0354,0.0217,0.0512,daily
1,18,acewinne,pet,0.0386,0.0231,0.0315,0.0236,0.0492,daily
1,19,acewinne,pet,0.0424,0.0239,0.0394,0.0256,0.0551,daily
1,20,acewinne,pet,0.0405,0.0224,0.0354,0.0256,0.0492,daily
1,21,acewinne,pet,0.0394,0.0226,0.0354,0.0236,0.0512,daily
1,22,acewinne,pet,0.0382,0.018,0.0354,0.0276,0.0492,daily
1,23,acewinne,pet,0.0395,0.0199,0.0354,0.0276,0.0512,daily
1,24,acewinne,pet,0.0399,0.0243,0.0315,0.0236,0.0512,daily
1,25,acewinne,pet,0.0458,0.0268,0.0433,0.0256,0.063,daily
1,26,acewinne,pet,0.0432,0.0249,0.0394,0.0256,0.0551,daily
1,27,acewinne,pet,0.0437,0.0231,0.0433,0.0276,0.0551,daily
1,28,acewinne,pet,0.0446,0.0235,0.0433,0.0276,0.0571,daily
1,29,acewinne,pet,0.0423,0.0222,0.0394,0.0256,0.0571,daily
1,30,acewinne,pet,0.0465,0.0253,0.0472,0.0236,0.0669,daily
1,31,acewinne,pet,0.0465,0.0291,0.0433,0.0256,0.063,daily
2,1,acewinne,pet,0.0481,0.0348,0.0354,0.0197,0.061,daily
2,2,acewinne,pet,0.0437,0.0255,0.0433,0.0217,0.0591,daily
2,3,acewinne,pet,0.0371,0.0219,0.0354,0.0217,0.0531,daily
2,4,acewinne,pet,0.0427,0.0276,0.0394,0.0236,0.0571,daily
2,5,acewinne,pet,0.045,0.0261,0.0472,0.0256,0.061,daily
2,6,acewinne,pet,0.0423,0.0288,0.0394,0.0236,0.0571,daily
2,7,acewinne,pet,0.0368,0.0269,0.0354,0.0157,0.0453,daily
2,8,acewinne,pet,0.0385,0.0287,0.0315,0.0138,0.0571,daily
2,9,acewinne,pet,0.0428,0.0274,0.0394,0.0256,0.0531,daily
2,10,acewinne,pet,0.0409,0.0222,0.0394,0.0236,0.0571,daily
2,11,acewinne,pet,0.0418,0.0261,0.0354,0.0217,0.0591,daily
2,12,acewinne,pet,0.05,0.0302,0.0394,0.0276,0.0709,daily
2,13,acewinne,pet,0.0558,0.0312,0.063,0.0276,0.0787,daily
2,14,acewinne,pet,0.0478,0.0317,0.0433,0.0256,0.063,daily
2,15,acewinne,pet,0.0532,0.0385,0.0433,0.0315,0.065,daily
2,16,acewinne,pet,0.0558,0.0326,0.0472,0.0354,0.0709,daily
2,17,acewinne,pet,0.0511,0.0296,0.0551,0.0256,0.0669,daily
2,18,acewinne,pet,0.0509,0.0293,0.0472,0.0315,0.0669,daily
2,19,acewinne,pet,0.0593,0.0347,0.0591,0.0315,0.0689,daily
2,20,acewinne,pet,0.0594,0.0325,0.0512,0.0354,0.0827,daily
2,21,acewinne,pet,0.0583,0.035,0.0551,0.0315,0.0846,daily
2,22,acewinne,pet,0.0556,0.0297,0.0472,0.0315,0.0827,daily
2,23,acewinne,pet,0.0523,0.0246,0.0551,0.0354,0.0728,daily
2,24,acewinne,pet,0.0527,0.0296,0.0472,0.0335,0.0669,daily
2,25,acewinne,pet,0.0508,0.027,0.0472,0.0315,0.0709,daily
2,26,acewinne,pet,0.0505,0.025,0.0512,0.0335,0.0591,daily
2,27,acewinne,pet,0.0489,0.0306,0.0394,0.0295,0.061,daily
2,28,acewinne,pet,0.0536,0.0293,0.0472,0.0335,0.065,daily
2,29,acewinne,pet,0.0723,0.0369,0.0571,0.0492,0.0955,daily
3,1,acewinne,pet,0.0577,0.0314,0.0512,0.0335,0.0748,daily
3,2,acewinne,pet,0.0588,0.031,0.0551,0.0335,0.0846,daily
3,3,acewinne,pet,0.0648,0.03,0.0591,0.0413,0.0945,daily
