month,day,station,variable,mean,std_dev,median,q25,q75,type
1,1,blmcuste,pet,0.0324,0.0174,0.0315,0.0217,0.0394,daily
1,2,blmcuste,pet,0.0358,0.0194,0.0354,0.0236,0.0413,daily
1,3,blmcuste,pet,0.0359,0.0307,0.0276,0.0157,0.0453,daily
1,4,blmcuste,pet,0.0363,0.0263,0.0315,0.0177,0.0512,daily
1,5,blmcuste,pet,0.0347,0.0273,0.0354,0.0138,0.0472,daily
1,6,blmcuste,pet,0.0371,0.0228,0.0394,0.0157,0.0472,daily
1,7,blmcuste,pet,0.0339,0.023,0.0276,0.0197,0.0394,daily
1,8,blmcuste,pet,0.0359,0.0258,0.0315,0.0197,0.0433,daily
1,9,blmcuste,pet,0.037,0.0231,0.0354,0.0157,0.0531,daily
1,10,blmcuste,pet,0.0391,0.0253,0.0394,0.0177,0.061,daily
1,11,blmcuste,pet,0.0395,0.0243,0.0394,0.0197,0.0551,daily
1,12,blmcuste,pet,0.0377,0.0241,0.0354,0.0197,0.0551,daily
1,13,blmcuste,pet,0.0446,0.0315,0.0354,0.0236,0.0571,daily
1,14,blmcuste,pet,0.0348,0.0182,0.0315,0.0217,0.0492,daily
1,15,blmcuste,pet,0.0385,0.0244,0.0315,0.0217,0.0531,daily
1,16,blmcuste,pet,0.0381,0.0195,0.0394,0.0236,0.0492,daily
1,17,blmcuste,pet,0.0362,0.0183,0.0315,0.0236,0.0492,daily
1,18,blmcuste,pet,0.0372,0.0196,0.0315,0.0217,0.0492,daily
1,19,blmcuste,pet,0.0411,0.0202,0.0394,0.0256,0.0512,daily
1,20,blmcuste,pet,0.0384,0.0203,0.0354,0.0236,0.0453,daily
1,21,blmcuste,pet,0.0372,0.0183,0.0315,0.0236,0.0492,daily
1,22,blmcuste,pet,0.0371,0.0177,0.0315,0.0256,0.0472,daily
1,23,blmcuste,pet,0.0375,0.0179,0.0354,0.0236,0.0492,daily
1,24,blmcuste,pet,0.0399,0.0228,0.0315,0.0236,0.0531,daily
1,25,blmcuste,pet,0.0422,0.0226,0.0433,0.0256,0.0551,daily
1,26,blmcuste,pet,0.0429,0.0235,0.0394,0.0256,0.0551,daily
1,27,blmcuste,pet,0.0424,0.0221,0.0394,0.0295,0.0472,daily
1,28,blmcuste,pet,0.0432,0.0213,0.0394,0.0276,0.0512,daily
1,29,blmcuste,pet,0.0417,0.0202,0.0394,0.0276,0.0512,daily
1,30,blmcuste,pet,0.0461,0.0249,0.0433,0.0276,0.0591,daily
1,31,blmcuste,pet,0.0474,0.0283,0.0394,0.0295,0.061,daily
2,1,blmcuste,pet,0.0472,0.0346,0.0354,0.0217,0.0689,daily
2,2,blmcuste,pet,0.0445,0.026,0.0433,0.0315,0.0512,daily
2,3,blmcuste,pet,0.0347,0.0201,0.0315,0.0217,0.0492,daily
2,4,blmcuste,pet,0.0382,0.0231,0.0315,0.0197,0.0492,daily
2,5,blmcuste,pet,0.0428,0.022,0.0472,0.0276,0.0571,daily
2,6,blmcuste,pet,0.0413,0.0259,0.0433,0.0236,0.0472,daily
2,7,blmcuste,pet,0.0366,0.0235,0.0354,0.0217,0.0472,daily
2,8,blmcuste,pet,0.0368,0.0252,0.0315,0.0157,0.0512,daily
2,9,blmcuste,pet,0.0411,0.0259,0.0315,0.0276,0.0551,daily
2,10,blmcuste,pet,0.0417,0.0199,0.0394,0.0276,0.0551,daily
2,11,blmcuste,pet,0.0431,0.023,0.0354,0.0276,0.0571,daily
2,12,blmcuste,pet,0.0488,0.0245,0.0394,0.0276,0.0709,daily
2,13,blmcuste,pet,0.0575,0.0314,0.0551,0.0315,0.0827,daily
2,14,blmcuste,pet,0.049,0.0282,0.0433,0.0276,0.063,daily
2,15,blmcuste,pet,0.0527,0.0354,0.0433,0.0335,0.061,daily
2,16,blmcuste,pet,0.056,0.0318,0.0512,0.0394,0.0669,daily
2,17,blmcuste,pet,0.0527,0.0295,0.0551,0.0256,0.0748,daily
2,18,blmcuste,pet,0.0502,0.0279,0.0472,0.0315,0.063,daily
2,19,blmcuste,pet,0.0641,0.0368,0.063,0.0335,0.0748,daily
2,20,blmcuste,pet,0.0631,0.0359,0.0591,0.0394,0.0768,daily
2,21,blmcuste,pet,0.0608,0.0356,0.0551,0.0315,0.0945,daily
2,22,blmcuste,pet,0.0589,0.0345,0.0512,0.0374,0.0787,daily
2,23,blmcuste,pet,0.0541,0.0255,0.0551,0.0374,0.0709,daily
2,24,blmcuste,pet,0.056,0.0295,0.0551,0.0374,0.0709,daily
2,25,blmcuste,pet,0.0519,0.0282,0.0512,0.0354,0.0709,daily
2,26,blmcuste,pet,0.0536,0.0251,0.0472,0.0354,0.0709,daily
2,27,blmcuste,pet,0.0516,0.0301,0.0433,0.0315,0.0591,daily
2,28,blmcuste,pet,0.0566,0.0299,0.0512,0.0394,0.065,daily
2,29,blmcuste,pet,0.0778,0.0387,0.065,0.0522,0.1063,daily
3,1,blmcuste,pet,0.0587,0.0324,0.0551,0.0354,0.0807,daily
3,2,blmcuste,pet,0.0631,0.031,0.0551,0.0394,0.0886,daily
3,3,blmcuste,pet,0.0679,0.0309,0.0669,0.0433,0.0965,daily
3,4,blmcuste,pet,0.0686,0.0329,0.0669,0.0433,0.0906,daily
3,5,blmcuste,pet,0.0714,0.0368,0.063,0.0433,0.0965,daily
3,6,blmcuste,pet,0.0701,0.0408,0.063,0.0335,0.0906,daily
3,7,blmcuste,pet,0.0704,0.0323,0.0787,0.0433,0.0906,daily
3,8,blmcuste,pet,0.0687,0.0327,0.0709,0.0394,0.0906,daily
3,9,blmcuste,pet,0.0813,0.0464,0.0669,0.0492,0.1043,daily
3,10,blmcuste,pet,0.0814,0.0442,0.0827,0.0433,0.1122,daily
3,11,blmcuste,pet,0.0881,0.0426,0.0827,0.063,0.1043,daily
3,12,blmcuste,pet,0.0972,0.0464,0.0866,0.061,0.122,daily
3,13,blmcuste,pet,0.097,0.0361,0.0906,0.0689,0.128,daily
3,14,blmcuste,pet,0.094,0.0344,0.0984,0.0728,0.1142,daily
3,15,blmcuste,pet,0.0975,0.0401,0.0945,0.0669,0.128,daily
3,16,blmcuste,pet,0.0949,0.0368,0.0906,0.0709,0.122,daily
3,17,blmcuste,pet,0.0917,0.0358,0.0906,0.0669,0.1083,daily
3,18,blmcuste,pet,0.0944,0.0391,0.0945,0.0591,0.1181,daily
3,19,blmcuste,pet,0.0986,0.0411,0.0984,0.065,0.128,daily
3,20,blmcuste,pet,0.1038,0.0399,0.0984,0.0787,0.122,daily
3,21,blmcuste,pet,0.1049,0.0403,0.1102,0.0787,0.1299,daily
3,22,blmcuste,pet,0.0991,0.0372,0.0984,0.0728,0.126,daily
3,23,blmcuste,pet,0.1019,0.0437,0.0945,0.065,0.1417,daily
3,24,blmcuste,pet,0.1002,0.0455,0.1024,0.061,0.124,daily
3,25,blmcuste,pet,0.1012,0.0414,0.0945,0.0748,0.1181,daily
3,26,blmcuste,pet,0.1101,0.0414,0.1024,0.0787,0.1339,daily
3,27,blmcuste,pet,0.1156,0.038,0.1102,0.0906,0.1457,daily
