month,day,station,variable,mean,std_dev,median,q25,q75,type
1,1,blmrubyc,pr,0.0108,0.0248,0,0,0.0039,daily
1,2,blmrubyc,pr,0.0179,0.051,0,0,0,daily
1,3,blmrubyc,pr,0.0124,0.027,0,0,0.0118,daily
1,4,blmrubyc,pr,0.0145,0.0334,0,0,0.0079,daily
1,5,blmrubyc,pr,0.0036,0.0113,0,0,0,daily
1,6,blmrubyc,pr,0.0056,0.0196,0,0,0,daily
1,7,blmrubyc,pr,0.0075,0.0219,0,0,0,daily
1,8,blmrubyc,pr,0.0173,0.0335,0,0,0.0197,daily
1,9,blmrubyc,pr,0.0113,0.0184,0,0,0.0217,daily
1,10,blmrubyc,pr,0.0324,0.0764,0,0,0.0217,daily
1,11,blmrubyc,pr,0.0521,0.1082,0,0,0.0394,daily
1,12,blmrubyc,pr,0.0236,0.0907,0,0,0,daily
1,13,blmrubyc,pr,0.0273,0.0964,0,0,0,daily
1,14,blmrubyc,pr,0.0098,0.0232,0,0,0,daily
1,15,blmrubyc,pr,0.0212,0.053,0,0,0.0098,daily
1,16,blmrubyc,pr,0.0149,0.0258,0,0,0.0256,daily
1,17,blmrubyc,pr,0.0119,0.0264,0,0,0.0157,daily
1,18,blmrubyc,pr,0.0149,0.033,0,0,0.0138,daily
1,19,blmrubyc,pr,0.0136,0.0312,0,0,0,daily
1,20,blmrubyc,pr,0.0179,0.0549,0,0,0.0059,daily
1,21,blmrubyc,pr,0.0169,0.0601,0,0,0,daily
1,22,blmrubyc,pr,0.0202,0.054,0,0,0.0059,daily
1,23,blmrubyc,pr,0.0386,0.1021,0,0,0.0276,daily
1,24,blmrubyc,pr,0.0094,0.0239,0,0,0,daily
1,25,blmrubyc,pr,0.0055,0.0118,0,0,0,daily
1,26,blmrubyc,pr,0.0307,0.0837,0,0,0.0217,daily
1,27,blmrubyc,pr,0.0347,0.0767,0,0,0.0079,daily
1,28,blmrubyc,pr,0.0157,0.0291,0,0,0.0276,daily
1,29,blmrubyc,pr,0.0182,0.0712,0,0,0,daily
1,30,blmrubyc,pr,0.0161,0.0367,0,0,0,daily
1,31,blmrubyc,pr,0.022,0.0586,0,0,0.0177,daily
2,1,blmrubyc,pr,0.0202,0.0607,0,0,0,daily
2,2,blmrubyc,pr,0.0253,0.0799,0,0,0,daily
2,3,blmrubyc,pr,0.0292,0.0731,0,0,0.0138,daily
2,4,blmrubyc,pr,0.0028,0.0083,0,0,0,daily
2,5,blmrubyc,pr,0.0224,0.0606,0,0,0,daily
