month,day,station,variable,mean,std_dev,median,q25,q75,type
1,1,csktbira,tmmn,19.85,11.248,20.21,13.1,28.805,daily
1,2,csktbira,tmmn,21.139,10.1864,21.29,15.08,27.95,daily
1,3,csktbira,tmmn,20.7152,12.019,22.73,12.29,30.65,daily
1,4,csktbira,tmmn,20.0706,12.391,22.73,13.1,29.75,daily
1,5,csktbira,tmmn,18.6945,13.5444,23.81,12.38,28.85,daily
1,6,csktbira,tmmn,18.8223,13.836,22.91,10.4,29.48,daily
1,7,csktbira,tmmn,22.9332,10.8923,23.09,19.4,29.12,daily
1,8,csktbira,tmmn,23.5777,7.8811,25.79,18.32,28.4,daily
1,9,csktbira,tmmn,23.7984,8.7263,27.59,17.06,29.39,daily
1,10,csktbira,tmmn,22.1668,9.5673,24.89,16.97,29.03,daily
1,11,csktbira,tmmn,20.1926,12.4737,23.99,11.39,29.21,daily
1,12,csktbira,tmmn,20.7848,13.7875,25.79,13.28,31.19,daily
1,13,csktbira,tmmn,22.5094,12.9091,25.79,19.4,31.37,daily
1,14,csktbira,tmmn,23.6358,11.5023,25.61,20.03,32.36,daily
1,15,csktbira,tmmn,21.2494,10.9112,22.01,17.06,29.12,daily
1,16,csktbira,tmmn,20.6629,10.1557,23.45,15.62,28.13,daily
1,17,csktbira,tmmn,21.7487,8.097,22.01,17.06,27.86,daily
1,18,csktbira,tmmn,23.1713,7.5434,23.45,18.23,28.31,daily
1,19,csktbira,tmmn,24.6984,6.0101,22.91,20.12,29.21,daily
1,20,csktbira,tmmn,24.0248,6.6315,25.43,19.76,28.85,daily
1,21,csktbira,tmmn,22.341,8.1313,25.07,16.97,26.87,daily
1,22,csktbira,tmmn,23.4384,6.1309,23.63,21.47,26.69,daily
1,23,csktbira,tmmn,23.5894,6.9788,23.99,19.31,27.86,daily
1,24,csktbira,tmmn,23.7694,7.8272,25.07,17.33,29.48,daily
1,25,csktbira,tmmn,25.4939,8.0471,27.77,19.04,30.92,daily
1,26,csktbira,tmmn,23.3861,9.9008,27.05,17.42,31.1,daily
1,27,csktbira,tmmn,22.039,10.5229,25.61,13.64,29.66,daily
1,28,csktbira,tmmn,21.1042,9.9253,23.99,14.99,28.13,daily
1,29,csktbira,tmmn,22.2074,10.0222,24.17,15.62,29.84,daily
1,30,csktbira,tmmn,23.5371,10.7928,25.43,19.22,29.93,daily
1,31,csktbira,tmmn,23.7345,9.7983,23.99,21.11,29.75,daily
2,1,csktbira,tmmn,22.0971,11.8402,25.07,18.59,29.57,daily
2,2,csktbira,tmmn,21.2261,13.0943,26.15,15.98,29.48,daily
2,3,csktbira,tmmn,20.3668,11.1093,22.19,15.26,28.13,daily
2,4,csktbira,tmmn,23.2642,9.6427,27.05,19.4,30.11,daily
2,5,csktbira,tmmn,23.2874,11.45,25.97,20.21,29.93,daily
2,6,csktbira,tmmn,23.1887,12.0728,23.09,19.13,31.46,daily
2,7,csktbira,tmmn,23.7461,11.3573,26.15,19.4,31.91,daily
2,8,csktbira,tmmn,21.8823,10.7054,23.27,17.69,29.21,daily
2,9,csktbira,tmmn,21.139,9.4015,24.35,14.81,27.68,daily
2,10,csktbira,tmmn,20.9126,8.9579,21.65,18.14,25.88,daily
2,11,csktbira,tmmn,21.4584,9.9274,23.09,18.14,28.22,daily
2,12,csktbira,tmmn,22.3352,11.7723,23.45,16.79,31.82,daily
2,13,csktbira,tmmn,23.2932,10.6496,27.77,19.67,30.02,daily
2,14,csktbira,tmmn,23.4152,7.9505,24.53,19.04,29.48,daily
2,15,csktbira,tmmn,23.4094,9.3306,24.71,19.04,29.93,daily
2,16,csktbira,tmmn,24.8377,10.4585,27.77,21.56,31.28,daily
2,17,csktbira,tmmn,23.5081,11.3284,27.41,20.12,30.83,daily
2,18,csktbira,tmmn,22.4861,11.5482,27.41,19.76,29.84,daily
2,19,csktbira,tmmn,22.7881,10.5111,25.07,17.96,28.94,daily
2,20,csktbira,tmmn,22.881,10.6593,24.53,17.51,29.84,daily
2,21,csktbira,tmmn,22.0274,10.7927,25.07,14.99,29.93,daily
2,22,csktbira,tmmn,23.2642,10.3399,25.79,22.37,29.48,daily
2,23,csktbira,tmmn,23.0087,8.4929,23.99,18.32,29.03,daily
2,24,csktbira,tmmn,21.7197,9.4394,22.37,18.59,29.03,daily
2,25,csktbira,tmmn,20.9242,10.2329,24.53,12.92,27.32,daily
2,26,csktbira,tmmn,20.6861,10.6726,24.53,16.7,27.59,daily
2,27,csktbira,tmmn,22.5326,8.9544,22.91,18.23,28.67,daily
2,28,csktbira,tmmn,21.9403,9.854,24.35,16.97,28.13,daily
2,29,csktbira,tmmn,24.3275,9.7221,27.05,23.9,28.895,daily
3,1,csktbira,tmmn,23.4442,9.3404,26.33,18.95,30.11,daily
3,2,csktbira,tmmn,24.7739,9.9862,28.49,19.49,31.55,daily
3,3,csktbira,tmmn,25.0294,10.3411,25.79,20.57,31.37,daily
3,4,csktbira,tmmn,25.3371,10.0967,27.59,23.27,29.93,daily
3,5,csktbira,tmmn,25.3952,9.2677,25.97,22.19,30.65,daily
3,6,csktbira,tmmn,25.8016,6.8128,26.33,20.93,31.19,daily
3,7,csktbira,tmmn,25.8016,6.0162,26.51,20.57,31.37,daily
3,8,csktbira,tmmn,26.7655,6.5145,27.95,24.53,30.74,daily
3,9,csktbira,tmmn,26.8526,7.6657,27.95,23.9,31.19,daily
3,10,csktbira,tmmn,27.9384,7.9089,30.11,23.36,32.9,daily
3,11,csktbira,tmmn,28.2577,8.696,30.29,24.26,33.98,daily
3,12,csktbira,tmmn,28.0719,7.3631,27.95,24.62,32.36,daily
3,13,csktbira,tmmn,28.4668,6.6356,29.57,25.34,32.27,daily
3,14,csktbira,tmmn,29.5526,7.3345,30.65,24.44,32.81,daily
3,15,csktbira,tmmn,30.6094,7.6703,30.29,27.05,35.78,daily
3,16,csktbira,tmmn,29.9765,5.379,30.29,26.96,33.35,daily
3,17,csktbira,tmmn,28.3274,5.5352,28.67,25.97,30.74,daily
3,18,csktbira,tmmn,28.85,5.8286,29.03,25.7,33.17,daily
3,19,csktbira,tmmn,27.77,5.3153,27.41,24.62,31.01,daily
3,20,csktbira,tmmn,28.0487,5.8662,28.49,24.35,32.27,daily
3,21,csktbira,tmmn,29.3842,6.3698,30.65,25.97,32.9,daily
3,22,csktbira,tmmn,31.0797,5.5724,31.73,26.15,34.7,daily
3,23,csktbira,tmmn,30.1448,5.3929,29.21,27.14,32.27,daily
3,24,csktbira,tmmn,28.5887,6.4071,28.67,24.71,31.46,daily
3,25,csktbira,tmmn,28.7397,6.9014,29.93,24.98,33.53,daily
3,26,csktbira,tmmn,29.6223,5.7198,30.29,27.41,33.71,daily
3,27,csktbira,tmmn,30.4294,5.0281,31.73,26.69,34.43,daily
3,28,csktbira,tmmn,30.2494,5.6391,31.55,27.68,34.79,daily
3,29,csktbira,tmmn,30.1216,5.1104,30.29,27.95,33.08,daily
3,30,csktbira,tmmn,31.1029,4.6832,31.19,27.77,33.98,daily
3,31,csktbira,tmmn,31.0681,5.9342,30.65,26.51,35.51,daily
4,1,csktbira,tmmn,31.4048,5.9184,32.45,26.69,34.88,daily
4,2,csktbira,tmmn,30.3423,6.6607,32.09,26.78,35.42,daily
4,3,csktbira,tmmn,30.29,5.6716,30.11,26.69,33.98,daily
4,4,csktbira,tmmn,32.0958,6.4524,33.89,26.15,37.76,daily
4,5,csktbira,tmmn,31.6371,6.3217,32.27,26.87,38.12,daily
4,6,csktbira,tmmn,32.9087,5.6938,32.63,27.95,37.31,daily
4,7,csktbira,tmmn,32.8274,6.1095,32.09,28.49,36.32,daily
4,8,csktbira,tmmn,33.0481,5.2219,32.99,29.3,36.5,daily
4,9,csktbira,tmmn,32.6823,6.0243,32.81,29.48,37.31,daily
4,10,csktbira,tmmn,32.7635,5.0733,33.89,30.65,35.78,daily
4,11,csktbira,tmmn,32.6126,6.9025,34.07,29.39,36.59,daily
4,12,csktbira,tmmn,32.7926,6.4982,34.07,30.11,37.31,daily
4,13,csktbira,tmmn,34.1687,6.262,34.43,31.64,38.3,daily
4,14,csktbira,tmmn,34.07,4.7032,34.97,30.65,37.04,daily
4,15,csktbira,tmmn,32.4965,4.3672,32.99,29.3,35.51,daily
4,16,csktbira,tmmn,32.8739,5.5413,32.99,30.11,36.23,daily
4,17,csktbira,tmmn,35.2371,5.5417,34.79,31.91,39.47,daily
4,18,csktbira,tmmn,34.4939,5.4163,34.97,30.38,37.76,daily
4,19,csktbira,tmmn,34.3603,6.038,33.89,31.28,36.5,daily
4,20,csktbira,tmmn,33.9713,5.961,33.53,31.73,37.85,daily
4,21,csktbira,tmmn,35.69,5.879,34.79,32.72,40.1,daily
4,22,csktbira,tmmn,36.6248,6.2,37.67,32.72,41.81,daily
4,23,csktbira,tmmn,36.9616,6.8436,37.49,32.63,39.74,daily
4,24,csktbira,tmmn,35.33,6.2729,36.59,29.84,39.38,daily
4,25,csktbira,tmmn,35.3416,5.5132,35.69,31.55,39.65,daily
4,26,csktbira,tmmn,35.8119,5.1581,35.51,32.36,39.11,daily
4,27,csktbira,tmmn,36.1952,5.4282,34.25,32.27,38.84,daily
4,28,csktbira,tmmn,35.0861,5.837,35.33,31.73,39.02,daily
4,29,csktbira,tmmn,35.8061,6.1174,36.23,31.73,39.83,daily
4,30,csktbira,tmmn,36.7352,4.9037,37.67,33.53,39.56,daily
5,1,csktbira,tmmn,36.5377,4.507,36.59,33.71,40.28,daily
5,2,csktbira,tmmn,36.5958,5.5325,35.15,32.72,39.38,daily
5,3,csktbira,tmmn,37.4726,4.8999,37.31,34.07,40.91,daily
5,4,csktbira,tmmn,38.3435,5.0744,37.85,34.16,42.44,daily
5,5,csktbira,tmmn,38.7152,6.1278,37.67,35.15,41.9,daily
5,6,csktbira,tmmn,39.1448,6.1948,39.47,33.98,44.06,daily
5,7,csktbira,tmmn,39.4584,5.5701,40.01,35.33,43.88,daily
5,8,csktbira,tmmn,38.8603,5.8789,37.31,34.7,44.33,daily
5,9,csktbira,tmmn,38.3203,5.9632,38.75,33.35,41.81,daily
5,10,csktbira,tmmn,38.5468,5.3033,37.67,33.62,40.64,daily
5,11,csktbira,tmmn,39.2784,5.7361,40.37,36.32,42.89,daily
5,12,csktbira,tmmn,40.9216,6.2271,40.73,36.23,46.49,daily
5,13,csktbira,tmmn,41.1481,5.8838,40.91,36.68,44.15,daily
5,14,csktbira,tmmn,41.5255,5.0873,40.73,37.76,44.6,daily
5,15,csktbira,tmmn,41.839,5.41,42.71,37.58,45.95,daily
5,16,csktbira,tmmn,42.5997,5.4265,42.17,38.66,47.3,daily
5,17,csktbira,tmmn,43.2268,5.5235,43.61,40.19,46.76,daily
5,18,csktbira,tmmn,43.2965,5.9161,43.25,40.55,46.76,daily
5,19,csktbira,tmmn,42.861,6.0953,42.35,38.21,46.13,daily
5,20,csktbira,tmmn,42.3326,5.1896,41.63,39.56,44.78,daily
5,21,csktbira,tmmn,42.2165,4.8985,43.07,39.47,45.41,daily
5,22,csktbira,tmmn,42.9074,4.0778,43.79,39.92,45.59,daily
5,23,csktbira,tmmn,42.4081,4.5054,42.53,38.48,45.86,daily
5,24,csktbira,tmmn,43.4706,4.9774,43.07,39.47,46.49,daily
5,25,csktbira,tmmn,44.2139,5.728,44.33,40.82,47.3,daily
5,26,csktbira,tmmn,44.301,4.3522,44.15,41,47.3,daily
5,27,csktbira,tmmn,43.4997,4.3699,43.97,40.28,46.31,daily
