month,day,mean,std_dev,median,min,max,q25,q75,type,variable,station
1,1,58.0387,8.6687,58.3,44.6,75.6,50.7,62.8,daily,rmin,ebarllob
1,2,56.9733,8.394,55.25,44,78.4,50.075,63.35,daily,rmin,ebarllob
1,3,57.53,8.9718,57.4,40.9,79.5,53.25,61.575,daily,rmin,ebarllob
1,4,57.0033,7.6592,56.6,42.2,71,51.25,62.575,daily,rmin,ebarllob
1,5,57.25,8.7525,58.6,38.4,73.9,49.375,63.15,daily,rmin,ebarllob
1,6,58.9067,9.3851,60.15,33.3,74.1,54.4,64.475,daily,rmin,ebarllob
1,7,60.8533,8.2349,61.25,39.4,78.3,55.2,65.8,daily,rmin,ebarllob
1,8,60.1667,10.737,60.75,38.6,83.1,52.45,68.35,daily,rmin,ebarllob
1,9,60.22,7.7087,60.2,45.1,77.3,55.55,65.65,daily,rmin,ebarllob
1,10,58.9933,6.6503,58.3,43.7,72.3,55.525,61.875,daily,rmin,ebarllob
1,11,58.0933,9.1118,58.2,38.9,77.2,52.925,64.175,daily,rmin,ebarllob
1,12,56.3733,9.4326,57.6,35.8,73.8,48.95,62.2,daily,rmin,ebarllob
1,13,60.0833,8.3884,61.2,39.3,77.4,57.15,63.275,daily,rmin,ebarllob
1,14,58.0767,8.7446,56.9,39.9,77.6,54.45,62.325,daily,rmin,ebarllob
1,15,54.7433,8.2373,54.8,39.1,76.5,50.8,58.95,daily,rmin,ebarllob
1,16,55.8633,7.7834,56.15,36.8,68.7,51.05,61.275,daily,rmin,ebarllob
1,17,56.95,11.3351,56.9,33.4,87.4,49.125,65.225,daily,rmin,ebarllob
1,18,58.4167,9.8904,60.9,36,72.4,50.6,65.15,daily,rmin,ebarllob
1,19,59.6133,8.7524,60.6,31.9,73.6,56,66.1,daily,rmin,ebarllob
1,20,58.0533,9.6124,56.55,40.1,78.2,52.2,63.875,daily,rmin,ebarllob
1,21,55.9567,8.4698,54.45,33.9,71.7,51.3,61.425,daily,rmin,ebarllob
1,22,58.36,6.6168,59,43.2,70.1,53.925,62.7,daily,rmin,ebarllob
1,23,57.7833,8.3524,57.45,45.3,78,52.1,62.925,daily,rmin,ebarllob
1,24,56.97,9.0427,58.5,34,68.6,50.475,64.725,daily,rmin,ebarllob
1,25,55.2033,9.4243,55.6,35.2,74.5,47.875,62.1,daily,rmin,ebarllob
1,26,57.03,10.927,58.9,28,78.9,52.225,62.9,daily,rmin,ebarllob
1,27,55.0967,8.5075,55.1,35.6,72.3,49.45,59.675,daily,rmin,ebarllob
1,28,54.16,8.5259,56.6,31.9,65.2,50.55,59.475,daily,rmin,ebarllob
1,29,55.5,8.8087,57.75,27.4,68.4,50.5,60.675,daily,rmin,ebarllob
1,30,55.54,10.4615,55.3,34.5,85.2,48.175,61.675,daily,rmin,ebarllob
1,31,54.2933,10.2506,52.05,38.4,78.3,46.025,62.05,daily,rmin,ebarllob
2,1,47.31,10.9793,47.3,26.7,73.2,40.375,51.9,daily,rmin,ebarllob
2,2,49.4133,8.8317,49.25,30,74.1,44.925,54.7,daily,rmin,ebarllob
2,3,50.99,12.094,48.55,30.8,82.2,44.825,56.5,daily,rmin,ebarllob
2,4,51.8767,13.2184,50.5,27.3,100,46.05,55.425,daily,rmin,ebarllob
2,5,50.7133,13.6853,50.05,29.3,100,45.025,55.725,daily,rmin,ebarllob
2,6,49.5167,11.4335,49.25,30.4,79.8,42.175,56.775,daily,rmin,ebarllob
2,7,48.52,8.8493,48,29,66.1,42.4,53.5,daily,rmin,ebarllob
2,8,49.0967,7.7678,50.2,32.6,65.4,45.375,53.4,daily,rmin,ebarllob
2,9,53.6067,15.0137,52.4,27.4,100,46.175,57.05,daily,rmin,ebarllob
2,10,51.38,12.7887,48.45,28.3,100,43.05,57.075,daily,rmin,ebarllob
2,11,49.59,8.4344,49.15,29,65.6,43.575,56.35,daily,rmin,ebarllob
2,12,47.42,9.8905,48.35,26.1,67.6,41.5,53.8,daily,rmin,ebarllob
2,13,46.68,9.6103,48.7,23.2,61.4,38.875,53.075,daily,rmin,ebarllob
2,14,48.0733,11.4572,51.15,21.3,69.8,41.35,56.325,daily,rmin,ebarllob
2,15,48.4833,10.4823,49.5,19.1,68,42.225,55.225,daily,rmin,ebarllob
2,16,47.9533,7.0606,48.3,35.4,63.6,43.05,52.675,daily,rmin,ebarllob
2,17,47.7767,9.0205,47,28.9,70.3,42,52.775,daily,rmin,ebarllob
2,18,47.1567,8.2795,48.5,27.5,57.7,44.95,52.9,daily,rmin,ebarllob
2,19,47.7933,8.3508,48.7,31,61,43.25,53.825,daily,rmin,ebarllob
2,20,46.2033,8.3099,47.6,31.5,59.5,43.325,52.15,daily,rmin,ebarllob
2,21,44.6033,9.1676,45.05,26.7,64.2,37.175,51.125,daily,rmin,ebarllob
2,22,43.64,9.0003,42.9,25,63.2,37.9,50.7,daily,rmin,ebarllob
2,23,44.3867,10.37,42.85,26.9,77.6,37.85,51.325,daily,rmin,ebarllob
2,24,48.8067,13.5591,45.45,30.9,95.4,42.125,51.175,daily,rmin,ebarllob
2,25,47.7167,12.6441,46.75,26.2,100,43.3,50.475,daily,rmin,ebarllob
2,26,47.1267,10.8571,47.2,26.2,86.3,42.725,50.775,daily,rmin,ebarllob
2,27,45.9133,10.6854,44.6,27.2,85.3,41.55,50.45,daily,rmin,ebarllob
2,28,44.9233,13.8929,44.35,21.3,100,39.625,48.45,daily,rmin,ebarllob
2,29,46.75,7.578,46.5,36.8,57.4,40.425,52.075,daily,rmin,ebarllob
3,1,43.12,8.5758,45,27.5,66.7,35.95,47.1,daily,rmin,ebarllob
3,2,43.6667,8.2953,44.55,25.1,59.8,36.025,49.8,daily,rmin,ebarllob
3,3,41.7933,8.4247,41.75,19.4,56.2,36.475,47.175,daily,rmin,ebarllob
3,4,44.1533,7.0685,44.8,29.8,55.5,40.75,48.8,daily,rmin,ebarllob
