month,day,mean,std_dev,median,min,max,q25,q75,type,variable,station
1,1,30.0752,11.7047,31.01,4.37,54.05,23.99,38.84,daily,tmmx,ekalakas
1,2,31.928,11.5625,34.97,7.61,50.81,25.205,40.145,daily,tmmx,ekalakas
1,3,29.906,14.8488,30.74,-1.93,54.77,20.39,42.215,daily,tmmx,ekalakas
1,4,30.554,15.5856,34.7,0.23,57.65,19.985,42.575,daily,tmmx,ekalakas
1,5,29.42,16.6179,33.62,-1.93,61.43,17.015,39.785,daily,tmmx,ekalakas
1,6,29.528,14.5701,33.62,0.23,49.73,16.205,41.225,daily,tmmx,ekalakas
1,7,31.862,11.7224,33.08,-2.83,54.05,24.98,38.435,daily,tmmx,ekalakas
1,8,32.066,11.6375,34.34,9.05,57.65,26.375,38.885,daily,tmmx,ekalakas
1,9,32.474,12.1369,36.68,3.65,54.23,25.79,39.74,daily,tmmx,ekalakas
1,10,32.012,15.1297,34.61,-7.15,54.77,25.16,42.215,daily,tmmx,ekalakas
1,11,29.486,15.8827,32.72,-6.97,53.15,20.525,41.495,daily,tmmx,ekalakas
1,12,29.054,14.3199,33.89,-0.49,50.81,16.205,38.885,daily,tmmx,ekalakas
1,13,31.868,11.9481,35.78,2.21,45.41,23.36,41.45,daily,tmmx,ekalakas
1,14,30.374,12.082,34.52,2.75,49.73,22.145,38.255,daily,tmmx,ekalakas
1,15,32.018,11.6638,34.43,-0.85,49.19,26.915,40.82,daily,tmmx,ekalakas
1,16,30.734,9.5138,31.46,4.01,45.59,25.745,37.67,daily,tmmx,ekalakas
1,17,31.976,10.2577,33.89,-4.45,44.87,29.345,38.795,daily,tmmx,ekalakas
1,18,32.462,11.5438,34.07,4.55,49.55,26.015,40.82,daily,tmmx,ekalakas
1,19,33.77,10.26,36.32,5.63,50.63,29.705,39.56,daily,tmmx,ekalakas
1,20,33.386,8.9695,34.25,13.73,54.59,28.4,37.985,daily,tmmx,ekalakas
1,21,34.136,9.4921,33.8,8.51,51.89,31.82,38.48,daily,tmmx,ekalakas
1,22,32.474,8.3965,34.34,4.19,42.89,29.885,38.39,daily,tmmx,ekalakas
1,23,33.572,7.9888,34.79,19.31,49.91,26.195,38.795,daily,tmmx,ekalakas
1,24,32.282,10.7214,33.26,7.79,51.17,25.52,40.505,daily,tmmx,ekalakas
1,25,32.642,14.4373,36.86,-4.27,52.61,22.73,43.115,daily,tmmx,ekalakas
1,26,33.446,13.4351,36.86,0.59,58.91,26.465,40.19,daily,tmmx,ekalakas
1,27,33.392,13.5918,36.77,5.99,63.59,26.69,41.585,daily,tmmx,ekalakas
1,28,32.99,12.7191,34.97,0.41,60.35,25.025,40.64,daily,tmmx,ekalakas
1,29,31.442,14.1053,35.42,-9.31,54.23,28.13,41.405,daily,tmmx,ekalakas
1,30,33.656,13.2439,37.13,-4.63,56.57,22.865,42.665,daily,tmmx,ekalakas
1,31,34.208,12.0962,35.78,4.73,61.43,27.635,43.52,daily,tmmx,ekalakas
2,1,32.978,15.2361,37.04,2.57,62.69,19.985,41.405,daily,tmmx,ekalakas
2,2,34.1,12.6971,35.24,-3.91,55.85,28.22,42.035,daily,tmmx,ekalakas
2,3,31.712,10.9253,32.63,4.73,50.63,26.33,38.705,daily,tmmx,ekalakas
2,4,32.312,12.7406,33.98,0.95,53.69,24.755,41.09,daily,tmmx,ekalakas
2,5,34.088,13.0466,36.41,-3.91,55.31,30.065,41.765,daily,tmmx,ekalakas
2,6,33.512,14.0542,36.41,-1.03,61.07,27.365,42.215,daily,tmmx,ekalakas
2,7,30.932,14.0467,32.45,-4.09,60.35,24.98,40.145,daily,tmmx,ekalakas
2,8,31.424,15.4906,34.25,-6.97,58.19,19.94,43.385,daily,tmmx,ekalakas
2,9,32.582,14.5084,33.98,3.11,53.51,23.225,43.7,daily,tmmx,ekalakas
2,10,31.292,11.4098,29.75,6.35,52.97,27.5,40.505,daily,tmmx,ekalakas
2,11,31.304,10.4625,29.84,14.27,50.99,23.765,38.975,daily,tmmx,ekalakas
2,12,33.59,11.4411,34.34,7.61,52.07,26.555,43.025,daily,tmmx,ekalakas
2,13,36.308,11.8751,38.57,11.39,56.03,27.545,44.465,daily,tmmx,ekalakas
2,14,34.37,11.5585,35.78,7.43,50.99,27.59,43.43,daily,tmmx,ekalakas
2,15,34.22,10.8407,35.69,8.51,54.95,28.13,40.595,daily,tmmx,ekalakas
2,16,37.604,12.7834,40.73,1.67,62.87,34.025,43.655,daily,tmmx,ekalakas
2,17,35.486,14.4676,38.48,-6.79,56.21,32.315,43.79,daily,tmmx,ekalakas
2,18,36.662,13.4752,38.48,8.15,67.01,26.195,43.925,daily,tmmx,ekalakas
2,19,37.67,14.3971,39.74,4.73,62.51,27.68,46.94,daily,tmmx,ekalakas
2,20,36.686,13.8836,38.12,6.35,59.45,25.205,47.165,daily,tmmx,ekalakas
2,21,37.838,14.7569,37.76,13.19,65.57,28.265,47.75,daily,tmmx,ekalakas
2,22,36.644,14.3129,36.14,11.39,62.87,26.51,46.175,daily,tmmx,ekalakas
2,23,35.732,11.9141,36.68,9.23,58.01,28.04,44.645,daily,tmmx,ekalakas
2,24,34.472,14.4721,33.98,3.65,63.77,27.095,45.14,daily,tmmx,ekalakas
2,25,32.882,14.3402,33.44,1.67,56.57,27.095,41.09,daily,tmmx,ekalakas
2,26,33.368,13.3597,34.88,5.45,61.79,22.955,40.55,daily,tmmx,ekalakas
2,27,35.234,13.2494,33.44,9.77,65.57,27.815,42.89,daily,tmmx,ekalakas
2,28,35.924,12.949,35.15,10.85,59.27,27.455,46.31,daily,tmmx,ekalakas
2,29,43.655,14.2467,41.81,22.19,65.93,36.05,50.765,daily,tmmx,ekalakas
3,1,34.964,14.2095,36.41,-4.45,68.09,27.05,41.09,daily,tmmx,ekalakas
3,2,35.87,14.7302,38.3,-0.85,66.47,27.77,45.635,daily,tmmx,ekalakas
3,3,39.344,14.2623,37.67,-0.67,67.01,31.145,51.935,daily,tmmx,ekalakas
3,4,40.4,15.8041,40.1,10.67,65.39,29.39,54.41,daily,tmmx,ekalakas
3,5,40.358,15.3511,42.98,10.67,73.13,31.01,47.975,daily,tmmx,ekalakas
3,6,39.116,15.6576,37.13,9.05,74.39,28.355,49.865,daily,tmmx,ekalakas
3,7,38.498,15.2605,40.82,5.99,72.95,31.325,47.345,daily,tmmx,ekalakas
3,8,39.788,13.7912,42.71,2.75,58.91,35.42,48.335,daily,tmmx,ekalakas
3,9,42.314,14.1584,44.51,12.83,64.31,33.935,54.41,daily,tmmx,ekalakas
3,10,42.674,14.6955,41.36,4.73,67.37,34.43,52.205,daily,tmmx,ekalakas
3,11,46.034,13.507,45.59,14.27,70.43,39.515,57.56,daily,tmmx,ekalakas
3,12,46.922,12.961,47.3,24.89,78.89,36.815,52.97,daily,tmmx,ekalakas
3,13,47.336,12.4115,46.76,24.17,67.73,38.795,56.39,daily,tmmx,ekalakas
3,14,47.498,12.4819,47.57,19.13,71.69,38.12,54.185,daily,tmmx,ekalakas
3,15,49.31,12.6586,48.11,27.05,76.01,38.615,60.8,daily,tmmx,ekalakas
3,16,49.298,10.4552,49.37,30.11,71.87,43.115,55.715,daily,tmmx,ekalakas
3,17,46.718,8.7754,45.77,30.65,72.59,40.955,51.35,daily,tmmx,ekalakas
3,18,47.582,11.8153,45.95,29.57,73.67,38.66,52.52,daily,tmmx,ekalakas
3,19,47.792,11.707,49.1,27.23,66.83,37.265,56.705,daily,tmmx,ekalakas
3,20,49.844,10.6769,49.73,28.67,74.93,45.05,54.68,daily,tmmx,ekalakas
3,21,50.186,12.0207,51.62,18.95,73.67,44.69,58.415,daily,tmmx,ekalakas
3,22,50.078,10.4473,51.44,25.25,69.53,44.87,57.11,daily,tmmx,ekalakas
3,23,49.538,12.8169,49.91,25.79,71.33,37.94,60.935,daily,tmmx,ekalakas
3,24,47.534,13.7886,48.29,20.75,72.77,38.795,56.12,daily,tmmx,ekalakas
3,25,47.348,13.396,43.34,15.35,75.65,39.965,59.495,daily,tmmx,ekalakas
3,26,50.21,12.8518,48.11,21.83,75.47,41.045,59.135,daily,tmmx,ekalakas
3,27,50.63,12.5253,53.06,23.45,68.09,41.18,60.575,daily,tmmx,ekalakas
3,28,49.748,12.797,48.83,23.81,81.05,40.775,57.515,daily,tmmx,ekalakas
3,29,50.156,10.8922,51.71,25.97,70.61,42.215,60.485,daily,tmmx,ekalakas
3,30,51.86,11.6869,52.34,29.57,70.97,44.33,59.18,daily,tmmx,ekalakas
3,31,50.27,15.1622,49.1,21.65,78.89,40.55,59.765,daily,tmmx,ekalakas
4,1,51.41,11.8293,50.99,30.11,74.75,42.305,60.08,daily,tmmx,ekalakas
4,2,47.846,12.7909,49.19,16.25,72.05,41.54,55.22,daily,tmmx,ekalakas
4,3,49.61,12.8477,49.64,24.53,74.75,39.38,58.775,daily,tmmx,ekalakas
4,4,53.768,11.9775,51.89,33.53,73.49,46.535,66.2,daily,tmmx,ekalakas
4,5,54.89,11.4363,56.48,29.03,77.27,49.775,60.44,daily,tmmx,ekalakas
4,6,54.008,13.1128,55.58,24.17,72.77,49.595,64.22,daily,tmmx,ekalakas
