month,day,mean,std_dev,median,min,max,q25,q75,type,variable,station
1,1,0.0204,0.0092,0.0197,0.0039,0.0394,0.0118,0.0276,daily,pet,lololowr
1,2,0.0241,0.0113,0.0217,0.0079,0.0472,0.0157,0.0344,daily,pet,lololowr
1,3,0.0222,0.0138,0.0197,0.0039,0.0512,0.0118,0.0266,daily,pet,lololowr
1,4,0.0257,0.0159,0.0197,0.0039,0.0709,0.0157,0.0305,daily,pet,lololowr
1,5,0.0226,0.0145,0.0197,0,0.0591,0.0118,0.0305,daily,pet,lololowr
1,6,0.0239,0.0122,0.0236,0.0039,0.0512,0.0157,0.0315,daily,pet,lololowr
1,7,0.0252,0.0123,0.0236,0,0.0512,0.0197,0.0315,daily,pet,lololowr
1,8,0.024,0.012,0.0217,0,0.0512,0.0157,0.0315,daily,pet,lololowr
1,9,0.022,0.0091,0.0197,0.0079,0.0433,0.0167,0.0276,daily,pet,lololowr
1,10,0.0256,0.0107,0.0236,0.0079,0.0512,0.0197,0.0315,daily,pet,lololowr
1,11,0.0232,0.0103,0.0236,0.0039,0.0472,0.0157,0.0276,daily,pet,lololowr
1,12,0.0248,0.0124,0.0217,0.0079,0.0551,0.0157,0.0335,daily,pet,lololowr
1,13,0.0241,0.0137,0.0217,0.0039,0.0709,0.0128,0.0315,daily,pet,lololowr
1,14,0.0256,0.0118,0.0217,0,0.0591,0.0197,0.0315,daily,pet,lololowr
1,15,0.0285,0.0145,0.0276,0.0039,0.0709,0.0197,0.0354,daily,pet,lololowr
1,16,0.0239,0.0118,0.0197,0.0039,0.0472,0.0157,0.0305,daily,pet,lololowr
1,17,0.0235,0.0092,0.0217,0.0039,0.0433,0.0197,0.0305,daily,pet,lololowr
1,18,0.027,0.0093,0.0236,0.0118,0.0472,0.0197,0.0344,daily,pet,lololowr
1,19,0.0262,0.0094,0.0236,0.0079,0.0472,0.0197,0.0315,daily,pet,lololowr
1,20,0.0249,0.0092,0.0236,0.0118,0.0433,0.0167,0.0315,daily,pet,lololowr
1,21,0.0259,0.0089,0.0256,0.0118,0.0433,0.0197,0.0344,daily,pet,lololowr
1,22,0.0266,0.009,0.0276,0.0118,0.0472,0.0207,0.0315,daily,pet,lololowr
1,23,0.0252,0.0098,0.0236,0.0079,0.0551,0.0197,0.0305,daily,pet,lololowr
1,24,0.0286,0.0105,0.0276,0.0157,0.0551,0.0207,0.0315,daily,pet,lololowr
1,25,0.0294,0.0107,0.0276,0.0118,0.0591,0.0207,0.0354,daily,pet,lololowr
1,26,0.0281,0.0121,0.0276,0.0118,0.0669,0.0197,0.0315,daily,pet,lololowr
1,27,0.0286,0.0133,0.0276,0.0118,0.0669,0.0197,0.0344,daily,pet,lololowr
1,28,0.029,0.0112,0.0276,0.0118,0.0512,0.0197,0.0384,daily,pet,lololowr
1,29,0.0304,0.0136,0.0276,0.0118,0.0787,0.0236,0.0354,daily,pet,lololowr
1,30,0.0315,0.0152,0.0335,0.0079,0.0669,0.0197,0.0394,daily,pet,lololowr
1,31,0.0381,0.0197,0.0354,0.0118,0.0906,0.0236,0.0463,daily,pet,lololowr
2,1,0.0379,0.0224,0.0335,0.0079,0.1299,0.0246,0.0463,daily,pet,lololowr
2,2,0.034,0.0138,0.0315,0.0039,0.063,0.0246,0.0423,daily,pet,lololowr
2,3,0.034,0.0162,0.0335,0.0039,0.0748,0.0276,0.0394,daily,pet,lololowr
2,4,0.0387,0.0183,0.0354,0.0039,0.0866,0.0276,0.0472,daily,pet,lololowr
2,5,0.0407,0.0168,0.0394,0.0079,0.0866,0.0315,0.0472,daily,pet,lololowr
2,6,0.0412,0.0215,0.0354,0.0079,0.1102,0.0285,0.0512,daily,pet,lololowr
2,7,0.0378,0.0145,0.0335,0.0157,0.0827,0.0276,0.0433,daily,pet,lololowr
2,8,0.0385,0.0162,0.0354,0.0157,0.0709,0.0276,0.0433,daily,pet,lololowr
2,9,0.0345,0.0122,0.0374,0.0039,0.0669,0.0285,0.0394,daily,pet,lololowr
2,10,0.0354,0.0127,0.0335,0.0039,0.0669,0.0285,0.0394,daily,pet,lololowr
2,11,0.0385,0.0134,0.0354,0.0157,0.0787,0.0285,0.0472,daily,pet,lololowr
2,12,0.0412,0.0142,0.0374,0.0236,0.0787,0.0315,0.0463,daily,pet,lololowr
2,13,0.0442,0.0149,0.0433,0.0197,0.0827,0.0325,0.0541,daily,pet,lololowr
2,14,0.0427,0.0162,0.0413,0.0197,0.0827,0.0285,0.0472,daily,pet,lololowr
2,15,0.044,0.0138,0.0413,0.0236,0.0827,0.0354,0.0502,daily,pet,lololowr
2,16,0.0465,0.0148,0.0433,0.0197,0.0945,0.0394,0.0541,daily,pet,lololowr
2,17,0.0446,0.0138,0.0433,0.0157,0.0787,0.0394,0.0472,daily,pet,lololowr
2,18,0.045,0.02,0.0394,0.0079,0.1142,0.0354,0.0541,daily,pet,lololowr
2,19,0.0451,0.0158,0.0433,0.0197,0.1063,0.0364,0.0512,daily,pet,lololowr
2,20,0.047,0.0166,0.0433,0.0236,0.1024,0.0354,0.0551,daily,pet,lololowr
2,21,0.0474,0.0165,0.0472,0.0157,0.0984,0.0364,0.0512,daily,pet,lololowr
2,22,0.0482,0.0169,0.0492,0.0236,0.0827,0.0354,0.0581,daily,pet,lololowr
2,23,0.0495,0.015,0.0512,0.0236,0.0787,0.0354,0.0591,daily,pet,lololowr
2,24,0.0458,0.019,0.0433,0.0079,0.1024,0.0354,0.0581,daily,pet,lololowr
2,25,0.044,0.0145,0.0453,0.0079,0.0669,0.0315,0.0512,daily,pet,lololowr
2,26,0.0454,0.0139,0.0472,0.0118,0.0748,0.0364,0.0512,daily,pet,lololowr
2,27,0.0472,0.0153,0.0453,0.0118,0.0787,0.0394,0.0541,daily,pet,lololowr
2,28,0.0542,0.021,0.0551,0.0118,0.1181,0.0472,0.062,daily,pet,lololowr
2,29,0.061,0.0166,0.063,0.0394,0.0906,0.0492,0.0679,daily,pet,lololowr
3,1,0.0551,0.0165,0.0571,0.0118,0.0787,0.0472,0.0659,daily,pet,lololowr
3,2,0.0587,0.0179,0.0551,0.0118,0.0984,0.0472,0.0709,daily,pet,lololowr
3,3,0.0571,0.0185,0.0551,0.0236,0.1063,0.0472,0.062,daily,pet,lololowr
3,4,0.0606,0.0155,0.0591,0.0157,0.0984,0.0522,0.0699,daily,pet,lololowr
3,5,0.0614,0.0205,0.063,0.0118,0.1063,0.0482,0.0709,daily,pet,lololowr
3,6,0.0636,0.0211,0.063,0.0276,0.122,0.0492,0.0709,daily,pet,lololowr
3,7,0.0635,0.018,0.0591,0.0315,0.0984,0.0512,0.0748,daily,pet,lololowr
3,8,0.066,0.0169,0.063,0.0394,0.0945,0.0512,0.0827,daily,pet,lololowr
3,9,0.0703,0.0222,0.0709,0.0354,0.1181,0.0551,0.0778,daily,pet,lololowr
3,10,0.0759,0.0239,0.0748,0.0394,0.1299,0.0551,0.0965,daily,pet,lololowr
3,11,0.0745,0.0203,0.0709,0.0433,0.1378,0.06,0.0896,daily,pet,lololowr
3,12,0.0773,0.0177,0.0787,0.0433,0.1142,0.0679,0.0866,daily,pet,lololowr
3,13,0.0815,0.0247,0.0787,0.0315,0.1378,0.0669,0.0974,daily,pet,lololowr
3,14,0.0789,0.0259,0.0748,0.0197,0.1378,0.0679,0.0896,daily,pet,lololowr
3,15,0.0802,0.0235,0.0827,0.0276,0.1417,0.064,0.0906,daily,pet,lololowr
3,16,0.0799,0.0229,0.0728,0.0394,0.1417,0.0669,0.0856,daily,pet,lololowr
3,17,0.0738,0.0164,0.0709,0.0472,0.122,0.064,0.0817,daily,pet,lololowr
3,18,0.0781,0.0219,0.0748,0.0512,0.1457,0.063,0.0886,daily,pet,lololowr
3,19,0.082,0.0167,0.0787,0.0512,0.1339,0.0748,0.0866,daily,pet,lololowr
3,20,0.0896,0.0248,0.0886,0.0512,0.1496,0.0719,0.1014,daily,pet,lololowr
3,21,0.0871,0.02,0.0807,0.0591,0.1457,0.0748,0.0984,daily,pet,lololowr
3,22,0.0875,0.0217,0.0886,0.0394,0.1378,0.0709,0.0984,daily,pet,lololowr
3,23,0.0865,0.0208,0.0827,0.0551,0.1496,0.0719,0.0984,daily,pet,lololowr
3,24,0.087,0.024,0.0866,0.0472,0.1457,0.0719,0.1004,daily,pet,lololowr
3,25,0.0902,0.0257,0.0866,0.0551,0.1457,0.0679,0.1083,daily,pet,lololowr
3,26,0.0845,0.0189,0.0866,0.0354,0.1339,0.0748,0.0945,daily,pet,lololowr
3,27,0.0871,0.0256,0.0787,0.0551,0.1575,0.0669,0.0965,daily,pet,lololowr
