month,day,mean,std_dev,median,min,max,q25,q75,type,variable,station
1,1,93.4581,7.4134,94.8,74.4,100,88.85,100,daily,rmax,mbmgtech
1,2,91.1367,9.4425,93.95,70.1,100,86,100,daily,rmax,mbmgtech
1,3,90.3133,10.2143,91.5,59,100,87.4,99.625,daily,rmax,mbmgtech
1,4,88.3867,9.5783,89.7,68.6,100,82.025,96.525,daily,rmax,mbmgtech
1,5,87.8033,10.743,87.85,62.6,100,81.125,97.975,daily,rmax,mbmgtech
1,6,89.5233,10.1217,92,65.5,100,85.4,99.1,daily,rmax,mbmgtech
1,7,88.5,11.5157,90.45,61.3,100,81.7,99.225,daily,rmax,mbmgtech
1,8,89.2433,10.3405,91.65,60.9,100,85.025,97.625,daily,rmax,mbmgtech
1,9,90.92,7.1648,89.85,76.9,100,87.25,98.2,daily,rmax,mbmgtech
1,10,91.9167,10.1831,96.35,63,100,87.775,100,daily,rmax,mbmgtech
1,11,94.1933,6.7979,96.75,77.2,100,91.475,100,daily,rmax,mbmgtech
1,12,88.1067,12.1727,90.4,56.7,100,82.95,98.55,daily,rmax,mbmgtech
1,13,86.9133,11.9833,88.45,58.3,100,82.075,97.675,daily,rmax,mbmgtech
1,14,87.79,12.232,89.5,45.2,100,79.95,98.875,daily,rmax,mbmgtech
1,15,87.2433,12.3081,91.3,57,100,78.1,99.275,daily,rmax,mbmgtech
1,16,89.9667,8.8689,90.05,68.9,100,85.075,99.525,daily,rmax,mbmgtech
1,17,88.4267,11.0371,89.55,63.5,100,82.225,98.45,daily,rmax,mbmgtech
1,18,86.9667,10.6428,88.75,58.4,100,81.45,95.025,daily,rmax,mbmgtech
1,19,89.7333,11.3697,93.7,54.8,100,83.15,99.5,daily,rmax,mbmgtech
1,20,89.3267,11.5739,91.5,52.2,100,83.325,100,daily,rmax,mbmgtech
1,21,89.8233,10.0691,91.45,64.8,100,83.775,98.775,daily,rmax,mbmgtech
1,22,88.9367,10.8238,91.15,64,100,81.8,100,daily,rmax,mbmgtech
1,23,89.3333,11.6981,92.05,60.3,100,84.225,100,daily,rmax,mbmgtech
1,24,88.76,10.8175,90.4,60.9,100,82.625,99.95,daily,rmax,mbmgtech
1,25,89.1567,11.6302,91.7,53.3,100,85.275,100,daily,rmax,mbmgtech
1,26,89.5867,11.4855,93,57.4,100,86.95,99.15,daily,rmax,mbmgtech
1,27,91.25,10.8289,93.85,52.5,100,87.8,100,daily,rmax,mbmgtech
1,28,92.5067,8.5722,96.1,72.5,100,85.625,100,daily,rmax,mbmgtech
1,29,87.5767,11.1583,89,54,100,83.45,96.35,daily,rmax,mbmgtech
1,30,88.62,11.3695,91.45,57.6,100,80.15,99.55,daily,rmax,mbmgtech
1,31,86.35,13.1723,87.65,60,100,79.175,100,daily,rmax,mbmgtech
2,1,90.2567,12.8991,98.3,60.3,100,80.325,100,daily,rmax,mbmgtech
2,2,91.7833,9.4129,94.3,64.6,100,86.025,100,daily,rmax,mbmgtech
2,3,92.5667,9.0905,96.7,67.6,100,86.275,100,daily,rmax,mbmgtech
2,4,88.9167,14.4598,96,46.1,100,82.325,100,daily,rmax,mbmgtech
2,5,86.1133,13.7644,90.75,45.3,100,76.2,97.975,daily,rmax,mbmgtech
2,6,88.4267,13.1523,91.3,43.5,100,81.525,100,daily,rmax,mbmgtech
2,7,91.5833,10.5821,98.65,62.7,100,84.325,100,daily,rmax,mbmgtech
2,8,90.62,10.628,93.65,69.1,100,80.925,100,daily,rmax,mbmgtech
2,9,91.3333,12.8956,98.35,44.2,100,84.675,100,daily,rmax,mbmgtech
2,10,92.2767,9.7938,95.85,65.1,100,86.625,100,daily,rmax,mbmgtech
2,11,92.3533,10.9209,97.05,62.1,100,92.175,100,daily,rmax,mbmgtech
2,12,88.0733,12.8881,93.25,64.8,100,75.325,100,daily,rmax,mbmgtech
2,13,89.4733,12.9043,94.4,58.9,100,83,100,daily,rmax,mbmgtech
2,14,88.12,13.6101,91.95,50.5,100,80.975,100,daily,rmax,mbmgtech
2,15,91.5567,12.9244,96.55,44.4,100,88.975,100,daily,rmax,mbmgtech
2,16,90.11,10.5925,92.4,65.4,100,81.6,100,daily,rmax,mbmgtech
2,17,89.05,12.8242,96.2,59.6,100,80.725,100,daily,rmax,mbmgtech
2,18,90.65,12.2776,96.4,50.4,100,86.625,100,daily,rmax,mbmgtech
2,19,91.5967,10.5846,95.7,61.7,100,85.2,100,daily,rmax,mbmgtech
2,20,90.51,13.7471,96.65,48.6,100,85.225,100,daily,rmax,mbmgtech
2,21,90.2533,12.8868,98.35,46.9,100,81.525,100,daily,rmax,mbmgtech
2,22,90.47,10.7617,92.45,64.6,100,85.125,100,daily,rmax,mbmgtech
2,23,89.8233,9.5648,91.6,67.6,100,82.95,99.925,daily,rmax,mbmgtech
2,24,91.7733,9.4435,95.35,66.3,100,85,100,daily,rmax,mbmgtech
2,25,93.1133,9.3074,97.45,67.1,100,87.575,100,daily,rmax,mbmgtech
2,26,91.6167,11.3288,98.35,54.6,100,87.975,100,daily,rmax,mbmgtech
2,27,91.87,9.9778,94.55,64.3,100,86.6,100,daily,rmax,mbmgtech
2,28,88.7633,9.8694,89.3,65.4,100,82.175,99.8,daily,rmax,mbmgtech
2,29,85.9875,8.1199,85.25,74.3,100,80.875,90.4,daily,rmax,mbmgtech
3,1,89.19,10.1818,91.5,70.4,100,82.35,99.025,daily,rmax,mbmgtech
3,2,88.6533,9.5976,87.65,71.6,100,79.825,100,daily,rmax,mbmgtech
3,3,88.61,11.364,90.1,57,100,81.95,99.75,daily,rmax,mbmgtech
3,4,89.5267,9.4115,89.65,67.4,100,81.275,98.9,daily,rmax,mbmgtech
3,5,89.06,10.4673,91.8,64.8,100,82.075,100,daily,rmax,mbmgtech
3,6,86.79,13.3163,90.2,47.7,100,82.225,95.875,daily,rmax,mbmgtech
3,7,87.0133,9.7573,87.45,64.5,100,81.5,94.025,daily,rmax,mbmgtech
3,8,89.1,10.5451,90.7,67.4,100,79.25,100,daily,rmax,mbmgtech
3,9,87.19,12.2837,91.65,51.3,100,80.275,97.025,daily,rmax,mbmgtech
3,10,86.02,13.512,87.25,55.9,100,81.05,98.125,daily,rmax,mbmgtech
3,11,84.1967,16.1446,87.85,46.2,100,72.225,98.4,daily,rmax,mbmgtech
3,12,87.5,9.6173,89.4,67.2,100,82.45,95.025,daily,rmax,mbmgtech
3,13,82.47,9.1193,82.3,56.4,100,77.15,89.2,daily,rmax,mbmgtech
3,14,82.5033,12.3575,82,43.8,100,74.775,90.975,daily,rmax,mbmgtech
3,15,83.2667,11.3648,84.7,58.6,100,75.75,91.15,daily,rmax,mbmgtech
3,16,83.35,12.2204,84.9,52.5,100,78.075,91.65,daily,rmax,mbmgtech
3,17,86.96,9.9554,88.45,67.7,100,80.825,95,daily,rmax,mbmgtech
3,18,86.66,10.9926,90.5,63.1,100,79.175,94.175,daily,rmax,mbmgtech
3,19,84.59,10.6537,86.05,59.7,100,78.025,91.4,daily,rmax,mbmgtech
3,20,80.2233,13.0419,83.65,50,100,69.55,88.775,daily,rmax,mbmgtech
3,21,84.2033,11.3904,84.05,63.2,100,76.95,91.7,daily,rmax,mbmgtech
3,22,81.9167,12.5241,80.6,50.7,100,74.225,89.3,daily,rmax,mbmgtech
3,23,80.5133,12.3677,78.05,58.2,100,71.85,90.95,daily,rmax,mbmgtech
3,24,83.5467,11.3982,82.7,58.4,100,75.575,93.425,daily,rmax,mbmgtech
3,25,81.88,13.5865,84.25,57.1,100,70.275,93.475,daily,rmax,mbmgtech
3,26,84.7833,12.5328,89.9,57.9,100,75.625,93.225,daily,rmax,mbmgtech
3,27,85.5867,9.7654,84.35,62.6,100,78.8,92.6,daily,rmax,mbmgtech
3,28,85.3067,11.4902,85.65,50.6,100,80.5,93.9,daily,rmax,mbmgtech
3,29,84.7767,12.3778,84.75,65.4,100,72.625,97.125,daily,rmax,mbmgtech
3,30,81.93,13.5369,79.75,52,100,75.2,89.875,daily,rmax,mbmgtech
3,31,83.9167,12.3099,85.3,50.6,100,75.875,92.25,daily,rmax,mbmgtech
4,1,88.4,10.9905,91.15,54.5,100,81.85,96.2,daily,rmax,mbmgtech
4,2,91.22,8.8896,92.2,63.2,100,85.35,99.85,daily,rmax,mbmgtech
4,3,88.5467,10.2393,91.2,66.6,100,83.575,96.825,daily,rmax,mbmgtech
4,4,85.0967,10.6544,85.55,57.9,100,79.275,91.975,daily,rmax,mbmgtech
4,5,84.94,11.6324,84.95,65,100,76.1,95.525,daily,rmax,mbmgtech
4,6,83.5533,13.218,83.6,61.2,100,73.45,96.95,daily,rmax,mbmgtech
4,7,83.29,9.6173,81.2,64.1,100,78.725,88.825,daily,rmax,mbmgtech
4,8,84.9667,10.4923,86.15,66.9,100,77.725,93.675,daily,rmax,mbmgtech
4,9,85.0967,13.0053,87.1,58.4,100,74.25,100,daily,rmax,mbmgtech
4,10,86.4633,10.1928,89.25,68.3,100,76.45,95.375,daily,rmax,mbmgtech
4,11,85.2833,11.4631,85.9,62.2,100,76.65,95.425,daily,rmax,mbmgtech
4,12,85.4,11.4009,87.4,60.4,100,76.05,94.55,daily,rmax,mbmgtech
4,13,82.5133,11.7596,81.95,48.8,100,75.85,89.425,daily,rmax,mbmgtech
4,14,84.2867,13.134,85.25,56.8,100,75.125,95.625,daily,rmax,mbmgtech
4,15,82.2133,12.2679,81.95,58.3,100,75.775,87.35,daily,rmax,mbmgtech
4,16,81.05,13.1578,81.75,51.4,100,70.525,90.375,daily,rmax,mbmgtech
4,17,80.7233,13.3271,83.35,53.1,100,69.95,89.625,daily,rmax,mbmgtech
4,18,85.6633,11.8596,85.1,60.2,100,77.125,97.4,daily,rmax,mbmgtech
4,19,82.91,12.0536,81.9,58.6,100,73.7,92.825,daily,rmax,mbmgtech
4,20,86.28,12.552,88,64.8,100,77.525,99.25,daily,rmax,mbmgtech
4,21,80.8133,12.7508,77.5,56.7,100,73.125,91.15,daily,rmax,mbmgtech
4,22,81.67,12.7571,80.55,54.8,100,73.65,92.65,daily,rmax,mbmgtech
4,23,83.8167,11.4624,85.35,57,100,76.55,92.925,daily,rmax,mbmgtech
4,24,84.9633,11.9288,86.6,60,100,74.95,95.2,daily,rmax,mbmgtech
4,25,82.38,10.4265,81.85,60.7,100,74.05,91.6,daily,rmax,mbmgtech
4,26,83.3067,9.8074,84.8,60.7,100,78.475,88.325,daily,rmax,mbmgtech
4,27,80.6,11.9747,81.25,55.8,100,73.475,89.85,daily,rmax,mbmgtech
4,28,81.2767,13.2192,80.5,42,100,77.05,92.6,daily,rmax,mbmgtech
4,29,83.2133,12.3049,80.55,61.5,100,72.8,94.6,daily,rmax,mbmgtech
4,30,82.6267,13.5219,83.2,55,100,74.1,94.25,daily,rmax,mbmgtech
5,1,81.7067,12.2048,78.1,63.3,100,71.1,95.15,daily,rmax,mbmgtech
5,2,78.2467,12.5083,77,58.3,100,68.4,86.95,daily,rmax,mbmgtech
5,3,79.9333,12.2441,83,53.8,100,76.8,86.65,daily,rmax,mbmgtech
5,4,80.17,13.4182,78.2,55.4,100,69.525,90.8,daily,rmax,mbmgtech
5,5,78.9133,12.9458,78.9,45.6,100,70.175,87.85,daily,rmax,mbmgtech
5,6,79.9,11.0067,79.85,44.3,100,75.45,87.75,daily,rmax,mbmgtech
5,7,83.02,12.5946,86.3,56.3,100,74.025,91.625,daily,rmax,mbmgtech
5,8,80.8,11.3859,81.2,56.1,100,73.275,89.4,daily,rmax,mbmgtech
5,9,81.8267,13.3724,84.3,55.1,100,71.1,94.125,daily,rmax,mbmgtech
5,10,82.5333,12.5911,82.1,61,100,73.15,93.2,daily,rmax,mbmgtech
5,11,81.9333,14.537,80.25,57.2,100,69.4,96.125,daily,rmax,mbmgtech
5,12,80.3567,15.5385,84.85,43.2,100,71.325,91.8,daily,rmax,mbmgtech
5,13,79.8967,14.507,81.6,44.1,100,70.6,91.3,daily,rmax,mbmgtech
5,14,77.64,12.2863,76.1,47.4,100,73.85,82.8,daily,rmax,mbmgtech
5,15,79.1233,13.0265,78.5,48.8,100,72.05,88.9,daily,rmax,mbmgtech
5,16,80.22,13.0268,81,48,100,73.45,89.5,daily,rmax,mbmgtech
5,17,81.59,17.6849,84.15,42.2,100,69.9,99.95,daily,rmax,mbmgtech
5,18,81.2967,14.4377,82.8,52,100,73.125,92.125,daily,rmax,mbmgtech
5,19,82.8,13.2951,86.45,52.3,100,79.525,90.6,daily,rmax,mbmgtech
5,20,81.08,11.7396,83.2,55.3,100,74.85,87.95,daily,rmax,mbmgtech
5,21,83.2267,10.4476,81.7,63.8,100,77.475,92.65,daily,rmax,mbmgtech
5,22,83.2467,12.2783,84.25,48.2,100,77.45,92.575,daily,rmax,mbmgtech
5,23,84.92,11.9717,83.75,57.7,100,76.325,96.4,daily,rmax,mbmgtech
5,24,84.6033,13.269,85.85,46.4,100,75.9,95.55,daily,rmax,mbmgtech
5,25,83.33,13.5612,84.75,51.3,100,77.425,92.6,daily,rmax,mbmgtech
5,26,84.5867,12.0441,86.15,56.8,100,78.075,92.75,daily,rmax,mbmgtech
5,27,85.4967,11.7537,83.5,56.6,100,78.175,99,daily,rmax,mbmgtech
5,28,82.6133,12.4912,85.45,50.6,100,74.75,89.625,daily,rmax,mbmgtech
5,29,83.5567,11.2296,83.75,65.9,100,73.9,91.475,daily,rmax,mbmgtech
5,30,83.6433,12.2729,83.45,61,100,74.4,95.7,daily,rmax,mbmgtech
5,31,84.64,11.6347,83.6,64.6,100,73.325,93.825,daily,rmax,mbmgtech
6,1,82.3,14.0311,85.65,55,100,73.15,93.325,daily,rmax,mbmgtech
6,2,81.0767,12.3639,83.85,48.3,100,73.525,89.5,daily,rmax,mbmgtech
6,3,82.5333,12.8929,82.05,49.4,100,75.45,92.3,daily,rmax,mbmgtech
6,4,82.8,12.5196,83.35,57.9,100,74.2,93.275,daily,rmax,mbmgtech
6,5,83.58,12.6865,84,59.5,100,74.325,94,daily,rmax,mbmgtech
6,6,84.79,12.6328,85.9,54.9,100,77.625,96.925,daily,rmax,mbmgtech
6,7,84.9367,12.6524,85.7,58.4,100,78.4,96.425,daily,rmax,mbmgtech
6,8,82.6067,14.4764,83.9,54.7,100,73.7,96.65,daily,rmax,mbmgtech
6,9,85.2233,11.9862,84.95,61.7,100,77.85,97.2,daily,rmax,mbmgtech
6,10,85.7067,11.7384,84.35,55.9,100,78.775,100,daily,rmax,mbmgtech
6,11,86.62,10.6725,86.85,65.9,100,77.55,96.825,daily,rmax,mbmgtech
6,12,84.1067,13.8818,86.25,48.8,100,75.075,98.45,daily,rmax,mbmgtech
6,13,83.0633,12.6932,83.2,63.1,100,71.675,93.55,daily,rmax,mbmgtech
6,14,81.8867,10.2105,80.4,58.7,100,74.75,89.35,daily,rmax,mbmgtech
6,15,84.04,11.0505,83.65,62.7,100,76.75,92.45,daily,rmax,mbmgtech
6,16,84.1633,13.454,87.9,56.3,100,73.125,95.775,daily,rmax,mbmgtech
6,17,81.86,12.3723,85.7,53.2,100,71.15,90.7,daily,rmax,mbmgtech
6,18,83.0233,11.5939,83.2,47.4,100,77.775,91.4,daily,rmax,mbmgtech
6,19,82.46,10.1794,80.65,57.8,100,76,88.45,daily,rmax,mbmgtech
6,20,80.23,14.3441,80.2,54.2,100,70.95,88.375,daily,rmax,mbmgtech
6,21,77.0767,13.3418,79.2,44.1,100,70.3,85.05,daily,rmax,mbmgtech
6,22,81.7267,13.3338,81.75,53.8,100,71.4,92.15,daily,rmax,mbmgtech
6,23,78.7133,12.110900000000001,80.2,55.3,100,69.875,85.425,daily,rmax,mbmgtech
6,24,76.7767,12.1755,77.65,54.7,100,67.6,84.375,daily,rmax,mbmgtech
6,25,79.2633,11.9116,81.35,52.8,100,70.8,84.675,daily,rmax,mbmgtech
6,26,78.9167,11.001,78.25,61.2,100,71.85,85.3,daily,rmax,mbmgtech
6,27,78.6933,12.346,79.65,53.1,100,70.775,86.25,daily,rmax,mbmgtech
6,28,78.89,14.1886,80.2,55.4,100,66.475,89.85,daily,rmax,mbmgtech
6,29,74.93,16.2826,73.6,42.8,100,63.95,89.85,daily,rmax,mbmgtech
6,30,81.62,13.5156,81.3,47.8,100,75.475,92.25,daily,rmax,mbmgtech
