month,day,mean,std_dev,median,min,max,q25,q75,type,variable,station
1,1,88.4516,12.1613,91.8,53.7,100,80.55,100,daily,rmax,mdaedgar
1,2,87.6767,13.4912,91.6,39.6,100,79.6,100,daily,rmax,mdaedgar
1,3,88.0333,13.7062,94.6,56.4,100,79.525,100,daily,rmax,mdaedgar
1,4,85.28,15.0473,89.55,52.4,100,75.8,99.025,daily,rmax,mdaedgar
1,5,85.0167,12.333,85.35,51.2,100,78.425,94.2,daily,rmax,mdaedgar
1,6,85.7867,14.941,90.35,47.5,100,78.05,99.45,daily,rmax,mdaedgar
1,7,85.1967,13.6685,86.25,57.7,100,74.1,99.375,daily,rmax,mdaedgar
1,8,87.7233,13.5386,87.9,45.9,100,81.3,100,daily,rmax,mdaedgar
1,9,89.1067,11.8044,91.7,57.6,100,82.025,100,daily,rmax,mdaedgar
1,10,88.3267,11.3111,88.6,60.2,100,80.475,99.95,daily,rmax,mdaedgar
1,11,86.7033,13.2358,87.8,55,100,77.3,100,daily,rmax,mdaedgar
1,12,85.6867,15.759,90.15,45.4,100,74.825,100,daily,rmax,mdaedgar
1,13,84.8633,14.3781,86.25,46.4,100,74.45,100,daily,rmax,mdaedgar
1,14,86.7633,12.4827,85.95,46.9,100,81.3,99.925,daily,rmax,mdaedgar
1,15,87.3133,13.705,91.35,56.4,100,78.175,100,daily,rmax,mdaedgar
1,16,86.3667,12.7669,87.65,60.2,100,77.05,99.775,daily,rmax,mdaedgar
1,17,87.5167,11.0345,87.95,63.9,100,81.075,99.875,daily,rmax,mdaedgar
1,18,85.1633,13.9016,86.1,53.7,100,75.55,99.2,daily,rmax,mdaedgar
1,19,87.1067,13.736,91.9,43.3,100,78.875,100,daily,rmax,mdaedgar
1,20,86.2133,16.9954,90.7,40.1,100,80.5,100,daily,rmax,mdaedgar
1,21,83.9867,17.2885,88.3,34.5,100,75.3,99.075,daily,rmax,mdaedgar
1,22,87.7933,14.3388,91.5,35.4,100,81.075,99.725,daily,rmax,mdaedgar
1,23,87.9367,12.6676,90.9,52.5,100,81.55,99.65,daily,rmax,mdaedgar
1,24,84.0433,14.7012,86.8,36.6,100,77.575,93.975,daily,rmax,mdaedgar
1,25,84.41,15.6863,90.95,42.2,100,74.9,96.325,daily,rmax,mdaedgar
1,26,85.6167,15.2596,87.8,37.3,100,77.7,98.925,daily,rmax,mdaedgar
1,27,88.66,11.9805,93.05,61.7,100,77.4,100,daily,rmax,mdaedgar
1,28,88.8967,12.0323,91.65,64.5,100,83,100,daily,rmax,mdaedgar
1,29,87.7133,11.3597,87.4,60.9,100,78.675,99.425,daily,rmax,mdaedgar
1,30,85.41,11.3434,85.45,58.8,100,77.325,95.35,daily,rmax,mdaedgar
1,31,81.82,16.4658,82.55,49.7,100,68.95,98.625,daily,rmax,mdaedgar
2,1,80.8633,17.4764,83.85,47.1,100,65.85,98.1,daily,rmax,mdaedgar
2,2,84.4033,14.5615,86.9,52,100,72.9,100,daily,rmax,mdaedgar
2,3,88.6633,12.4089,91.75,61,100,80,100,daily,rmax,mdaedgar
2,4,84.8367,16.1105,91.9,51.8,100,70.775,100,daily,rmax,mdaedgar
2,5,81.8967,17.1612,82.25,42.1,100,72.2,100,daily,rmax,mdaedgar
2,6,83.6267,18.1075,88.75,40.3,100,72.75,100,daily,rmax,mdaedgar
2,7,87.48,14.9235,89.5,42.6,100,83.3,100,daily,rmax,mdaedgar
2,8,88.6367,13.3271,95.7,61.1,100,77.55,100,daily,rmax,mdaedgar
2,9,88.1067,11.858,92.1,62.4,100,79.525,100,daily,rmax,mdaedgar
2,10,91.1467,11.673400000000001,97.6,59.1,100,82.35,100,daily,rmax,mdaedgar
2,11,87.5733,12.9324,89.75,60.3,100,77.7,100,daily,rmax,mdaedgar
2,12,84.4233,15.814,90.4,51.7,100,71.325,100,daily,rmax,mdaedgar
2,13,83.57,14.728,87.05,51.1,100,71.95,96.325,daily,rmax,mdaedgar
2,14,84.1333,16.2678,86.35,49.5,100,71.1,100,daily,rmax,mdaedgar
2,15,85.9467,15.3043,90.4,54,100,74.85,100,daily,rmax,mdaedgar
2,16,82.07,14.9891,85.2,53,100,74.8,92.675,daily,rmax,mdaedgar
2,17,81.1567,15.985,82.15,47.7,100,71.975,95.975,daily,rmax,mdaedgar
2,18,83.4267,14.9345,84.75,48.9,100,70.875,97.225,daily,rmax,mdaedgar
2,19,83.6167,15.6984,80.9,43.6,100,73.025,100,daily,rmax,mdaedgar
2,20,81.9533,15.9976,81.95,47.5,100,70.025,99.475,daily,rmax,mdaedgar
2,21,83.1467,16.6749,82.35,40.8,100,70.7,100,daily,rmax,mdaedgar
2,22,87.5333,13.3076,89.75,48.6,100,79.6,100,daily,rmax,mdaedgar
2,23,85.9233,14.5128,91.05,57.9,100,73.975,99.925,daily,rmax,mdaedgar
2,24,86.3933,16.324,94.35,49.1,100,73.6,100,daily,rmax,mdaedgar
2,25,86.73,13.7014,90.65,57.7,100,75.975,100,daily,rmax,mdaedgar
2,26,89.42,13.0001,95.25,54.1,100,84.925,100,daily,rmax,mdaedgar
2,27,89.7733,11.9437,94.25,59.4,100,83.95,100,daily,rmax,mdaedgar
2,28,87.7267,13.438,92.4,54.4,100,77.825,100,daily,rmax,mdaedgar
2,29,81.6,13.6024,81.2,63.5,100,74.475,88,daily,rmax,mdaedgar
3,1,86.8233,13.4108,89.5,54.3,100,81.2,99.35,daily,rmax,mdaedgar
3,2,86.3867,11.9237,86.25,60,100,81.025,100,daily,rmax,mdaedgar
3,3,85.5133,15.3331,90.6,46.4,100,74.225,99.75,daily,rmax,mdaedgar
3,4,84.8633,16.1968,89.45,47.3,100,73.75,100,daily,rmax,mdaedgar
3,5,86.4433,15.362,93.45,55.2,100,73.025,100,daily,rmax,mdaedgar
3,6,89.4967,13.3255,95.6,47.2,100,81.05,100,daily,rmax,mdaedgar
3,7,90.03,11.9844,95.1,64.9,100,82.175,100,daily,rmax,mdaedgar
3,8,88.64,12.4699,90.6,59.5,100,78.8,100,daily,rmax,mdaedgar
3,9,84.6333,14.9426,87.8,49.4,100,73.825,99.625,daily,rmax,mdaedgar
3,10,82.59,19.3343,89.1,39.1,100,70.375,100,daily,rmax,mdaedgar
3,11,81.4233,19.2749,90.35,38.1,100,68.35,99.9,daily,rmax,mdaedgar
3,12,83.4,15.3344,86.6,49.8,100,72.3,99.325,daily,rmax,mdaedgar
3,13,78.5267,13.9832,81.3,46.6,100,70.075,86.575,daily,rmax,mdaedgar
3,14,77.9867,14.9484,78.5,49.1,100,68.1,90.225,daily,rmax,mdaedgar
3,15,77.4733,14.5577,75.65,52.1,100,66.975,89.4,daily,rmax,mdaedgar
3,16,78.32,15.8237,76.95,46.5,100,67.225,91.6,daily,rmax,mdaedgar
3,17,79.8767,16.1614,77.55,48.2,100,66.55,100,daily,rmax,mdaedgar
3,18,82.8267,16.5169,86.9,50,100,68.55,99.3,daily,rmax,mdaedgar
3,19,80.3367,17.7615,82.1,47.3,100,66.075,99.5,daily,rmax,mdaedgar
3,20,75.5433,16.9512,75.95,50.8,100,60.875,87.25,daily,rmax,mdaedgar
3,21,77.4,15.7104,77.75,41.9,100,67.45,89.725,daily,rmax,mdaedgar
3,22,80.8967,16.6984,81.6,50.5,100,67.25,100,daily,rmax,mdaedgar
3,23,82.29,19.4592,92.05,45.5,100,65.55,100,daily,rmax,mdaedgar
3,24,82.59,16.2342,84.75,37.9,100,71.425,99.475,daily,rmax,mdaedgar
3,25,80.7767,16.6772,83.65,53.1,100,65.3,100,daily,rmax,mdaedgar
3,26,79.4533,15.2399,81.95,50.8,100,68.725,91.525,daily,rmax,mdaedgar
3,27,82.49,14.7323,83.15,55.8,100,71.425,98.425,daily,rmax,mdaedgar
3,28,81.5333,16.4155,84.4,47.2,100,72.45,95.675,daily,rmax,mdaedgar
3,29,81.78,16.6996,84.7,40.3,100,69.2,99.35,daily,rmax,mdaedgar
3,30,81.23,15.8556,81.15,48.9,100,72.975,98.85,daily,rmax,mdaedgar
3,31,81.94,19.1639,86.8,31.7,100,70.15,100,daily,rmax,mdaedgar
4,1,82.3167,17.5837,87.5,41.6,100,65.875,100,daily,rmax,mdaedgar
4,2,82.8467,17.594,88.7,46.2,100,69.5,99.375,daily,rmax,mdaedgar
4,3,82.98,16.2495,86.15,50.8,100,70.15,100,daily,rmax,mdaedgar
4,4,77.9267,17.2493,80.05,44.2,100,67.2,94.525,daily,rmax,mdaedgar
4,5,78.1233,16.895,75.65,49.8,100,63.9,98.475,daily,rmax,mdaedgar
4,6,78.72,13.5923,76.25,54.2,100,69.25,86.9,daily,rmax,mdaedgar
4,7,78.74,16.6916,77.25,50,100,63.725,95.225,daily,rmax,mdaedgar
4,8,80.5667,18.5382,88.05,38.2,100,64.55,97.7,daily,rmax,mdaedgar
4,9,82.0167,18.3351,84.4,46.6,100,65.475,100,daily,rmax,mdaedgar
4,10,84.0067,14.896,86.55,53.6,100,72.25,99.7,daily,rmax,mdaedgar
4,11,81.6533,15.8552,82.9,45.5,100,69.25,99.1,daily,rmax,mdaedgar
4,12,81.6433,17.7043,81.1,40.9,100,69.35,100,daily,rmax,mdaedgar
4,13,78.76,18.6774,82.1,36.1,100,64.925,96,daily,rmax,mdaedgar
4,14,76.6567,16.4084,76.3,43,100,63.75,87.325,daily,rmax,mdaedgar
4,15,78.0933,16.4511,80.1,53.8,100,62.025,92.2,daily,rmax,mdaedgar
4,16,82.5667,16.498,83.5,53.8,100,69.2,99.875,daily,rmax,mdaedgar
4,17,78.17,17.5909,79.35,38.6,100,66.9,95.6,daily,rmax,mdaedgar
4,18,82.1333,16.1036,83.8,43.7,100,68.925,99.3,daily,rmax,mdaedgar
4,19,82.95,14.8858,82.55,48.3,100,71.05,99.725,daily,rmax,mdaedgar
4,20,84.9533,11.9657,83.65,61.5,100,74.475,99,daily,rmax,mdaedgar
4,21,81.7167,14.8619,83.35,55.6,100,71.525,98.225,daily,rmax,mdaedgar
4,22,76.93,15.2924,76.35,52.4,100,63.65,88.75,daily,rmax,mdaedgar
4,23,81.48,17.0346,83.35,43.1,100,70.425,100,daily,rmax,mdaedgar
4,24,82.01,16.453,85.4,41.8,100,71.025,97.475,daily,rmax,mdaedgar
4,25,80.6967,15.3943,82.55,45.2,100,68.225,96.1,daily,rmax,mdaedgar
4,26,80.6467,16.0221,81.7,45.7,100,69.8,95.5,daily,rmax,mdaedgar
4,27,76.7233,17.1483,72.45,45.5,100,65.4,95.25,daily,rmax,mdaedgar
4,28,75.9233,15.9749,72.4,48.7,100,63.175,89.9,daily,rmax,mdaedgar
4,29,75.87,16.2272,71.5,49.7,100,64.825,89.825,daily,rmax,mdaedgar
4,30,78.8033,17.1071,82.2,42,100,65.725,94.375,daily,rmax,mdaedgar
5,1,79.0867,16.5552,76.65,49.2,100,66.3,95.85,daily,rmax,mdaedgar
5,2,75.7733,15.1431,74.5,47.4,100,65.75,84.35,daily,rmax,mdaedgar
5,3,72.19,12.9533,72.45,50.6,100,63.225,77.475,daily,rmax,mdaedgar
5,4,74.8667,14.9313,74.5,49.5,100,63.375,87.225,daily,rmax,mdaedgar
5,5,75.46,15.6081,72.15,44.7,100,66.075,87.35,daily,rmax,mdaedgar
5,6,75.9233,15.6701,77.3,47.1,100,64.475,86,daily,rmax,mdaedgar
5,7,78.1833,16.3944,75.75,43.1,100,66.3,93.775,daily,rmax,mdaedgar
5,8,80.5033,17.6108,82.6,34.6,100,71.275,95.3,daily,rmax,mdaedgar
5,9,80.8067,18.8882,82.6,42.8,100,63.7,100,daily,rmax,mdaedgar
5,10,80.5667,17.1284,81.35,44.1,100,65.425,99.3,daily,rmax,mdaedgar
5,11,80.0967,14.6304,79.55,55,100,71.275,92.15,daily,rmax,mdaedgar
5,12,78.3267,17.9603,77.9,35.9,100,66.175,96.275,daily,rmax,mdaedgar
5,13,77.4067,21.0566,85.9,38.6,100,58.175,98.05,daily,rmax,mdaedgar
5,14,72.7633,16.3607,73.75,31.3,100,62.975,80.925,daily,rmax,mdaedgar
5,15,75.46,15.9734,74.6,38,100,64.7,88.775,daily,rmax,mdaedgar
5,16,79.6067,17.6986,85.15,32.7,100,64.175,93.875,daily,rmax,mdaedgar
5,17,81.33,17.7647,83.15,31.6,100,70.225,95.675,daily,rmax,mdaedgar
5,18,79.1867,21.0825,83.5,37.9,100,63.6,100,daily,rmax,mdaedgar
5,19,80.8467,16.5125,84.45,43.3,100,71.925,95.2,daily,rmax,mdaedgar
5,20,80.5933,15.0618,82.2,40.5,100,72.05,92.675,daily,rmax,mdaedgar
5,21,77.6833,16.7414,77.4,46.2,100,62.3,93.475,daily,rmax,mdaedgar
5,22,83.0867,17.3775,86.4,45.4,100,68.15,100,daily,rmax,mdaedgar
5,23,84.54,15.305,88.35,53.7,100,74.05,98.55,daily,rmax,mdaedgar
5,24,84.1733,14.2649,87.85,54,100,77.05,95.6,daily,rmax,mdaedgar
5,25,82.8233,15.7493,86.75,47.4,100,74.725,95.1,daily,rmax,mdaedgar
5,26,84.2367,15.4379,87.5,53.4,100,68.775,100,daily,rmax,mdaedgar
5,27,83.7233,12.6681,82.8,66.3,100,71.975,95.875,daily,rmax,mdaedgar
5,28,81.6533,15.3519,83.55,49.8,100,69.825,98.075,daily,rmax,mdaedgar
5,29,81.8333,15.9819,83.8,50.3,100,67.9,96.65,daily,rmax,mdaedgar
5,30,80.4967,15.8631,79.25,54.9,100,68.85,97.575,daily,rmax,mdaedgar
5,31,83.6333,14.7598,86.25,57.8,100,71.45,99.875,daily,rmax,mdaedgar
6,1,83.7,15.3156,85,48.2,100,71.425,100,daily,rmax,mdaedgar
6,2,85.5567,13.2433,87.05,52.7,100,76.775,99.6,daily,rmax,mdaedgar
6,3,83.61,13.6481,81.05,50,100,75.325,99.15,daily,rmax,mdaedgar
6,4,81.9433,14.4381,83.75,42.5,100,73.675,90.975,daily,rmax,mdaedgar
6,5,84.61,13.7703,85.95,58.6,100,74,98.85,daily,rmax,mdaedgar
6,6,85.6133,15.9451,89.8,44.9,100,76.375,100,daily,rmax,mdaedgar
6,7,87.4267,14.4786,93.95,54.7,100,77.2,100,daily,rmax,mdaedgar
6,8,84.0667,16.5228,85,43,100,71.15,100,daily,rmax,mdaedgar
6,9,83.76,14.984,83.9,58.6,100,69.775,100,daily,rmax,mdaedgar
6,10,84.77,15.6905,88.75,56,100,70.425,100,daily,rmax,mdaedgar
6,11,87.1133,15.5201,93.05,47.9,100,80.75,100,daily,rmax,mdaedgar
6,12,83.17,11.169,84.35,57.1,100,77,89.3,daily,rmax,mdaedgar
6,13,82.02,16.2353,81.55,45.1,100,72.35,99.125,daily,rmax,mdaedgar
6,14,81.05,14.346,79.45,52.4,100,69.925,92.85,daily,rmax,mdaedgar
6,15,80.5933,15.8827,82.55,47.3,100,68.75,96.325,daily,rmax,mdaedgar
6,16,84.3067,15.5377,87.95,48.6,100,74.775,100,daily,rmax,mdaedgar
6,17,84.1633,15.6603,88.55,39.1,100,76.625,97.075,daily,rmax,mdaedgar
6,18,81.8133,15.2728,85,44.8,100,70.725,93.8,daily,rmax,mdaedgar
6,19,82.0233,15.3039,84.35,46.5,100,69.7,95.1,daily,rmax,mdaedgar
6,20,78.7333,15.2877,79.6,47.7,100,67.825,90.325,daily,rmax,mdaedgar
6,21,78.9967,14.0997,81.35,53.2,100,69.775,90.775,daily,rmax,mdaedgar
6,22,77.6467,14.5057,78.25,46.7,100,64.6,88.75,daily,rmax,mdaedgar
6,23,76.76,13.6713,79.45,45.6,99.5,68.125,85.375,daily,rmax,mdaedgar
6,24,78.34,13.893,80.1,47.9,100,69.95,89.25,daily,rmax,mdaedgar
6,25,76.61,17.8706,80.1,28.2,100,63.825,91.825,daily,rmax,mdaedgar
6,26,74.2,16.7728,75.3,30.1,100,67.85,83.075,daily,rmax,mdaedgar
6,27,74.02,16.807,72.7,34.5,100,64.575,89.725,daily,rmax,mdaedgar
6,28,72.75,18.3769,72.25,29.2,100,60.2,85.725,daily,rmax,mdaedgar
6,29,70.0767,20.3186,69.35,29.2,100,61.1,86.35,daily,rmax,mdaedgar
6,30,72.62,17.0247,76.7,38.7,100,63,85.5,daily,rmax,mdaedgar
7,1,83.4933,13.3425,82.8,55.6,100,73.825,98.1,daily,rmax,mdaedgar
7,2,82.6467,16.6483,84.2,52.9,100,68.675,100,daily,rmax,mdaedgar
7,3,82.9267,15.959,84.9,52.6,100,69.275,100,daily,rmax,mdaedgar
7,4,80.3367,17.2292,78.45,46.3,100,68.65,100,daily,rmax,mdaedgar
7,5,81.15,16.2791,81.25,44.2,100,73.4,98.05,daily,rmax,mdaedgar
7,6,85.4967,12.9331,85.65,60.3,100,75.975,100,daily,rmax,mdaedgar
7,7,81.1633,14.9386,81,45.7,100,71.525,95.825,daily,rmax,mdaedgar
7,8,80.9767,14.0177,81.95,55.8,100,70.1,90.975,daily,rmax,mdaedgar
7,9,77.8333,16.5341,75.9,45.2,100,67.925,91.825,daily,rmax,mdaedgar
7,10,78.9633,18.531,80.9,36.2,100,63.25,97.475,daily,rmax,mdaedgar
7,11,79.5,18.0142,78.25,37.3,100,66.625,99.4,daily,rmax,mdaedgar
7,12,78.14,16.3984,74.75,46.5,100,67.575,91.9,daily,rmax,mdaedgar
7,13,74.6633,20.3664,80.45,32,100,57.25,89.95,daily,rmax,mdaedgar
7,14,73.4467,16.6595,76.6,37.3,100,61.1,82.475,daily,rmax,mdaedgar
7,15,73.1033,18.946,69.65,42.3,100,60.925,88.8,daily,rmax,mdaedgar
7,16,74.4067,19.1487,76.35,39.6,100,60.475,90.25,daily,rmax,mdaedgar
7,17,78.5333,16.3022,81.95,48.6,100,69.375,90.2,daily,rmax,mdaedgar
7,18,74.4533,17.9826,75.15,28.1,100,66.55,88.15,daily,rmax,mdaedgar
7,19,72.5667,17.9456,74.15,36.4,100,59.075,85.55,daily,rmax,mdaedgar
7,20,73.43,19.5396,73.85,33.7,100,56.425,90.5,daily,rmax,mdaedgar
7,21,72.0367,16.2788,71.45,42.1,100,60.875,81.1,daily,rmax,mdaedgar
7,22,73.0133,18.4757,71.3,34,100,57.85,87.7,daily,rmax,mdaedgar
7,23,76.2733,18.7664,76.75,43.4,100,61.4,93.775,daily,rmax,mdaedgar
7,24,73.4233,18.8725,73.95,40.2,100,61.975,88.7,daily,rmax,mdaedgar
7,25,73.65,13.6972,72.9,46.3,100,63.4,82.45,daily,rmax,mdaedgar
