month,day,mean,std_dev,median,min,max,q25,q75,type,variable,station
1,1,0.0284,0.016,0.0276,0.0079,0.0669,0.0157,0.0354,daily,pet,mdahardi
1,2,0.0298,0.0157,0.0276,0,0.063,0.0197,0.0423,daily,pet,mdahardi
1,3,0.0303,0.0231,0.0256,0,0.1024,0.0157,0.0394,daily,pet,mdahardi
1,4,0.0295,0.021,0.0236,0.0039,0.0866,0.0128,0.0433,daily,pet,mdahardi
1,5,0.0278,0.0196,0.0276,0,0.0906,0.0118,0.0394,daily,pet,mdahardi
1,6,0.0301,0.0187,0.0315,0.0039,0.0669,0.0128,0.0394,daily,pet,mdahardi
1,7,0.029,0.0175,0.0276,0.0039,0.0827,0.0157,0.0354,daily,pet,mdahardi
1,8,0.0312,0.0196,0.0276,0.0079,0.0866,0.0197,0.0384,daily,pet,mdahardi
1,9,0.0306,0.0183,0.0315,0.0039,0.0787,0.0138,0.0394,daily,pet,mdahardi
1,10,0.0319,0.0198,0.0315,0,0.0748,0.0167,0.0463,daily,pet,mdahardi
1,11,0.0331,0.0205,0.0335,0.0039,0.0787,0.0128,0.0472,daily,pet,mdahardi
1,12,0.0312,0.0187,0.0295,0.0039,0.0787,0.0157,0.0463,daily,pet,mdahardi
1,13,0.0382,0.0247,0.0354,0.0039,0.1142,0.0236,0.0472,daily,pet,mdahardi
1,14,0.0307,0.0147,0.0315,0,0.0591,0.0207,0.0394,daily,pet,mdahardi
1,15,0.034,0.0206,0.0276,0,0.0827,0.0207,0.0423,daily,pet,mdahardi
1,16,0.0328,0.0163,0.0354,0.0039,0.0669,0.0236,0.0423,daily,pet,mdahardi
1,17,0.0324,0.0159,0.0295,0.0039,0.0709,0.0236,0.0433,daily,pet,mdahardi
1,18,0.0331,0.0181,0.0295,0.0039,0.0709,0.0236,0.0423,daily,pet,mdahardi
1,19,0.0354,0.0174,0.0315,0.0118,0.0827,0.0207,0.0433,daily,pet,mdahardi
1,20,0.0328,0.0141,0.0295,0.0157,0.0669,0.0207,0.0423,daily,pet,mdahardi
1,21,0.0329,0.016,0.0315,0.0039,0.0709,0.0236,0.0384,daily,pet,mdahardi
1,22,0.0352,0.0168,0.0315,0.0118,0.0748,0.0236,0.0472,daily,pet,mdahardi
1,23,0.0345,0.0156,0.0354,0.0079,0.063,0.0236,0.0463,daily,pet,mdahardi
1,24,0.0371,0.0215,0.0295,0.0118,0.0945,0.0236,0.0463,daily,pet,mdahardi
1,25,0.037,0.0198,0.0374,0.0118,0.0984,0.0207,0.0472,daily,pet,mdahardi
1,26,0.0367,0.0199,0.0335,0.0079,0.0945,0.0246,0.0463,daily,pet,mdahardi
1,27,0.0364,0.0174,0.0315,0.0118,0.0748,0.0256,0.0423,daily,pet,mdahardi
1,28,0.0374,0.0179,0.0315,0.0157,0.0787,0.0246,0.0472,daily,pet,mdahardi
1,29,0.0371,0.0177,0.0354,0.0079,0.0787,0.0276,0.0472,daily,pet,mdahardi
1,30,0.0402,0.0192,0.0374,0.0039,0.0827,0.0276,0.0531,daily,pet,mdahardi
1,31,0.0412,0.0234,0.0374,0.0079,0.0945,0.0236,0.0571,daily,pet,mdahardi
2,1,0.0404,0.0277,0.0354,0.0079,0.1299,0.0207,0.0531,daily,pet,mdahardi
2,2,0.0387,0.0201,0.0354,0.0079,0.1024,0.0276,0.0463,daily,pet,mdahardi
2,3,0.0331,0.018,0.0276,0.0039,0.0709,0.0197,0.0463,daily,pet,mdahardi
2,4,0.0333,0.0185,0.0315,0.0039,0.0787,0.0197,0.0423,daily,pet,mdahardi
2,5,0.0413,0.0222,0.0394,0.0039,0.0984,0.0276,0.0512,daily,pet,mdahardi
2,6,0.0395,0.0192,0.0394,0.0039,0.0827,0.0285,0.0502,daily,pet,mdahardi
2,7,0.0358,0.0184,0.0315,0.0039,0.0787,0.0276,0.0472,daily,pet,mdahardi
2,8,0.0353,0.0226,0.0315,0.0079,0.0906,0.0197,0.0492,daily,pet,mdahardi
2,9,0.0404,0.0249,0.0374,0.0039,0.1063,0.0276,0.0472,daily,pet,mdahardi
2,10,0.0425,0.0185,0.0433,0.0079,0.0906,0.0285,0.0502,daily,pet,mdahardi
2,11,0.0421,0.0182,0.0394,0.0157,0.1024,0.0276,0.0502,daily,pet,mdahardi
2,12,0.0455,0.0183,0.0433,0.0157,0.0827,0.0325,0.0591,daily,pet,mdahardi
2,13,0.0541,0.0263,0.0472,0.0079,0.1102,0.0325,0.0738,daily,pet,mdahardi
2,14,0.0475,0.0231,0.0453,0.0118,0.1142,0.0285,0.062,daily,pet,mdahardi
2,15,0.049,0.0275,0.0433,0.0079,0.1299,0.0315,0.061,daily,pet,mdahardi
2,16,0.0529,0.0253,0.0472,0.0157,0.1378,0.0394,0.0659,daily,pet,mdahardi
2,17,0.0504,0.0238,0.0492,0.0118,0.0945,0.0354,0.0699,daily,pet,mdahardi
2,18,0.0492,0.0256,0.0492,0.0079,0.122,0.0315,0.0591,daily,pet,mdahardi
2,19,0.0605,0.0336,0.065,0.0079,0.1535,0.0354,0.0768,daily,pet,mdahardi
2,20,0.0598,0.0338,0.0551,0.0157,0.1811,0.0325,0.0709,daily,pet,mdahardi
2,21,0.056,0.0297,0.0492,0.0157,0.126,0.0325,0.0817,daily,pet,mdahardi
2,22,0.0539,0.0318,0.0453,0.0157,0.1654,0.0354,0.0699,daily,pet,mdahardi
2,23,0.0521,0.022,0.0472,0.0197,0.0945,0.0394,0.0669,daily,pet,mdahardi
2,24,0.055,0.0265,0.0571,0.0079,0.1181,0.0404,0.0699,daily,pet,mdahardi
2,25,0.0521,0.0258,0.0512,0.0118,0.122,0.0354,0.0699,daily,pet,mdahardi
2,26,0.0537,0.0256,0.0472,0.0157,0.126,0.0354,0.0659,daily,pet,mdahardi
2,27,0.0516,0.0284,0.0433,0.0197,0.1535,0.0325,0.0591,daily,pet,mdahardi
2,28,0.0546,0.0293,0.0472,0.0079,0.1299,0.0364,0.0689,daily,pet,mdahardi
2,29,0.0753,0.034,0.0709,0.0315,0.126,0.0512,0.1014,daily,pet,mdahardi
3,1,0.0546,0.0276,0.0512,0.0039,0.122,0.0354,0.0738,daily,pet,mdahardi
3,2,0.0581,0.0286,0.0512,0.0079,0.1339,0.0394,0.0778,daily,pet,mdahardi
3,3,0.0631,0.0285,0.061,0.0157,0.1299,0.0394,0.0856,daily,pet,mdahardi
3,4,0.066,0.0296,0.0669,0.0236,0.1378,0.0443,0.0856,daily,pet,mdahardi
3,5,0.0677,0.0328,0.061,0.0276,0.1654,0.0433,0.0896,daily,pet,mdahardi
3,6,0.0668,0.0362,0.063,0.0197,0.1496,0.0364,0.0896,daily,pet,mdahardi
3,7,0.0665,0.0306,0.065,0.0236,0.1299,0.0433,0.0925,daily,pet,mdahardi
3,8,0.0667,0.031,0.065,0.0157,0.1299,0.0433,0.0896,daily,pet,mdahardi
3,9,0.077,0.0416,0.0669,0.0157,0.189,0.0472,0.0984,daily,pet,mdahardi
3,10,0.0764,0.0393,0.0709,0.0276,0.1811,0.0433,0.1053,daily,pet,mdahardi
3,11,0.0833,0.0377,0.0768,0.0354,0.1969,0.0522,0.1053,daily,pet,mdahardi
3,12,0.0898,0.0395,0.0768,0.0315,0.2047,0.0591,0.1142,daily,pet,mdahardi
3,13,0.0895,0.0329,0.0846,0.0472,0.1732,0.0591,0.1152,daily,pet,mdahardi
3,14,0.0894,0.0285,0.0886,0.0354,0.1654,0.065,0.1093,daily,pet,mdahardi
3,15,0.0955,0.0362,0.0945,0.0157,0.1693,0.0689,0.1211,daily,pet,mdahardi
3,16,0.0946,0.0306,0.0906,0.0354,0.1732,0.0709,0.1181,daily,pet,mdahardi
3,17,0.0895,0.0353,0.0866,0.0472,0.1772,0.063,0.0984,daily,pet,mdahardi
3,18,0.0913,0.0352,0.0886,0.0394,0.1614,0.06,0.1132,daily,pet,mdahardi
3,19,0.0928,0.0355,0.0925,0.0276,0.1732,0.063,0.1211,daily,pet,mdahardi
3,20,0.1018,0.0356,0.1004,0.0394,0.1929,0.0748,0.1181,daily,pet,mdahardi
