month,day,station,variable,mean,std_dev,median,q25,q75,type
1,1,unmwyola,pr,0.0245,0.0399,0,0,0.0325,daily
1,2,unmwyola,pr,0.0307,0.0602,0,0,0.0374,daily
1,3,unmwyola,pr,0.0272,0.0557,0,0,0.0217,daily
1,4,unmwyola,pr,0.0193,0.0328,0,0,0.0276,daily
1,5,unmwyola,pr,0.0279,0.0648,0,0,0.0256,daily
1,6,unmwyola,pr,0.0151,0.0306,0,0,0.0177,daily
1,7,unmwyola,pr,0.0229,0.0485,0,0,0.0217,daily
1,8,unmwyola,pr,0.0234,0.0534,0,0,0.0197,daily
1,9,unmwyola,pr,0.0165,0.0255,0,0,0.0217,daily
1,10,unmwyola,pr,0.026,0.0521,0,0,0.0217,daily
1,11,unmwyola,pr,0.0371,0.0619,0,0,0.0748,daily
1,12,unmwyola,pr,0.0318,0.0959,0,0,0.0197,daily
1,13,unmwyola,pr,0.0329,0.0852,0,0,0.0315,daily
1,14,unmwyola,pr,0.0234,0.0332,0,0,0.0335,daily
1,15,unmwyola,pr,0.0171,0.0336,0,0,0.0177,daily
1,16,unmwyola,pr,0.0202,0.0455,0,0,0.0197,daily
1,17,unmwyola,pr,0.0328,0.0672,0,0,0.0276,daily
1,18,unmwyola,pr,0.0142,0.0197,0,0,0.0315,daily
1,19,unmwyola,pr,0.0255,0.0502,0,0,0.0217,daily
1,20,unmwyola,pr,0.0151,0.0231,0,0,0.0276,daily
1,21,unmwyola,pr,0.0188,0.059,0,0,0.0157,daily
1,22,unmwyola,pr,0.0202,0.0402,0,0,0.0217,daily
1,23,unmwyola,pr,0.024,0.0463,0,0,0.0295,daily
1,24,unmwyola,pr,0.0097,0.0163,0,0,0.0177,daily
1,25,unmwyola,pr,0.0062,0.0132,0,0,0,daily
1,26,unmwyola,pr,0.0126,0.0224,0,0,0.0217,daily
1,27,unmwyola,pr,0.0319,0.0652,0,0,0.0276,daily
1,28,unmwyola,pr,0.0155,0.0259,0,0,0.0197,daily
1,29,unmwyola,pr,0.0196,0.0454,0,0,0.0217,daily
1,30,unmwyola,pr,0.0203,0.0362,0,0,0.0236,daily
1,31,unmwyola,pr,0.0301,0.0877,0,0,0.0256,daily
2,1,unmwyola,pr,0.0315,0.0526,0,0,0.0394,daily
2,2,unmwyola,pr,0.042,0.0821,0,0,0.0276,daily
2,3,unmwyola,pr,0.0291,0.0676,0,0,0.0157,daily
2,4,unmwyola,pr,0.0211,0.0508,0,0,0.0138,daily
2,5,unmwyola,pr,0.0281,0.0593,0,0,0.0315,daily
2,6,unmwyola,pr,0.0202,0.0457,0,0,0.0197,daily
2,7,unmwyola,pr,0.0307,0.0511,0,0,0.0394,daily
2,8,unmwyola,pr,0.0362,0.0839,0,0,0.0374,daily
2,9,unmwyola,pr,0.0229,0.0317,0.0118,0,0.0315,daily
2,10,unmwyola,pr,0.0351,0.04,0.0197,0,0.061,daily
2,11,unmwyola,pr,0.0221,0.0334,0,0,0.0295,daily
