month,day,mean,std_dev,median,min,max,q25,q75,type,variable,station
1,1,37.7968,8.4809,38.2,17.8,63.3,32.4,41.3,daily,rmin,wsrbigtm
1,2,37.1167,11.3118,37.2,16.1,75.3,31.45,42.575,daily,rmin,wsrbigtm
1,3,37.6167,11.6005,36.45,13,72.3,32.35,41.375,daily,rmin,wsrbigtm
1,4,36.2033,9.8172,37.15,20.1,68,29.125,42.425,daily,rmin,wsrbigtm
1,5,37.2067,8.7487,35.7,20.5,58.8,32.525,41.75,daily,rmin,wsrbigtm
1,6,37.0967,9.4433,35.45,19.3,65.8,31.825,41.4,daily,rmin,wsrbigtm
1,7,37.2433,11.0527,36.05,22,72.7,29.975,42.025,daily,rmin,wsrbigtm
1,8,39.19,12.3382,40.9,11.6,70.1,34.15,46.675,daily,rmin,wsrbigtm
1,9,37.7633,9.6637,39.4,13.1,50.9,32.225,44.2,daily,rmin,wsrbigtm
1,10,39.78,12.6971,37.85,23.4,83.7,32.375,44.725,daily,rmin,wsrbigtm
1,11,40.35,15.6991,34.8,22,100,30.825,44.825,daily,rmin,wsrbigtm
1,12,35.9567,7.6568,38.05,17.4,49.3,31.55,40.375,daily,rmin,wsrbigtm
1,13,36.7767,11.9972,37.75,19.6,82.6,30.2,42.05,daily,rmin,wsrbigtm
1,14,38.75,14.4908,38.25,14.6,100,31.45,42.9,daily,rmin,wsrbigtm
1,15,37.3533,11.0474,37.65,20,78,29.35,43.3,daily,rmin,wsrbigtm
1,16,36.8767,8.0214,36.75,25,51.8,29.725,42.75,daily,rmin,wsrbigtm
1,17,36.04,8.7869,36.2,17.4,66.5,31.875,40.15,daily,rmin,wsrbigtm
1,18,37.0433,8.8115,38.75,13.7,47.6,31.425,45,daily,rmin,wsrbigtm
1,19,36.1167,10.4572,35.75,12,66,30.2,41.575,daily,rmin,wsrbigtm
1,20,38.0833,10.8264,38.3,9.4,66.9,31.7,44.45,daily,rmin,wsrbigtm
1,21,36.6933,10.5778,38.15,12.5,70.3,30.8,42.875,daily,rmin,wsrbigtm
1,22,38.0433,9.9552,37.15,15.9,65.5,31.9,42.125,daily,rmin,wsrbigtm
1,23,38.4333,11.0689,37.4,22.2,72.5,32.5,40.8,daily,rmin,wsrbigtm
1,24,36.8967,9.6316,38.35,17.5,57.3,32.1,42.975,daily,rmin,wsrbigtm
1,25,36.4767,8.0131,35.8,20.5,49.1,31.45,44,daily,rmin,wsrbigtm
1,26,37.9467,9.0933,37.65,15.5,58.5,35.525,43.45,daily,rmin,wsrbigtm
1,27,37.1,5.8325,37.55,22.1,49.9,33.5,40.925,daily,rmin,wsrbigtm
1,28,36.86,9.3308,37.4,16,54.1,29.85,42.025,daily,rmin,wsrbigtm
1,29,37.95,7.2973,39.25,14.4,47.4,35.3,42.325,daily,rmin,wsrbigtm
1,30,37.3133,12.4614,37,18.2,90.6,31.125,39.45,daily,rmin,wsrbigtm
1,31,35.9933,12.2922,36.35,17.4,69.3,27.375,42.15,daily,rmin,wsrbigtm
2,1,37.76,16.4555,37.3,12.4,80,26.45,44.125,daily,rmin,wsrbigtm
2,2,37.2467,14.5583,38.85,13.2,87.2,27.525,42.525,daily,rmin,wsrbigtm
2,3,39.84,18.8496,37.55,13.2,100,29.75,43.425,daily,rmin,wsrbigtm
2,4,39.4233,18.2447,38.75,15.1,100,28.5,47.175,daily,rmin,wsrbigtm
2,5,39.1033,18.3039,36.1,15.4,100,28.375,44.675,daily,rmin,wsrbigtm
2,6,39.0767,17.2728,36.25,15.9,90.3,27.925,44.125,daily,rmin,wsrbigtm
2,7,40.01,14.1143,40.35,18.2,89.5,31.425,45.65,daily,rmin,wsrbigtm
2,8,38.3967,10.1666,39.95,22.3,67.9,30.55,43.05,daily,rmin,wsrbigtm
2,9,39.45,16.8576,34.8,18.3,100,30.35,43.275,daily,rmin,wsrbigtm
2,10,39.63,9.4906,39.95,22.6,64.8,32.225,45.9,daily,rmin,wsrbigtm
2,11,35.72,9.721,37.9,16.5,53.8,30.925,42.275,daily,rmin,wsrbigtm
2,12,35.0133,12.1095,35.6,14,69.3,26.425,42.8,daily,rmin,wsrbigtm
