month,day,mean,std_dev,median,min,max,q25,q75,type,variable,station
1,1,17.5042,10.6873,19.49,-3.19,36.23,9.23,23.99,daily,tmmn,wsrreeds
1,2,16.886,10.2895,16.7,-13.63,36.95,9.77,23.765,daily,tmmn,wsrreeds
1,3,17.588,13.3834,20.48,-15.79,35.33,8.825,28.985,daily,tmmn,wsrreeds
1,4,16.364,13.0743,19.85,-9.31,34.25,4.82,26.06,daily,tmmn,wsrreeds
1,5,16.856,14.4549,22.28,-13.09,35.87,6.935,27.14,daily,tmmn,wsrreeds
1,6,15.428,12.5273,18.5,-8.23,37.13,6.44,25.07,daily,tmmn,wsrreeds
1,7,19.148,10.4524,18.77,-4.81,39.65,11.75,26.33,daily,tmmn,wsrreeds
1,8,19.544,10.1616,21.29,1.31,38.39,11.57,25.79,daily,tmmn,wsrreeds
1,9,19.232,10.6433,21.74,-6.97,34.25,11.525,27.41,daily,tmmn,wsrreeds
1,10,18.164,13.205,22.91,-9.85,32.27,9.23,29.705,daily,tmmn,wsrreeds
1,11,17.27,13.3698,22.28,-11.65,34.79,7.565,26.285,daily,tmmn,wsrreeds
1,12,16.718,14.6384,23.54,-19.75,34.97,6.89,27.32,daily,tmmn,wsrreeds
1,13,18.95,14.259,24.98,-17.95,33.89,13.865,28.4,daily,tmmn,wsrreeds
1,14,19.532,12.1512,24.53,-8.95,36.41,15.8,27.95,daily,tmmn,wsrreeds
1,15,20.234,10.496,21.83,-4.81,34.43,16.97,28.085,daily,tmmn,wsrreeds
1,16,18.32,9.8918,19.13,-6.79,35.33,11.705,25.025,daily,tmmn,wsrreeds
1,17,19.34,10.3639,20.48,-6.43,35.15,13.37,27.005,daily,tmmn,wsrreeds
1,18,21.236,11.311,22.19,-11.47,36.59,15.8,30.965,daily,tmmn,wsrreeds
1,19,23.048,8.8248,24.17,1.13,38.03,19.265,28.175,daily,tmmn,wsrreeds
1,20,21.782,8.8133,21.65,1.13,40.55,18.05,27.32,daily,tmmn,wsrreeds
1,21,21.08,8.0004,22.01,-6.07,37.13,17.825,24.98,daily,tmmn,wsrreeds
1,22,19.466,8.3328,20.3,-3.91,33.89,16.79,24.125,daily,tmmn,wsrreeds
1,23,18.776,8.7267,18.23,4.55,38.57,13.01,24.125,daily,tmmn,wsrreeds
1,24,21.032,10.9031,23.45,0.05,42.35,13.325,28.85,daily,tmmn,wsrreeds
1,25,21.254,11.9494,23.36,-5.89,43.97,17.42,27.185,daily,tmmn,wsrreeds
